"","0","0 | 1","7200","7200 | 1"
"yadC",1.3635,0.214586,0.379476,0.661393
"yadK",2.45786,0.517367,6.74833,0.228297
"yadL",0.79843,0.626267,0.574029,0.298856
"yadM",2.42555,0.495242,0.196475,0.0743231
"htrE",3.0803,0.469208,0.131288,2.17314
"yadV",9.22796,0.855461,2.59235,0.553818
"yadN",4.19443,7.36826,5.34629,8.32108
"folK",17.1139,8.96765,1.7025,6.14392
"pcnB",4185.84,4063.59,2657.78,2427.46
"gluQ",10.157,5.05841,20.5261,8.73223
"dksA",3568.46,3683.46,2367.73,1965.08
"sfsA",838.151,832.921,542.804,514.727
"thpR",265.423,273.161,385.509,444.84
"hrpB",3.54361,2.45489,3.85377,0.980175
"mrcB",1058.86,1208.94,1447.83,1549.18
"fhuA",2581.03,2248.98,2274.34,2183.62
"fhuC",511.702,687.349,781.666,1193.95
"fhuD",224.989,276.582,506.687,929.638
"fhuB",173.052,211.462,399.41,725.61
"hemL",1309.64,1623.52,1145,1123.03
"clcA",862.025,1130.44,1148.61,1259.37
"erpA",5555.32,3983.24,3420.54,2584.29
"yadS",945.825,1052.1,1307.65,1296.66
"btuF",529.17,483.837,443.412,590.205
"mtn",2709.32,2538.72,2044.55,1715.84
"dgt",843.363,707.294,921.748,853.321
"degP",6231.86,4348.12,3130.46,2153.13
"cdaR",1208.71,1156.35,1255.47,1224.16
"yaeH",1683.59,1779.58,1342.43,1173.36
"yaeI",2.34571,6.11838,5.81285,1.08004
"dapD",1591.07,1662.87,1453.48,1276.72
"glnD",1.49453,1.21357,6.10549,1.20968
"map",2507.41,2157.78,1912.9,1668.98
"tff",12827.5,8415.73,5260.88,3781.04
"rpsB",9074.36,6947.71,4729.41,3311.63
"tsf",8094.14,6866.59,4254.76,3310.93
"pyrH",1962.1,1976.1,1468.92,1778.88
"frr",3681.9,3166.49,2324.79,1897.97
"dxr",646.285,695.418,536.132,733.178
"ispU",3265.26,3530.36,2378.35,2350.77
"cdsA",1704.71,2064.84,1653.6,1771.44
"rseP",4041.7,4549.57,2980.8,2707.63
"bamA",4496.66,4029.64,2922.97,2609.45
"skp",3878.47,3697.63,2743.11,2670.98
"lpxD",2126.49,2311.36,1640.2,1939.49
"fabZ",4823.76,4607.62,3659.08,3025.8
"lpxA",1777.49,2130.19,1930.63,1927.43
"lpxB",975.116,1129.13,1336.84,1825.73
"rnhB",790.75,1013.5,1270.73,1724.21
"dnaE",572.892,869.579,894.195,1279.36
"accA",2380.86,2199.27,1709.1,1653.74
"ldcC",14.1191,0.654626,6.96148,2.77783
"yaeR",1111.85,1205.48,1237.08,1090.04
"tilS",847.434,937.972,1012.38,1340.39
"rof",1978.74,1543.17,1879.19,1449.54
"yaeP",2528.01,2356.12,2024.65,1602.48
"arfB",853.777,1120.72,1074.87,954.643
"nlpE",746.627,952.279,936.921,1121.36
"yaeF",50.1655,85.9659,117.044,192.462
"proS",1514.83,1054.93,1211.18,886.302
"trmO",566.59,748.978,440.548,624.833
"rcsF",2008.41,1702.01,1338.99,1372.39
"metQ",4279.02,3806.67,2703.15,2414.95
"metI",2678.68,2450.22,2285.26,1825.71
"metN",3083.78,3257.04,3187.88,2487.52
"gmhB",1989.08,1702.98,1461.45,1094.48
"rrsH",12781.4,8681.78,5125.87,3666.69
"rrfH",8123.98,6235.7,3602.32,2489.63
"dkgB",351.009,419.314,425.374,572.151
"yafC",875.245,722.503,1003.27,834.437
"yafD",2645.55,2306.25,1876.93,1498.53
"yafE",522.532,523.16,590.402,627.286
"mltD",50.5234,55.9424,38.6008,47.0932
"gloB",558.991,655.959,574.754,479.579
"yafS",604.624,660.664,806.006,951.449
"rnhA",1318.74,1228.41,1041.87,814.412
"dnaQ",1835.33,1941.92,1692.08,1571.56
"yafT",0.286138,0.705978,1.01119,0.212528
"yafU",1.57696,3.42752,3.97089,2.57298
"yafV",206.152,187.739,309.769,269.055
"ivy",1736.96,1630.61,1174.54,1735.46
"fadE",9.914,17.7611,7.21748,1.03934
"gmhA",1784.53,1841.02,1497.51,1339.85
"dpaA",1369.17,1240.34,1459.18,1442.79
"yafQ",2798.08,2399.28,2192.33,1756.92
"dinJ",3921.77,3413.3,2934.13,2262.59
"yafL",4.40082,0.686899,0.877229,0.359984
"rayT",14.6669,2.2375,9.66579,5.13165
"lfhA",1.68571,1.0439,0.892707,0.747939
"lafU",46.4473,61.4536,107.782,114.063
"dinB",490.525,471.116,495.84,633.985
"yafN",788.108,696.597,1264.31,992.919
"yafO",613.286,500.437,1052.16,1070.88
"yafP",503.794,218.465,749.766,623.595
"ykfJ",237.677,211.88,699.471,683.381
"prfH",142.507,147.5,616.867,701.559
"pepD",2488.38,2816.85,1312.03,1356.55
"gpt",1808.89,1214.32,1089.62,1026.84
"frsA",660.267,784.955,496.432,729.442
"crl",6529.56,5271.45,3360.62,2397.62
"phoE",210.484,143.383,340.103,367
"proB",2520.7,1752.38,2233.61,2002.27
"proA",1188.37,1114.05,1965.86,1811.62
"ykfI",1.48013,3.5538,0.149904,0.2177
"yafW",8.96799,5.18037,5.39837,0.590598
"ykfG",1.62093,1.02307,2.11677,11.6767
"yafX",3.74162,1.0248,6.05482,9.27728
"ykfF",18.0881,5.93299,8.68376,7.45903
"ykfB",5.21465,6.29829,1.57948,0.0773624
"yafY",3.24608,0.875016,0.460622,0.243172
"yafZ",5.61438,6.44443,3.54704,4.75957
"ykfA",1.11337,6.14241,4.1449,4.98873
"perR",4.89879,0.833209,6.34019,3.56312
"ykfC",3.076,2.52882,5.53661,0.707402
"insH1",21.6482,15.3153,5.93615,4.07635
"mmuP",0.908245,0.998846,0.734075,0.999586
"mmuM",33.558,18.3587,16.6569,7.39272
"afuC",2.40382,1.09444,0.488976,0.632028
"afuB",4.89801,5.62217,2.17366,0.548885
"yagB",2.58596,1.62495,4.2231,0.238497
"yagA",3.69177,13.0733,4.73394,11.789
"yagE",0.717805,0.801748,0.546158,0.37089
"yagF",25.4262,18.4742,12.1245,6.87397
"yagG",5.21393,0.671923,3.30526,0.693507
"yagH",11.8446,9.12577,5.45207,2.88848
"xynR",8.6861,0.626481,5.83625,3.47527
"argF",3.77403,20.068,2.48391,1.90383
"yagJ",10.4576,3.42019,5.25642,1.75012
"yagK",0.759165,5.67439,4.71012,0.13886
"yagL",1.84606,1.54497,1.6937,0.705824
"yagM",5.66928,2.95057,1.28327,0.15125
"yagN",0.276194,0.305116,0.614025,3.29703
"intF",1.07725,0.901626,1.08434,0.143476
"yagP",295.851,399.014,393.335,412.4
"paoD",111.162,127.449,208.315,280.966
"paoC",57.8141,78.392,105.074,124.124
"paoB",37.6213,59.7248,60.6073,96.3187
"paoA",79.4739,146.543,166.28,187.526
"yagU",611.395,672.493,1171.42,1337.57
"ykgJ",454.046,409.01,540.07,555.266
"ecpE",151.679,182.214,286.6,369.325
"ecpD",184.185,239.035,366.762,649.477
"ecpC",75.9914,111.548,248.552,710.171
"ecpB",124.635,185.579,485.033,1097.27
"ecpA",287.511,288.203,747.591,1256.11
"matA",383.144,507.417,885.104,1326.37
"ykgL",521.653,728.917,928.783,1082.2
"ykgM",278.242,308.091,350.668,492.839
"eaeH",95.5873,197.997,421.462,922.129
"insE1",1.91377,3.16666,2.64796,1.13132
"insF1",29.3451,17.2564,25.7707,26.0398
"ykgA",6.90432,6.92485,1.6847,1.51056
"rclC",146.123,151.883,448.604,530.534
"rclB",59.4033,79.7737,147.575,169.261
"rclA",109.836,133.23,200.718,212.118
"rclR",720.305,711.214,1437.15,1298.52
"ykgE",592.489,709.311,830.772,993.004
"ykgF",337.465,485.736,623.016,1029.15
"ykgG",269.785,396.757,469.532,734.606
"ykgH",49.6307,51.1619,113.08,157.267
"betA",26.6861,16.3626,1.19001,9.66195
"betB",1.01942,8.28597,11.6767,4.55067
"betI",4330.17,4975.76,3238.38,2691.41
"betT",1476.73,1484.05,1581.05,1729.12
"pdeL",8.56228,2.67994,0.851648,2.53747
"yahB",266.419,317.408,389.121,462.794
"yahC",59.0033,98.6074,107.133,203.227
"yahD",79.2203,93.4907,124.802,212.441
"yahE",116.115,111.008,147.983,205.599
"yahF",75.3185,103.151,175.552,279.661
"yahG",114.114,170.314,211.479,361.763
"yahI",7.09087,9.54205,0.945267,1.43064
"yahJ",183.872,174.488,175.637,208.645
"yahK",464.299,587.921,681.797,731.328
"yahL",80.7854,127.525,280.855,352.689
"yahM",1086.86,1454.37,2088.79,2178.85
"yahN",121.026,186.467,335.906,417.086
"prpR",24.9971,10.0516,14.2794,8.76743
"prpB",32.6855,8.95011,13.1864,5.58489
"prpC",88.9404,117.614,92.6338,130.36
"prpD",64.5576,70.1615,94.5275,118.582
"prpE",15.0204,11.9926,4.63578,5.06472
"codB",1426.21,1502.75,437.684,875.74
"codA",1301.72,1660.72,698.491,1260.12
"cynR",522.354,537.274,597.662,705.247
"cynT",113.303,250.588,153.259,250.667
"cynS",143.204,252.738,220.607,317.395
"cynX",86.4006,139.075,184.148,258.152
"mhpR",661.871,769.06,863.822,856.895
"mhpA",87.0142,108.081,107.862,187.788
"mhpB",57.4288,96.6269,86.736,135.246
"mhpC",67.375,86.3134,99.1538,120.636
"mhpD",87.0987,94.9568,86.1542,113.966
"mhpF",46.472,72.1699,96.7455,103.075
"mhpE",86.1941,132.733,101.095,152.143
"mhpT",86.9758,115.515,111.821,148.568
"yaiL",1149.06,1227.35,860.303,914.223
"frmB",779.894,592.628,1037.56,1253.8
"frmA",3062.14,2077.71,2850.8,2511.21
"frmR",4057.51,3655.7,3154.18,2730.68
"yaiO",2.91831,0.465951,0.259204,0.251213
"insC1",382.78,557.225,768.674,1094
"insD7",241.272,265.937,617.071,874.645
"yaiP",0.642155,0.531157,0.348211,0.138619
"yaiS",0.829504,1.84009,0.197092,0.81949
"tauA",64.2513,132.467,111.202,165.838
"tauB",73.1959,86.2523,103.863,120.768
"tauC",68.7278,74.3384,84.7914,94.9062
"hemB",1292.58,1202.19,1759.5,1880.05
"iprA",147.546,177.139,379.273,567.9
"sbmA",643.711,606.93,455.81,586.664
"yaiW",3.87634,1.61253,0.468261,0.418509
"yaiY",693.13,625.899,538.223,996.693
"yaiZ",960.51,1190.67,1066.12,1027.66
"ddlA",1351.85,1312,1477.34,1301.93
"iraP",2505.63,2618.21,2149.8,1877.91
"phoA",934.18,1216.88,1357.8,1529.2
"psiF",262.804,362.009,559.316,909.431
"dgcC",144.476,133.813,220.287,370.437
"proC",826.595,724.845,739.462,985.894
"yaiI",685.721,733.581,706.296,612.723
"aroL",2498.59,2609.7,3160.16,2550.84
"yaiA",1799.13,1397.26,2252.99,1673.83
"aroM",625.815,609.336,1769.49,1814.65
"ppnP",2149.58,1635.46,2214.98,2038.86
"ykiA",6.85599,4.15569,4.96124,0.131247
"rdgC",924.133,855.225,819.926,687.84
"araJ",218.57,236.263,340.734,333.437
"sbcC",16.2646,0.758391,0.928125,0.440952
"sbcD",507.966,402.209,551.81,458.453
"phoB",1529.09,1298.74,1887.43,1739.38
"phoR",526.935,610.537,1026.62,1006.96
"brnQ",1376.64,1428.32,1120.47,1399.21
"proY",1111.59,1347.93,1619.07,1889.66
"malZ",1.58192,3.58957,1.28819,0.942204
"acpH",200.267,199.531,295.89,307.642
"queA",1392.87,1331.38,1171.76,1402.93
"tgt",2429.02,2212.29,1426.08,1282.64
"yajC",5163.35,4200.26,3446.21,2375.17
"secD",2878.78,2655.03,2454.11,1997.79
"secF",1658.8,2015.14,1957.55,1942.42
"yajD",2438.37,2417.91,2298.78,2027.57
"tsx",1546.71,1641.69,961.581,1018.46
"nrdR",3475.27,3423.33,2833.97,2404.14
"ribD",3.76971,3.95509,2.03721,2.42113
"ribE",4754.75,4347.79,3311.27,2532.79
"nusB",3522.92,2399.91,2347.07,1764.43
"thiL",480.285,496.505,501.958,780.873
"pgpA",405.15,403.835,441.963,556.075
"yajO",23.6584,11.4906,18.0802,5.82878
"dxs",6.34194,13.2377,11.7147,12.3461
"ispA",0.98332,1.03445,4.84496,7.75438
"xseB",1949.93,1789.04,1611.44,1201.97
"thiI",4.19514,14.6348,5.45326,5.86024
"yajL",15.9615,9.9133,9.1545,1.92368
"panE",903.318,763.082,865.666,776.076
"yajQ",3198.44,2715.88,2365.03,1524.73
"yajR",532.97,606.751,790.143,874.472
"cyoE",2422.94,1815.86,1397.68,1176.3
"cyoD",3190.8,2961.05,1859.03,1643.44
"cyoC",2796.02,2621.91,1896.18,1736.03
"cyoB",4077.95,3885.59,2206.08,2131.17
"cyoA",5275.05,4437.37,3206.47,2531.49
"ampG",332.008,367.314,318.846,378.986
"bolA",1762.5,1797.55,1021.89,672.825
"tig",5470.06,5244.47,3283.48,2428.6
"clpP",5507.51,4731.41,3104.48,2214.87
"clpX",5869.44,4576.14,2969.6,2214.7
"lon",21.8693,13.9918,6.48548,2.54641
"hupB",3575.88,3181.55,2005.27,1581.86
"ppiD",4621.99,4156.56,3214.75,2753.54
"ybaV",364.029,431.63,717.567,931.77
"fadM",9.79594,7.43634,10.7162,2.32844
"queC",550.088,586.255,718.701,663.062
"ybaE",66.8008,80.8858,103.79,149.907
"cof",395.449,457.838,458.196,532.174
"mdlA",179.534,202.385,494.456,716.902
"mdlB",204.837,285.781,474.88,874.356
"glnK",104.545,130.604,148.177,381.244
"amtB",149.487,125.132,211.27,355.365
"tesB",1384.8,1405.07,1395.52,1135.46
"ybaY",702.964,506.191,582.897,625.393
"ybaZ",310.88,283.056,507.041,391.526
"ffs",3015.76,2190.23,2995.37,1877.94
"ybaA",675.499,900.81,895.432,1093.66
"pdeB",214.399,272.524,474.244,618.933
"ylaC",3040.42,2705.23,3022.01,2549.38
"maa",3481.98,2242.56,3617.11,2662.1
"hha",7083.02,4861.7,3903.24,2840.49
"tomB",7847.94,6250.7,4058.61,2969.12
"acrA",4436.24,3109.48,3002.35,2560.93
"acrR",1287.21,1223.48,1510.51,1172.71
"mscK",330.987,373.141,940.184,1444.98
"ybaM",7.79993,5.68929,8.50707,7.98161
"priC",709.546,573.087,738.452,647.701
"ybaN",1284.71,1289.28,1051.26,1122.49
"apt",1962.52,1884.78,2286.54,2496.24
"dnaX",1037.52,1167.74,851.614,1043.87
"ybaB",2302.74,2353.92,1643.66,1475.87
"recR",711.041,1220.17,977.23,1035.93
"htpG",6124.41,5656.96,2493.88,1333.14
"adk",3688.62,2905.64,2451.6,1909.78
"hemH",973.152,1006.88,1317.34,1393.14
"aes",99.6214,146.613,311.999,470.174
"gsk",556.822,754.844,941.111,1105.93
"ybaL",1805.92,1585.77,1611.86,1544.22
"fsr",274.372,309.386,519.283,552.339
"ushA",1.53935,4.31148,1.21599,0.543076
"ybaK",330.928,396.893,393.702,403.287
"ybaP",241.043,231.738,425.756,403.211
"ybaQ",4946.88,4379.37,3372.19,2765.57
"copA",8.31997,0.488644,7.21738,0.697195
"glsA",309.766,442.664,423.515,442.582
"ybaT",163.779,226.509,616.487,627.901
"cueR",8.5381,2.71852,7.53337,3.73644
"ybbJ",875.54,686.61,1198.55,924.31
"fetA",462.41,508.564,549.502,517.78
"fetB",400.767,368.845,654.257,703.362
"cnoX",4899.68,3763.25,2342.66,1432.76
"ybbO",1610.96,1767.51,1397.37,1361.02
"tesA",866.783,865.638,1246.35,981.716
"ybbA",2163.97,1791.07,2859.13,1754.64
"ybbP",165.121,186.193,483.497,463.349
"rhsD",6.56502,3.12611,5.13149,3.01533
"ybbC",1.11443,0.965729,0.750847,0.505908
"ylbH",93.8509,189.638,129.689,196.188
"ylbG",379.644,400.441,645.021,649.822
"selU",381.223,338.493,618.437,573.606
"allS",177.434,142.08,158.715,152.577
"allA",159.974,220.506,262.893,232.54
"allR",1951.68,1836.55,2100.18,1577.1
"gcl",11.0212,14.8789,5.99651,1.53929
"hyi",85.4535,120.91,169.83,167.177
"glxR",0.808806,2.3406,0.207089,4.2301
"allB",213.235,340.432,519.159,581.809
"ybbY",61.4949,81.8974,108.073,157.878
"glxK",129.992,119.246,148.543,220.422
"allE",9.2959,1.7216,4.87961,0.476
"allC",3.47232,0.22702,0.146783,0.100935
"allD",71.8625,98.4077,180.421,233.96
"fdrA",30.2114,5.2229,16.7585,11.1983
"ylbF",36.6841,90.9467,140.273,179.774
"ybcF",83.1724,128.258,159.389,221.474
"purK",1190.27,1658.34,930.46,1161.75
"purE",1836.01,2263.41,846.073,1097.36
"lpxH",710.598,574.994,432.511,476.595
"ppiB",3699.4,2955.43,1879.57,1490.39
"cysS",1259.2,1058.15,1121.92,1053.77
"ybcJ",734.331,1099.14,770.104,1235.64
"folD",1515.76,1381.22,1193.08,1265.24
"sfmA",65.6177,101.412,158.161,228.183
"sfmC",32.867,63.4464,188.272,256.638
"sfmD",70.8043,155.646,394.636,470.255
"sfmH",63.7015,132.377,236.82,366.121
"sfmF",62.9834,65.9227,116.98,165.574
"fimZ",71.5428,124.052,162.68,213.412
"intD",0.620933,0.669085,2.18071,1.76141
"exoD",4040.97,4182.4,2618.29,2299.72
"renD",12.1668,28.3254,23.7646,16.1992
"emrE",457.975,443.985,818.997,614.191
"ybcK",109.034,213.312,357.772,435.7
"ybcL",0.711702,7.39159,3.56226,0.32041
"ybcM",0.339745,0.883581,0.405952,0.302562
"ybcN",0.839032,0.26717,3.81357,0.428028
"ninE",79.0135,183.555,286.349,624.502
"ybcO",94.2309,176.139,271.512,556.832
"quuD",14.4944,14.025,7.2097,4.21667
"nmpC",4.08002,2.80036,6.26123,2.40408
"essD",0.348785,3.06287,0.807713,0.0524314
"rrrD",0.290545,2.3203,1.47799,0.423808
"rzpD",456.803,671.791,709.452,439.457
"ybcV",93.9368,148.47,139.149,206.574
"ybcW",1376.65,1506.94,2096.65,2015.86
"nohD",198.062,690.712,1258.49,1469.85
"tfaD",398.243,588.334,1447.8,2011.93
"ybcY",1668.49,1611.97,1614.28,1192.92
"tfaX",87.5684,76.9751,374.588,571.004
"appY",0.812495,0.598135,0.370394,0.0976225
"ompT",7769.15,6519.47,3438.35,2800.99
"envY",58.8534,73.9537,161.776,176.561
"nfrA",144.526,216.8,462.76,718.518
"nfrB",177.391,212.103,425.408,646.016
"cusS",22.2751,10.3189,16.7389,7.23652
"cusR",392.304,632.528,611.166,679.596
"cusC",66.9617,129.848,145.031,198.335
"cusF",3.71202,4.40287,1.92153,0.199164
"cusB",112.248,132.244,222.104,305.55
"cusA",78.1974,129.565,265.589,314.209
"pheP",1.29478,0.820471,1.12025,0.645355
"ybdG",722.849,882.998,902.862,1002.88
"nfsB",1251.08,1591.49,944.925,1017.23
"ybdF",657.32,823.695,670.097,731.741
"ybdJ",686.853,887.391,853.487,777.099
"ybdK",81.0166,101.953,124.988,135.643
"hokE",170.203,346.774,522.095,612.215
"entD",5.23415,0.327257,0.375502,0.429421
"fepA",969.646,1628.37,2253.24,1840.28
"fes",1175.42,1620.14,2074.37,1664.5
"entF",0.711223,1.59301,4.5684,4.33153
"fepE",69.8222,98.846,163.962,320.536
"fepC",3.52205,7.90901,4.02565,0.616213
"fepG",216.359,287.437,398.568,659.76
"fepD",1442.87,2106.24,2479.73,2334.52
"entS",387.819,549.379,1253.38,1453.32
"fepB",588.094,1009.91,774.964,843.056
"entC",1129.94,1535.73,1738.48,1845.12
"entE",1.05349,4.42051,0.25205,5.38191
"entB",500.003,1233.9,415.03,963.166
"entA",350.719,834.989,332.169,702.128
"entH",368.479,743.447,487.21,847.022
"cstA",2405.85,1840.98,1174.49,1194.81
"hcxA",60.0333,52.6086,58.8462,55.4086
"ybdL",244.934,256.516,517.088,589.531
"ybdM",159.782,147.098,189.531,198.473
"ybdN",102.106,139.309,215.803,259.844
"ybdO",89.3817,69.8574,87.428,81.7324
"dsbG",373.535,408.962,401.318,351.979
"ahpC",5304.72,4980.64,2401.33,1863.96
"uspG",4259.33,3467.1,2547.38,1753.89
"ybdR",267.706,300.507,632.582,708.945
"rnk",502.031,474.015,592.054,621.535
"rna",408.48,486.186,478.649,432.907
"citT",56.8597,81.9888,145.24,174.339
"citG",30.3665,78.9831,134.159,169.541
"citX",38.3825,65.4772,47.0512,102.019
"citF",52.1403,58.4999,71.8897,90.9621
"citE",55.8028,78.172,64.131,85.9808
"citD",40.0711,48.7515,56.5209,68.7791
"dpiB",446.901,468.535,793.692,920.699
"dpiA",336.832,496.037,742.239,1039.39
"dcuC",155.28,194.389,352.446,540.856
"pagP",191.777,276.71,384.646,587.116
"cspE",7311.03,5760.36,3409.61,2517.5
"crcB",594.257,602.786,947.735,731.735
"tatE",2840.85,2897.28,2152.76,1850.47
"lipA",2493.26,2232.97,1620.8,1697.27
"ybeF",280.841,242.293,369.709,503.602
"lipB",2036.98,1883.52,1338.91,1202.67
"ybeD",8724.13,6081.86,4284.56,2709.82
"dacA",985.064,954.985,933.522,778.59
"rlpA",804.991,814.598,671.914,669.183
"mrdB",399.595,474.059,554.583,711.191
"mrdA",953.164,937.085,962.125,1237.26
"rlmH",2689.01,2296.55,2265.05,2015.45
"rsfS",4755.33,3187.32,3205.86,2606.8
"cobC",484.722,534.316,769.842,895.644
"nadD",528.301,650.744,836.62,1056.87
"holA",484.085,397.179,627.619,716.139
"lptE",0.394398,0.302759,0.307037,0.574851
"leuS",2410.66,2543.68,2529.61,2317.25
"ybeL",1039.04,741.186,737.151,501.791
"ybeQ",411.136,382.491,791.984,807.426
"ybeR",0.400419,0.421006,3.52198,0.611229
"djlB",1.14612,0.652355,0.951652,0.659295
"ybeT",120.223,168.621,470.294,415.079
"ybeU",148.91,236.51,575.774,715.542
"djlC",109.269,139.201,299.326,507.541
"hscC",164.045,150.354,314.073,334.73
"rihA",409.354,355.233,247.109,297.846
"gltL",613.611,799.13,603.864,968.927
"gltK",359.953,449.127,373.486,555.394
"gltJ",533.267,519.581,431.396,535.539
