"","0","0 | 1","7200","7200 | 1"
"isrC",6.77127,0.462265,0.420561,0.558813
"mcaS",441.515,507.062,692.543,618.215
"prfB",2838.4,3383.08,2496.87,2192.09
"thrL",2447.82,2384.65,1132.79,1010.58
"thrA",2787.66,2754.69,1670.59,2121.73
"thrB",1226.69,1687.58,977.365,1319.35
"thrC",1074.62,1315.91,1096.68,1446.16
"yaaX",395.358,198.273,542.879,521.448
"yaaA",513.759,530.594,522.8,525.224
"yaaJ",154.729,159.988,190.533,214.641
"talB",2300.92,2246.92,1345.23,1388.54
"mog",1575.02,1282.41,1204.96,1171.86
"satP",687.154,717.922,731.719,902.695
"mbiA",77.7233,115.299,124.765,202.998
"yaaW",227.215,250.148,211.506,231.897
"yaaI",81.653,116.801,116.1,143.235
"dnaK",10526.9,7166.87,4493.38,2770.09
"dnaJ",6288.27,4827.35,2981.87,1893.25
"insL1",4.11237,2.01494,7.89996,2.69008
"hokC",768.68,554.069,1224.33,956.028
"sokC",1490.56,815.621,824.194,530.967
"nhaA",4873.53,3493.85,3552.97,2881.74
"nhaR",2502.03,2360.82,2689.96,2552.46
"insB1",27.1837,29.0231,14.579,9.98032
"insA1",0.572123,0.314181,0.630418,0.40335
"rpsT",3283.31,3307.69,2120.42,1991.09
"yaaY",126.535,192.241,275.819,411.738
"ribF",2980.85,3113.16,2187.56,1959.59
"ileS",2361.95,2351.33,2011.55,1983.21
"lspA",4.88138,1.17482,0.220584,0.250155
"fkpB",784.858,791.034,805.451,1175.59
"ispH",548.158,767.918,588.47,1120.29
"rihC",574.908,468.877,329.719,464.058
"dapB",644.557,706.471,479.567,408.389
"carA",5084,3694.3,822.053,1306.04
"carB",2093.01,1961,442.746,931.207
"caiF",504.56,648.536,355.716,477.989
"caiE",129.541,173.236,146.461,171.667
"caiD",136.298,106.753,86.2273,84.0543
"caiC",1.34853,8.37532,6.16901,6.26643
"caiB",6.13465,3.79131,4.27003,3.20376
"caiA",357.879,457.291,544.361,510.81
"caiT",72.3149,125.055,113.776,145.426
"fixA",161.796,154,289.357,394.237
"fixB",165.351,234.809,264.671,458.42
"fixC",108.486,156.473,206.879,381.866
"fixX",78.949,116.783,104.982,180.113
"yaaU",78.2273,122.467,100.873,176.038
"kefF",161.388,265.798,223.038,313.829
"kefC",86.2825,72.8402,170.978,241.499
"folA",880.909,728.983,728.102,730.239
"apaH",345.696,440.555,416.533,417.964
"apaG",1020.69,716.571,688.75,680.985
"rsmA",1270.11,1249.92,939.312,940.625
"pdxA",85.8575,53.9862,39.4912,35.6866
"surA",3306.01,2571.06,2188.7,1697.09
"lptD",1751.46,1315.14,717.375,788.788
"djlA",1338.87,1419.06,1458.72,1359.85
"yabP",4.01687,0.179555,1.48155,0.0861523
"yabQ",26.5798,4.59075,3.48531,9.25023
"rluA",207.037,277.024,365.795,447.612
"rapA",562.777,505.338,546.633,708.871
"polB",0.687662,6.36349,0.785675,0.296874
"araD",43.4534,73.1111,61.9955,88.6528
"araA",63.4847,96.6642,150.605,212.515
"araB",84.8491,82.9504,121.323,147.695
"araC",2020.65,1650.61,1294.42,1264.54
"yabI",49.2891,42.1452,28.0731,32.3771
"thiQ",109.347,162.212,288.566,505.194
"thiP",219.134,266.719,387.944,713.38
"thiB",572.017,536.66,931.607,1278.32
"sgrR",0.573382,2.88608,0.279363,0.18011
"setA",2.29749,1.55458,3.08581,3.99236
"leuD",428.769,581.476,267.079,357.352
"leuC",812.991,954.496,367.864,525.168
"leuB",2.68784,0.712168,0.449077,0.338612
"leuA",1322.93,1548.14,385.605,449.518
"leuL",1702.35,1310.16,1030.91,894.228
"leuO",121.182,139.018,253.925,389.098
"ilvI",0.574144,3.81057,1.29045,4.91079
"ilvH",200.217,289.923,244.182,410.713
"cra",1329.25,913.693,1026.23,841.17
"mraZ",4085.3,4041.87,3326.49,2804.47
"rsmH",2351.21,2137.09,1709.19,1701.03
"ftsL",2180.53,2293.02,1788.68,2106.24
"ftsI",1249.11,1303.17,988.556,1443.14
"murF",342.915,445.758,336.796,642.653
"mraY",500.089,671.171,587.191,902.312
"murD",3.56226,0.428415,0.302894,0.576879
"ftsW",634.884,952.323,721.225,945.029
"murG",1314.84,1410.37,1380.3,1388.6
"murC",924.296,1023.38,1127.59,1480.01
"ddlB",3217.19,3598.92,2519.38,2484.87
"ftsQ",2937.78,3688.4,2133.72,2191.86
"ftsA",3337.49,3405.41,2183.27,2019.57
"ftsZ",3419.44,3175.79,2384.16,2194.24
"lpxC",7946.6,6228.16,4349.35,2987.68
"secM",3275.8,2886.45,2076.03,1899.1
"secA",1608.17,1568.51,1122.28,1305.34
"mutT",408.21,362.866,268.003,392.179
"yacG",1088.74,1133.11,1175.88,1326.37
"zapD",1519.02,1444.82,1393.41,1386.13
"coaE",2241.05,2289.64,1991.79,1679.04
"guaC",924.167,1250.05,1470.1,1595.42
"hofC",117.703,173.872,321.296,342.441
"hofB",3.77221,5.76868,2.37994,1.26777
"ppdD",79.2524,121.072,89.8832,138.269
"nadC",533.512,521.681,443.295,471.412
"ampD",783.837,809.333,506.944,478.282
"ampE",463.814,529.957,481.503,511.993
"aroP",16.0922,9.39158,17.3713,9.8934
"pdhR",3163.68,3069.39,2371.44,2739.93
"aceE",5183.77,4213.19,2107.52,2793.41
"lpd",7860.03,6468.59,4108.33,3095.96
"yacH",32.3573,89.8194,104.994,189.805
"acnB",12.539,17.889,17.4851,10.3801
"yacL",1365.33,1142.48,846.813,849.725
"speD",2732.03,1876.34,1144.59,1069.77
"speE",3166.82,2833.87,1462.01,1332.15
"cueO",40.5686,29.451,30.5283,18.811
"gcd",539.501,586.429,665.771,1003.93
"hpt",2255.41,2112.95,1931.62,1536.28
"can",2643.54,2482.79,1710.6,1574.36
"yadH",641.575,662.648,1166.25,1319.04
"yadI",369.473,486.43,654.827,753.799
"panD",2077.36,1815.61,1519.54,1180.31
"rpnC",3.36117,5.95182,3.27147,3.42558
"panC",1473.88,1286.44,1195.43,1037.64
"panB",1.62197,3.24565,0.281912,0.288181
