"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"intQ",1.28345,7.43566,11.4382,25.8349,15.0548,1.93263,4.22546,1.18716,5.94973,6.62371,1.49538,5.00941,3.93357,1.51004,2.51823,11.5388,7.6495,4.16896,2.85222,0.778995
"rspB",38.1576,16.2885,17.315,12.683,20.2285,34.8708,16.9029,14.988,31.0871,23.9639,13.964,15.6097,35.6664,13.044,21.9087,21.0479,33.0753,39.8726,46.4613,33.6025
"rspA",13.6538,5.31851,18.9693,2.05534,13.3018,23.3003,3.24726,6.69981,3.84781,6.22317,17.7547,4.38577,2.60185,4.11541,12.2625,5.4081,5.3651,4.347,2.51478,10.7729
"ynfA",632.431,697.377,601.151,664.931,580.712,540.064,592.37,753.443,528.038,511.666,727.563,678.021,402.837,681.857,766.329,736.019,615.122,425.628,633.087,710.894
"ynfB",1535.36,1503.39,1847.58,2793.91,2281.67,2590.83,2240.66,2023.08,2509.64,2618.53,2157.33,2798.22,3271.13,3306.26,2101.12,2048.8,2099.12,2555.56,2407.15,1924.96
"speG",1120.49,1105.97,1472.53,1718.99,1488.72,1561.52,1760.55,1863.96,1926.37,2057.66,1741.1,2096.18,2497.08,2180.13,1723.14,1607.82,1753.52,1916.95,1821.3,1550.05
"ynfC",682.961,633.573,689.654,636.704,593.469,619.226,548.483,646.527,652.31,595.983,654.769,499.006,751.312,651.437,533.871,568.768,622.888,721.745,529.248,566.924
"ynfE",480.179,524.461,510.998,418.223,423.756,499.341,425.256,452.927,990.21,816.474,432.144,376.208,1187.1,1050.47,494.143,525.429,1111.84,1264.96,819.765,809.206
"ynfF",608.909,659.226,635.808,558.082,530.266,670.395,450.353,564.355,1039.86,1073.55,603.722,445.992,1607.91,1680.3,581.303,604.614,1470.37,1959.99,832.264,757.495
"ynfG",413.43,399.77,461.907,397.269,357.99,387.937,437.857,398.4,665.742,551.339,342.726,365.048,1054.58,836.536,407.472,381.967,865.787,1012.48,544.961,475.542
"ynfH",454.213,500.477,605.842,462.482,422.839,489.057,613.312,582.701,667.439,729.917,619.838,594.166,961.753,790.729,656.15,594.919,860.662,763.977,700.064,754.476
"dmsD",812.077,820.021,899.338,903.201,943.047,925.734,922.659,981.547,1015.18,1004.34,936.276,931.053,1215.46,1067.61,1057.93,1059.21,818.327,856.826,1175.21,1037.73
"clcB",707.464,702.11,817.695,754.351,722.399,569.022,848.05,894.595,656.88,684.6,952.27,976.567,437.255,512.048,981.953,965.232,493.15,457.615,1040.85,1067.72
