"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"isrC",2.16646,2.39601,1.97973,4.30405,1.13513,8.99805,0.693709,3.49178,2.87535,2.46793,2.41049,1.3876,19.3976,0.84307,14.1486,1.15587,2.14748,0.809147,1.49596,1.63248
"mcaS",594.039,575.468,550.949,601.975,598.718,589.646,479.195,557.072,444.595,498.447,497.574,457.357,355.036,394.729,470.384,480.785,409.434,362.084,508.001,500.615
"prfB",2416.22,2408.52,2344.53,2602.04,3346.99,3325.99,2625.57,2564.32,2735.29,2825.93,2800.71,3341.94,2223.47,1957.37,2590.75,2771.19,1228.17,1296.75,2481.85,2475.05
"thrL",470.751,228.209,252.832,412.018,485.223,332.386,265.016,213.462,250.44,255.62,437.424,272.984,285.019,358.559,376.442,371.795,518.032,572.445,488.865,539.512
"thrA",1126.28,1146.2,973.566,945.392,1016.44,1048.02,1021.67,935.86,778.568,760.504,971.218,927.777,537.101,716.877,1001.95,914.203,882.997,940.921,1204.71,1069.18
"thrB",870.937,849.025,847.989,675.051,727.261,921.685,876.84,778.962,627.389,590.098,806.22,711.549,694.596,710.372,797.504,812.699,867.774,895.664,919.732,1033.4
"thrC",779.125,884.395,771.196,654.338,821.741,808.549,783.934,723.947,634.17,611.431,717.822,748.744,632.24,609.314,699.304,758.152,791.908,864.037,835.156,876.827
"yaaX",760.553,751.932,747.521,717.6,783.85,835.131,702.756,722.725,633.883,683.706,663.025,612.578,661.873,732.258,688.545,654.14,778.542,989.146,751.494,614.944
"yaaA",523.806,567.643,527.14,437.253,498.635,582.083,448.951,440.9,441.836,524.965,427.338,397.289,420.528,516.863,377.019,379.222,562.322,632.133,357.843,442.039
"yaaJ",504.528,468.756,499.271,389.499,441.365,521.934,399.435,473.794,441.208,490.838,393.521,306.478,458.083,464.242,336.274,362.157,632.126,421.291,361.712,483.263
"talB",1220.23,1356.47,1281.75,1484.51,1519.48,1564.97,1364,1314.2,2245.02,2127.13,1547.94,1911.46,4126.65,3768.15,1815.15,1738.37,5325.26,5847.27,2408.87,2108.7
"mog",946.425,986.604,1085.22,1096.68,1084.69,968.552,1198.11,1217.84,1066.51,1022.8,1254.4,1168.98,1125.61,1124.57,1085.51,1172.16,1021.67,1160.31,1465.85,1207.02
"satP",1198.62,1131.6,611.113,624.002,1575.97,1322.79,663.369,803.894,677.898,733.701,853.451,697.45,501.567,530.051,814.476,840.289,596.96,408.997,761.474,797.177
"mbiA",459.683,445.347,499.329,409.666,405.583,398.992,390.172,453.724,393.47,399.59,369.815,304.4,306.116,365.94,316.989,355.184,497.472,422.366,366.758,416.989
"yaaW",687.106,651.212,675.82,594.605,619.857,725.815,669.486,638.899,598.49,631.869,614.926,624.981,547.237,680.773,549.874,602.5,938.275,801.418,641.01,635.798
"yaaI",506.408,562.48,501.826,448.859,405.884,445.626,492.466,418.171,429.844,487.154,445.335,414.498,346.504,442.606,410.93,355.037,552.589,472.21,375.074,419.419
"dnaK",1059.54,1011.93,2597.68,3142.22,997.491,1108.72,3112.08,2864.01,1021.67,924.547,3097.88,3567.54,1587.52,1631.57,4332.95,3833.97,3805.63,4696.15,6301.13,5502.38
"dnaJ",886.593,821.802,1620.04,1864.52,646.482,817.125,2041.41,2023.84,734.501,680.972,2081.7,2026.19,770.632,833.707,2525.86,2261.25,1373.59,1430.7,3738.98,3137.23
"insL1",2.59882,12.8383,17.6757,7.83969,6.49944,18.2953,13.1724,5.29533,36.4791,17.5956,13.6379,9.87096,46.4257,5.98154,28.1874,25.2005,35.07,14.2224,28.5671,23.4579
"hokC",1248.61,1576.87,1174.34,1264.09,1541.98,1263.33,1055.23,1397.88,1362.4,1038.09,1372.45,1360.15,1992.52,1707.3,1480.98,1379.54,2567.8,2723.08,1743.72,1544.86
"sokC",656.223,828.766,738.091,740.97,753.552,525.434,659.887,875.566,672.013,475.688,852.66,664.263,855.262,522.017,1104.76,1015.86,1552.63,1166.93,2129.69,1610.94
"nhaA",712.727,709.134,823.515,869.721,822.181,760.791,934.969,885.922,676.686,662.847,1001.58,1049.41,730.318,687.879,1052.35,1007.91,859.687,975.479,1088,1039.62
"nhaR",762.243,762.328,808.123,847.618,792.741,695.837,1040.09,1056.33,550.725,697.709,1160.37,1142.79,579.123,601.26,1203.11,1072.6,922.569,515.66,953.322,1148.5
"insB1",47.0564,36.6786,40.3353,52.3638,55.5935,30.7997,43.5703,35.8226,94.3632,77.4574,37.7923,34.4215,55.8235,33.6835,61.7636,60.9116,78.9862,30.8355,58.0051,57.7457
"insA1",2.1397,0.947135,5.90086,2.62072,9.4059,17.318,8.08183,0.635459,12.7052,2.0821,0.716857,2.02995,4.23802,2.94776,2.70855,1.2902,5.83061,16.0148,5.62906,0.855206
"rpsT",3064.6,3327.52,1601.22,2282.84,5226.8,5362.1,2492.23,1868.37,4337.73,4466.77,3013.8,3782.23,3915.96,4430.85,3059.91,3185.7,1532.41,1904.9,2214.47,2629.22
"yaaY",256.007,300.271,360.017,300.991,247.399,227.829,305.432,281.306,211.832,240.131,301.186,273.883,204.106,143.718,326.456,294.545,323.438,240.831,305.255,332.033
"ribF",1140.46,1238.89,1229.57,1428.45,1324.49,1093.48,1397.34,1367.33,1357.14,1203.54,1517.25,1640.46,1624.51,1470.52,1680.2,1544.94,1219.96,1347.23,1497.6,1277.17
"ileS",970.431,933.515,954.711,960.49,1284.04,1533.72,1132.9,1144.49,1360.66,1251.38,1257.01,1346.99,1427.45,1425.9,1357.81,1470.69,1100.51,1259.51,1571.15,1374.74
"lspA",2.92511,1.89905,1.92506,1.05723,0.73992,1.78995,2.47815,2.35187,2.92276,5.43803,10.7976,1.11697,19.2086,18.9847,1.75401,7.39483,2.69566,7.2531,1.75863,1.18342
"fkpB",970.09,1013.88,870.068,962.258,1167.51,1441.98,1164.09,1189.71,1184.22,1171.53,1376.2,1299.54,1079.83,868.477,1386.58,1479.01,669.717,744.14,1615.55,1441.29
"ispH",864.287,941.487,735.261,827.236,1192.26,1095.12,985.369,1162.03,868.678,864.678,1118.95,1199.97,911.201,857.129,1319.12,1286.3,693.924,795.805,1153.71,1159.82
"rihC",911.707,946.22,1159.3,1245.92,854.147,947.331,1081.76,1126.87,863.515,810.558,1006.69,1002.89,939.145,975.997,858.795,776.402,1151.89,1202.43,844.162,766.502
"dapB",536.978,543.225,538.536,547.608,580.782,538.947,577.775,560.094,596.198,620.082,568.246,439.007,856.662,782.201,523.4,522.269,1133.01,1137.03,486.172,552.101
"carA",783.469,725.941,432.628,393.429,499.322,565.704,391.525,375.293,525.906,559.486,327.81,313.849,513.079,623.998,309.448,261.454,527.482,557.648,301.951,343.365
"carB",590.059,636.345,463.398,318.77,395.977,567.082,349.744,352.463,410.814,449.615,307.095,302.841,361.114,475.237,267.738,358.811,533.368,550.958,353.078,320.329
"caiF",742.962,689.184,666.157,579.618,548.707,604.063,540.39,604.05,937.633,771.6,436.079,443.379,2196.24,1614.22,458.976,411.696,2803.28,2747.61,534.383,608.905
"caiE",817.979,725.719,697.19,682.599,738.261,743.657,667.337,631.687,580.203,733.216,468.222,467.72,520.548,659.192,535.207,545.495,782.757,857.629,715.831,499.922
"caiD",523.011,488.754,543.667,489.557,459.065,457.701,444.91,437.923,445.545,423.834,388.356,388.981,297.768,427.802,355.741,355.688,558.961,682.712,460.858,458.303
"caiC",59.2635,69.5137,47.0758,60.5766,42.9606,34.0578,30.8303,17.647,69.8198,49.693,36.7432,26.6839,56.6045,52.7077,36.8476,52.0947,76.3652,38.6807,88.8139,87.0737
"caiB",31.4686,18.0346,40.5604,28.9214,25.8834,12.5605,40.2568,24.3023,20.0482,30.8876,19.5005,37.9921,51.8712,28.7554,58.0836,63.5947,35.8805,45.2656,78.8865,40.1159
"caiA",655.388,642.517,695.505,736.567,617.207,688.688,742.509,761.421,603.486,649.741,741.402,721.582,728.626,762.213,805.439,772.083,1031.22,1220.46,816.663,851.26
"caiT",711.17,697.363,735.067,531.838,573.068,562.209,613.539,568.852,643.998,588.95,517.281,462.283,612.196,606.374,413.045,440.671,905.877,804.218,413.906,485.655
"fixA",383.547,398.9,351.934,435.931,374.425,445.766,361.419,319.918,363.332,301.875,261.703,225.216,450.265,458.965,182.605,225.569,488.154,781.025,277.909,229.818
"fixB",521.726,575.396,541.431,448.765,378.978,435.268,444.948,394.648,548.604,574.839,367.088,354.948,584.353,748.942,382.507,409.072,926.804,961.316,352.553,329.657
"fixC",670.943,693.532,613.598,505.723,564.915,556.614,573.053,611.077,561.665,576.192,471.663,450.506,586.11,625.313,414.209,402.929,926.436,950.925,366.24,455.821
"fixX",613.539,614.672,491.858,405.361,492.353,537.305,463.512,500.094,414.076,474.363,423.755,397.241,490.306,538.468,365.994,341.937,839.658,656.672,313.051,419.443
"yaaU",418.785,589.661,473.182,411.024,417.192,430.463,495.761,517.504,328.204,435.193,401.353,344.37,310.179,363.875,370.828,419.443,450.786,466.931,336.953,429.24
"kefF",569.631,581.099,584.169,491.722,525.273,406.569,514.251,538.22,437.767,502.529,498.586,412.603,461.502,472.432,432.767,487.165,679.681,591.169,479.925,513.874
"kefC",492.756,499.881,490.967,411.448,443.013,534.776,454.877,481.509,370.168,442.369,399.538,357.176,360.393,379.931,335.28,332.939,593.869,581.17,315.249,390.821
"folA",1221.84,1318.11,570.013,574.346,1920.82,1801.11,639.547,620.551,1436.66,1732.48,616.596,662.149,1231.97,1460,499.951,490.451,671.067,960.489,458.349,462.259
"apaH",541.949,621.926,684.079,636.635,760.897,910.874,732.141,835.786,885.147,901.359,734.493,650.78,847.216,708.013,783.853,814.944,634.855,494.317,841.386,879.041
"apaG",919.567,792.5,1014.83,1179.1,1319.54,1244.47,943.27,1044.26,1682.1,1449.9,920.207,821.613,1540.61,1380.49,1114.06,1041.63,876.883,996.813,1211.31,1090.4
"rsmA",939.015,1065.14,942.794,1178.25,1556.65,1871.14,1009.97,1037.8,1973.35,1848.6,1087.62,1034.93,1997.25,1605.21,1191.86,1210.6,1060.85,1004.2,1596.2,1322.26
"pdxA",83.5254,107.419,42.8044,51.6133,88.3722,82.4445,42.6546,84.4549,194.57,136.756,58.1382,34.5535,192.168,124.952,83.8595,63.3971,134.175,95.5215,84.9936,108.214
"surA",1393.32,1429.57,1178.54,1337.64,1797.78,1667.36,1285.97,1227.59,2248.99,1879.98,1192.64,1183.03,2297.62,2092.9,1671.41,1431.62,1956.38,1916.7,1751.17,1603.5
"lptD",730.268,731.227,742.66,883.42,959.955,1106.08,780.079,870.721,1212.59,1058.9,862.826,727.453,1317.59,1401.96,1075.41,1135.51,956.83,1540.44,1140.96,1076.5
"djlA",855.57,865.666,861.935,847.257,938.993,972.41,840.047,740.353,964.374,955.058,789.313,801.063,925.662,858.486,710.367,813.778,927.213,868.078,771.041,740.561
"yabP",15.231,11.8896,2.22798,2.39922,0.545447,23.8826,17.2775,8.35895,13.8952,6.33338,3.78493,0.253927,11.6545,21.5026,13.5681,0.732632,3.1226,12.1685,10.6222,1.22666
"yabQ",56.8791,39.1899,3.48314,24.1278,8.8519,35.0686,30.4049,12.3109,41.3109,14.5912,13.6332,5.92289,51.3109,8.30788,6.28362,31.0154,6.62041,41.8058,13.0324,3.61312
"rluA",1238.81,1256.65,669.263,690.019,1601.41,1614.27,686.572,776.047,795.722,1266.12,836.905,794.763,566.196,506.924,795.808,743.894,572.735,652.947,939.051,884.756
"rapA",1534.44,1472.7,740.111,783.065,1757.08,2027.76,908.924,856.519,989.791,1354.15,796.309,895.462,541.803,680.637,1012.14,892.86,605.28,714.001,1216.23,1110.77
"polB",1.44374,18.6793,10.456,1.94236,1.83779,4.32034,9.74705,11.1531,3.1098,1.14646,8.69931,10.2643,3.90684,3.99398,9.03946,1.5912,1.25628,2.9338,4.19333,12.4653
"araD",476.56,474.265,485.074,406.068,421.958,484.212,381.68,429.084,342.641,417.713,348.085,317.544,273.195,338.044,306.307,312.951,580.992,560.836,324.779,352.263
"araA",497.261,611.381,566.606,478.264,494.046,576.016,478.057,460.694,437.174,591.464,404.531,437.173,502.358,456.157,356.666,403.109,866.807,949.145,418.457,439.493
"araB",481.389,534.776,451.928,446.551,499.797,490.736,435.185,420.208,473.997,455.151,368.409,400.26,388.391,482.96,286.521,338.608,634.823,822.521,359.787,415.757
"araC",537.739,489.405,507.999,520.332,373.885,495.61,475.888,469.679,436.207,511.512,409.131,380.665,397.538,546.213,347.809,366.077,872.028,1163.78,443.346,482.775
"yabI",65.7502,66.5613,34.557,66.5647,34.1652,56.5571,50.6578,30.0423,73.2138,64.2876,36.5719,25.0182,45.1553,42.0431,35.3018,33.3945,77.4776,90.6776,61.4553,44.7074
"thiQ",495.159,427.426,502.888,356.34,393.996,424.62,432.275,479.945,438.646,380.574,408.468,326.085,319.973,378.856,368.697,394.924,520.38,466.141,410.857,447.214
"thiP",562.265,573.783,594.205,452.145,485.534,473.015,625.796,499.325,460.942,562.251,502.638,464.913,296.638,454.656,442.902,463.975,568.94,494.769,456.575,532.357
"thiB",526.088,525.432,561.422,517.888,495.358,443.8,576.595,607.013,523.931,369.965,483.184,511.157,289.31,316.408,490.913,486.172,406.196,371.645,446.557,500.406
"sgrR",7.54671,3.30342,2.04335,0.555427,11.55,7.36404,9.51788,7.05749,21.4683,6.87275,9.91899,9.91424,13.1171,7.27599,23.5964,8.66838,1.53353,1.38762,12.0489,6.56806
"setA",13.0585,20.8219,5.06194,4.22482,3.69106,17.8769,12.6035,16.1575,5.32449,2.26546,5.2181,6.5258,5.87217,26.9836,1.85497,22.6769,3.37753,15.0346,5.91171,17.7879
"leuD",700.753,792.738,627.341,593.061,749.047,805.473,749.629,747.572,692.001,682.493,739.863,721.461,421.817,476.894,666.253,799.655,724.925,706.136,964.488,860.566
"leuC",944.329,834.635,823.914,740.445,773.616,792.247,1004.61,910.496,619.399,682.328,895.443,861.894,426.922,526.837,940.031,952.11,699.255,637.745,1168.22,1090.17
"leuB",1.45953,1.8941,1.53004,1.51054,1.45529,1.67234,1.5584,1.40081,2.70591,1.68192,1.37958,0.924369,2.05408,2.25975,1.91863,1.96206,3.33596,2.58425,2.01918,1.18575
"leuA",712.792,628.818,725.075,686.347,562.987,662.506,754.057,744.706,512.229,560.212,673.542,677.642,336.208,463.963,714.062,719.265,662.492,656.961,896.514,840.907
"leuL",414.874,417.556,441.507,326.107,341.892,277.341,373.176,340.232,276.607,361.756,314.286,281.345,250.732,256.869,296.751,255.451,467.778,312.134,234.154,361.503
"leuO",518.88,503.503,453.121,414.766,389.748,505.325,375.688,367.054,361.95,421.363,381.299,391.678,303.981,368.082,277.686,333.709,534.722,478.278,235.587,333.23
"ilvI",1.24682,23.9676,1.00275,1.70644,16.2156,1.69779,2.15235,1.61733,2.89722,25.1447,12.7905,10.2689,13.4732,3.55293,16.4561,2.38803,2.13072,11.6866,3.75586,2.28197
"ilvH",561.954,507.111,505.915,381.514,430.446,533.649,465.104,491.801,455.066,508.318,433.274,422.164,499.531,509.754,442.431,453.65,694.749,699.016,474.454,524.067
"cra",804.386,880.812,1043.73,1050.33,882.225,868.712,954.622,921.268,1844.76,1520.81,998.952,934.729,2414.82,2050.87,993.523,968.111,2172.89,2881.46,1072.68,975.337
"mraZ",1248.96,1165.1,1358.58,1369.24,1706.84,1629.39,1489.2,1540.3,1757.39,1449.6,1589.93,1817.22,1996.38,1885.13,1729.39,1891.91,1713.34,1957.78,1647.64,1575.86
"rsmH",1125.74,1164.37,1377.78,1459.84,1571.55,1508.26,1467.86,1355.97,1394.21,1411.65,1590,1731.27,1695.06,1628.41,1684.43,1569.08,1568.56,1785.41,1454.94,1490.57
"ftsL",1107.34,1173.41,1457.69,1691.31,1469.17,1503.71,1626.88,1542.15,1372.68,1287.93,1665.06,1757.2,1716.8,1467.62,1979.06,1754.21,1839.29,2052.65,1734.58,1590.3
"ftsI",973.662,1180.7,1318.22,1225.62,1153.69,1273.84,1406.09,1306.94,1242.16,1098.89,1393.17,1355.44,1251.66,998.616,1710.78,1482.77,1581.05,1556.5,1476.69,1370.33
"murF",533.045,658.11,578.861,634.43,891.27,929.899,750.955,608.721,1131.05,1012.06,627.838,581.21,1119.31,898.909,817.068,805.227,1060.13,919.407,1015.31,949.264
"mraY",931.919,1080.19,1002.27,969.419,1333.31,1664.99,1291.42,1091.53,1739.89,1595.13,1275.37,1177.99,1773.02,1662.23,1439.87,1378.97,1827.37,1994.13,1833.07,1650.86
"murD",3.1568,17.9563,1.68958,11.7504,3.4601,1.01512,6.96438,8.60335,12.2938,3.90042,5.13382,1.04837,11.9504,3.32745,7.85811,0.923809,6.74152,7.86989,6.71331,4.1925
"ftsW",657.116,865.698,873.382,986.367,1055.42,1050.3,1250.8,1262.57,1407.03,1255.2,1323.18,1226.36,1415.37,1188,1359.66,1348.7,1489.54,1403.18,1934.13,1797.49
"murG",1126.17,1171.85,1149.29,1203.97,1447.85,1700.51,1517.4,1611.3,1696.57,1570.56,1600.47,1530.23,1929.37,1134.62,1497.06,1884.27,1826.43,1556.14,2433.16,2206.63
"murC",1011.02,1110.32,1021.76,1147.87,1367.87,1265.48,1489.19,1491.35,1980.69,1625.04,1556.57,1585.65,1700.93,1638.93,1659.12,1553.14,1841,1924.91,2145.99,2013.69
"ddlB",1217.9,1382.71,1139.93,1375.24,1681.22,1636.53,1771.47,1918.21,2070.82,1854.63,1971.66,2158.52,2251.6,1879.31,2118.54,2088.95,2376.43,2485.14,2736.53,2477.93
"ftsQ",1270.78,1322.93,1323.47,1569.38,1645.57,1683.76,1768.74,1831.11,2313.09,1889.21,2056.83,2353.57,2475.68,2230.95,2268.18,2117.11,2413.61,2662.16,2993.95,2384.1
"ftsA",1096.25,1242.52,1241.69,1411.47,1433.22,1624.29,1489.43,1658.65,1837.93,1657.31,1815.53,2039.56,2071.13,1992.46,2055.11,1899.44,2254.05,2638.09,2655.35,2132.9
"ftsZ",1346.53,1402.95,1324.44,1632.85,1705.75,1827.46,1505.46,1755.76,2194.74,1959.57,1931.79,2068.02,2979.97,2547.56,1982.18,2160.55,3120.76,3854.89,2768.68,2401.53
"lpxC",2507.27,2790.46,3802.51,4958.63,3332.88,3618.08,4410.05,3743.46,2956.01,2665.97,4631.32,6333.15,3960.87,3533.41,5711.05,5593.96,3892.31,4374.28,6377.31,5538.28
"secM",1661.02,1623.81,1763.25,2129.31,1824.01,1674.74,2369.31,2121.18,1536.19,1629.4,2551.54,2788.15,1674.45,1560.94,2962.82,2883.77,1335.08,1580.27,2777.44,2325.78
"secA",1176.03,1286.35,1105.65,1327.55,1604.78,1564.53,1452.92,1454.83,1360.31,1248.93,1564.02,1801.31,1354.47,1296.29,2159.15,2110.52,1383.24,1364.71,2444.01,2168.69
"mutT",629.333,646.078,556.233,556.959,700.915,530.172,693.658,652.56,587.69,624.825,609.462,569.305,434.945,436.035,749.594,691.711,521.919,508.646,592.951,671.409
"yacG",1143.45,1275.79,1184.38,1180.07,1283.34,1207.25,1154.37,1283.08,1200.3,1263.54,1285.3,1310.31,1131.42,1190.31,1358.65,1230.35,1202.22,1286.98,1279.14,1118.69
"zapD",1032.32,1249.04,1071.47,1157.51,1183.91,1139.53,1186.32,1204.57,1267.49,1183.55,1242.39,1300.11,1103.93,1168.5,1180.96,1179.42,1149.39,1268.57,1191.7,1117.39
"coaE",1063.91,1148.91,1133.31,1295.44,1140.37,1217.2,1196.79,1119.34,1149.97,1211.71,1174.06,1470.67,1192.76,1224.25,1128.92,1153.42,1132.06,1345.19,1046.56,1062.15
"guaC",794.248,915.312,811.085,812.949,702.036,785.287,868.53,919.018,704.926,735.246,1114.54,1169.6,720.829,776.199,1097.05,1127.95,715.609,792.377,1069.32,1124.79
"hofC",566.903,573.229,632.237,521.58,596.876,523.623,562.421,671.065,559.861,539.338,580.195,506.642,525.487,533.123,597.962,585.311,818.635,872.619,590.099,623.272
"hofB",22.1787,51.3332,6.74007,5.73649,12.4443,2.43798,27.2604,22.3102,52.6826,51.1151,10.446,12.8265,31.2264,11.2313,10.9385,8.6144,38.752,28.9805,27.7529,20.1394
"ppdD",563.121,567.218,530.151,455.321,478.829,488.944,481.599,458.066,438.99,504.038,371.896,362.778,390.048,428.269,352.959,387.59,525.424,681.92,399.359,441.611
"nadC",649.024,615.072,551.798,570.5,639.577,572.169,499.635,491.625,606.303,619.114,437.892,443.353,657.839,637.156,429.824,430.53,739.623,651.952,463.751,461.844
"ampD",433.104,518.555,747.491,647.609,446.946,559.942,677.078,550.833,714.583,678.036,557.71,547.873,801.081,719.851,525.274,533.573,1012.3,860.64,587.671,614.178
"ampE",670.533,702.864,817.869,792.256,559.582,603.844,730.27,737.411,621.884,671.126,592.343,541.201,631.635,688.615,588.116,633.702,932.583,922.315,712.336,725.07
"aroP",22.7063,3.75101,12.9318,16.7234,17.6925,7.19488,31.8088,3.34824,5.6238,30.3392,4.7736,0.918711,9.15221,31.4285,20.6275,19.9367,12.2727,2.21651,7.28825,21.8888
"pdhR",1841.38,1266.6,2724.74,3343.91,798.028,761.86,2753.33,2373.02,611.206,669.116,2949.69,3542.32,847.964,909.112,3499.74,3403.45,2523.38,2778.65,3308.44,2806.35
"aceE",5427.18,4894.33,4631.5,6381.81,2997.51,2271.97,4857.65,4505.19,1855.16,1788,4782.7,6001.12,3590.81,3680.8,5814.6,5529.83,7367.22,8847.84,6664.22,5592.6
"lpd",3621.48,3947.97,3602.04,5012.2,3451.04,2790.53,4639.86,3890.7,2060.63,1944.28,4581.22,5701.21,3937.17,4044.47,4890.36,4896.74,5280.83,6050.93,5626.37,4913.16
"yacH",504.873,451.578,507.036,466.759,373.987,506.954,601.071,615.357,368.749,473.808,595.935,460.461,262.129,446.353,433.37,436.447,522.223,509.097,504.23,558.368
"acnB",57.31,53.3702,45.4827,43.1185,43.5938,38.4865,19.9197,15.6112,57.2693,51.0718,33.9147,36.5616,71.6478,27.8099,38.9579,35.2149,55.9222,47.2551,67.8775,25.2684
"yacL",546.554,554.862,737.447,683.218,412.699,421.314,781.342,712.491,651.227,641.479,684.67,659.01,747.185,556.222,637.155,602.251,1016.57,1107.61,599.996,433.551
"speD",2696.99,2116.01,875.583,876.819,2671.09,2411.54,696.764,962.235,1509.1,1598.5,855.869,835.049,880.343,829.752,897.769,950.205,849.278,817.393,862.73,962.646
"speE",2306.61,1986.58,959.757,981.685,2362.39,2282.11,990.012,1070.27,1446.61,1658.43,1072.66,1114.51,948.697,994.6,963.714,1016.29,874.777,912.873,999.875,1061.2
"cueO",111.788,81.0065,124.71,105.152,119.014,102.792,95.2005,148.776,109.464,107.527,103.08,82.4124,142.132,102.233,103.98,109.516,151.489,123.457,185.273,114.845
"gcd",591.076,610.317,1109.77,1439.56,569.045,549.323,2100.72,1832.93,457.924,543.342,2387.38,2641.83,350.447,413.589,3233.95,3324.9,545.887,520.58,2323.77,2708.94
"hpt",1241.71,1303.03,934.607,1082.59,1714.62,2012.3,973.145,1058.83,1463.22,1456.13,1327.04,1281.67,1166.95,1294.25,1503.19,1467.27,857.99,762.409,1465.25,1408.23
"can",539.609,533.372,618.329,645.122,594.039,503.793,646.787,601.186,505.39,599.823,714.845,724.149,524.364,535.012,939.793,1033.65,631.01,607.24,791.062,1015.88
"yadH",639.005,788.578,849.841,789.345,659.136,833.108,1048.66,1124.28,688.392,739.998,1205.02,1214.17,600.077,565.092,1553.71,1625.59,675.738,721.477,1461.74,1491.77
"yadI",564.864,620.732,983.731,904.372,537.422,688.678,956.457,928.164,1435.63,1119.75,919.997,934.216,1801.62,1408.68,1296.88,1225.81,1430.35,1607.68,1271.34,1250.62
"panD",1095.76,1215.84,794.282,1009.59,1199.41,1279.97,950.078,842.982,1146.57,1216.16,933.893,1130.48,1472.69,1538.39,918.826,906.019,1283.29,1621.98,877.621,865.271
"rpnC",25.8233,31.0378,13.4818,18.6431,22.1626,24.9125,41.9852,34.9018,7.01541,24.4877,30.8623,32.6917,15.1083,46.1904,46.6696,81.8356,31.9221,47.0725,57.7275,43.322
"panC",978.662,1039.21,972.911,868.631,1232.17,1132.55,1052.69,1148.48,1337.83,1259.79,1346.57,1484.02,1624.13,1576.79,1482.3,1560.21,1707.92,1924.28,1592.32,1555.37
"panB",12.0795,2.15347,21.1342,8.28692,1.38871,1.4488,11.3045,1.99376,5.12539,31.0677,2.3329,1.89228,6.41603,15.5539,5.36488,2.16971,5.2303,2.18342,3.20561,12.693
"yadC",3.9839,1.11949,15.6903,17.0901,2.79724,1.7303,1.05651,2.00982,1.56043,2.07977,1.17068,0.855932,2.82272,1.92109,2.41061,1.89873,2.08509,3.63935,1.11866,0.975616
"yadK",9.30088,1.41544,1.41782,15.8326,25.0221,3.33202,22.5655,1.1278,2.19022,5.59125,13.3893,1.40041,12.1548,16.2525,15.7686,5.85897,6.52809,14.8187,20.6455,1.70945
"yadL",1.90485,3.64543,2.00819,1.03903,4.74125,2.54859,2.26476,2.71882,2.3091,2.15908,2.25321,1.52519,5.31765,2.57146,2.19665,1.73217,6.00214,11.0723,5.22258,2.72445
"yadM",5.11594,1.18911,8.60695,1.36028,1.95018,16.772,2.9418,3.83039,2.20422,13.6107,9.76325,6.96428,3.33727,1.97089,4.11872,1.55722,10.6587,1.49387,14.9504,8.30333
"htrE",26.6395,13.0176,8.90974,7.40639,13.613,3.8457,2.92631,9.75992,20.0795,16.0849,10.2862,2.49399,1.55973,10.8994,1.93726,5.64879,41.6467,3.95848,14.8866,8.29411
"yadV",21.407,4.58225,2.57479,31.3033,2.24471,20.9008,1.24848,2.78692,1.96056,4.24584,1.05496,1.90067,36.2254,7.1273,3.41797,23.7529,19.5086,2.10883,11.6109,5.98836
"yadN",11.6107,29.7853,25.1239,2.0271,16.2936,9.49532,19.5975,22.4379,19.1832,23.8991,26.5766,20.1186,14.215,63.9258,19.8074,6.96994,44.8593,4.4829,26.623,28.1829
"folK",15.3463,3.0386,20.3177,34.3888,42.2982,15.6339,23.8853,10.9886,21.1564,11.1949,30.5757,12.6492,32.8377,26.6701,36.8267,9.35322,3.79252,27.8156,19.9037,28.3586
"pcnB",1780.02,1819.8,1046.24,1029.11,2527.13,3001.73,1131.56,1078.87,1896.74,2145.07,1317.59,1425.15,1354.21,1502.17,1395.62,1406.29,1014.41,1111.11,1395.17,1402.18
"gluQ",52.5434,66.8112,39.5647,28.8317,32.1772,10.6151,39.8999,6.65869,44.5078,61.0201,46.1828,46.324,49.8609,27.2941,27.6556,60.8543,102.305,55.7325,70.9759,56.3247
"dksA",1619.23,1744.97,1032.93,1056.71,1851.86,1775.29,985.82,1056.39,2037.02,2048.84,1252.35,1227.04,2593.68,2712.4,1313.01,1269.1,2875.45,3347.23,1153.39,1303.95
"sfsA",592.267,591.224,863.516,684.701,634.835,477.337,800.846,659.943,1398.82,1155.73,691.401,717.684,2179.09,1799.96,706.421,615.12,2589.01,2730.19,802.07,841.084
"thpR",410.896,476.457,415.393,302.032,397.301,345.575,342.998,325.428,515.749,471.149,349.311,289.33,440.196,461.28,333.323,369.831,509.667,435.564,300.812,403.835
"hrpB",1.8611,13.5563,23.039,24.1384,0.864397,52.0034,3.52139,1.20854,10.3129,36.1705,0.889454,1.12971,7.51236,6.32077,14.7877,3.27765,3.96039,7.02443,28.6944,11.9104
"mrcB",693.693,757.09,624.55,921.787,815.046,856.911,703.805,796.263,786.234,805.547,799.137,918.622,948.782,881.283,928.835,858.757,1000.32,985.17,962.3,850.233
"fhuA",806.372,784.415,1092.92,1273.33,1142.35,1255.24,1168.85,1044.81,472.491,513.521,1024.51,926.362,323.559,448.115,918.859,976.303,542.794,620.816,779.96,882.312
