"","0","0 | 1","0 | 2","162000","162000 | 1","162000 | 2","0 | 3","0 | 4","162000 | 3","162000 | 4"
"cadB",145.9244821,111.2011872,55.82157805,90.41869441,77.95343113,235.3621624,98.50518789,139.0505292,117.5256293,199.7610792
"sgbU",214.4474397,248.3324057,71.4040963,110.8114732,143.9878861,457.939159,213.9301581,221.5527566,147.1601784,318.3215718
"narY",175.0525334,256.2200846,116.356369,121.6033078,108.5434335,165.3539949,167.8018468,139.6544624,124.6796283,119.0170203
"yhfA",3506.090014,3381.843339,3461.184358,4314.533412,4546.839555,3705.948284,3250.992021,3082.56418,4533.049926,3703.330612
"ynaI",643.2340356,778.7209296,512.7795355,574.8737279,659.7164734,292.012606,742.5181411,673.0161633,542.4589456,380.7779281
"cca",1495.632961,1890.03322,1759.126657,1510.482297,1894.885187,1574.369302,1573.917968,1259.328109,1899.81425,1561.730692
"alr",3675.786377,3454.472882,3115.655714,3639.076295,3251.369184,2944.872563,3036.926917,2598.888641,3221.646651,3116.814354
"dolP",3302.083558,2903.771572,2553.417407,3502.226723,3608.30674,3291.62416,3011.652843,2304.371343,3792.86056,3568.821572
"gmm",1817.58594,780.979944,946.788742,1058.956964,773.0465561,464.7815631,2407.65574,1293.621398,1152.230809,625.484077
"nemA",2423.9632,2700.351097,2811.77475,2714.22012,2951.194598,2939.613444,2775.930204,2196.233719,2473.814797,2716.831406
"rhtB",609.0003592,658.2018157,605.8322749,637.2257766,1004.790926,1274.669109,543.1208122,469.4184488,834.95931,942.7675783
"rmf",1634.203412,2562.154102,1814.291121,593.1814375,831.3215718,407.2266976,1778.258918,1234.554475,607.3718173,304.0242837
"ydjK",238.9538121,197.1894355,225.6491148,152.6102034,133.5163123,146.0325745,163.5811169,141.9757928,105.4977429,121.8344942
"eaeH",80.71075178,58.32157374,33.13196556,38.06480463,25.12985173,105.8713324,49.11794886,73.85692947,28.77384753,79.13260136
"fdhD",1728.687797,1255.721572,2058.081692,2011.870397,1661.848168,1621.060486,1379.450816,1056.364686,1516.569691,1498.01111
"ftnB",173.817478,169.1729749,114.6442704,433.5661113,367.6821127,194.0412847,193.5852487,159.3277305,566.1698685,278.0847818
"ebgR",680.5084057,618.2715718,1817.726564,1520.989159,1442.820859,2157.339978,914.6652853,2757.788726,1599.820818,2553.708047
"ydjH",184.6552622,184.6793729,129.7664347,154.6560931,45.68006301,125.2586266,110.1096618,101.340007,58.47188928,87.13647336
"hinT",2728.418724,2045.46929,1440.750015,1756.330582,1776.293059,1064.966462,2238.818636,2282.021572,1508.880029,1331.307294
"hxpB",915.2704282,1034.733144,485.7732864,1720.884834,2180.751822,772.8402448,864.0380628,306.1499147,1800.419696,867.4241303
"cynX",304.943472,305.8352407,241.0073749,174.0446919,226.3215718,299.5376414,239.0570838,265.9720357,215.0502144,222.3161015
"ygbJ",374.6169586,309.8565138,225.0250907,203.4337342,192.4593452,545.8001807,257.364776,299.2142205,194.3960569,344.2805899
"flu",545.0942236,518.1464585,852.6908536,240.0940479,375.6898018,398.9607703,603.8545924,689.5522588,345.9215718,355.5273659
"malK",251.5272951,185.1516838,154.5996256,152.1215718,141.6675044,446.9788265,127.9640565,257.7215718,119.8880514,403.3479526
"otsA",349.2083035,548.9460376,268.3899026,301.588909,342.4729581,230.3215718,434.7853448,263.0416304,316.7424203,225.5215718
"hyfG",535.691147,448.8146317,339.4584641,304.8185231,297.351843,461.1668317,426.1225215,442.6215718,309.5675413,365.4650291
"gabD",181.5713776,211.8228065,185.7256668,133.0512033,204.3649235,185.7419946,193.6297328,161.7543495,219.4546028,174.6525491
"alpA",170.8781975,193.2051397,126.3466525,168.8612367,132.2492094,162.0106856,160.3822846,134.5761091,147.0887311,149.1069661
"bioA",2268.083668,2019.373115,2219.439958,2744.249872,4417.204848,2693.932229,2229.062457,1546.76741,3477.159737,2925.927956
"yeeN",4856.386957,3322.01801,3896.648139,6076.272089,4567.221572,4577.011962,3572.004795,6919.021572,3853.143805,4399.738187
"skp",7823.61084,8804.294773,8673.301389,8674.545871,8662.630405,9266.126272,8882.615385,8132.532751,9466.543793,9861.810717
"yqeH",114.7411084,156.5215718,97.62153673,213.1215718,184.9123137,155.9215718,170.3057827,114.5695057,239.8201783,160.3727385
"yjeI",1854.463444,1942.840542,1333.347847,1908.246929,2468.125799,1676.721572,1629.321183,1156.878145,2754.68725,2066.714955
"ugpA",303.7889272,267.9478823,72.52157178,139.7215718,165.8105115,699.5225549,194.113329,232.6561357,190.605252,416.178487
"ybdK",260.9706009,301.6630796,246.4307978,184.4211566,218.8942084,229.0287245,305.0056672,195.4961287,216.0407587,193.5215718
"ybcF",285.1499549,253.5215718,207.4387285,160.5739369,257.5085436,290.1578634,217.7574644,207.5497903,209.6215718,203.2950113
"lptD",5973.406772,7173.673356,6117.47168,6160.769052,3997.08647,5859.449791,5848.422491,5756.963245,5228.67878,6566.800088
"yffQ",243.9313592,270.2154928,154.6308142,168.2690602,167.9283444,236.7578758,331.3403641,345.7559841,185.1344914,176.7131596
"yhhH",497.2505364,549.8215718,611.5557038,952.6766736,594.6544445,457.5543184,580.2120125,1559.123648,647.6768059,707.3194863
"ynfE",176.5969891,158.7721075,209.8869346,169.4477309,143.4219817,185.9819794,140.943722,798.117105,119.8512249,198.4216156
"lsrG",128.716238,162.8036113,69.81558878,85.83924497,92.40872414,142.5756192,77.87041629,96.84201984,79.95089517,97.74947531
"fimE",516.1526477,497.4588183,437.8023495,2540.733217,1486.0939,1139.666509,502.1835063,1761.752476,1639.991164,1091.905001
"ubiK",3675.120179,2002.156591,4398.595351,5284.408222,3299.23293,4690.894714,2604.724747,4467.651502,3061.840312,4515.629644
"pqiA",1363.246663,1433.880774,1386.350834,1384.200489,1399.588164,1433.647586,1651.881397,1181.222314,1240.116407,1019.244398
