"","0","0 | 1","0 | 2","162000","162000 | 1","162000 | 2","0 | 3","0 | 4","162000 | 3","162000 | 4"
"pphB",585.8036682,467.3720785,283.840472,727.350953,577.2715718,593.1022309,378.4208795,422.1215718,456.3241373,518.5009224
"fumD",370.8624545,259.9091581,225.1460496,414.649611,305.3162421,210.2127088,435.3666794,363.6424341,454.1215718,322.1670031
"ygeV",224.4004714,277.8208503,181.1808544,231.0922539,292.3340624,535.3062756,218.7215718,273.5971237,354.0215718,408.1835357
"cspA",12872.84318,13646.38246,17972.33984,16197.08536,14805.77844,16904.25969,13579.75051,17641.28521,14511.44683,16737.75579
"xylG",146.9382166,144.3394695,88.26515254,83.82157178,103.2865182,404.744272,76.06463009,174.7052247,139.2145049,287.4468328
"agaA",276.9796756,267.5368081,227.3215718,164.8515945,241.0537822,423.8613176,286.306915,352.5068353,246.9513568,389.3776496
"alsK",321.6967738,362.1943818,193.0215718,230.3187934,291.2506867,525.222678,272.1844196,263.2402353,277.3986663,352.0868931
"yghD",526.0311225,392.3790325,396.2415381,372.4960406,491.318264,540.4114872,462.8286518,510.3969531,452.8666609,455.3215718
"trxB",6483.709946,5634.907158,4612.554178,3946.373809,5598.123012,3968.714457,6899.192457,2981.147929,4775.182469,3659.107133
"yffB",528.9734903,446.9850711,203.4402516,1422.59799,851.8897631,491.2332766,413.2122263,361.6996268,1183.581124,586.3138539
"hcr",255.6035373,239.8370424,224.4332458,136.4021512,160.3493135,396.4157862,219.7215718,636.1105836,143.2779226,247.1194054
"malG",371.9042404,227.3282383,214.9149271,196.1928226,224.940553,347.5422028,239.5909882,252.9215718,234.013757,326.592306
"yfaE",8690.285187,9723.733222,8199.886533,6020.000098,8167.86211,7635.861203,9679.533118,9494.763471,7321.825857,7319.328598
"puuD",5070.896908,7451.439417,3640.421572,4244.703581,5010.862848,3895.506175,5849.547896,513.5604542,4546.072506,2806.421572
"cutC",1355.921572,1280.82086,1918.701225,1122.953343,1584.826464,924.4309945,1586.168375,1507.759567,1312.321572,1120.402318
"insC1",5776.291476,5436.671572,3655.968686,5466.533827,5411.148725,5468.147404,4493.922403,3754.741394,5829.991948,4782.321572
"livG",256.7407876,324.7158276,156.4823737,241.9142093,312.3256377,269.9384931,308.9667075,141.4152351,644.1045089,657.6790614
"moeB",841.7215718,790.9710728,486.7684697,539.6350692,851.7282881,317.2287579,1010.853061,648.3215718,608.5599722,303.1839745
"fdx",5836.297259,5856.355674,3986.821572,4100.535469,4699.928945,4601.305477,5232.665452,4528.382122,4753.098846,3930.876235
"ygiM",1606.466694,2266.05765,1381.717068,1510.693265,1839.351178,1605.971586,2052.883554,1174.293863,2295.183692,2010.091672
"exoD",451.1542957,364.083477,450.921891,453.6777288,325.5489139,367.4111781,396.4210855,785.0163637,333.2215718,433.2504623
"fliO",154.7139773,124.3393071,98.05550924,88.85028742,93.12263593,167.4697767,118.0224736,130.7498735,70.82157179,116.7215718
"yehM",276.302186,191.0604841,161.9075225,164.0443703,203.5537624,305.9984145,166.7123734,170.4532951,180.2628737,228.9151017
"bamB",6455.916488,7198.936986,7914.904861,5721.764606,5997.450878,6877.162769,7543.908426,7805.809018,6592.142115,6863.001531
"fadJ",511.3008872,723.425167,595.5129938,396.7715718,336.3397164,237.9392469,540.7023606,1032.421572,692.833631,405.9648342
"rapZ",6483.16122,8008.526331,6523.737517,6702.212795,5259.807788,6294.921572,6506.471572,7017.999507,6385.621572,7052.795631
"yidZ",1253.621572,1226.513351,780.0295212,1671.617486,1410.204498,1364.499926,859.4623687,796.9133943,1532.736358,1507.421572
"thrC",517.5144337,614.9215718,468.2393811,521.3723966,516.964076,553.3904675,541.4242694,461.3602134,563.9826796,488.6556517
"mukF",2974.356928,2829.988904,2816.971572,3132.488437,2699.486092,3536.721572,3103.931945,3013.12578,3062.001174,3173.800444
"srlD",293.9437327,269.3405852,236.466945,158.7567265,220.0395292,412.4850855,251.6007948,304.5492684,218.0529051,309.5478551
"lgoT",211.4614256,241.0610144,275.7901004,166.1474729,248.6966115,418.7999038,237.8215718,302.5720728,234.2215718,302.3215718
"cysM",1083.735426,1441.53361,703.2986413,1201.639472,1483.021572,780.4215718,961.3271269,277.224884,2836.123728,2336.980173
"yaeI",483.0215718,523.7918409,372.2215718,533.1869497,443.3087535,852.6617362,428.5462404,425.5984129,659.6745092,805.1593052
"yraK",221.4352567,228.6090033,145.7200619,295.3132433,280.9936995,476.2013853,182.5179693,196.9882653,305.8409877,391.3492019
"glaR",293.2495455,323.0215718,278.2368366,303.9717654,384.3276186,285.9411351,321.904302,268.5808937,516.3215718,310.0389352
"fliM",438.9180558,315.8344736,277.2737327,271.0490228,220.2830779,375.0308651,275.9732919,254.1365745,200.1582956,283.6805931
"ydcL",284.8215718,333.4643191,159.9736731,823.9118637,642.023418,291.6431942,254.2189773,147.5261536,609.6970839,324.5929793
"ybhQ",408.5934634,471.8426757,444.2403953,294.0978423,449.8589882,273.2840161,477.4827721,454.0809987,329.9631116,281.6639261
"yebZ",3412.256721,4926.475468,3202.118726,4117.605716,4228.324959,4009.617925,4067.617056,1533.155346,4651.236109,4463.489116
"cybC",1949.899997,1377.979428,4277.647748,2300.117803,1692.222056,2415.431969,2105.513378,6149.550645,1584.026538,2241.288897
"ymfI",867.3874262,810.5232879,598.7442042,990.62301,836.0484861,281.4001214,674.1268567,444.8898268,690.8038416,339.3492653
"napC",915.1973041,718.0669734,1161.908587,546.9316767,576.3718935,568.2215718,1213.72476,5277.528269,688.9809759,863.4688976
"yfgG",2215.906032,2475.643446,1847.366579,2074.879281,2568.352301,2031.415094,2224.27787,2237.538076,2533.535937,1722.905075
"tdk",723.5654694,949.1105685,412.0866031,2733.748498,2362.327741,1104.171572,809.215012,672.62675,2879.841359,1263.521572
"aaeA",310.9489775,316.4420472,283.5215718,267.6826484,389.4619322,424.3748002,321.225628,316.0730516,299.5402328,328.1166089
"nohD",377.0590442,317.4551545,339.38196,322.8498291,312.6648118,273.5963072,320.4389212,410.6846604,305.6215718,305.1243032
"ulaB",319.0201974,270.6303172,204.8657985,216.129919,203.2047121,374.4215718,271.6657119,280.4291102,235.0765081,317.0835301
"emrY",155.9228371,169.39671,70.06693706,198.5591395,144.2215718,126.0720908,160.6862467,93.25986108,149.7271288,125.4784844
"ymfA",694.4430813,738.5950556,565.1773889,714.1237997,627.790642,694.4215718,620.8820629,550.1215718,431.9570799,467.3593764
"yjiN",367.090358,314.2186787,169.5450483,255.7382378,261.2684449,348.3863783,272.1324862,237.7811306,321.338292,300.5193836
"xanQ",88.9739261,84.24136282,50.46123998,66.62967321,54.46182907,269.9068621,36.04924008,117.731575,58.90661838,168.0259327
"yjhP",204.1700209,186.2245171,126.336405,122.1833061,143.2788082,322.7194553,141.4406645,184.3390411,144.8344199,236.6215718
"nrfD",282.314821,214.3461497,201.3660844,198.8422544,187.9270678,365.6215718,220.9592771,1018.456182,178.2333938,297.2440269
"acs",427.4924281,623.1948395,369.2324028,238.6803387,408.1224414,319.4750472,531.5693969,252.723899,494.1976283,366.3289087
"csiE",292.6039711,288.1595861,274.7375596,213.4127898,283.8053552,362.8620854,283.8653938,272.4225394,254.6646133,271.2229515
"rplV",15658.21794,17100.44879,17495.7042,17719.78324,14647.57417,17967.90764,16836.80249,16148.50027,16117.75356,18173.14198
"flgK",235.0610273,315.1194501,213.5453153,183.1255227,174.0765086,181.9957688,255.617908,199.2038049,155.9926585,131.313178
"hflC",5358.557011,5734.171572,4980.915173,4920.274819,4216.197547,4765.021572,5512.324497,4500.497141,4781.50279,4842.482569
"uvrY",4472.644517,4351.025043,3204.042714,5996.921572,5287.772034,4805.835739,5096.592931,4448.597664,5656.751069,5078.795674
"phnD",214.8215718,146.475444,86.25065705,94.73486883,101.0371924,454.6220868,109.1715718,186.116279,96.81177527,292.3872551
"yagM",186.7473047,318.229189,153.4622012,162.0045359,71.93668902,158.6988365,252.6334329,212.65212,136.8874901,150.6179224
"aegA",391.8608498,323.2610691,266.73087,256.7274617,363.8242773,386.5113704,350.6500725,341.6750737,336.1408601,302.3573894
"cynS",274.0033422,355.1215718,249.5266553,209.2002651,292.5318194,326.6107533,304.0940143,274.7319558,280.5215718,226.9215718
"yfbS",481.6569815,553.3332473,867.3196196,475.5257975,673.6850716,576.6215718,654.4598898,1066.819843,691.2423335,692.0240922
"fecD",978.0215718,914.0143794,1214.666587,330.532721,465.5215718,367.9539105,1050.299283,318.2111501,517.0561864,490.8233402
"mcaS",333.5668879,188.2215718,230.1471903,325.9760167,236.3489753,274.3104501,187.2424904,286.7097365,264.4010166,253.0523328
"ycgR",158.4717257,206.9170074,206.5455043,178.0701577,248.3499475,174.5406407,175.2070313,154.874417,175.6932283,128.7626644
"fdoG",5696.934033,5974.4754,5982.394424,7101.207975,4764.941688,7258.368779,5731.651604,1914.614838,5912.96111,7047.245021
"fixA",146.6064006,139.3578958,129.1517138,111.4091457,108.7105093,201.313363,130.8837482,182.9323869,123.3963332,152.0632105
"mntR",2578.621572,2574.2527,1934.145393,1975.140967,2698.638544,1302.173308,2517.753165,1299.805469,1842.177302,1105.317074
"intA",1717.41333,2712.004626,2014.113903,2001.86603,1575.542229,1494.571572,2213.876419,1835.205548,2090.450814,1900.070169
"rplK",15403.18652,15502.85041,14813.79992,15744.39151,15591.16852,15732.28867,15826.40343,14416.58791,16011.04967,15854.6396
"yihR",167.7868018,133.1129257,163.0715718,161.0659976,123.8215718,383.9505863,119.8215718,196.9030696,138.3946013,275.0676756
"mrdA",4167.831694,4362.532138,3892.347676,3237.871572,3747.780066,3498.279346,4618.03074,4035.359584,3211.221572,3423.245772
"lrhA",701.0185439,796.2398868,797.4821415,700.7731854,1066.991215,727.1215718,925.419352,868.7006421,911.9338404,771.587609
"rem",189.4511124,159.1403315,102.7021118,261.1506291,296.5544477,139.4342203,167.6240647,127.4678389,240.3288473,119.8678104
"acrE",256.8696861,218.2318202,198.5400051,210.4682856,162.4136385,632.8117371,167.5215718,305.4170111,175.2947694,457.1215718
"hyaE",350.8706922,240.7123226,240.1215718,227.4148449,191.4981793,190.5215718,545.4765969,1097.808529,242.2021818,184.5924334
"yahI",310.5705644,194.3316447,82.51617957,125.1374192,143.4405487,223.6006739,221.1885856,199.4739196,147.6427102,176.9900008
"proA",1754.625926,1945.328671,890.6060354,1740.698611,1901.784215,1132.922549,1409.145209,1019.740314,2064.203934,1213.827392
"yfdG",2681.547978,3579.521572,3066.511641,6471.98856,5061.542336,4271.921572,3387.988058,2628.653571,6087.221572,4471.601315
"ispD",2496.307309,2338.932098,2342.130678,2254.892628,2140.942433,2373.621572,2170.537997,2096.867375,2291.700963,2496.534308
"tusA",2218.014773,1553.985073,1360.644279,1432.295084,1999.409743,1922.621572,1587.098069,1534.636988,1328.221228,1207.891753
"sseB",4075.674522,3910.558179,2759.278287,2531.402513,2846.601255,2674.962676,3612.539334,3293.651881,2608.8034,2406.97459
"allE",305.7228352,295.9848787,134.9003423,242.976934,300.0652425,278.6503648,251.3895254,225.1752025,328.5215718,252.6811927
"metL",2174.630251,2080.962049,1760.911697,1821.62182,2245.280602,1738.426795,2213.868878,1881.949506,2420.872603,1911.327786
"yhdU",242.8563642,230.1871075,133.2312675,374.9917158,300.0215718,543.0959218,169.316676,287.4561099,306.8215718,435.1435072
"pssA",4159.882057,3817.565766,2423.260134,5029.619883,4493.269242,2938.120062,3431.335703,2874.063579,4748.400018,3127.062697
"mutT",954.1566347,1042.916001,1500.794749,776.6023727,972.5499024,1004.514992,1029.21751,960.0511243,825.8317793,873.9465521
"paaF",185.0275597,251.3264383,195.3881098,160.7614798,140.3490985,221.1538781,218.1907635,259.2524304,130.2336293,169.7767636
"wbbK",6220.722969,5644.928551,5532.821596,7362.121572,3916.878378,7027.48577,5784.79101,8360.272926,3269.421572,5836.840733
"intB",810.5598294,665.854699,816.3215718,1256.983107,966.1508653,958.1735178,790.8768461,688.0114934,816.0027822,686.0232278
"yehS",980.1074175,1130.637229,1152.759045,2556.39012,2582.986363,2007.638159,1221.275978,903.2646349,2502.093494,1978.105837
"fabB",7378.271572,5119.121374,2377.250581,5038.923631,3353.379154,3314.430791,3939.071572,4813.589705,6234.521572,5689.534407
"mdtG",1271.180215,1545.467814,1548.321572,618.7191431,1233.344924,735.5603642,1337.025587,914.5215718,650.0440992,430.1621816
"purU",2757.567384,2285.310413,1058.265735,3932.375078,3333.971572,2314.827098,3082.828162,1383.360491,4188.597363,3310.815187
"yfiR",891.6018223,743.2019277,807.2776721,3056.081472,2098.907722,2241.187355,1206.494698,1173.908871,3074.633342,2756.448592
"alsC",244.4019393,220.6264197,168.4715718,151.049017,158.2585863,338.6333346,207.0389519,194.1036279,160.3160613,267.8614275
"yfdS",90.62340201,67.27032566,41.95022879,50.65278938,34.68746122,123.9215718,35.19183672,70.0427887,25.32183724,105.2049812
"hipB",241.914402,340.2689479,157.506108,275.4826781,180.2534642,115.9858357,225.9031968,119.2301092,170.3535693,122.5497206
"torS",232.9215718,331.2216038,226.3893918,116.0006095,215.2981675,227.762591,303.806241,249.0874764,195.9384924,182.1088035
"glnG",859.4717441,483.4564618,359.6620525,649.0875142,584.0927424,485.4928835,717.1589898,486.9863721,587.7236448,595.0603054
"rcnA",211.2253636,297.4812143,306.0969034,383.7210159,399.5759685,285.638418,339.5878825,320.7410147,676.9814151,384.6580699
"ucpA",534.2258191,602.5666921,665.063401,554.6999796,700.8037064,476.5609344,786.5075064,717.8863175,888.4100957,598.0315635
"hemF",1205.48505,1675.188449,1171.851633,1169.467278,1550.297177,1269.902012,1523.925552,1299.913256,1451.389744,1052.182453
"lsrA",238.1918577,175.6244513,188.967055,188.6347661,138.7077369,261.5726196,140.5510929,244.0235061,141.3352251,198.6545056
"hypF",420.321569,394.474666,302.9340751,269.0699892,418.0634073,473.9070794,404.0215718,838.2813144,370.5206523,379.3211314
"lgoR",136.7689629,133.0503732,79.45154938,98.96478341,119.7461059,378.7956856,74.26683864,169.0922795,130.6613622,227.9842541
"tqsA",300.795475,245.9203479,290.7631093,275.8447394,282.0418277,243.6503332,239.268792,309.1837099,289.8608022,229.6643039
"rclC",208.1698652,333.7973303,105.6175401,187.7127894,234.0318884,237.661472,290.3297799,184.1193038,276.4862122,204.9371666
"nusG",5304.84042,4870.663119,5031.371572,5645.307914,6150.310729,5335.045876,5399.473633,4803.17569,5789.972796,5040.471572
"astC",500.2215718,592.3219443,530.459228,634.7692714,634.7596079,381.2522268,681.8456597,403.2502261,857.4774205,603.5104872
"cmtA",230.3322998,188.3764223,165.230118,168.1647871,154.1215718,309.0716564,145.1817123,209.7508476,144.2041173,256.3137576
"torY",232.9215718,177.4603134,182.0234742,163.2869581,123.1729088,216.3862773,187.9551014,217.1232752,151.1585362,199.7668729
"omrB",583.6241782,322.5777801,601.0686015,561.1542897,273.6539711,681.5967975,490.2502785,712.3830486,444.6215718,594.5623173
"yjeJ",413.1215718,367.8700261,298.9038375,676.0215718,527.0792061,668.5840098,301.6215718,298.4288418,636.4215718,591.3215718
"ompN",174.0839342,128.9606396,112.9495303,150.8282807,135.6811529,168.770418,122.2477015,146.6826337,137.0104283,113.9319542
"speB",606.1671576,1027.780741,1193.413843,1384.601018,3312.760974,1691.005282,1202.871572,657.1346752,2068.383132,1332.538244
"glgA",2217.871572,2676.354377,1965.939267,1708.678714,1120.721572,1818.232559,2106.919955,2943.888952,1814.242744,2274.87691
"hslR",5022.936972,4439.579738,5094.841125,3886.254055,3771.046588,4457.649218,4795.343827,4502.207313,3725.804496,4411.621199
"kdpA",259.9612293,197.106012,196.2597101,133.8232049,137.2778447,177.4675463,168.5058999,198.7016497,120.5417572,170.0608628
"mog",2758.134569,3476.263068,3284.021572,2035.817734,2266.000674,2644.318487,3363.473177,3258.057537,2121.252256,2661.783106
"narZ",203.1084461,226.3215718,137.007894,166.4100347,155.2334532,132.6141609,187.6215718,129.4176921,163.0715718,122.0586413
"acrR",1503.024245,1917.568959,935.5215718,1982.515289,1138.821572,820.8215718,1183.143577,778.932489,1636.198693,1045.650538
"ompR",2273.071572,1952.621572,1295.471176,2190.435594,2163.783388,1465.532196,2172.996086,1433.503517,2371.532595,1479.369212
"ydeT",188.1522936,137.164556,119.8215718,123.5047045,76.32726056,130.0756939,206.6040278,136.4438526,109.6388771,101.1215718
"cdaR",435.8547572,350.4418,487.7884576,390.2424373,321.4591264,551.5486077,348.0215718,574.7215718,321.2297762,374.0070372
"ynfL",378.4488717,445.2294788,219.8950855,287.6714867,293.7664549,252.2370148,280.5394401,188.2398488,274.1669493,217.3806266
"rluB",6201.141406,4528.90327,7548.796636,6743.149118,7553.184455,7332.25308,6187.041977,6735.193442,5652.98716,5624.009323
"ybfB",96.21649998,84.58860232,135.7340853,90.06940088,111.7215718,114.7331481,76.47157178,145.6134817,93.88061933,96.02263369
"slyA",1192.283364,1214.296111,1740.379503,2109.199239,2120.645329,1966.317303,1453.02496,1945.896424,1583.740068,1422.197577
"ybhB",1407.846581,1436.570886,1594.142399,1367.06367,2229.350245,1234.188763,1584.130771,1644.016749,1696.476433,1479.623012
"hemY",3159.72996,3361.491651,2812.131369,3331.750109,3322.002973,2980.921572,3640.408769,3118.165611,3818.830285,3457.979926
"yfjF",3702.502589,3440.897072,2594.159442,3436.690409,3897.185833,2208.712557,3031.260242,1404.479326,2997.296124,1810.852158
"astD",630.5419566,596.5253295,302.9215718,553.8211477,565.7151345,483.705395,689.6613425,264.9080303,955.5023791,699.4550167
"yoaI",39.4475216,124.2767274,108.2019955,41.22252081,135.4380133,84.24742564,99.8858391,74.4030819,102.9258228,78.68837592
"nupC",210.7071032,816.0909122,249.7673456,436.7769975,760.6081517,282.3482263,528.7594948,141.0954906,810.7215718,381.6331258
"yobF",10106.40813,8757.031525,10130.37048,13155.92157,9697.721572,10257.82157,9412.921613,9500.862669,10590.93957,12142.23219
"tktA",9264.93585,8124.326588,4866.019826,8194.496644,8371.092429,6080.505809,7264.750102,4219.938229,7931.816906,5885.996723
"letB",1023.821572,609.638913,367.9257147,1238.26463,603.6803193,368.2215718,560.2758696,172.687545,534.2010686,379.8759454
"yjiS",123.9638755,117.6922269,93.57816015,135.7580181,139.1342254,137.0416235,106.7407492,104.3372925,155.7196793,147.723603
"ygiS",1307.521572,781.4385178,1105.321572,1406.336834,891.2852541,1338.321572,1026.385074,917.7647626,969.9558635,951.3634755
"ung",1229.828519,1133.099855,818.1376104,912.745473,1265.617024,791.5472114,1065.934927,955.5076632,1174.343659,797.1451192
"ecpE",222.8717016,331.8006783,246.2333937,161.0577936,259.1215718,257.4735712,273.4715718,236.9890882,244.4024976,213.3158258
"cysC",276.2843493,208.0987985,214.4031648,280.0794638,231.2918704,335.8974965,190.6715718,261.9125697,1037.014852,1666.243101
"yraH",180.1793527,218.9719229,137.6931092,479.7215718,317.8929532,222.7771089,227.1619371,149.1660404,396.451415,287.1102311
"ytfB",1720.535051,1472.490558,1235.243232,1921.553428,1903.236765,1438.175113,1392.874246,949.6355964,2084.990549,1589.070551
"dnaB",5765.992653,6605.907014,5749.027679,5936.355648,6697.395728,5516.057007,6186.915854,5097.874864,7224.284437,6105.320987
"tatA",6481.478144,6110.067132,6587.317812,6906.629594,6583.661976,6767.625069,6064.379955,5765.582951,6583.029526,6912.539326
"add",1412.052757,2113.886812,950.9767416,579.7425204,1164.272129,564.3922028,1103.483043,730.3699942,660.1880339,401.0313877
"plsC",3222.811288,2967.451347,2852.26647,3414.855968,3054.726935,3823.588983,3195.460904,2954.856096,3291.121572,3600.734549
"ssuB",364.8731972,429.9250894,331.0426967,166.3131622,344.3834815,237.7804344,383.7027568,284.9738878,271.0157563,194.0023591
"yphB",439.9597055,350.2961343,244.7091592,215.4636619,306.2102897,406.4089697,315.0192385,314.4291425,318.9027124,308.8750412
"ihfA",5422.621572,3858.173861,5647.141878,3684.053221,3488.953837,3831.4351,4872.276409,5351.391524,2908.360892,2704.464602
"ligA",1414.721572,1357.715337,889.5499026,1226.721572,1541.521572,945.6215718,1343.696615,763.3776178,1411.706609,959.0915309
"metB",2573.621572,2231.408254,1939.164901,1785.322061,2111.225473,1741.521572,2385.619574,1932.419093,2497.695016,2101.127704
"ygcN",357.6728096,309.7144892,439.0193398,402.5638153,509.8072048,427.8758902,337.0083152,379.314479,409.8429361,445.8945515
"caiD",355.142692,197.6460802,212.2084443,226.8777634,216.1728219,334.1775061,237.976569,299.014518,206.3215718,245.9215718
"mdtQ",85.92819622,163.1294942,79.0359264,56.32758185,196.4608483,241.6304892,136.1203095,174.5399757,140.2484872,162.7871238
"emtA",1704.595095,1678.477235,1213.671572,1608.755782,2254.96649,1190.897285,1509.491055,790.5678165,1479.587686,933.9313714
"dnaA",4567.443918,4350.088422,5512.891592,4359.595645,5123.175848,4556.05893,4936.141444,6424.175783,4633.569082,4386.037723
"abgT",202.0210207,201.8218103,185.1901869,167.3202209,198.1949585,241.7992042,201.3164087,211.7879488,192.3715718,192.3729595
"yhfZ",939.0595668,825.1176317,559.068965,961.5879626,867.7473623,1287.86587,812.5782191,602.6862413,907.7662161,1145.194183
"tsf",10653.06608,11329.42363,11600.59356,13947.21818,13936.83779,12776.42157,12276.42517,10964.92134,13921.57924,12650.32157
"yicJ",291.3106549,249.1560089,229.1270115,230.4197673,230.5394447,777.4590053,204.0215718,321.3215718,281.9630427,583.0504096
"menH",755.9220019,961.0459972,737.3397937,565.6811728,1002.621323,324.0177361,1309.448161,1074.604657,1026.202339,577.3592282
"soxS",2043.709635,1366.168748,1311.198232,2298.773853,2973.129292,1865.554346,1839.693567,1731.07089,2371.91187,1430.402608
"ycgY",105.8626149,93.09916857,53.16553605,49.56274155,87.02157178,162.3277684,58.45013157,129.9207232,98.27023011,103.5785518
"flxA",171.4169482,177.7290173,126.1943144,174.7573652,160.6906489,179.4215718,114.6482703,159.5064868,160.2911037,141.2864608
"arcA",3405.824453,3781.623862,4323.052009,4261.121572,4824.930248,3770.812506,4170.88341,2562.417029,4235.81077,3826.516422
"btsS",246.6511361,224.4674085,246.4041633,287.1056561,317.1482276,248.5215718,209.1957546,194.6389165,288.8044236,261.6215718
"ccmB",673.7215718,568.2659848,645.734401,350.1045479,500.4127085,351.994197,776.4789206,2681.558498,491.8437646,365.2063708
"rnb",5681.742359,6403.011438,3886.560978,6584.218744,7211.407725,5950.509616,5636.668251,2398.630086,5732.465071,5661.07546
"bax",176.1235838,149.470673,72.52157178,116.1103899,148.9215718,568.9499602,109.3300468,167.6215718,165.1212426,339.41261
"fldB",2919.421806,2353.227775,3199.438072,3005.053796,3438.771572,3208.763856,2532.251453,3090.471974,2778.471572,2943.35073
"cysQ",174.5797977,321.6256303,215.6171543,258.0913918,465.0976453,167.8353539,253.9434789,156.31947,461.9250018,237.7962467
"rffG",3020.274973,2693.346627,2811.62241,3273.812425,3335.121572,3506.532973,3151.058449,2790.737558,4091.556986,3818.712254
"uraA",948.8515214,897.2651017,683.7607515,1008.65492,1769.366553,853.6404766,1010.679116,262.9885516,985.1845362,508.9024724
"dicC",97.22157178,63.34072196,38.32370557,59.30498078,52.81054345,92.79550533,53.9594308,61.1664172,59.02157362,77.95716769
"napH",715.4991363,496.1850377,656.452617,367.6341597,375.5927869,454.3193542,1014.397676,3765.145451,502.2215718,667.2685603
"yagP",272.8256238,315.3267584,197.6355376,249.6728647,278.4715987,214.0053322,253.4875753,195.5051742,268.7503236,199.516329
"murI",4470.063951,4872.97304,5374.077264,4854.499397,6207.765803,4997.26223,5076.448929,4591.18085,5409.134651,5274.621572
"ygaV",373.5100548,601.8054956,1184.876132,453.041925,769.9177524,1055.312356,1154.199984,1106.405054,970.5825969,1176.591695
"trmB",2778.676493,3005.323376,3004.620352,4499.403355,4965.977906,3898.24927,3032.992146,2399.771572,4861.631049,4231.082276
"bluR",2761.702828,5908.458996,5446.650224,3366.421572,4532.885524,4829.21351,4144.721305,2686.431103,4146.976997,4615.113513
"yehL",284.8763035,201.6328511,174.2215718,177.2240132,207.4346726,295.4935621,155.9916894,252.2016146,214.9589098,238.8597806
"ykgL",274.4505082,204.4951109,215.1958845,485.2058257,310.4781954,249.8870224,189.6450578,177.4885553,354.5274563,290.9548997
"yaeF",512.2806443,417.5094293,455.7203759,468.0501359,459.7257754,386.2751255,364.8597776,373.2863111,379.0003349,320.4154593
"bfd",1212.080061,1740.571572,655.0326054,2606.564026,1529.797892,1375.267994,888.3215718,291.6585275,3512.421572,3349.362554
"tdcC",174.6681587,142.0622647,73.56791775,183.9939184,119.6415386,251.2231265,120.1646995,140.0169158,143.1609639,193.8716701
"tyrB",2592.255101,2854.769607,1195.321572,3004.562816,2887.378559,2054.105247,2601.70806,1071.86,4015.236877,2849.798888
"cobS",1006.373201,855.2764763,643.5660156,931.0589078,771.6317153,428.8478851,669.2513837,435.4355081,729.4658047,580.7634859
"chbA",422.3959514,503.3919498,529.3252728,572.0980192,564.8814926,384.6212033,604.8440696,504.736676,533.0506328,444.1866443
"kbaZ",166.1957694,126.563142,134.6215718,148.5107569,140.7114947,285.1734148,124.6597453,160.2543795,143.5029675,233.059556
"recB",2573.620683,2654.64881,2878.313026,2087.569493,2078.329549,2342.1316,2776.72761,2890.166376,2516.782184,2560.270695
"rhlB",5347.429357,7065.631609,6986.938177,6973.355059,6897.677911,8151.190186,5576.338547,5851.271896,7230.597412,8665.426576
"malZ",938.2493994,1103.634075,925.9380699,467.5733023,710.3086956,463.3885479,887.0851993,693.1781361,566.0215718,493.5670726
"ydjL",276.8652947,316.1809252,287.1393964,156.9617068,156.9617068,221.0174195,255.917452,161.4282502,117.3368167,149.6215718
"mgsA",1627.40796,1655.315345,1474.911669,1435.807026,1581.206998,1012.474386,1339.660771,1250.931531,1313.961335,886.9252177
"glyQ",5975.853266,6436.521572,3996.289267,6613.203569,6534.873947,5672.052808,6093.624196,4233.373215,7552.695109,6408.457145
"yedI",1504.162436,2052.220556,3724.413221,2286.441871,2758.112812,2968.973165,2294.704394,3738.821572,2378.675599,2848.986981
"ygeL",126.7708351,130.7709271,99.07807735,164.1285842,98.81537556,108.9777562,152.2266316,157.6461042,98.66448859,104.0215718
"ymfL",402.162648,360.8528461,513.8465528,240.7215718,364.1215718,162.3593104,470.3215718,524.7568145,245.0776381,182.9214359
"treB",393.6794761,295.6716117,244.9223585,210.4691755,231.0187477,592.3236815,305.1069071,323.8692828,227.9634993,413.2389275
"prlC",2161.271572,2675.242839,1463.889184,1609.707457,1901.736137,1674.551276,2133.470808,1289.671999,2248.671277,1986.28104
"phoP",2912.020825,2789.921572,2234.310677,2935.581631,1659.256637,2893.657752,2144.714562,1776.821572,1872.618492,2499.398625
"cysZ",1741.148203,1380.921572,972.9547779,1206.765819,1456.310354,861.4715718,1162.449689,669.7715718,1017.196297,685.3802262
"gloA",2880.624896,2728.456604,2597.212715,2395.623101,2620.598556,2597.128068,2476.077166,2733.89291,2115.23636,2354.293557
"nlpI",11674.77804,12809.17321,14748.16069,11831.99235,12215.82157,14184.16735,12902.14086,15508.69154,12139.72157,13698.58733
"ymgE",225.0215718,133.5620985,199.8797705,191.732415,162.2940685,202.522958,178.7215718,184.2646599,165.646116,166.4149753
"ybgC",4456.421572,4454.10557,4507.338372,4410.705039,4498.500814,4372.021572,3970.521572,3966.96073,3002.61902,3140.365623
"prmA",3207.221572,2543.49563,2812.043837,4549.71634,4256.66005,3958.004881,3117.114551,2379.508772,3995.3123,3608.98216
"topB",1610.057439,1640.007566,1841.566036,1391.109971,1339.117595,1288.721572,1845.444461,2598.825564,1417.456984,1296.298398
"emrD",1653.303373,1835.171572,1087.115244,1037.21559,1935.588742,1709.923245,1517.119018,984.970172,1146.083071,1025.292909
"hofC",468.3843844,456.8659643,769.5082403,464.4523803,417.2119481,757.5207363,482.1330099,812.7164464,383.1038203,536.469278
