"","0","0 | 1","36000","36000 | 1","126000","126000 | 1"
"murC",1959.29665,2060.32525,747.14125,659.60615,1335.3891,1098.98995
"ddlB",8664.4032,7609.88635,6864.65915,6160.24515,6666.99125,5402.0733
"ftsQ",3857.7398,3604.2681,3933.6158,3392.4952,3073.30925,2556.5692
"ftsA",2689.04255,2596.71145,2876.80955,2350.57635,2519.0577,2274.7478
"ftsZ",15819.64975,15236.49625,15390.31805,14088.20625,22973.284,17746.4041
"lpxC",4379.68065,5147.7927,13665.0692,11652.84795,3065.86675,3564.8502
"secM",1008.25235,1541.39905,4543.5435,4734.58745,1163.6082,1907.42035
"secA",4500.9943,4233.1997,6053.61725,5404.4861,2620.7444,2909.1476
"mutT",367.9935,408.53085,299.55345,291.34255,162.29155,165.1814
"yacG",591.81535,651.70025,333.95825,331.35755,311.83195,254.6437
"zapD",510.281,580.9835,277.14875,249.4398,426.09045,402.4996
"coaE",154.68355,243.5133,199.07515,147.52705,249.3218,264.26465
"guaC",1222.4898,1677.19055,627.6898,744.9091,1263.22365,1349.9814
"hofC",103.11985,95.3357,137.7039,140.3956,71.51405,71.23805
"hofB",72.91695,69.8567,110.08225,86.20945,64.66495,57.09465
"ppdD",180.4085,152.2843,211.66275,143.37065,97.35845,93.17035
"nadC",316.12705,369.53545,228.72675,228.8754,296.11585,271.1844
"ampD",345.2432,353.09495,618.28195,563.6301,596.17675,558.48615
"ampE",1665.8627,1523.37275,2856.1383,3150.6483,1646.72625,1755.95195
"aroP",2865.81605,3140.34575,7826.8029,9486.5726,1210.5256,1457.10145
"pdhR",2978.4866,4684.3446,793.86845,3974.0579,427.5604,649.90815
"aceE",47931.6825,46472.3694,50808.20885,51304.6937,14885.7411,17191.04885
"aceF",22660.24505,25263.3545,21335.1045,23946.18025,5230.5377,6980.04825
"lpd",34867.8651,38937.4464,35920.6844,38252.6756,27562.07575,29960.664
"yacH",119.09905,120.56855,217.94645,243.37335,69.58655,78.0379
"acnB",3410.35285,4179.9576,4652.50275,4258.5292,5472.1256,6750.09675
"yacL",400.5523,431.41735,323.0524,399.09255,396.36355,365.83375
"speD",3867.86085,4781.2649,3250.17155,3254.1906,3375.06925,3667.4501
"speE",6668.90975,8371.2669,5337.80575,5311.00545,5293.62295,5018.0596
"yacC",145.558,191.05555,184.7955,151.56515,233.598,215.59515
"cueO",265.62275,281.6701,217.9476,168.91825,771.1152,691.7359
"gcd",862.4411,1038.4025,791.4282,848.79995,593.0399,664.8867
"hpt",6402.01435,6369.03625,7956.20905,7113.9629,5092.5813,5795.33995
"can",5581.2617,5936.12995,4080.95125,3910.74145,12049.0416,10161.79895
"yadG",4099.4823,4165.52405,4141.0301,4065.59305,3749.3544,4229.60185
"yadH",2370.40945,2148.51615,2610.6429,2378.4338,2066.07635,2314.01565
"yadI",181.5771,197.154,320.09255,257.8065,260.2235,299.2803
"yadE",252.93945,281.2778,431.55415,420.9278,204.1174,226.90185
"panD",74.2094,68.57855,66.58925,58.1162,100.419,81.8075
"rpnC",172.085,189.84185,239.6831,234.0217,105.96535,88.16365
"panC",1174.50415,1249.3846,985.1989,800.9209,1261.89245,1156.4135
"panB",1843.54125,2106.9562,1433.6731,1389.49405,1768.21345,1844.3247
"yadC",731.2451,884.79195,3331.67825,3750.59225,530.79965,1030.9017
"yadK",146.11165,247.5883,875.33975,885.12975,107.9769,195.0221
"yadL",235.04215,232.92385,614.6656,696.78835,215.8752,316.10635
"yadM",178.882,173.1938,504.33375,495.72845,144.53575,231.96485
"htrE",62.45895,66.47195,68.39005,66.26735,55.94535,56.6444
"yadV",59.8207,68.3766,83.68365,78.1904,56.8758,52.77645
"yadN",124.3938,162.63495,129.6895,134.2546,64.43305,63.0165
"folK",117.54705,103.92185,83.29135,70.54735,87.58565,90.88795
"pcnB",2513.8934,2567.89485,1551.4137,1494.2968,1875.01345,1937.66465
"gluQ",1000.86615,998.06015,565.838,496.9055,700.06265,753.783
"dksA",6244.71525,5655.06965,4922.83055,4609.7958,4072.7903,4097.99395
"sfsA",320.5603,311.66335,300.8182,183.23615,999.79105,662.6563
"thpR",334.39915,276.7139,443.2744,241.4219,403.5659,356.6957
"hrpB",275.99095,268.7956,368.981,253.70175,224.66185,217.8233
"mrcB",280.9889,267.60945,261.66195,174.0782,182.635,165.94655
"fhuA",1698.52575,2599.7223,4375.41125,4099.7008,6232.51975,4129.59425
"fhuC",255.182,458.50305,281.77745,334.87985,1411.40855,885.00455
"fhuD",72.6941,94.8582,79.49545,74.72245,291.98635,164.51325
"fhuB",431.23995,558.04905,374.4792,327.6433,1716.59705,909.18435
"hemL",2063.0791,2478.7957,1985.1572,2071.26275,1771.6892,1823.88835
"clcA",332.32625,327.3188,651.30905,475.34195,534.77215,592.286
"erpA",2245.4493,2198.0752,3521.31015,2980.4263,1307.50775,1205.55265
"yadS",1680.6596,2051.23815,1918.32565,1982.18255,481.06255,565.55945
"btuF",1412.55845,1566.1651,1120.47855,1332.8646,1032.24635,1029.0343
"mtn",911.1849,1169.29965,721.9193,727.0828,813.3638,829.58795
"dgt",148.57175,156.47235,187.21615,162.8446,351.55655,351.8407
"degP",213.9782,179.3758,487.11305,304.89295,1133.5432,713.48995
"cdaR",127.44385,127.9227,153.4528,125.34095,207.35735,189.4246
"yaeH",60.65325,62.3991,76.72325,68.03395,106.0336,93.71545
"yaeI",291.12615,280.09875,310.31255,283.44645,277.15565,244.2726
"dapD",1754.1913,1503.7674,832.4572,587.19445,2458.2478,1807.5368
"glnD",321.65295,351.02425,220.3182,189.86065,303.85685,308.4415
