"","0","0 | 1","32400","32400 | 1","32400 | 2","32400 | 3"
"isrC",655.058,586.29,126.939,893.621,923.351,1158.21
"mcaS",834.861,903.469,1049.73,888.201,475.673,909.055
"prfB",3227.71,3766.16,234.733,43.0339,249.226,682.633
"thrL",837.619,556.728,737.845,56.4689,1703.32,1876.57
"thrA",2342.12,1212.72,711.291,653.229,183.775,260.874
"thrB",1548.81,575.252,789.387,389.097,1755.53,1309.29
"thrC",1561.78,805.274,2840.24,30.9596,955.374,1059.67
"yaaX",762.719,459.546,649.444,338.217,719.221,210.804
"yaaA",1090.65,710.679,452.422,27.9375,714.32,392.661
"yaaJ",895.658,528.773,285.981,22.3431,103.873,45.4187
"talB",4120.44,3232.9,426.383,164.31,1285.63,58.4319
"mog",1983.02,1348.4,154.301,487.592,1912.64,166.508
"satP",1026.53,537.842,661.714,900.604,122.017,142.893
"mbiA",988.029,472.987,901.867,851.67,95.7122,66.6464
"yaaW",1182.22,681.818,1048.18,1165.26,119.257,788.344
"yaaI",867.453,446.06,111.19,1132.45,120.013,345.003
"dnaK",2920.78,6444.06,652.963,1112.81,835.743,1120
"dnaJ",1715.4,4364.04,970.277,478.647,122.841,325.456
"insL1",2995.98,3626.6,1668.91,641.807,139.012,141.427
"hokC",811.02,465.107,969.012,411.085,326.207,493.173
"sokC",1543.99,883.489,334.108,528.446,48.3031,48.1918
"nhaA",1184.92,610.313,479.628,15.9847,117.056,66.9564
"nhaR",1354.11,823.207,665.861,1061.16,254.1,246.25
"insB1",1597.55,1670.47,470.837,16.7451,101.908,107.28
"insA1",3198.3,888.559,283.91,580.047,41.4738,66.7267
"rpsT",2151.33,2934.39,244.854,734.825,1330.89,355.294
"yaaY",275.498,237.085,1643.41,512.312,145.293,819.39
"ribF",2089.34,2377.7,170.587,673.258,208.924,1198.02
"ileS",1881.71,2235.2,54.0331,379.962,226.581,570.234
"lspA",2599.17,2925.04,185.939,678.334,1772.72,694.605
"fkpB",1521.96,1656.92,547.365,515.166,617.354,1420.96
"ispH",1270.18,1440.93,426.093,596.581,309.187,626.285
"rihC",1442.76,1203.57,505.732,335.112,774.595,578.921
"dapB",1025.9,816.263,69.2553,27.0656,217.396,1041.48
"carA",762.664,823.575,1362.47,50.6894,661.484,169.141
"carB",617.151,655.475,32.2554,119.158,707.924,149.367
"caiF",778.79,728.632,1273.67,19.3193,211.304,108.181
"caiE",824.014,806.414,576.024,257.081,775.069,682.216
"caiD",469.049,542.413,465.066,340.429,1000.13,739.508
"caiC",688.581,721.046,704.45,1072.47,456.249,1033.75
"caiB",409.143,446.291,143.708,347.548,669.654,797.597
"caiA",661.619,712.314,82.7929,744.781,284.641,1134.49
"caiT",763.916,806.725,101.25,497.239,314.101,148.098
"fixA",435.478,407.268,493.091,436.374,56.6788,282.702
"fixB",645.737,743.258,378.717,313.5,68.2309,707.685
"fixC",592.397,529.761,577.722,718.603,575.324,1337.46
"fixX",453.597,483.711,1642.16,35.2984,166.564,1957.6
"yaaU",433.714,440.063,901.155,1111.01,432.132,546.037
"kefF",528.398,485.697,932.433,521.727,86.671,490.095
"kefC",536.095,550.691,866.65,805.817,112.499,118.956
"folA",1046.32,1066.53,1776.72,365.808,280.232,143.64
"apaH",780.874,845.346,653.37,344.577,253.761,344.494
"apaG",1246.81,1232.34,160.516,699.999,1534,221.093
"rsmA",1490.78,1638.59,110.792,418.211,502.589,94.7751
"pdxA",1392.12,1455.47,1692.54,727.022,974.174,1051.77
"surA",2327.43,2727.46,81.5103,40.5564,80.3245,269.789
"lptD",1819.74,2041.66,1327.27,44.8849,140.68,48.621
"djlA",1053.37,1140.3,261.708,74.3706,1037.78,84.3564
"yabP",641.732,611.443,443.131,273.904,730.128,489.181
"yabQ",1008.71,1051.95,158.096,213.362,585.73,867.645
"rluA",797.591,1031.38,59.4663,355.891,704.036,491.664
"rapA",967.312,1336.27,1399.43,997.696,927.221,846.547
"polB",506.227,513.211,184.648,498.833,68.5784,720.184
"araD",411.97,424.59,214.605,1040.05,827.095,113.683
"araA",11.3216,0.812705,376.334,509.963,357.706,211.305
"araB",0.901893,3.71793,79.6519,828.214,1756.79,379.978
"araC",978.076,959.638,1279.66,396.74,145.071,174.492
"yabI",920.715,928.761,159.565,1245.04,123.254,289.117
"thiQ",552.876,521.819,436.244,648.645,311.978,105.963
"thiP",496.468,588.678,1306.03,428.093,962.938,276.899
"thiB",697.899,749.353,1970.35,816.92,1059.73,154.021
"sgrR",444.46,442.586,342.02,362.808,489.197,333.831
"setA",793.547,874.815,248.729,934.375,45.5231,159.105
"leuD",494.206,668.179,3.43416,150.61,724.456,45.3239
"leuC",650.96,828.992,1252.31,740.927,232.951,89.4912
"leuB",161.433,195.468,43.8632,51.8714,69.8543,184.321
"leuA",531.693,658.168,1384.3,865.308,727.941,75.3165
"leuL",652.049,643.589,288.323,409.135,78.4357,222.385
"leuO",494.098,509.81,637.812,755.706,107.853,643.809
"ilvI",516.215,478.304,564.088,424.693,365.006,598.196
"ilvH",544.533,568.397,131.848,334.626,198.809,992.589
"cra",1269.95,1149.45,71.2004,404.182,70.6764,328.598
"mraZ",1666.86,2010.8,64.4053,196.6,165.149,985.793
"rsmH",1114.94,1276.98,747.203,1471.45,304.263,605.561
"ftsL",1341.08,1502.76,1452.82,451.556,844.178,429.164
"ftsI",1235.1,1278.45,2134.97,437.09,1051.37,762.813
"murF",1240.88,1391.39,81.3159,500.515,1032.11,229.977
"mraY",1457.2,1493.05,296.268,50.1305,82.0175,373.957
"murD",1369.21,1338.36,92.9455,31.8238,510.813,907.297
"ftsW",1162.68,1251.49,41.1602,45.8866,102.423,810.475
"murG",1358.24,1327.87,2289.43,441.807,811.748,801.991
"murC",1699.65,1846.25,813.552,505.262,210.228,337.396
"ddlB",2449.75,2494.09,564.103,578.797,1651.95,817.008
"ftsQ",1492.36,1648.71,668.449,356.098,1071.82,89.9116
"ftsA",1809.35,2056.21,1275.16,686.023,547.486,199.273
"ftsZ",2370.73,2394.11,175.669,671.312,412.051,490.25
"lpxC",2720.16,3234.65,79.1598,475.724,825.054,202.518
"secM",2151.99,2174.33,909.419,639.702,187.077,663.456
"secA",1624.19,1626.85,174.801,519.845,1156.09,390.668
"mutT",601.017,609.545,146.645,987.041,334.415,610.058
"yacG",1426.67,1649.41,193.937,536.185,702.267,411.573
"zapD",1277.54,1439,249.185,693.838,78.0584,138.092
"coaE",1117.34,1276.47,661.493,403.618,43.4216,787.514
"guaC",1261.05,1315.57,650.619,840.571,1371.73,761.284
"hofC",609.621,638.631,71.6923,112.382,377.295,540.909
"hofB",448.79,531.178,56.5108,405.719,114.453,92.4276
"ppdD",582.495,603.14,209.017,619.825,496.109,1024.16
"nadC",780.979,894.322,703.611,50.9865,798.553,446.466
"ampD",887.907,1021,987.459,355.954,801.847,1315.7
"ampE",759.227,763.716,114.695,435.085,695.914,493.613
"aroP",612.475,719.632,1672.72,449.129,67.9313,188.894
"pdhR",1452.82,1586.83,480.426,639.064,959.524,1091.04
"aceE",2889.4,2330.31,1786.47,103.795,776.899,205.939
"lpd",3531.29,4072.74,857.549,445.913,521.505,110.844
"yacH",499.503,520.149,599.67,428.744,679.357,683.597
"acnB",3159.23,3713.6,1263.3,997.736,1266.88,164.475
"yacL",671.128,612.579,112.58,211.433,1023.11,121.487
"speD",2605.93,2506.34,824.147,947.774,1231.29,90.9667
"speE",2308.7,2440.72,569.184,605.803,739.226,68.0772
"cueO",502.782,545.849,225.138,806.571,781.005,597.059
"gcd",623.213,833.762,106.473,40.0051,660.556,239.003
"hpt",1756.46,1843.99,384.263,767.666,707.917,450.857
"can",1945.96,2104.4,554.25,315.616,106.382,220.156
"yadH",938.052,831.95,446.148,563.448,298.466,398.537
"yadI",712.36,647.169,968.485,764.612,41.1004,71.501
"panD",1285.6,1568.83,1618.87,975.325,55.3763,160.036
"rpnC",395.959,464.301,1676.62,984.355,48.2493,167.599
"panC",1139.45,1277.03,1080.5,648.38,362.038,936.568
"panB",1386.12,1287.31,156.411,65.3316,43.3965,66.4436
"yadC",667.78,771.691,817.49,628.188,132.89,123.649
"yadK",645.568,692.269,570.515,344.611,46.9485,160.448
"yadL",515.408,569.937,196.057,382.957,542.665,263.118
"yadM",528.68,489.993,244.333,563.687,383.975,580.645
"htrE",532.913,498.554,1029.32,566.134,1088.23,314.133
"yadV",570.343,568.487,719.452,595.524,1075.97,602.359
"yadN",771.28,705.873,1098.84,119.208,344.298,821.449
"folK",1094.02,1181.88,84.4433,465.331,947.983,92.452
"pcnB",3017.63,3575.72,141.165,284.945,561.35,910.103
"gluQ",1136.34,1073.57,112.265,468.601,125.253,56.9431
"dksA",2213.93,2636.5,94.5561,63.5202,619.3,1022.17
"sfsA",1196.22,1185.46,2724.3,1169.72,448.755,2690.78
"thpR",569.839,634.949,158.908,13.3218,1289.09,1485.78
"hrpB",389.576,337.628,408.81,249.425,56.8389,471.123
"mrcB",822.109,992.819,960.091,340.66,1481.45,687.461
"fhuA",1321.21,802.797,898.686,926.594,790.751,1174.05
"fhuC",886.928,689.493,1244.6,569.149,320.699,570.108
"fhuD",588.749,447.106,58.1433,489.179,857.962,199.648
"fhuB",540.366,367.896,45.4889,455.352,1183.82,108.486
"hemL",1297.58,1297.42,55.353,395.852,124.775,211.772
"clcA",839.069,919.723,1229.52,80.4791,1309.8,113.409
"erpA",855.061,1029.85,1406.72,762.843,302.698,166.845
"yadS",987.142,1064.86,673.651,105.625,229.609,100.326
"btuF",839.037,964.514,1135.37,1077.46,1198.48,74.1042
"mtn",1434.59,1680.46,1126.11,249.4,64.4381,195.684
"dgt",807.992,660.744,727.712,822.678,154.985,472.834
"degP",902.192,481.965,1381.24,781.482,1115.4,169.593
"cdaR",894.416,736.283,200.685,735.587,331.457,32.64
"yaeH",1309.7,1281.74,498.012,427.5,82.6999,783.348
"yaeI",762.625,845.758,787.352,55.6468,509.509,1072.39
"dapD",2376.21,2060.83,239.186,418.945,965.388,884.499
"glnD",779.374,786.353,705.594,36.9052,903.904,952.307
"map",2097.74,2023.41,225.413,253.288,518.432,652.665
"tff",6202.12,7021.29,320.298,568.082,1169.87,1006.01
"rpsB",4969.93,5423.28,903.467,465.794,88.3811,315.595
"tsf",5367.89,5581.31,671.33,389.587,862.181,781.81
"pyrH",2243.29,2229.62,616.727,578.554,568.384,315.14
"frr",2556.17,2840.34,1682.16,140.665,1104.88,212.69
"dxr",860.278,956.706,268.338,1993.02,3654.81,2603.96
"ispU",1581.52,1888.8,96.9095,896.987,751.808,90.7245
"cdsA",1064.33,1043.89,494.56,403.714,106.187,253.357
"rseP",1637.77,1744.63,141.549,900.627,684.212,278.664
"bamA",2791.44,2740.18,1877.23,1189.43,2204.2,1626.95
"skp",2875.16,2925.7,376.909,35.406,469.077,172.404
"lpxD",1991.39,2155.48,630.012,531.185,157.259,268.983
"fabZ",3036.72,3939.68,35.0027,784.93,884.952,421.268
"lpxA",1381.89,1621.25,8.32364,426.043,49.5481,53.1907
"lpxB",1317.17,1542.79,39.7628,351.241,72.5403,372.245
"rnhB",1250.75,1477.29,138.42,269.881,278.245,16.4032
"dnaE",1089.69,1200.13,304.356,780.376,586.52,316.525
"accA",2421.71,2757.47,660.33,1021.55,435.277,108.631
"ldcC",818.316,775.393,778.359,864.715,650.989,1120.04
"yaeR",659.337,604.297,610.313,948.118,1634.54,92.4452
"tilS",908.179,1060.29,613.417,796.405,983.275,1097.3
"rof",664.836,695.922,349.679,1889.73,230.311,1961
"yaeP",711.831,804.011,2352.9,4587.27,1517.51,2013.2
"arfB",732.911,744.952,981.57,1645.12,1453.68,1041.32
"nlpE",680.543,698.934,903.46,2073.36,1399.67,2967.69
"yaeF",368.737,439.406,1615.94,2042.49,9884.14,11149.5
"proS",2624.93,2091.23,1991.75,3737.92,10181.7,19207.5
"trmO",678.296,696.632,1566.88,1605.79,31.8843,710.188
"rcsF",1373.98,1581.06,84.2709,243.605,201.197,214.73
"metQ",1357.4,1748.83,167.632,604.937,778.589,704.451
"metI",794.742,933.704,2340.89,666.372,73.3016,138.429
"metN",765.124,750.507,778.24,744.298,552.84,179.432
"gmhB",1484.53,1603.19,355.109,184.163,148.629,119.226
"rrsH",5914.81,7350.65,20.2837,437.253,31.4184,43.9393
"rrfH",4062.93,6079.94,74.2898,305.74,437.424,71.7448
"dkgB",540.918,614.668,907.386,1729.49,835.818,756.144
"yafC",696.584,856.631,1256.57,20.4326,142.568,268.614
"yafD",852.789,1584.97,240.93,741.341,1028.74,1248.06
"yafE",403.481,702.605,92.0571,31.5351,999.52,686.915
"mltD",2023.01,2955.86,71.5917,217.222,1026.36,842.738
"gloB",1018.3,947.557,1590.86,200.085,1290.02,272.885
"yafS",603.416,628.653,850.803,681.913,47.2902,231.984
"rnhA",1027.18,1133.4,371.613,688.908,753.145,685.218
"dnaQ",948.381,1111.63,56.6815,388.052,329.163,1264.17
"yafT",496.128,518.48,230.195,626.087,654.219,617.606
"yafU",681.771,731.802,623.246,426.931,166.079,2387.08
"yafV",406.554,408.443,673.7,927.681,1072.49,1928.46
"ivy",1050.16,766.074,144.464,624.663,561.468,155.375
"fadE",638.007,716.8,676.893,212.081,335.705,795.211
"gmhA",1351.54,1403.17,891.865,246.993,600.329,76.6327
"dpaA",1001.72,1357.11,697.157,203.367,656.761,142.887
"yafQ",949.69,1062.3,66.4626,41.6378,436.333,28.8038
"dinJ",869.969,1554.63,582.732,747.501,941.183,721.128
"yafL",472.397,553.052,73.5157,513.613,117.58,381.819
"rayT",581.183,638.569,1186.97,797.465,931.132,453.867
"lfhA",283.059,307.414,618.036,615.032,511.622,912.318
"lafU",366.249,371.408,82.8962,753.088,56.4968,120.757
"dinB",483.929,526.039,547.748,547.737,97.7921,476.296
"yafN",516.24,592.37,998.215,902.118,772.952,280.736
"yafO",650.86,622.702,1072.53,852.943,378.07,86.7973
"yafP",274.555,350.579,409.499,621.041,155.269,408.781
"ykfJ",446.296,464.948,589.472,453.102,771.431,189.873
"prfH",428.045,488.228,116.967,571.86,51.9821,123.435
"pepD",2105.23,2006.63,138.519,636.151,110.505,159.113
"gpt",1106.41,1137.01,230.983,621.635,692.736,599.37
"frsA",867.669,924.87,89.0976,443.267,101.596,1167.09
"crl",1623.2,2377.31,563.66,581.285,663.688,315.974
"phoE",497.234,568.62,142.357,46.1608,198.129,799.539
"proB",1361.94,1309.77,2114.19,998.306,439.385,2003.99
"proA",1312.42,1284.53,248.846,219.164,127.685,1351.97
"ykfI",394.921,464.323,474.855,25.2792,647.257,1043.68
"yafW",695.653,799.481,601.255,739.012,1033.66,793.033
"ykfG",396.359,448.824,108.735,213.738,176.611,1249.88
"yafX",544.908,737.473,853.016,433.26,46.9501,984.629
"ykfF",564.414,785.536,459.59,1033.18,342.001,472.451
"ykfB",584.508,745.854,214.722,153.712,1526.82,301.593
"yafY",550.736,629.365,1682.52,611.911,859.118,254.139
"yafZ",551.439,710.559,937.298,466.904,811.536,114.671
"ykfA",634.407,844.667,741.243,798.983,69.0495,148.225
"perR",673.155,868.198,1373.36,444.132,666.036,155.673
"ykfC",687.082,771.365,411.654,461.534,464.344,320.803
"insH1",4836.83,5283.12,1118.55,1084.15,1393.85,91.2578
"mmuP",389.43,440.501,268.466,761.488,949.723,565.711
"mmuM",938.709,833.865,96.4617,826.615,1502.7,163.493
"afuC",476.737,511.884,581.268,338.642,744.285,50.8147
"afuB",419.517,434.042,1058.67,1518.91,1343.14,715.72
"yagB",708.29,742.174,314.253,274.971,293.91,496.427
"yagA",417.438,375.438,33.9112,86.6644,194.435,690.064
"yagE",981.99,585.972,118.117,640.393,760.105,86.8254
"yagF",977.978,629.848,1587.68,424.355,144.697,70.1804
"yagG",299.403,229.847,465.098,39.2551,78.4765,213.547
"yagH",471.927,383.228,502.322,815.771,64.2092,701.682
"xynR",487.096,494.804,55.4573,897.651,76.8816,175.808
"argF",421.698,419.13,448.699,510.984,210.763,457.648
"yagJ",716.181,688.898,1658.38,999.172,208.408,59.6488
"yagK",437.234,436.744,704.667,208.365,67.4904,150.35
"yagL",509.888,477.693,559.481,1155.07,111.164,492.491
"yagM",497.217,457.943,112.768,676.736,222.942,100.629
"yagN",1816,1884.17,669.018,140.899,880.178,1048.74
"intF",998.028,1490.37,377.379,56.0806,305.939,742.005
"yagP",580.165,595.132,1800.17,741.472,778.359,359.192
"paoD",479.925,488.035,638.581,210.732,33.2317,44.8122
"paoC",404.016,495.233,2378.27,77.0983,606.911,818.191
"paoB",344.434,398.718,2761.82,269.889,1560.54,1014.23
"paoA",426.686,388.131,33.7777,35.6898,896.943,362.756
"yagU",1142.55,2248.17,78.059,118.816,281.526,1316.23
"ykgJ",624.887,765.198,35.4775,31.0349,76.6039,86.724
"ecpE",453.738,489.82,1463.34,485.968,960.622,562.697
"ecpD",616.788,690.079,129.49,457.955,680.512,89.8294
"ecpC",391.184,423.373,1940.7,792.569,572.698,627.05
"ecpB",367.47,366.981,464.861,469.667,143.965,601.545
"ecpA",400.352,461.115,1600.6,533.036,513.827,1085.69
"matA",498.628,427.379,678.015,514.899,105.262,226.255
"ykgL",629.008,680.067,406.987,679.171,528.248,637.67
"ykgM",629.96,562.181,47.6461,45.8398,765.685,634.058
"eaeH",361.207,356.598,944.45,830.729,383.105,193.676
"insE1",1768.44,2145.18,488.929,391.334,70.944,160.978
"insF1",919.042,1014.96,161.889,529.418,404.503,133.613
"ykgA",1096.64,1120.84,132.788,1014.9,2606.88,1393.02
"rclC",614.741,648.009,713.086,706.699,813.592,251.276
"rclB",335.659,331.668,446.431,524.985,579.163,401.916
"rclA",508.495,510.242,575.23,639.763,724.841,582.989
"rclR",620.191,511.963,451.7,647.449,268.996,214.458
"ykgE",1221.83,969.386,60230.9,24785.6,264.152,1630.4
"ykgF",924.021,756.37,767.385,314.755,615.354,482.815
"ykgG",585.522,549.213,625.199,573.025,383.123,75.4732
"ykgH",458.575,466.247,179.742,97.2928,503.462,644.387
"betA",593.996,859.788,76.4369,539.984,364.854,77.1298
"betB",344.971,600.646,62.7726,436.873,301.366,288.284
"betI",729.163,1349.72,168.08,33.2448,471.608,485.409
"betT",546.909,837.797,354.847,414.467,647.513,757.416
"pdeL",751.308,1079.64,212.117,29.6637,52.4244,149.777
"yahB",587.074,562.309,90.0293,563.214,72.867,718.177
"yahC",573.816,600.644,756.639,654.468,657.778,602.632
"yahD",403.926,429.587,1370.56,20.054,52.4425,251.225
"yahE",437.89,411.355,381.093,646.064,640.98,61.6825
"yahF",407.214,424.331,115.71,346.293,572.31,421.134
"yahG",599.073,654.257,656.572,782.934,590.603,107.633
"yahI",454.631,411.671,337.538,146.908,269.767,93.6
"yahJ",555.109,617.147,1162.94,533.396,764.901,510.435
"yahK",766.169,664.598,165.319,411.547,89.1076,279.173
"yahL",462.854,545.044,195.981,406.507,106.894,712.646
"yahM",484.443,615.776,63.2711,117.762,88.0747,317.088
"yahN",525.53,527.646,245.807,744.587,853.279,846.128
"prpR",317.003,410.484,347.647,449.807,825.916,83.8052
"prpB",476.426,475.494,65.0922,611.385,225.001,551.65
"prpC",458.704,604.916,355.6,664.787,237.052,233.136
"prpD",460.948,482.061,104.257,684.715,532.656,625.577
"prpE",561.627,429.255,102.26,646.807,221.198,239.6
"codB",647.814,756.586,36.5533,327.855,299.431,132.654
"codA",1085.82,943.116,43.1929,714.813,762.221,69.2361
"cynR",566.922,737.103,25.1156,958.692,624.394,210.912
"cynT",588.716,633.413,106.161,102.948,266.27,76.1346
"cynS",535.369,554.86,682.192,643.319,585.568,436.207
"cynX",386.851,458.903,554.843,276.76,810.478,76.6056
"mhpR",702.68,885.549,1548.27,348.015,647.038,103.322
"mhpA",481.258,524.394,501.63,768.676,357.807,430.253
"mhpB",433.085,481.99,2392.99,537.669,211.604,345.57
"mhpC",461.988,502.283,608.726,438.384,150.516,105.931
"mhpD",751.57,705.292,204.013,440.696,91.7577,73.685
"mhpF",487.784,504.266,104.613,534.052,284.925,552.709
"mhpE",650.062,550.345,607.698,311.669,389.459,537.202
"mhpT",397.574,401.217,362.616,264.449,122.912,253.883
"yaiL",880.66,1055.71,173.997,228.789,32.5168,51.7077
"frmB",839.414,912.034,1347.6,26.932,117.885,250.598
"frmA",1611.8,1638,1353.91,579.05,290.107,534.304
"frmR",1626.77,1848.65,591.435,428.413,722.157,269.052
"yaiO",483.17,642.841,296.004,548.695,615.281,364.5
"insC1",1797.52,2261.72,424.689,501.536,590.822,613.941
"insD7",2472.77,2602.57,544.907,462.033,1147.07,185.858
"yaiP",500.143,531.844,981.629,997.962,1455.27,1374.6
"yaiS",404.654,372.614,1283.12,1148.31,984.95,474.413
"tauA",576.387,532.677,28.6055,646.992,112.06,158.3
"tauB",351.823,379.487,123.002,184.424,275.103,368.895
"tauC",257.074,352.244,845.53,918.622,1380.49,1134.9
"hemB",1488.05,1591.25,540.918,994.675,265.933,92.6747
"iprA",547.155,529.438,130.239,341.2,420.604,686.526
"sbmA",828.381,628.627,239.921,445.71,78.1833,156.579
"yaiW",816.302,735.605,241.689,764.564,829.416,1265.55
"yaiY",607.251,724.663,153.549,394.084,714.49,1025.13
"yaiZ",924.07,978.667,117.261,55.4661,124.996,79.0708
"ddlA",1492.22,1409.08,83.0007,569.536,355.929,108.734
"iraP",800.9,511.69,354.181,675.526,86.8024,428.547
"phoA",702.672,695.011,1232.08,678.878,1005.7,1312.97
"psiF",500.917,457.295,72.4761,23.9681,629.355,586.545
"dgcC",529.584,706.947,593.19,599.808,88.1932,369.83
"proC",884.613,952.589,362.512,311.91,692.239,468.679
"yaiI",780.452,780.37,2397.11,18.711,108.092,372.831
"aroL",594.824,816.953,2466.15,427.495,183.159,1021.16
"yaiA",567.283,664.12,325.297,139.457,356.285,811.355
"aroM",483.382,540.715,1012.43,407.321,150.76,245.468
"ppnP",1102.69,1157.39,79.2335,635.802,116.364,110.628
"ykiA",347.815,389.539,1196.29,791.547,187.203,1333.89
"rdgC",966.835,1056.06,113.873,336.828,485.013,359.235
"araJ",554.385,674.478,372.532,42.7148,89.3644,690.06
"sbcC",1130.22,1142.64,1217.76,1205.64,679.251,1372.36
"sbcD",630.141,795.565,680.313,450.468,651.833,583.25
"phoB",474.896,622.333,743.514,868.627,953.006,418.369
"phoR",315.321,420.021,67.8941,587.894,896.071,581.908
"brnQ",953.524,1245.35,1054.81,620.849,1425.23,701.237
"proY",1145.49,1386.54,428.855,665.749,1283.26,1514.42
"malZ",530.465,523.631,56.6807,1094.41,1550.01,233.393
"acpH",624.684,718.1,1275.8,1502.89,886.499,1945.84
"queA",1599.55,1842.29,870.573,1091.78,221.878,814.944
"tgt",1674.73,2131.92,25.9858,860.602,613.168,233.801
"yajC",3026.15,3312.16,208.893,468.201,1357.27,313.913
"secD",2084.16,2281.33,380.667,833.622,186.442,260.535
"secF",2280.23,2323.12,1697.92,473.142,237.678,122.137
"yajD",1375.12,1625.78,284.811,805.508,1180.95,944.524
"tsx",2033.62,1850.7,305.07,255.323,51.0036,114.849
"nrdR",1669.42,1990.84,74.3128,301.9,132.207,136.616
"ribD",1094.24,1130.55,1018.41,225.001,400.308,169.785
"ribE",2427.89,3150.34,210.78,605.402,856.48,179.179
"nusB",1495.15,2033.19,190.035,396.543,1163,160.503
"thiL",864.095,1047.71,140.952,304.921,864.379,21.031
"pgpA",914.454,1068.65,39.1698,129.522,804.644,598.875
"yajO",1056.83,1011.13,842.543,309.81,546.276,73.1851
"dxs",1423.82,1464.66,884.31,45.1837,551.409,685.661
"ispA",1721.49,1733.67,106.899,37.3575,1059.13,78.4623
"xseB",1468.71,1545.99,1202.76,878.277,1017.76,83.3031
"thiI",976.568,1234.08,919.315,1155.19,383.399,563.456
"yajL",465.32,464.477,790.36,577.064,364.352,529.205
"panE",943.392,1080.11,529.194,538.435,306.28,215.582
"yajQ",1914.73,2316.75,1613.05,474.913,483.768,402.219
"yajR",549.409,634.473,1309.81,1232.65,445.663,248.494
"cyoE",1856.48,2672.21,1293.8,869.994,659.947,652.664
"cyoD",2829.67,3916.09,269.205,655.15,78.4,545.573
"cyoC",3067.77,4143.5,853.101,671.052,1163.76,428.061
"cyoB",3655.4,5151.21,1527.4,844.849,1341.17,1162.71
"cyoA",3557.06,5026.85,81.8657,136.29,225.673,179.633
"ampG",973.848,1108.3,1102.08,823.712,398.819,367.13
"bolA",991.022,980.908,1629.33,688.112,180.176,169.386
"tig",4220.27,4142.75,646.724,260.869,127.265,459.62
"clpP",1879.27,3338.27,799.658,307.87,624.364,772.915
"clpX",1618.92,3052.9,1521.01,823.628,969.657,507.941
"lon",1844.76,5359.5,1515.8,1308.38,274.114,408.436
"hupB",2631.32,2775.89,528.604,413.367,151.127,80.1031
"ppiD",2629.55,3081.26,266.311,688.092,23.2953,96.88
"ybaV",562.485,585.993,738.01,1006.27,985.237,341.708
"fadM",500.231,476.794,102.898,130.833,127.827,1040.64
"queC",839.281,921.435,44.3514,552.602,787.153,68.08
"ybaE",365.347,330.479,97261.6,52033,1984.36,1235.76
"cof",806.474,872.97,61906.2,24215.8,941.83,252.108
"mdlA",343.217,252.349,143.161,55.5064,751.506,55.8712
"mdlB",580.126,611.678,907.916,480.948,384.342,708.195
"glnK",425.122,388.378,952.227,539.777,208.352,193.935
"amtB",285.37,325.313,90.281,49.8105,48.8068,102.293
"tesB",648.537,926.09,60.842,71.8534,295.845,1024.43
"ybaY",436.445,543.449,1429.79,270.712,110.915,221.202
"ybaZ",443.957,393.348,975.021,459.862,64.6287,614.831
"ffs",2661.14,4592.03,1496.89,710.733,921.803,745.501
"ybaA",415.105,461.482,517.818,773.876,77.2722,61.1144
"pdeB",634.927,795.094,2073.53,908.662,1620.23,1848.12
"ylaC",1890.37,3392.96,903.964,624.37,66.0953,241.301
"maa",1333.52,1203.06,805.558,703.657,405.79,822.068
"hha",1260.07,1371.83,444.105,49.2811,877.72,574.508
"tomB",1372.44,1597.76,70.4114,74.9206,37.8106,80.2633
"acrA",2257.35,2120.66,434.341,173.106,461.495,218.041
"acrR",715.192,815.325,416.928,1044.38,577.893,1610.24
"mscK",805.411,806.368,833.324,391.745,680.744,544.685
"ybaM",425.984,413.871,47.0557,385.591,1399.88,522.689
"priC",474.369,569.953,37.5239,733.951,447.93,48.9736
"ybaN",850.572,880.88,1015.96,473.967,803.087,72.8701
"apt",1735.59,2572.1,2597.88,4183.51,220.961,145.022
"dnaX",1024.82,1164.08,1376.8,786.264,547.352,972.52
"ybaB",3411.28,4310.21,254.432,607.785,447.974,496.728
"recR",2359.9,2213.16,1659.9,549.981,325.433,1838.64
"htpG",1301.01,5143.48,751.206,629.998,739.765,819.007
"adk",2961.25,3049.18,86.1062,762.075,303.436,630.031
"hemH",829.729,933.412,74.9359,309.291,780.81,373.466
"aes",435.039,471.215,2938.25,565.185,69.4928,623.993
"gsk",1070.15,1309.54,374.274,29.9309,895.161,870.764
"ybaL",896.273,1245.62,425.057,146.479,170.618,845.927
"fsr",699.486,646.811,1882.14,258.901,229.001,86.4713
"ushA",971.925,872.327,394.97,724.999,681.799,665.344
"ybaK",657.474,856.183,1395.54,552.069,721.875,67.6012
"ybaP",492.393,527.188,700.449,684.777,709.225,107.815
"ybaQ",693.945,867.722,124.239,335.295,70.3868,516.665
"copA",472.976,758.213,678.364,386.753,1042.19,937.513
"glsA",637.534,571.948,221.956,18.275,624.506,280.078
"ybaT",471.266,510.508,484.275,536.556,408.922,650.315
"cueR",960.229,1129.62,853.729,835.049,1048.67,893.255
"ybbJ",530.61,661.814,2004.72,1468.59,1763.87,1844.9
"fetA",753.176,768.713,415.872,449.498,127.629,133.946
"fetB",674.681,732.612,527.606,294.455,442.435,100.493
"cnoX",1545.55,4493.45,186.163,372.667,321.237,146.16
"ybbO",1428.17,1541.54,2001.47,735.786,1255.36,961.927
