"","0","0 | 1","32400","32400 | 1","32400 | 2","32400 | 3"
"yieF",495.146,466.65,150.663,31.1102,194.568,829.639
"adeP",581.523,673.731,68.0285,121.564,590.975,170.87
"yieH",575.482,615.205,48.3723,988.026,304.766,111.188
"cbrB",880.598,877.201,46.0342,125.134,478.915,1017.94
"cbrC",1025.54,1197.8,302.758,539.247,471.28,109.579
"yieK",693.352,719.351,60.5825,399.318,508.815,62.5286
"yieL",375.127,382.986,1752.9,1095.69,680.437,917.854
"bglH",381.028,281.382,1352.25,309.083,206.298,305.552
"bglB",443.089,529.512,323.865,23.0967,51.779,320.543
"bglF",469.683,506.388,82.9373,106.374,140.672,61.3851
"bglG",644.748,614.144,710.952,799.243,1358.02,484.023
"phoU",893.629,852.999,435.411,489.749,568.731,522.244
"pstB",1941.28,1938.09,564.851,689.97,1276.43,430.155
"pstA",911.902,973.338,86.633,714.958,54.1913,1577.66
"pstS",1332.9,1386.98,790.915,424.296,34.5772,63.2286
"glmS",1560.63,1560.94,41.3035,379.67,1074.99,700.188
"glmU",1978.89,2388.63,102.347,930.867,92.2435,39.6774
"atpC",1546.42,1715,56.3221,767.255,545.381,491.644
"atpD",2570.86,2681.08,560.945,527.755,523.171,1133.86
"atpG",3720.68,4802.87,648.724,555.915,618.019,975.468
"atpA",5128.52,5813.02,441.369,614.923,544.704,453.581
"atpH",3957.9,4598.19,555.757,663.122,722.882,396.447
"atpF",4168.13,5004.68,248.421,444.033,159.329,752.138
"atpE",3225.29,4108.5,35.0471,708.743,731.296,113.474
"atpB",3088.81,4355.29,1142.38,784.904,1098.99,238.949
"atpI",1444.09,2216.97,401.729,485.685,687.315,247.762
"rsmG",1051.14,1209.64,1401.67,781.127,493.145,84.7575
"mnmG",1215.08,1382.84,512.997,825.51,477.889,195.927
"mioC",1341.11,1974.73,746.745,787.943,127.765,202.869
"asnC",497.852,509.127,927.975,457.063,743.159,238.596
"asnA",860.301,859.044,143.313,316.638,94.6517,409.733
"viaA",566.826,670.491,361.054,101.766,412.488,559.797
"ravA",881.81,856.089,40.2441,206.105,1035.76,1250.42
"kup",828.963,812.843,22.8588,298.304,91.4787,69.7936
"rbsD",2888.27,3925.77,144.56,729.875,1204.32,802.801
"rbsA",1199.4,1656.77,909.599,683.122,684.426,181.929
"rbsC",861.814,1201.1,23.6951,221.516,503.46,359.887
"rbsB",2605.42,3176.05,94.5292,173.01,69.6048,679.772
"rbsK",1560.22,1807.36,286.867,285.718,767.423,710.696
"rbsR",734.82,601.775,370.299,417.021,78.3544,456.781
"hsrA",611.953,693.914,583.989,818.372,456.348,874.701
"yieP",1086.73,1224.12,810.863,656.491,824.462,919.729
"maoP",1665.08,1866.52,1088.07,854.327,268.679,87.3908
"ilvL",1790.17,2519.97,72.9606,615.312,529.825,483.788
"ilvM",523.951,578.055,725.717,424.147,57.6919,772.706
"ilvE",858.944,806.79,73.0941,360.208,486.643,971.155
"ilvD",887.567,845.772,327.02,54.2103,696.541,133.985
"ilvA",444.214,538.078,240.903,401.861,1030.3,1013.42
"ilvY",708.239,679.757,61.3561,1104.03,967.444,608.968
"ilvC",806.945,866.98,373.444,356.027,119.266,68.7092
"ppiC",1230.44,1340.04,300.088,249.759,138.954,150.928
"yifN",987.963,1025.72,135.161,368.191,342.274,206.954
"rep",767.882,768.486,522.454,556.098,440.745,460.888
"gpp",1086.93,1196.19,1506.97,407.015,99.9978,106.79
"rhlB",1754.73,2269.37,46.9093,324.439,166.23,192.998
"trxA",2234.21,2611.05,470.936,362.476,897.856,101.858
"rhoL",3696.94,4440.97,123.95,368.312,83.0798,167.618
"rho",2973.97,3531.81,451.108,610.891,78.3387,116.074
"rfe",1481.72,1782.3,372.192,486.47,685.525,583.177
"wzzE",1180.9,1437.71,426.754,708.982,62.2565,77.0331
"wecB",1285.43,1036.34,1081.65,378.048,339.133,125.531
"wecC",1739.85,1814.3,263.157,672.854,555.648,736.641
"rffG",1206.91,1399.76,542.337,30.163,68.0667,1511.42
"rffH",1143.1,1129.15,130.691,487.595,132.064,470.714
"rffC",1281.98,1259.61,632.542,710.752,1727.46,1274.99
"wecE",1036.75,1261.77,1928.06,500.434,614.533,865.872
"wzxE",707.755,669.85,102.737,441.245,141.888,493.813
"wzyE",1190.89,1131.06,776.413,674.071,1276.57,734.028
"rffM",540.096,547.649,128.652,453.571,607.431,53.472
"yifK",680.626,768.109,664.869,705.202,74.411,1021.7
"aslB",771.48,749.01,683.345,453.774,811.836,353.124
"aslA",507.82,566.07,81.4862,172.507,158.806,1372.41
"glmZ",2603.88,3422.86,402.513,410.609,818.862,777.938
"hemY",1192.95,1294.5,220.443,1048.07,1485.59,855.037
"hemX",1427.39,1449,866.608,351.261,149.251,53.6561
"hemD",1243.69,1247.22,27.9991,482.277,537.103,593.756
"hemC",1752.85,1803.22,475.654,799.895,138.983,486.107
"cyaA",1263.92,1782.91,40.9868,705.491,41.6837,51.468
"cyaY",951.617,1077.92,650.993,402.225,144.291,51.4634
"yzcX",760.474,713.157,335.181,17.3509,106.992,648.94
"yigA",1077.13,1085.39,37.6994,134.108,574.252,793.88
"xerC",1342.25,1321.53,68.3435,528.446,84.2473,403.891
"yigB",830.994,748.821,406.247,368.027,167.036,836.721
"uvrD",757.379,1021,714.451,895.518,709.687,1110.85
"corA",1037.5,1572.92,1139.12,895.366,829.779,1430.29
"yigF",482.541,509.242,90.2746,49.2355,125.923,248.593
"yigG",737.303,712.505,957.348,224.794,566.744,97.4477
"rarD",592.855,678.012,548.204,640.538,704.44,803.966
"yigI",717.906,1246.44,246.397,326.982,115.66,382.004
"pldA",984.235,1056.27,1123.89,629.131,275.129,111.025
"recQ",932.821,1169.07,316.046,113.628,56.2302,63.5337
"rhtB",626.109,679.795,74.5265,340.013,121.774,256.822
"pldB",1140.64,1234.91,1678.93,355.356,1822.27,159.36
"yigL",567.278,522.65,1141.42,341.833,434.86,110.22
"bioP",507.788,502.201,307.163,349.777,472.99,1169.44
"metE",691.971,630.726,98.637,137.038,52.2283,190.885
"udp",1822.61,2023.1,287.818,348.071,370.408,1151.29
"rmuC",877.977,807.226,857.829,493.042,425.615,928.979
"ubiE",2234.07,2252.07,366.714,338.299,359.556,793.716
"ubiJ",850.854,780.153,686.71,629.201,179.53,1124.1
"ubiB",1107.82,984.375,336.057,256.325,424.065,543.258
"tatA",2126.38,2600.56,109.455,550.113,245.991,372.659
"tatB",1566,1866.12,604.434,461.135,222.807,672.056
"tatC",993.154,1066.91,952.119,492.617,391.198,635.327
"rfaH",420.024,513.897,272.27,12.2595,31.558,29.0486
"ubiD",1589.4,1952.52,682.271,414.679,1129.66,476.347
"fre",1653.63,2020.85,833.279,1042.31,56.4382,733.332
"fadA",347.233,426.053,1379.44,584.478,1016.24,85.6083
"fadB",835.751,1272.85,108.974,327.173,86.0566,638.61
"pepQ",1301.75,1236.44,55.8508,384.69,1396.77,508.704
"yigZ",1172.45,1200.09,140.388,897.715,926.281,783.608
"trkH",772.503,823.93,179.255,754.96,972.22,1015.99
"hemG",1106.74,1297.24,362.355,818.43,596.836,1255.9
"mobB",752.195,835.617,819.135,395.144,741.656,120.261
"mobA",646.359,729.623,88.9706,589.074,695.405,123.681
"yihD",1269.94,1344.38,79.9514,543.601,1005.79,277.749
"srkA",937.331,975.676,266.283,574.228,64.1025,617.47
"dsbA",1384.63,1288.67,571.229,347.242,478.263,241.282
"yihF",738.172,826.078,205.241,52.1819,76.1102,543.251
"yihG",686.482,796.839,989.554,736.36,179.772,460.482
"polA",1553.27,1572.34,1837.37,64.2484,516.181,374.26
"spf",1979.47,3267.78,632.304,451.122,319.614,195.51
"yihA",1172.13,1483.89,144.424,316.684,908.958,112.363
"csrC",4301.02,5116.31,179.427,668.914,1555.42,379.822
"yihI",1319.03,1386.53,597.323,422.09,385.855,103.662
"hemN",1091.14,1408.16,590.987,513.754,793.853,455.441
"glnG",422.366,436.458,139.032,610.438,410.295,171.575
"glnL",538.633,656.39,576.931,261.716,417.308,1043.1
"bipA",2116.67,2708.9,528.313,407.214,181.577,120.874
"yihL",623.168,496.715,745.746,111.508,798.864,325.294
"yihM",676.338,646.684,873.36,707.382,72.1222,430.049
"yihN",609.236,675.119,582.958,512.666,146.811,489.028
"ompL",653.423,556.946,631.34,256.721,1118.9,865.774
"yihO",578.329,541.565,235.934,52.1991,684.117,148.224
"yihP",527.203,581.955,164.687,22.5058,464.297,78.1388
"yihQ",475.259,568.314,610.679,897.193,347.186,800.236
"yihR",453.379,427.193,598.796,532.182,795.23,739.986
"yihS",519.895,415.102,170.537,760.098,322.806,159.876
"yihT",600.083,611.651,133.7,403.362,1199.98,826.088
"yihU",444.534,409.717,351.57,904.573,259.356,454.835
"yihV",449.001,459.094,399.651,577.408,420.695,672.256
"csqR",1170.94,1046.37,124.443,720.115,224.762,614.871
"yihX",716.763,527.612,438.353,856.553,489.457,714.621
"dtd",1071.96,995.056,102.375,18.7448,81.3683,51.8531
"fabY",995.838,897.646,111.529,395.621,494.519,132.964
