"","0","35400"
"ldtC",252.017,298.093
"mfd",589.45,627.385
"ycfT",261.581,86.6039
"lolC",688.467,1003.04
"lolD",946.164,1368.25
"lolE",1071.69,1616.82
"nagK",846.143,998.27
"cobB",701.08,939.63
"ycfZ",348.834,196.895
"ymfA",557.057,410.652
"potD",1995.45,3473.39
"potC",1548.29,2429.93
"potB",1951.75,2810.83
"potA",3726.01,3911.75
"pepT",434.858,285.246
"roxA",1530.44,1538.38
"phoQ",1110.96,1113.79
"phoP",1289.89,1626.86
"purB",1430.61,2648.78
"hflD",3875.86,5414.83
"mnmA",4248.12,4808.98
"nudJ",603.694,660.083
"icd",1956.64,3167.11
"ymfD",295.626,352.278
"ymfE",221.053,320.277
"lit",328.256,292.91
"intE",350.715,254.192
"xisE",212.981,144.357
"ymfH",117.93,47.057
"ymfI",413.814,416.78
"ymfJ",228.616,202.087
"ymfK",789.603,921.759
"ymfT",283.094,128.105
"ymfL",182.26,118.237
"ymfM",249.844,89.619
"ymfN",238.582,113.876
"ymfR",170.46,73.221
"beeE",315.904,96.6422
"jayE",275.148,147.921
"ymfQ",454.165,189.647
"ycfK",329.024,171.578
"tfaP",220.514,197.593
"tfaE",285.805,124.103
"stfE",329.861,123.596
"pinE",226.33,104.393
"mcrA",412.532,273.612
"iraM",266.442,249.604
"ycgX",435.514,499.064
"bluR",2025.24,2187.09
"bluF",368.559,335.531
"ycgZ",485.108,456.642
"ymgA",298.418,263.038
"ariR",191.929,108.954
"ymgC",140.618,58.5937
"pdeG",255.63,57.8506
"ymgD",1995,3516.6
"ymgG",2132.64,3350.47
"minE",1521.64,2483.31
"minD",2307.74,3960.77
"minC",3328.19,3780.43
"ycgJ",516.982,934.217
"pliG",440.628,400.511
"ycgL",1709.72,2353.53
"ycgM",1065.27,1401.43
"ycgN",1075.7,1291.83
"hlyE",324.01,135.877
"umuD",542.096,160.713
"umuC",520.9,149.181
"dsbB",2154.92,2639.77
"nhaB",1988.25,3001.34
"fadR",1313.16,1886.9
"ycgB",187.171,131.133
"dadA",604.193,754.585
"dadX",465.395,474.264
"cvrA",344.671,272.639
"ldcA",715.807,604.727
"emtA",2245.63,3114.52
"ycgR",263.247,278.048
"ymgE",156.47,97.0314
"ycgY",257.617,181.915
"dhaM",793.065,1269.55
"dhaL",831.911,1060.23
"dhaK",592.628,544.669
"dhaR",462.262,209.349
"ycgV",401.639,206.958
"ychF",4358.61,5693.45
"pth",2172.66,2767.57
"ychH",360.056,307.14
"dauA",1546.25,1861.1
"prs",7760.05,8705.2
"ispE",2534.16,2437.07
"lolB",1805.72,1906.67
"hemA",3055.57,3012.78
"prfA",1714.08,2066.18
"prmC",1202.88,1475.6
"ychQ",1414.83,1865.08
"ychA",2311.35,2793.04
"kdsA",2542.68,3845.47
"ldrA",1302.25,625.372
"rdlA",2551.5,3034.78
"ldrB",987.857,442.301
"rdlB",1788.03,1377.35
"rdlC",1642.6,1048.65
"chaA",525.499,575.793
"chaB",344.158,301.572
"chaC",849.332,740.705
"ychN",613.139,547.188
"ychO",481.322,201.702
"narL",1499.66,1432.71
"narX",1253.74,771.583
"narK",220.181,104.14
"narG",568.124,318.917
"narH",555.316,556.758
"narJ",509.049,320.274
"narI",276.895,134.924
"ychS",207.345,73.0206
"tpr",8031.64,4006.25
"rttR",13627,10191.4
"purU",809.919,1352.42
"ychJ",921.328,2148.06
"rssA",1117.43,1307.83
"rssB",614.428,679.16
"galU",942.317,1697.62
"hns",7063.98,9106.46
"tdk",1064.92,1870.85
"adhE",1433.46,1495.06
"ychE",558.437,733.919
"oppA",7210.9,7772.6
"oppB",2023.57,3902.39
"oppC",1975.72,4428.06
"oppD",1900.98,4794.7
"oppF",1379.3,4572.03
"clsA",826.001,873.447
"kch",436.614,362.792
"yciI",826.568,725.888
"tonB",1723.65,1069.23
"yciA",1468.76,2277.39
"yciB",3551.2,5787.14
"yciC",1885.03,3247.93
"ompW",314.469,606.186
"yciE",247.015,151.872
"yciF",196.954,88.781
"yciG",285.215,160.768
"trpA",306.76,307.083
"trpB",288.472,274.156
"trpC",638.06,417.574
"trpD",314.449,246.207
"trpE",375.903,255.004
"trpL",629.265,225.515
"rnm",910.098,1165.78
"yciO",983.37,1227.68
"yciQ",326.832,252.317
"rluB",6023.69,8285.51
"btuR",590.616,491.064
"yciK",576.262,596.424
"sohB",1377.17,1298.62
"yciN",4100.59,3891.54
"topA",5175.21,4538.87
"cysB",1303.47,1932.28
"acnA",326.47,284.139
"ribA",985.745,1388.84
"pgpB",464.621,468.699
"lapA",3203.63,3667.79
"lapB",2173.82,1877.32
"pyrF",3270.82,4497.28
"osmB",2055.85,6022.19
"yciT",770.106,1207.69
"pdeR",339.505,331.639
"rnb",2394.43,2319.68
"yciW",335.764,138.883
"fabI",3841.03,4258.26
"ycjD",316.172,267.365
"sapF",347.119,562.488
"sapD",467.579,688.613
"sapC",247.62,270.106
"sapB",344.656,380.256
"sapA",1105.94,1642.87
"ymjA",845.39,1103.66
"puuP",360.218,126.189
"puuD",290.519,226.5
"puuR",291.911,229.371
"puuC",400.81,218.909
"puuB",355.849,163.12
"puuE",214.601,126.665
"pspF",351.651,256.725
"pspA",2759.47,2346.41
"pspB",3712.61,2950.54
"pspC",1963.26,1614.24
"pspD",1436.17,1136.17
"pspE",1172.28,1246.12
"ycjM",244.23,106.47
"ycjN",205.618,83.3753
"ycjO",177.635,90.2145
"ycjP",163.547,118.842
"ycjQ",277.996,175.704
"ycjR",301.762,131.739
"ycjS",287.042,151.204
"ycjT",199.623,112.143
"ycjU",119.637,59.2665
"ycjV",124.545,63.2838
"ycjW",315.644,319.852
"ycjX",291.853,164.145
"ycjF",167.657,72.143
"tyrR",567.194,612.55
"tpx",2057.2,4267.29
"mpaA",655.583,413.674
"ycjY",261.638,118.247
"pgrR",631.341,643.676
"mppA",911.963,1100.24
"ynaI",485.609,672.685
"ynaJ",1788.39,1891.55
"uspE",825.513,784.866
"fnr",4743,4804.06
"ogt",601.561,552.271
"abgT",309.707,137.514
"abgB",270.772,130.134
"abgA",312.457,111.429
"abgR",236.594,145.991
"smrA",1378.1,997.294
"dgcM",357.027,216.312
"zntB",656.706,437.04
"dbpA",467.522,442.638
"ttcA",1910.3,1814.55
"intR",149.811,123.1
"xisR",196.544,93.9724
"rcbA",179.048,133.65
"ralR",206.885,172.057
"recT",361.732,297.581
"recE",317.654,148.224
"racC",248.127,125.428
"kilR",138.769,72.9773
"ydaG",350.572,232.021
"racR",2858.14,2379.57
"ydaS",239.703,228.866
"ydaT",154.562,94.7212
"ydaU",232.416,161.24
"ydaV",274.252,128.321
"ydaW",409.095,204.611
"rzpR",344.227,148.072
"trkG",446.308,543.918
"ynaK",268.833,340.256
"ydaY",289.74,230.953
"ynaA",294.9,208.661
"insH5",685.264,337
"stfR",266.412,82.7489
"tfaR",486.116,222.951
"pinR",622.101,499.75
"ynaE",1207.51,1374.68
"ompN",219.002,122.065
"micC",345.343,135.227
"ydbK",605.709,713.522
"hslJ",2109.38,3095.83
"ldhA",3331.56,3845.81
"ydbH",372.837,249.656
"ynbE",299.321,538.954
"ydbL",180.353,330.647
"feaR",398.625,159.937
"feaB",336.359,232.891
"tynA",306.626,184.98
"paaZ",323.445,125.959
"paaA",255.588,106.43
"paaB",278.913,94.9315
"paaC",246.388,109.138
"paaD",156.502,95.7651
"paaE",341.847,157.929
"paaF",374.488,114.194
"paaG",290.499,166.755
"paaH",230.732,68.3804
"paaI",295.887,167.073
"paaJ",302.9,175.56
"paaK",375.134,226.908
"paaX",520.589,466.945
"paaY",464.823,383.298
"pdxI",377.922,199.878
"ydbD",279.67,170.95
"ynbA",187.766,90.6955
"ynbB",312.349,173.354
"ynbC",467.563,263.512
"ynbD",354.05,188.103
"azoR",200.1,142.342
"hrpA",973.937,1400.54
"ydcF",890.658,791.411
"aldA",416.758,282.204
"cybB",2597.8,3280.81
"ydcA",592.652,818.254
"hokB",583.92,663.721
"mokB",698.137,679.106
"sokB",2637,2051.7
"opgD",1291.99,1071.46
"ydcH",278.169,181.992
"rimL",672.907,440.716
"ydcK",280.903,138.872
"tehA",652.525,763.38
"tehB",659.227,1001.95
"ydcL",753.503,891.461
"insQ",617.698,293.723
"sutR",384.568,316.603
"rlhA",1383.85,1543.26
"yncJ",481.433,310.67
"hicB",425.868,474.923
"ydcR",753.562,903.982
"ydcS",187.51,113.455
"ydcT",212.18,101.225
"ydcU",276.85,144.122
"patD",452.444,200.139
"ortT",2865.57,3364.91
"ydcY",3522.28,3716.53
"ydcZ",403.771,310.154
"mnaT",594.119,404.809
"curA",239.184,134.59
"yncD",380.062,261.691
"yncE",547.589,584.175
"yncG",255.761,93.664
"yncH",80.0919,31.4043
"rhsE",273.473,188.735
"yncI",141.078,106.498
"pptA",260.218,215.497
"nhoA",332.59,159.632
"yddE",875.878,458.593
"narV",363.841,181.824
"narW",262.986,104.86
"narY",220.977,103.022
"narZ",160.27,37.2917
"narU",300.526,83.6721
"yddJ",189.033,53.6185
"yddK",140.941,41.7919
"yddL",178.37,42.0699
"yddG",363.505,274.098
"fdnH",402.971,294.733
"fdnI",342.77,256.452
"yddM",1058.05,840.746
"maeA",653.94,1201.09
"sra",538.159,988.794
"osmC",781.877,563.15
"ddpF",213.454,78.129
"ddpD",405.259,202.136
"ddpC",672.819,227.745
"ddpA",355.079,158.917
"ddpX",427.225,188.725
"dosC",352.149,345.157
"digH",609.555,722.463
"gadC",298.028,131.404
"gadB",191.869,104.619
"pqqL",428.467,408.477
"yddB",381.182,280.967
"yddA",314.256,224.71
"ydeM",290.354,84.4003
"ydeN",275.449,221.369
"ydeO",378.284,113.671
"safA",239.425,79.3217
"ydeP",302.588,256.007
"ydeQ",329.881,290.801
"ydeR",318.426,343.838
"ydeS",316.665,311.959
"ydeT",369.765,387.24
"yneL",216.449,87.6933
"hipB",553.382,479.284
"lsrK",410.44,243.828
"lsrR",349.825,155.993
"lsrA",301.909,118.596
"lsrC",264.905,97.4782
"lsrD",230.548,136.411
"lsrB",209.911,91.2518
"lsrF",180.839,113.034
"lsrG",239.288,125.956
"tam",375.314,250.152
"yneE",453.222,448.276
"uxaB",312.224,148.478
"dgcF",511.973,196.417
"glsB",1329.32,1452.26
"sad",511.617,385.917
"yneJ",329.573,297.41
"ydeA",701.331,1361.24
"marR",3525.14,1801.8
"marA",4664.7,2760.78
"marB",1529.83,650.873
"eamA",597.351,544.562
"ydeE",76.6537,28.6787
"dgcZ",401.822,512.059
"ydeI",234.206,231.585
"ydeJ",346.678,244.034
"dcp",344.539,529.973
"ydfG",866.119,1285.67
"rspR",1082.57,990.639
"ydfZ",701.585,651.408
"ydfJ",448.367,395.467
"stfQ",143.11,57.4367
"ydfO",514.069,315.479
"gnsB",13.0597,30.5741
"ynfN",152.107,45.0796
"cspI",456.692,209.617
"rzpQ",197.328,92.3164
"rrrQ",178.539,69.4336
"ydfR",202.151,127.168
"essQ",246.909,108.486
"cspB",3166.17,2574.37
"cspF",2591.83,2096.13
"ydfT",208.682,143.261
"ydfU",298.689,122.756
"rem",364.26,189.801
"hokD",0.176217,0.496627
"relE",23.1798,24.7843
"relB",0.348719,0.375845
"ydfV",331.366,140.036
"flxA",850.043,3811.44
"ydfW",203.615,131.905
"ydfX",174.746,156.333
"dicC",139.56,68.4184
"dicA",3400.3,2843.45
"ydfA",374.703,190.149
"ydfC",108.669,55.6791
"dicF",268.86,94.1929
"dicB",486.236,199.553
"ydfD",687.721,255.648
"ydfE",286.355,145.795
"intQ",215.148,84.4011
"rspB",216.252,124.027
"rspA",265.871,91.757
"ynfA",571.501,486.72
"ynfB",2675.75,3337.68
"speG",1974.17,2736.8
"ynfC",759.479,712.667
"ynfE",251.431,111.972
"ynfF",405.522,181.938
"ynfG",361.766,247.26
"ynfH",800.435,623.768
"dmsD",1438.26,1906
"clcB",791.267,601.297
"bidA",421.768,218.245
"mlc",552.319,477.922
"ynfL",596.37,351.729
"ynfM",399.371,246.81
"asr",443.099,326.839
"mdtI",590.138,1079.6
"mdtJ",1021.52,2220.67
"tqsA",278.243,207.44
"pntB",1503.7,1702.61
"pntA",1677.22,1543.13
"ydgH",1967.48,3070.37
"ydgI",656.229,1096.89
"folM",562.697,655.874
"ydgC",472.069,515.946
"rstA",1165.91,1343.41
"rstB",458.205,495.812
"tus",595.111,427.994
"fumC",267.701,136.527
"fumA",613.309,484.404
"manA",2065.02,2408.61
"ydgA",2841.26,3707.48
"uidC",264.112,158.338
"uidB",162.64,88.9952
"uidR",754.547,636.069
"malI",550.847,319.077
"malX",424.427,191.32
"malY",584.034,389.639
"add",839.402,802.021
"ydgJ",741.932,806.565
"blr",2145.28,2703.8
"cnu",3090.89,3575.4
"ydgK",2552.52,2885.58
"rsxA",3793.81,3952.7
"rsxB",6061.02,6798.54
"rsxC",3568.81,3726.37
"rsxD",1724.37,2353.33
"rsxG",1716.59,2340.6
"rsxE",1137.65,1412.02
"nth",729.01,914.293
"gstA",1292.17,1280.09
"pdxY",803.664,1088.3
"tyrS",2862.48,3091.99
"pdxH",631.095,747.24
"mliC",834.015,1198.84
"anmK",392.25,369.18
"slyB",5935.97,8786.25
"slyA",2327.85,3022.38
"ydhI",1108.35,1368.76
"ydhJ",542.114,601.874
"ydhK",436.278,271.257
"sodC",471.395,331.253
"ydhL",162.16,76.1844
"nemR",549.357,382.948
"nemA",730.539,680.058
"gloA",2170.9,2832.55
"rnt",983.725,874.42
"lhr",269.435,104.69
"grxD",2975.63,3850.94
"mepH",1219.9,1628.7
"sodB",7944.35,10214.3
"ydhP",971.772,890.325
"purR",2812.13,2539.34
"punR",471.365,299.984
"punC",717.562,338.468
"cfa",1775.78,1513.89
"ribC",634.702,824.87
"mdtK",3567.22,4032.25
"ydhQ",884.402,1113.16
"ydhR",7844.98,5288.39
"ydhS",422.143,108.611
"ydhT",358.445,186.946
"ydhU",352.832,188.541
"ydhX",306.573,131.802
"ydhW",302.318,143.333
"ydhV",202.433,88.2483
"ydhY",274.27,123.109
"fumD",426.899,344.989
"pykF",2744.41,2662.35
"lpp",9224.16,10303.7
"ldtE",657.811,649.095
"sufE",187.502,72.9151
"sufS",293.506,164.135
"sufD",281.955,153.931
"sufC",273.467,129.957
"sufB",389.212,192.399
"sufA",313.497,200.636
"rydB",864.362,374.5
"ydiH",1074.25,1045.21
"menI",358.245,385.189
"ydiJ",220.14,372.408
"ydiK",624.529,646.527
"rprA",2552.37,1618.7
"ydiL",434.886,168.33
"ydiM",164.622,34.2033
"ydiN",185.197,63.2135
"ydiB",277.814,179.881
"aroD",295.836,276.531
"ydiF",455.941,191.019
"ydiP",236.534,191.464
"ydiQ",289.513,118.652
"ydiR",214.246,92.7266
"ydiS",249.06,109.25
"ydiT",239.168,87.6574
"fadK",163.83,109.436
"ppsA",1155.61,4664.09
"ppsR",677.397,828.202
"aroH",530.889,1012.93
"ydiE",537.162,299.331
"selO",1166.84,616.585
"rflP",722.843,852.086
"nlpC",1264.22,1566.68
"btuD",723.398,679.036
"btuE",775.313,856.989
"btuC",957.545,860.173
"ihfA",2457.12,3267.37
"pheT",3767.87,4927.92
"pheS",4986.28,5696.76
"pheM",720.194,623.141
"rplT",6282.42,6435.04
"rpmI",11298.4,12985.7
"thrS",5917.62,6959.37
"ydiY",3285.98,6387.21
"pfkB",719.206,598.645
"ydiZ",376.837,286.236
"yniA",855.039,534.167
"yniB",1008.7,1181.35
"hxpB",1441.88,1491.65
"ydjM",1357.37,859.392
"tcyP",820.012,606.388
"ydjO",203.152,74.3464
"cedA",1070.23,1027.26
"katE",251.12,93.9339
"chbG",483.52,288.48
"chbF",281.801,205.045
"chbR",247.419,218.435
"chbA",329.163,215.214
"chbB",592.071,606.562
"osmE",527.312,459.233
"nadE",980.264,1096.89
"cho",993.769,292.641
"spy",626.667,741.068
"astE",239.516,119.059
"astB",254.334,118.435
"astD",407.964,238.842
"astC",309.373,160.089
"xthA",1025.44,1094.1
"ydjX",336.514,149.98
"ydjY",338.368,219.11
"ydjZ",172.927,121.285
"ynjA",515.898,396.144
"ynjB",538.288,449.528
"ynjC",197.21,98.8975
"ynjD",262.483,136.301
"ynjE",204.54,154.257
"ynjF",268.089,226.147
"nudG",266.436,420.414
"ynjH",392.802,353.928
"gdhA",1032.33,968.205
"topB",468.066,466.328
"selD",2012.58,2124.37
"ydjA",1650.97,2153.56
"sppA",593.825,559.429
"ansA",1203.05,2604.99
"pncA",696.309,1383.93
"ydjE",226.85,135.766
"ydjF",525.451,530.985
"ydjG",350.15,229.63
"ydjH",303.116,185.417
"ydjI",297.415,206.101
"ydjJ",217.301,132.81
"ydjK",184.781,55.9288
"ydjL",213.491,76.479
"yeaC",780.471,763.39
"msrB",910.451,899.464
"gapA",4807.36,3331.79
"yeaD",436.791,194.333
"yeaE",869.719,570.328
"mipA",2443.73,2821.39
"yeaG",529.876,250.315
"yeaK",1079.99,1298.16
"yoaI",236.575,123.353
"yeaL",882.19,773.581
"nimR",730.06,447.991
"nimT",333.21,203.494
"yeaO",531.92,328.183
"yoaF",859.705,873.525
"yeaQ",808.051,1078.31
"yoaG",361.368,196.866
"yeaR",369.947,154.113
"leuE",894.018,1811.18
"dmlR",274.341,123.971
"dmlA",319.377,147.072
"yeaV",176.847,52.8908
"yeaW",348.413,169.941
"yeaX",253.741,113.797
"rnd",1616.31,1973.12
"fadD",1155.06,1134.16
"yeaY",1492.25,1877.84
"tsaB",1617.77,2139.55
"yoaA",558.13,363.584
"yoaB",1184.28,1397.38
"yoaC",696.469,1383.32
"yoaH",2001.42,2273.53
"pabB",549.302,525.593
"nudL",636.184,588.678
"sdaA",3778.94,3778.47
"pdeD",366.495,158.437
"yoaE",490.939,397.514
"manX",719.453,720.732
"manY",742.752,581.387
"manZ",481.897,399.016
"yobD",294.752,214.669
"mntP",810.184,936.542
"rlmA",1396.92,1451.24
"cspC",3705.16,8517.02
"yobF",3229.47,7076.17
"yebO",2038.11,3372.24
"mgrB",2374.91,3380.69
"kdgR",1214.09,1877.59
"htpX",3898.48,5413.65
"prc",2179.55,3294.5
"letB",553.787,397.648
"rsmF",1025.66,988.409
"yebV",795.722,406.009
"yebW",1520.2,1228.67
"pphA",423.676,233.923
"ryeA",615.51,507.786
"yebY",2018.13,2518.2
"yebZ",1891.57,2026.51
"yobA",2742.99,3075.55
"holE",2518.14,1715.32
"yobB",559.903,408.842
"exoX",1033.71,788.773
"yebE",1403.84,727.136
"yebF",4399.74,1508.28
"yebG",4775.07,2196.99
"purT",369.161,255.151
"eda",1434.81,2147.52
"edd",295.27,153.383
"zwf",2004.41,2940.9
"yebK",526.277,458.923
"pykA",614.788,648.424
"lpxM",1313.59,1222
"mepM",1025.25,1418.05
"znuA",749.602,927.125
"znuC",1087.94,1007.79
"znuB",1330.45,1138.64
"ruvB",2117.83,1196.83
"ruvA",2881.04,1646.77
"yebB",305.506,137.301
"ruvC",2254.33,2392.51
"yebC",4412.46,5655.91
"nudB",4724.97,5105.25
"aspS",6674.23,7299.01
"yecE",493.826,441.176
"yecN",4516.28,3531.84
"cmoA",4833.4,4487.41
"cmoB",3071.31,3851.84
"torZ",424.889,231.124
"torY",363.357,178.866
"cutC",731.108,705.329
"yecM",1009.68,1084.43
"argS",3203.95,3446.73
"yecT",346.274,259.414
"flhE",191.891,133.042
"flhA",326.419,118.425
"flhB",306.176,224.656
"cheZ",479.048,668.052
"cheY",291.468,534.997
"cheB",288.321,399.185
"cheR",249.595,544.714
"tap",272.621,494.284
"tar",381.202,762.132
"cheW",361.143,997.381
"cheA",614.089,1459.42
"motB",624.159,1533.63
"motA",573.544,1902.35
"flhC",315.678,357.398
"flhD",271.462,469.089
"uspC",382.367,280.239
"otsA",431.727,209.02
"otsB",265.774,131.496
"araG",316.453,122.892
"araF",304.622,157.843
"ftnB",395.673,527.077
"yecR",156.493,89.6658
"ftnA",1473.58,4110.13
"yecH",212.921,123.34
"tyrP",764.835,779.569
"yecA",2294.68,1699.58
"pgsA",524.514,1015.99
"uvrC",635.721,631.74
"uvrY",3048.59,2932.77
"yecF",1687.24,2503.12
"sdiA",838.358,878.936
"tcyN",487.477,462.109
"tcyL",517.986,479.156
"tcyJ",965.646,1299.67
"fliZ",294.731,393.22
"fliA",269.979,504.942
"fliC",637.355,3811.89
"fliD",272.002,727.457
"fliS",243.338,867.428
"fliT",225.382,601.909
"amyA",298.621,333.21
"yedD",2090.76,3723.06
"yedE",991.156,886.588
"yedF",650.532,460.771
"yedK",302.203,73.6402
"intG",362.791,179.067
"fliE",192.295,109.42
"fliF",227.092,148.017
"fliG",296.25,181.257
"fliI",290.355,209.481
"fliJ",289.398,166.029
"fliK",319.384,71.8195
"fliL",212.226,374.822
"fliM",297.013,292.073
"fliN",274.917,274.126
"fliO",299.991,168.85
"fliP",267.223,150.19
"fliQ",323.766,160.103
"fliR",294.298,115.198
"rcsA",214.031,143.247
"dsrB",401.027,421.577
"yodD",328.535,199.477
"dsrA",301.474,187.139
"yedP",335.952,166.237
"dgcQ",430.813,229.38
"yodC",946.819,860.677
"yedI",978.858,1154.11
"yedA",489.959,373.842
"vsr",581.548,396.135
"dcm",1165.47,1430.35
"yedJ",1971.74,2311.85
"hchA",1463.76,772.772
"hprS",234.665,288.286
"hprR",799.049,1124.44
"hiuH",594.25,465.013
"msrP",855.331,607.588
"msrQ",833.23,579.806
"zinT",390.466,225.232
"yodB",360.127,154.298
"mtfA",359.298,282.39
"yeeJ",368.146,136.925
"shiA",438.488,290.494
"amn",384.748,302.612
"yeeN",1458.17,1456.73
"cbl",333.308,203.103
"nac",302.343,172.256
"ldtA",633.105,588.352
"cobT",418.303,468.958
"cobS",1497.83,1953.35
"cobU",1370.41,1589.99
"yeeP",257.263,156.12
"flu",317.656,176.659
"yeeR",397.306,205.238
"yeeS",410.744,118.993
"yeeT",496.392,200.054
"cbeA",139.613,74.3701
"cbtA",308.263,120.719
"yeeW",767.141,663.178
"tmaR",2672.42,2322.56
"yeeA",741.401,580.774
"sbmC",551.391,336.47
"dacD",276.45,190.739
"sbcB",561.013,522.669
"tsuB",598.386,402.882
"tsuA",560.209,448.988
"plaP",5886.98,6795.33
"yeeY",487.149,217.048
"yeeZ",796.122,774.096
"yefM",16.4713,3.28436
"hisL",3276.39,2355.76
"hisG",4970.26,3176.37
"hisD",1980.21,1079.97
"hisC",2727.78,2094.24
"hisB",1312.75,1010.32
"hisH",1607.47,1205.92
"hisA",1584.82,1075.56
"hisF",1336.64,1110.03
"hisI",1303.38,867.237
"wzzB",2706.11,3818.15
"ugd",857.043,668.678
"gnd",2875.85,5994.71
"wbbK",2717.89,4484.07
"wbbJ",2409.85,4032.25
"wbbI",2403.71,5079.08
"wbbH",3092.95,5036.94
"glf",2111.68,3700.9
"rfbX",1855.36,3081.59
"rfbC",1816.55,3126.6
"rfbA",3451.67,4789.94
"rfbD",2974.95,4163.32
"rfbB",4388.67,5296.54
"galF",3009.46,5430.9
"wcaM",235.211,195.943
"wcaL",320,96.4021
"wcaK",255.552,136.731
"wzxC",445.96,190.087
"wcaJ",405.706,168.36
"cpsB",188.96,130.811
"wcaI",285.839,162.127
"gmm",290.224,166.617
"fcl",246.533,155.261
"gmd",248.281,157.127
"wcaF",229.083,93.9684
"wcaE",150.329,69.481
"wcaD",246.388,112.169
"wcaC",175.85,93.6589
"wcaB",205.159,80.3416
"wcaA",312.984,129.887
"wzc",99.2272,69.5496
"wza",199.442,82.0994
"yegH",545.242,644.989
"asmA",715.13,828.271
"dcd",2552.63,3672.84
"udk",2883.45,5553.53
"dgcE",276.191,197.352
"alkA",256.575,132.456
"yegD",1988.69,2141.94
"yegI",468.578,209.649
"yegJ",507.081,470.404
"pphC",308.614,113.846
"yegL",235.566,124.647
"sibA",401.548,226.568
"sibB",498.666,221.209
"mdtA",445.245,297.416
"mdtB",377.62,187.359
"mdtC",320.876,194.305
"mdtD",356.497,166.257
"baeS",181.323,64.8756
"baeR",618.261,401.473
"yegP",453.352,418.696
"trhP",3721.97,4636.94
"cyaR",3040.6,4276.72
"ogrK",1128.89,1253.41
"yegZ",270.544,211.735
"yegR",208.816,177.748
"yegS",394.649,261.607
"gatD",265.739,269.566
"gatC",684.528,956.955
"gatB",390.414,539.792
"gatA",396.659,663.574
"gatZ",806.87,1357.02
"gatY",1875.04,2790.56
"fbaB",287.053,240.34
"yegT",243.668,112.208
"yegU",439.553,303.267
"yegV",328.662,199.362
"yegW",1292.55,1196.84
"yegX",585.033,513.954
"thiD",564.055,315.316
"thiM",699.053,431.088
"rcnR",794.561,646.755
"rcnA",532.675,352
"yehA",262.918,156.296
"yehB",162.034,67.5377
"yehC",205.313,77.3415
"yehD",233.089,100.389
"yehE",421.868,342.769
"mrp",2495.47,2982.65
"metG",3045.7,3573.67
"yehF",421.565,400.286
"yehI",194.772,83.5734
"yehL",347.455,150.352
"yehM",356.949,177.68
"yehP",147.557,83.2224
"yehQ",203.027,112.31
"yehR",235.966,134.091
"yehS",972.306,1197
"btsR",377.243,283.174
"btsS",267.457,172.689
"yehW",266.739,110.186
"yehX",184.5,100.508
"yehY",229.99,128.373
"osmF",383.488,204.852
"bglX",570.589,710.142
"dld",939.07,1057.81
"pbpG",858.288,797.272
"yohC",274.51,121.185
"yohD",832.36,516.868
"yohF",396.587,205.112
"mdtQ",637.337,503.029
"dusC",1435.83,1913.83
"yohJ",1261.19,2098.67
"yohK",1191.75,1666.96
"cdd",836.708,1024.01
"sanA",750.826,875.68
"yeiS",717.534,1416.48
"preT",467.097,265.544
"preA",341.75,191.93
"mglC",362.703,145.131
"mglA",198.71,136.449
"mglB",288.679,245.012
"galS",348.539,115.865
"folE",3179.49,4019.54
"yeiG",364.526,251.809
"cirA",530.405,246.744
"lysP",1100.64,1282.7
"yeiE",544.035,392.225
"yeiH",715.374,610.32
"nfo",557.862,678.089
"yeiI",461.226,442.617
"nupX",197.402,86.7274
"rihB",224.511,70.9223
"yeiL",404.501,187.712
"psuT",341.699,205.356
"psuG",191.512,60.8109
"psuK",189.076,85.5975
"fruA",1877.77,969.527
"fruK",1441.15,334.349
"fruB",1288.26,119.124
"setB",281.894,194.456
"yeiQ",429.413,224.019
"yeiR",556.07,492.036
"lpxT",1158.83,1546.7
"mepS",4250.69,5042.06
"pdeN",373.065,243.51
"yejA",620.235,513.25
"yejB",473.028,278.244
"yejE",145.181,91.0219
"yejG",686.792,839.405
"bcr",1324.24,1612.45
"radD",540.57,402.66
"rplY",14430.7,13464.7
"yejK",1415.32,1444.88
"yejL",3703.13,4314.69
"lapC",1124.02,1326.42
"yejO",450.711,395.442
"narP",1124.03,1303.24
"ccmH",396.092,544.664
"ccmG",610.758,664.24
"ccmF",587.456,579.263
"ccmE",479.89,540.008
"ccmD",505.983,398.983
"ccmC",1102.63,1199.48
"ccmB",841.715,1242.67
"ccmA",634.657,489.616
"napC",614.123,690.089
"napB",464.988,551.514
"napH",416.769,451.145
"napG",324.151,401.272
"napA",1112.24,1520.3
"napD",536.975,680.937
"napF",445.309,563.106
"eco",3700.63,4840.15
"mqo",335.192,295.316
"yojI",965.497,556.208
"alkB",436.985,304.289
"ada",424.166,346.679
"ftp",1122.35,1248.36
"ompC",2779.15,8883.63
"micF",966.972,879.637
"rcsD",369.856,384.095
"rcsB",1564.74,2658.03
"rcsC",687.643,486.874
"atoS",239.077,113.297
"atoC",175.571,55.8811
"atoD",277.984,64.1714
"atoA",226.686,74.0547
"atoE",339.021,142.425
"atoB",339.017,163.671
"yfaP",379.132,201.285
"yfaQ",300.657,91.5358
"yfaT",490.062,204.197
"gyrA",2747.91,2731.11
"ubiG",1819.36,1471.2
"yfaL",366.542,199.907
"nrdA",2071.37,2077.99
"nrdB",1086.8,1566.85
"yfaE",517.3,629.11
"inaA",849.081,585.703
