"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"ybdF",782.7,999.41,960.24,880.43,897.6,980.26,966.98,853.8,913.49,1056.41,1036.97,1016.53,1233.03,961.18,1116.15,950.2,966.4,951.62
"codB",238.57,200.24,216.81,212.89,217.15,271.09,215.76,193.1,198.82,232.97,303.68,1081.38,243.68,200.28,195.94,217.16,231.72,217.92
"yehQ",4.72,4.74,4.71,4.72,4.72,5.86,4.71,4.71,4.72,4.72,4.71,4.72,4.87,4.72,4.72,4.72,4.72,4.72
"sufA",715.93,699.64,637.84,861.25,871.03,829.17,1355.47,1555.08,2102.18,543.44,654.88,635.44,555.13,855.67,664.07,615.03,700.99,835
"priA",277.69,302.57,324.46,239.58,239.66,245.49,251.81,251.72,239.47,239.13,223.21,237.19,227.97,220.39,198.89,241.64,248.86,264.67
"yfdO",167.86,167.92,166.86,188.12,168.27,186.94,168.64,174.66,156.88,228.85,150.87,262,175.65,168.49,153.79,167.69,171.04,141.26
"idnK",147.9,134.16,148.07,181.27,172.15,233.38,156.31,157.37,123.88,140.87,102.38,134.14,180.51,139.29,141.58,117.03,139.53,141.44
"pgsA",648.15,674.6,705.43,411.09,435.73,473.5,450.99,491.09,503.88,722.38,852.34,890.38,910.33,866.73,876.99,642.64,523.57,690.55
"tfaD",1018.41,1007.93,922.16,1205.47,1203.83,1579.89,968.65,1084.79,1010.73,1593.52,1485.53,3388.53,1832.32,976.74,958.63,1118.94,1254.95,1194.35
"atpA",24466.98,25921.24,24119.58,17625.19,16331.47,18609.42,17980.25,17112.26,16493,21829.01,21280.53,33170.18,16753,14528.63,12717.71,20350.97,17698.72,15971.91
"yhhZ",185.71,190.7,183.4,223.5,205.18,218,211.82,198.48,176.09,223.66,217.6,244.01,214.12,186.02,181.43,229.89,236.03,189.48
"yjfK",176.43,233.94,158.7,165.06,199.41,270.22,181.87,155.89,115.92,160.91,189.1,207.89,160.09,105.38,149.86,103.89,150.86,123.63
"rfaH",343.98,274.91,284.08,201.93,222.04,223.15,225.92,220.44,221.57,138.84,178.59,120.15,160.66,176.15,222.69,232.79,220.5,228.28
"yjgH",161.71,176.29,143.32,197.25,210.09,256.84,183.4,177.96,152.44,170.89,168.82,433.31,184.95,113.54,153.63,130.43,169.23,132.16
"mltG",1518.54,1718.81,1771.71,972.44,1020.42,888.24,1198.34,1195.77,1291.37,924.57,1090.76,1387.1,904.08,951.84,946.08,931.11,972.23,1023.68
"cyaY",5.36,6.27,6.85,5.24,5.03,4.95,5.24,5.28,5.28,5.47,5.61,6.47,5.24,5.31,5.04,5.04,5.33,5.04
"nikD",35.89,28.68,25.72,34.39,33.77,36.22,38.06,34.36,24.76,80.35,66.04,51.81,88.63,59.81,78.16,77.54,85.54,69.25
"insD7",4683.54,4917.6,4234.42,6692.86,6889.76,8279.88,5885.87,5469.52,4443.02,6262.09,5461.04,7837.27,7789.34,5224.99,5483.39,6284.68,5792.93,5226.31
"secM",6115.75,5499.61,5831.42,6214.45,5492.04,5628.4,6152.22,5204.61,5715.02,3916.43,4667.23,6690.84,4899.55,5244.54,5288.48,4064.2,5329.44,5370.93
"ybcL",770.52,975.51,869.51,1132.26,1213.26,1209.11,968.82,921.58,919.09,1012.75,1200.38,1199.9,904.67,714.98,932.01,1020.63,988.67,959.4
"yrdA",322.74,354.67,338.46,395.51,377.39,398.85,475.71,520.53,456.29,467.89,471.69,469.04,549.2,621.11,604.12,421.29,396,415.79
"araF",413.88,443.76,425.38,526.8,574.97,520.37,520.47,441.61,485.48,524.85,516.51,520.75,660.18,521.44,617.33,530.5,520.8,541.14
"rplJ",49761.33,51770.68,48857.83,46929.85,47119.95,49530.45,48363.3,48366.58,48092.7,47851.96,48783.45,53979.34,50735.3,46785.06,45056.15,48516.4,49098.27,48750.9
"yncE",10532.06,12741.06,9779.98,9448.57,9854.58,8622.63,5859.38,6078.94,5988.85,3972.68,4940.87,4179.25,4447.24,6358.35,4742.32,4686.3,4998.75,5093.78
"luxS",3472.79,3895.46,3773.9,3601.26,3678.91,3556.45,4060.53,4283.81,5175.75,3760.1,3639.41,4340.94,4044.32,4119.79,3807.58,3088.31,2765.87,3336.42
"iscS",8511.18,7939.7,7189.2,5146.21,5397.24,5866.36,7555.94,6519.52,6557.59,4420.19,4606.03,6421.19,3566.31,3095.19,3140.14,3842.94,4907.96,4380.14
"baeR",373.74,352.47,347.66,318.89,325.52,284.23,377.51,392.34,413.88,420.72,426.35,334.14,492.57,516.51,499.94,384.87,454.68,382.93
"wcaI",93.64,105.55,72.82,158.06,165.68,161.19,1174.52,1337.03,1685.94,106.54,106.57,106.47,264.54,339.65,265.7,1012.48,872.31,1004.46
"ybeR",13.55,19.78,20.13,21.04,21.46,29.69,22.26,19.29,19.41,21.04,22.48,35.06,22.96,18.67,21.14,20.31,21.28,21.22
"yccA",4109.04,3719.77,4318.04,3751.71,3203.59,3103.33,4090.41,4144.22,4627.91,2740.14,2990.09,5478.71,3177.31,3191.79,2785.81,3050.5,2602.87,3165.31
"yobD",53.15,52.07,59.63,53.13,59.76,59.57,53.14,48.77,53.52,80.72,89.75,146.02,183.07,132.49,149.71,70.43,102.04,105.89
"tdcA",363.78,359.96,346.26,378.7,390.79,458.22,309.81,354.36,310.67,363.47,703.25,574.23,2291.26,1617.08,1811.37,361.27,310.35,333.39
"nadD",1613.95,1484.49,1540.06,1199.86,1186.76,1253.71,1302,1210.06,1466.99,1449.51,1491,2129.75,994.55,1026.22,1062.38,1276.85,1596,1319.2
"lpxP",2438.82,2015.48,2284.65,3050.37,2617.18,2649.89,2581.59,2835.34,2773.37,4714.96,5639.72,6809.95,4019.94,3984.94,3792.03,5068.3,5972.31,5799.93
"dtd",1320.62,1080.18,1093.02,1621.91,1345.99,1500.11,1468.93,1600.48,1741.23,1684.14,2066.26,1845.64,3164.23,2644.46,2503.92,1605.35,1882.89,2069.23
"glsA",132.39,137.48,126.75,195.67,187.99,216.73,185.56,178.47,180.72,185.63,169.58,181.7,261.7,196.37,225.97,194.86,191.46,186.18
"paaG",150.82,151.79,150.67,164.65,150.8,150.78,148.24,146.26,144.19,153.38,129.24,123.4,154.23,156.81,150.85,165.86,150.81,156.06
"yidI",360.19,323.89,296.76,402.91,348.38,409.16,348.81,337.27,291.67,341.21,292.33,299.94,368.07,318.15,324.39,385.22,366.44,351.78
"tolQ",2709.66,2824.26,2621.79,1736.44,1753.2,1514.68,1999.07,1895.23,2240.43,1667.81,1707.78,2768.75,1238.55,1475.54,1449.08,1744.86,1855.62,2032.01
"ycaC",574.87,447.44,459.09,674.92,752.96,756.11,635.87,651.32,552.19,556.99,541.13,495.99,877.93,723.87,855.75,734.85,695.4,806.44
"micA",43.7,53.96,46.67,57.29,57.31,64.47,57.25,57.24,58.52,34.95,55.16,57.27,92.38,63.92,74.34,57.28,70.93,62.18
"yicN",240.59,255.47,223.83,204.05,199.69,223.65,236.17,202.47,230.62,306.94,310.33,629.31,326.59,224.61,229.02,237.97,192.51,185.63
"yhjY",1195.23,1269.01,1243.64,1521.4,1599.19,1418.77,1360.59,1344.62,1134.33,1665.77,1222.45,1224.17,1315.35,1280.67,1223.85,1402.58,1223.69,1227.29
"ybeY",2180.52,1782.41,1885.94,1642.27,1648.13,1626.19,2860.06,2631.71,2763.65,1620.26,1600.43,1706.25,1526.24,1464.61,1544.56,1591.71,1633.49,1565.29
"entF",1491.02,1276.5,1283.81,667.4,673.03,670.34,561.23,524,506.86,558.39,520.23,778.38,562.56,923.25,532.48,403.4,387.44,494.79
"ptsA",2038.1,2554.37,2132.6,3165.77,3044.3,3249.11,2688.23,2591.25,1842.26,2388.09,1891.09,1626.02,3703.9,3112.45,2936.7,2751.6,2559.36,2764.35
"bamC",2417.13,3087.74,2412.36,2134.04,1919.13,2046.45,1735.19,1909.31,2101.96,2402.15,2461.05,3394.77,3012.89,2802.27,2400.71,1804,1825.08,2174.39
"lpp",17586.83,20477.98,14972.9,9153.33,8905.75,5458.37,16411.21,17130.85,16592.36,26559.34,30483.73,6062.75,10413.29,17654.66,17251.01,15221.23,17161.82,17098.79
"yjiX",600.59,625.14,543.19,716.61,539.42,558.51,608.94,686.57,675.23,1617.39,1349.17,1381.51,4132.92,3590.35,3240.91,1897.84,2367.32,2573.22
"yedK",18.72,18.09,19.58,20.09,24.64,28.48,20.08,19.52,19.57,18.1,19.36,19.09,24.43,18.84,19.63,20.75,23.59,20.92
"glpF",5444.77,5732.89,5532.39,3281.42,2980.24,3137.21,2656.55,2993.03,2775.53,1324.67,1529.77,2231.52,11956.83,6461.27,5876.04,2261.93,2189.94,2418.16
"prmB",7311.85,6881.79,7029.27,5398.45,5107.93,4975.52,6400.16,6048.65,6310.25,6864.16,6347.02,6219.42,4995.85,5306.66,5397.48,5531.8,6746.45,5983.31
"ypjF",234.61,182.39,218.7,407.36,391.67,465.18,289.42,275.26,331.29,209.02,157.63,207.83,327.12,248.57,258.48,287.92,374.51,305.98
"dgcN",309.61,305.77,309.13,325.08,309.53,301.97,309.09,288.85,295.19,406.41,350.49,396.66,294.13,288.6,279.6,314.15,339.74,335.54
"pyrF",859.88,940.94,922.85,412.84,372.04,351.01,368.43,404.55,440.65,353.93,301.91,518.63,237.3,292.62,239.17,329.12,232.54,354.4
"gpmA",21237.89,23492.58,22989.8,27684.16,27191.85,25610.94,22602.72,24421.78,24925.59,25471.22,26742.46,18585.51,26361.64,30318.89,29603.51,25916.35,25835.34,27191.92
"sixA",434.25,463.56,466.15,415.86,415.87,415.34,418.59,415.33,430.79,330.54,348.76,397.08,415.55,420.62,416.65,381.84,330.7,408.92
"fpr",993.6,1090.03,1141.67,1364.81,1696.3,1740.1,1559.81,1621.04,1728.05,1206.24,1453.07,1157.27,1702.62,1632.32,2015.3,1401.59,1391.19,1310.25
"trpC",1870.02,1862.2,1858.71,2546.41,1978.86,1984.93,2571.79,2771.78,2850.8,1476.86,1406.38,1117.6,1862.21,1899.3,1855.71,1789.49,1696.75,1706.53
"citT",67.13,78.14,73.41,106.52,118.24,150.5,107.71,101.09,77.41,80.2,76.47,65.95,103.98,61.9,84.19,95.66,129.83,94.28
"znuC",470.26,437.89,433.08,432.53,413.1,401.45,361.29,362.48,298.31,433.24,580.4,432.28,411.7,435.76,434.84,487.97,463.22,456.11
"tabA",1065.22,1233.06,1141.52,1307.52,1207.82,1345.77,1355.15,1345.43,1141.69,1447.27,1358.35,1092.65,1264.6,1238.54,1352.89,1063.25,982.44,1156.62
"frwC",131.55,150.06,131.42,138.94,147.79,188.75,137.67,136.56,130.92,136.57,137.89,143.45,159.04,126.14,136.08,141.02,154.34,138.76
"cysH",9.51,19.25,9.26,9.09,8.41,19.06,9.58,8.77,7.3,9.09,12.84,43.24,9.87,6.5,7.2,5.89,8.32,7.69
"ybcO",204.2,223.66,223.16,255.67,278.51,281.1,254.7,222.9,194.51,223.2,247.8,287.95,223.01,192.91,216.01,220.04,218.9,222.72
"hdeB",1017.09,916.68,946.85,954.72,1027.21,1168.84,916.47,838.75,784.52,1345.35,1410.33,1244.02,1184.78,1136.17,1200.43,991.99,988.77,1008.25
"fecA",14198.58,13955.59,13175.81,10030.31,10050.61,9417.3,8307.73,7472.31,7033.34,5721.47,5288.25,4802.34,2381.86,3375.43,2231.9,3996.69,4286.67,3734.96
"opgD",577.13,527.33,635.64,534.7,501.72,475.75,950.45,1133.7,1345.24,450.87,404.3,510.76,467.94,576.2,528.78,516.06,493.16,560.96
"csgG",47.66,47.69,48.04,47.59,57.22,53.14,47.56,47.48,47.49,49.12,47.54,44.45,49.65,47.61,47.68,47.63,48.06,47.57
"yrhB",270.27,214.33,263.51,310.3,300.32,432.01,334.68,278.08,264.02,262.63,235.51,281.17,294.43,200.19,261.28,318.39,472.56,326.26
"lolB",1422.38,1433.25,1396.89,874.98,917.02,769.09,1625.81,1687.21,2020.68,1425.54,1318.06,1508.42,1264.25,1480.49,1282.91,1284.79,1399.4,1412.31
"ysaA",758.48,540.4,732.17,1085.95,997.3,994.58,806.17,811.62,708.32,2023.96,1374.64,1656.53,3297.52,2555.54,2782.31,1502.63,1301.95,1188.15
"nadK",128.61,119.88,128.31,125.42,124.33,128.05,127.41,114.65,131.7,128.35,133.17,240.38,160.04,140.58,157.34,126.91,128.34,131.91
"ldtD",609.82,537.97,621.84,738.68,726.49,718.99,1217.37,1452.92,1897.83,770.95,856.51,1097.06,1574.7,1518.6,1380.34,1144.52,1152.75,1398.02
"kup",489.77,555.66,488.48,439.36,399.71,440.53,349.84,424.95,424.59,618.55,520.07,1000.55,459.69,457.42,428.19,433.73,461.44,434.71
"murG",1819.65,1572.36,1863.71,1085.05,1250.59,1221.68,1809.68,1782.28,2175.64,1689.96,2024.47,3515.21,1511.6,1580.98,1587.08,1620.83,1410.37,1527.31
"artQ",3784.49,4106.19,3998.28,3624.75,4215.86,4125.22,4370,4447.77,4953.67,7478.32,9728.77,7454.4,4543.79,4866.56,5185.18,5568.7,6281.49,6283.16
"atpE",17555.85,19993.37,17986.26,13040.15,12196.17,15026.28,12880.83,13453.8,12351.95,14268.71,15777.69,22571.37,12104.27,10340.94,9941.98,14061.85,12268.06,12499.75
"yjaG",942.45,1385.45,1066.74,748.22,847.51,712.7,917.61,933.29,899.89,924.87,1184.81,1018.81,887.4,867.29,896.52,937.27,739.75,958.93
"yebG",3715.71,3730.05,3830.51,3286.2,3673.77,2540.51,2981.6,3061.58,3111.85,3348.81,3905.44,2297.92,2681.45,3365.32,3406.17,3339.57,3406.62,3091.06
"agaW",599.24,616.3,578.35,774.01,727.94,886.99,723.16,680.73,560.37,528.4,551.89,314.45,610.38,586.52,612.05,598.98,600.5,584.31
"yjbB",289.98,212,265.31,291.12,289.84,313.26,341.86,307.01,313.52,229.36,259.33,292.84,395.08,301.09,344.3,278.09,292.96,307.37
"kefF",235.93,242.57,235.71,245.45,234.89,240.43,233.8,251.92,280.16,213.2,195.21,205.04,232.15,259.68,235.98,232.76,251.91,237.75
"pncC",426.27,556.31,446.92,425.86,426.19,388.79,572.11,546.77,608.51,342.19,425.23,425.78,385.29,367.97,423.25,362.27,432.52,427.35
"hcaB",6.91,7.44,7.43,7.83,7.44,7.48,7.43,7.43,7.43,7.43,6.09,7.43,7.44,7.45,7.44,7.43,7.43,7.44
"glcA",298.57,273.57,267.67,397.37,392.72,431.96,318.53,295.49,312.69,289.15,246.83,213.2,299.99,273.2,296.51,294.62,293.17,291.75
"ubiI",1643.54,1672.08,1554.2,1067.27,1018.06,1153.22,1391.63,1182.29,1265.91,1440.78,1451.73,1673.41,1573.14,1521.98,1239.7,1020.57,1082.9,1134.38
"cynR",441.95,431.93,401.28,689.89,607.08,639.41,503.66,512.11,480.03,417.87,296.3,284.4,583.08,394.93,468.4,485.15,509.96,476.42
"fliK",408.06,254.19,371.46,654.2,610.45,556.15,483.93,485.61,330.09,362.14,296.03,119.65,510.46,475.55,442.66,724.28,480.28,498.43
"ruvC",1394.81,1215.05,1200.6,611.84,718.75,740.65,808.2,846.75,883.85,768.42,865.75,846.13,672.81,556.9,604.36,621.9,750.23,685.11
"cbrB",633.14,633.65,617.17,600.89,646.33,748.4,601.58,567.25,510.31,818.11,646.9,799.01,633.84,438.18,574.13,727.11,780.59,633.46
"dadA",996.16,1050.1,1001.34,910.48,822.78,792.12,673.5,848.3,859.71,252.5,388.05,453.23,570.3,417.61,440.8,491.34,429.78,600.88
"pyrD",10.5,18.35,10.76,4.87,4.96,5.51,5.6,4.99,5.27,5,7.38,16.44,5.2,4.65,5,4.81,5.21,5.2
"yegP",765.76,751.36,734.31,908.82,971.32,886.17,886.33,762.42,736.81,886.3,902.59,676.64,940.09,789.75,939.23,1120.43,1111.73,1011.35
"ugpE",307.75,308.18,245.55,408.49,370.24,440.48,307.79,313.09,307.32,284.18,272.05,133.3,303.04,277.48,283.76,324.17,309.19,310.34
"nrdD",2333.89,2420.82,2418.88,1362.18,1499.95,1499.24,1396.16,1267.62,1141.79,4163.47,4478.51,6850.91,4015.73,4166.45,3530.76,2863.58,2931.69,3286.98
"clpA",1155.18,1293.96,1367.62,1478.78,1492.22,1509.37,1938.64,2196.02,2492.59,2956.82,2785.95,2642.98,6451.42,5777.96,4857.44,2663.51,2015,2509.8
"tusD",1916.02,1872.04,1790.8,1516.88,1443.06,1594.47,1687,1715.99,1850.96,1551.87,1510.68,2284.26,1114.52,1301.08,1082.67,1076.86,1353.65,1288.65
"mraY",2626.77,2778.39,2851.35,1842.34,2087.03,2135.6,2802.18,3035.8,3250.63,2490.31,2339.56,4436.18,1943.44,1848.53,1564.7,1835.02,1777.44,2023.53
"aphA",1818.69,1765.66,1948.4,1811.36,1744.1,1955.59,1517.19,1523.39,1402.64,2236.06,2500.28,2094.23,7855.33,5872.54,5741.71,2572.26,2430.45,2339.11
"selU",183.91,159.78,126.47,176.35,182.31,192.1,170.99,156.44,149.66,171,171.14,172.29,171.22,167.83,171.46,166.06,178.43,171.65
"lpoA",3082.17,3049.11,2836.1,2083.81,2017.2,2014.58,2213.68,2420.88,2443.86,2201.81,2066.1,2511.58,2340.06,2639.95,2184.81,1750.33,2231.8,2044.76
"dmlR",656.97,677.44,676.2,676.65,652.21,531.1,568.81,594.76,512.87,676.37,788.07,495.32,2592.87,2279.71,2385.57,827.24,798.14,812.97
"pinE",66.36,82.78,75.27,72.22,81.07,108.04,72.53,61.57,66.82,66.28,78.97,69.51,73.54,64.66,88.77,94.31,83.48,81.64
"carA",327.29,318.83,357.72,334.75,321.61,343.18,327.98,265.8,232.23,834.65,1663.3,5078.3,344.62,275.23,295.15,313.53,335.48,335.6
"dapA",4129.81,4269.35,3976.03,3413.86,4014.18,4328.92,3546.99,3842.86,4467.07,4465.99,4858.37,5225.98,6231.52,6234.47,6132.5,4930.91,4252.6,4761.09
"mzrA",843.32,741.76,731.18,630.91,498.31,558.1,819.73,849.51,865.58,661.51,693.99,1225.36,484.4,506.96,512.97,545.83,717.04,755.26
"bglA",1575.17,1700.57,1585.37,1571.11,1544.99,1785.74,1537.37,1599.35,1641.69,1606,1669.19,2534.04,2172.79,1846.17,1595.62,1546.78,1271.75,1490.99
"xdhB",414.54,383.73,369.62,445.41,526.49,538.52,506.29,449.42,378.05,515.79,355.4,478.15,542.87,388,418.38,387.23,392.97,418.06
"rep",1404.89,1362.18,1246.13,809.37,775.78,820.24,972.7,905.56,826.65,787.82,701.63,1003.9,671.5,715.58,628.06,610.95,771.41,785.1
"nadB",198.03,194,223.46,351.7,316.38,330.07,271.65,299.06,255.66,283.8,167.71,269.88,253.35,263.17,270.66,262.15,261.56,270.9
