"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"ftsE",1335.44,1583.8,1654.26,1063.62,1071.16,1185.02,1290.94,1446.3,1391.97,1217.91,1408.64,1613.72,1208.27,1210.93,1203.86,1243.3,1294.23,1321.16
"rpmC",22901.02,22963,21993.68,14102.18,13987.51,14215.69,14423.68,14173.02,13066.28,14767.91,14504.27,12966.96,13961.81,12637.36,11507.32,11789.41,11295.82,11417.97
"folK",1284.59,1432.39,1377.59,1524.23,1380.25,1601.81,1470.11,1618.98,1405.03,1446.11,1328.63,1820.43,1223.2,1221.91,1155.73,1125.55,1139.05,1316.14
"fucP",606.9,676.88,606.26,705.27,637.57,940.48,599.58,514.2,416.94,527.51,501.77,572.3,831.59,608.36,653.02,497.59,521.18,505.62
"mlaA",1223.97,1249.01,1265.76,769.26,838.62,842.94,1502.04,1405.97,1824.22,985.21,1161.85,1695.79,891.07,889.51,921.68,709.55,677.86,882.64
"gltA",634.26,733.2,802.65,529.87,568.38,540.78,617.86,804.48,823.53,379.17,529.88,535.27,465.18,388.45,508.16,469.8,429.55,531.47
"ubiH",971.35,1184.02,1076.46,703.51,648.44,629.32,794.46,799.38,879.57,1030.82,940.92,1018.63,1007.15,937.41,911.95,777.48,786.93,789.05
"zapC",849.74,877.84,989.88,585.51,616.76,570.21,725.69,666.32,714.58,1197.15,1349.77,900.58,1190.45,1476.49,1253.45,934.75,959.84,1030.68
"ydfV",5.05,6.14,5.05,5.07,5.71,6.32,5.24,5.1,5.29,6.64,5.21,7.05,5.69,5.06,5.09,5.05,5.63,5.21
"phnI",7.48,6.55,6.47,6.59,7.57,11.91,6.38,6.45,6.46,5.67,5.75,5.54,8.53,6.52,6.49,6.48,6.48,6.49
"yiaB",87.03,88.65,81.1,88.49,92.14,129.45,88.41,88.45,90.06,64.78,78.76,102.69,91.04,39.95,71.91,85.41,118.35,95.26
"yghO",4.92,5.2,4.84,5.84,6.08,7.57,6.51,4.91,4.85,4.92,4.73,4.89,5.49,4.53,4.92,4.91,4.92,5.24
"nagB",978.96,1159.17,1044.32,660.19,629.94,570.46,560.66,615.39,658.98,1179,1464.71,1230.63,1288.59,1186.21,1047.33,1047.58,1140.54,1021.4
"hofN",332.37,332.43,349.49,380.23,395.98,449.58,345.75,333.23,287.13,320.01,265.19,274.76,332.68,316.69,332.41,342.44,347.49,335.39
"flgB",15.01,13.34,13.32,16.11,17.9,18.08,14.69,13.63,11.65,13.54,13.03,9.87,15.11,13.73,13.41,14.55,13.49,14.73
"ybhN",265.24,259.3,264.06,356.18,337.03,318.9,300.84,342.81,341.88,328.86,275.01,273.93,249.36,306.35,286.52,329.64,301.42,359.5
"rof",12.32,13.05,16.22,18.15,18.92,19.01,17.16,19.25,17.11,18.96,19.26,16.31,28.6,20.27,26.63,20.06,19.3,22.02
"fixC",196.06,187.9,168.28,285.76,261.13,286.05,219.18,210.28,191.73,152.02,140.03,109.88,205.47,201.57,201.01,196.14,200.51,203.4
"abgB",183.81,153.37,145.97,220.35,179.6,179.26,238.43,179.23,155.39,258.09,169.4,150.17,179.48,180.07,179.76,181.14,219.31,177.05
"nirC",354.51,476.49,373.54,549.63,553.08,595.93,542.01,453.68,380.28,1224.73,1280.04,634.45,1891.17,1232.73,1429.99,910.31,895.17,1094.44
"pdeA",578.46,584.53,642.9,463.72,474.28,475.21,511.96,507.36,506.49,607.52,595.87,1107.47,499.56,426.35,434.04,416.37,506.29,499.36
"hyaF",5.44,5.43,5.51,7.37,5.55,6.8,5.41,5.41,5.41,5.4,5.62,5.42,5.43,5.43,5.44,5.52,5.5,5.44
"narU",759.47,558.04,659.7,861.13,915.9,734.92,774.55,774.15,765.65,808.69,752.17,586.13,780.77,775.62,806.54,859.46,786.83,790.18
"tnaC",4.12,4.12,4.11,4.12,4.12,4.12,4.12,4.12,4.11,4.11,4.12,4.12,26.61,7.58,6.27,4.12,4.12,4.12
"prs",3538.31,3985.94,3713.48,1700.3,1711.71,1722.24,1584.02,1757.55,1786.7,2016.75,2214.18,4258.06,1621.88,1642.27,1595.44,2066.87,2026.19,2272.71
"tolB",5506.38,5299.43,5502.16,4816.22,4381.02,4713.85,5376.82,5527.21,5936.15,4673.93,5345.11,5694.31,4155.2,4304.17,4361.84,4819.58,4448.99,4893.15
"leuA",385.79,446.98,385.68,508.71,482.51,514.7,627.4,578.05,575.13,395.68,313.38,271.91,455.39,484.04,455.53,451.44,458.45,454.16
"ampE",526.59,539.99,591.44,740.33,818.73,758.72,760,746.31,738.29,915.93,738.74,825.46,1354.88,1305.03,1424.41,842.32,738.69,825.79
"betA",2034.57,1421,1729.97,2419.54,2179.86,2055.41,2126.86,2437.12,2427.09,1027.56,774.21,872.14,1240.32,1656.69,1503.56,1266.91,1179.12,1409.47
"lpxA",5310.69,6227.54,5597.75,3387.3,3780.11,3310.1,3866.63,3657.24,3880.39,4454.31,4193.15,5696.61,2942.92,2880.31,3283.29,2879.73,2792.38,3171.86
"napA",64.31,66.36,58.54,71.24,75.02,57.48,53.59,52.6,56.77,364.18,384.51,226.17,367.09,439.06,603.93,389.65,499.8,405.83
"mcrB",942.88,958.99,966.13,848.44,825.05,868.89,842.19,833.3,777.59,1096.99,984.72,1444.66,849.36,703.55,716.89,825.09,703.98,791.89
"ilvL",470.79,421.84,494.84,376.25,353.47,320.4,622.34,569.59,682.58,676.74,787.39,499.02,454.66,515.74,529.37,484.41,383.45,499.84
"rpsT",8963.66,10083.95,9208.48,4538.17,4060.86,3396.56,6234.97,6431.68,7272.23,6313.84,5752.43,3788.63,1492.54,2850.16,2642.99,3678.62,3809.93,3692.53
"dtpB",628.06,599.09,556.42,599.05,597.49,628,533.31,603.58,503.16,676.06,675.18,872.89,2474.12,1745.58,1498.15,765.92,847.15,856.72
"yehY",269.77,322.94,318.94,316.32,343.06,333.07,402.34,460.88,496.06,396.56,321.92,235.07,307.64,326.81,389.16,461.58,394.54,462.23
"fliT",103.81,98.21,103.66,134.53,103.81,103.58,103.56,103.49,103.64,103.68,103.65,94.5,103.54,104.24,103.94,103.84,103.71,105.84
"rybB",110.87,151.32,104.8,170.39,163.49,182.47,182.91,147.19,128.41,102.28,127.03,58.89,90.72,125.34,125.11,114.1,175.93,127.81
"tyrR",1630.25,1505.32,1758.47,1239.94,1312.83,1297.95,1231.95,1274.45,1416.46,1739.39,2216.11,1845.48,2253.03,2531.28,2619.61,2337.16,2172.71,2035.03
"proY",997.07,1112.64,1001.04,688.54,717.93,748.09,738.09,792.1,761.58,721.74,721.74,1300.49,635.11,572.66,506.76,543.35,616.86,630.42
"yhdV",247.75,218.88,224.99,368.13,401.52,308.61,384.58,390.21,350.11,236.6,245.67,189.9,206,335.97,314.75,257.9,281.31,282.13
"ygbI",1489.13,1404.97,1423.96,1823.71,1581.8,1709.77,1423.21,1583,1357.62,1192.01,1174.92,1179.14,1745.71,1715.66,1600.89,1381.94,1422.37,1360.1
"stfQ",15.71,24.26,15.87,16.82,19.93,18.41,17.01,18.03,16.51,20.74,19.23,27.58,16.84,15.72,17.03,16.82,17.23,16.57
"menE",204.73,208.25,190.58,178.97,170.38,218.24,185.74,169.95,123.36,181.54,245.36,331.58,180.5,151.32,154.19,180.88,249,188.26
"trpR",717.86,697.51,729.54,674.75,698.93,547.84,743.29,781.7,724.81,777.93,637.44,498.19,618.51,589.58,617.95,541.06,526.01,608.41
"emrB",13.18,12.74,12.86,15.41,13.99,12.77,14.95,14.07,15.47,11.47,12.72,15.9,12.7,11.61,9.42,12.72,11.16,11.17
"pphC",5.38,5.31,5.37,5.37,5.41,5.53,5.37,5.37,5.32,5.37,5.36,5.29,5.33,5.55,5.38,5.4,5.43,5.6
"ynaK",57.55,68.22,63.44,70.07,79.78,71.94,68.46,71.29,63.34,70.63,78.24,111.63,70.4,72.35,70.36,83.06,74.85,70.54
"ecpA",333.99,304.71,332.82,391.61,362.63,444.71,384.44,381.82,332.82,332.87,318.27,250.43,332.82,333.21,311.2,333.63,333.01,333.39
"metA",235.92,223.38,249.23,261.66,249.9,271.28,261.03,300.85,227.04,279.17,249.42,249.17,249.46,215.27,249.47,249.62,253.54,247.21
"ynfB",5205.2,4564.55,5148.48,4595.42,4187.4,3820.59,5274.92,5267.29,5706.47,5330.17,5523.99,5009.19,5053.65,5489.89,5434.97,5664.75,5378.04,5723.04
"tufA",44838.22,45123.23,46390.37,40236.75,42427.55,45205.39,43059.98,43409.43,43922.14,41220.32,43683.55,44275.86,44522.64,44143.44,42306.04,42793.36,45702.02,41527.54
"fadA",304.31,347.79,304.03,423.81,477.17,475.03,362.32,394.69,304.52,347.32,300.05,269.92,469.95,390.61,466.49,446.31,384.23,385.92
"rsxG",307.38,308.7,347.16,163.17,171.4,160.49,225.28,277.95,287.99,232.88,222.62,413.35,71.78,118.34,119.82,146.45,136.79,171.41
"malE",10896.83,10574.5,8685.72,8238.31,9180.53,10034.47,7834.03,7363.97,6189.53,9264.82,11637.93,7626.19,19334.8,20178.23,18499.81,7628.2,6900.4,6425.51
"yidE",441.1,438.29,364.17,426.82,408.33,480.06,439.28,415.43,365.32,559.07,561.74,686.34,881.16,491.02,613.56,440.82,452,416.37
"hypD",674.93,688.85,685.33,935.36,900.36,852.84,808.23,824.26,814.7,2061.68,1505.88,1447.65,6157.4,4996.96,4655.08,1799.46,1879.75,2242.16
"dxr",1929.1,1919.83,1902.21,1095.42,1114.54,953.55,1821.67,1801.15,1956.69,1291.71,1077.85,2112.96,960.33,1342.96,960.26,1009.9,1129.6,1130.83
"glvB",182.62,201.63,199.82,222.57,208.94,245.87,200.01,199.73,137.44,290.2,200.17,337.41,199.99,168.83,180.57,184.72,205.88,180.22
"purF",356.75,336.99,281.9,281.99,257.43,243.54,260.48,280.23,277.57,296.4,280.82,662.04,281.71,284.76,247.57,282.3,281.94,283.39
"amiB",859.74,879.97,707.72,640.84,636.06,602.45,751.13,750.87,640.5,580.49,664.89,567.19,694.82,698.46,638.77,600.48,630.48,684.14
"purC",1532.62,1561.27,1510.16,1590.37,1507.85,1491.28,1071.86,1188.01,1091.58,1653.85,1768.81,2064.99,1590.65,1604.4,1564.11,1653.62,1699.84,1657.51
"csgF",50.55,43.95,50.51,50.63,57.41,59.97,50.59,48.81,38.8,50.63,60.63,50.59,50.58,50.52,55.17,50.56,63.65,50.78
"rplM",41775.59,40404.74,38149.56,34823.98,34245.9,35186.29,36327.91,35286.55,35796.18,33806.3,34073.73,36777.36,26486.75,24750.18,24831.58,30790.09,27384.33,28834.38
"phoB",71.58,75.59,69.45,76.05,103.21,81.93,84.28,75.22,75.47,75.48,75.26,75.12,84.03,75.2,75.91,75.73,75.4,76.2
"yggF",111.72,123.6,113.63,122.48,144.76,156.88,122.4,122.35,122.43,129.21,113.39,141.54,122.43,122.81,120.93,124.31,105.02,102.19
"trpS",4913.3,5178.89,4652.78,4342.2,4314.79,4315.04,4011.89,4115.96,4316.67,4333.89,4265.29,4466.44,4260.25,4887.62,4067.5,3920.07,3360.02,4277.7
"rutF",37.17,37.19,36.4,44.93,41.18,37.21,37.14,37.11,36.42,36.41,36.29,32.63,37.2,37.29,37.23,41.37,44.54,37.27
"ybiI",677.58,629.97,644.27,510.47,554,696.59,427.09,422.05,348.02,418.84,423.36,421.02,392.46,394.33,349.73,397.04,412.03,389.23
"ycaP",247.72,278.36,304.6,407.45,382.2,434.1,429.97,477.31,494.58,518.11,414.33,993.74,480.66,530.64,443.12,427.2,371.99,466.94
"sapA",2115.18,2023.48,2312.47,1775.07,1517.95,1655.34,1778.45,1635.59,2062.99,1461.88,1444.94,2494.5,2022.26,1923.16,1778.72,1840,2015.54,1834.02
"hslU",5354.47,5475.09,5640.19,6098.69,6094.79,6204.56,10485.97,9867.67,11655.61,3765.04,3863.54,4553.24,2965.46,3526.09,3589.79,3882.02,3830.75,4364.45
"dgcZ",285.36,231.02,231.75,416.71,697.71,428.59,463.04,561.07,814,332.72,290.04,390.66,329.66,315.57,352.67,303.36,348.53,454.36
"xylA",375.92,406.78,331.9,390.11,393.37,476.98,356.48,308.69,283.79,443.7,416.57,687.87,416.84,336.8,305.77,342.12,373.47,316.32
"fryB",340.96,348.24,299.64,502.82,457.3,449.78,422.89,392.84,342.09,414.46,373.87,320.41,379.16,318.83,367.85,420.69,363.73,381.45
"nrfA",624.91,680.13,598.24,719.28,671.54,779.93,681.31,654.69,570.36,1011.95,843.44,819.58,1944.88,1095.99,1203.72,883.17,823.69,789.08
"yibJ",185.95,229.36,187.32,173.45,218.91,346.37,183.16,172.4,145.17,160.46,272.37,182.49,213.85,116.79,172.8,193.82,239.33,233.03
"rplR",33582.04,33587.36,32075.27,31142.77,31295.07,34970.81,32465.61,30587.13,29799.95,29019.78,33174.05,31742.96,28785.55,26888.47,27925.3,30580.23,31062.49,30377.12
"ftnA",1382.9,1156.42,1382.45,716.79,625.97,671.21,831.14,889.07,1116.36,1203.53,1180.61,733.9,878.88,922.48,914.44,908.07,983.41,914.37
"rlmB",455.57,450.26,441.79,349.03,276.71,331.48,357.44,339.38,368.26,355.44,346.46,367.31,307.93,303.44,334.58,313.97,306.58,311.88
"ynfH",83.43,68.67,83.07,83.1,79.57,84.71,82.7,82.66,83.06,83.1,76.32,97.5,115.49,93.95,87.07,83.33,99.09,83.85
"uhpC",578.12,673.38,597.09,507.83,439.09,700.84,560.36,569.31,511.77,738.58,702.38,1307.09,577.65,436.38,424.99,581.8,532.71,604.25
"uspD",321.06,365.67,343,313.66,381.68,381.53,359.51,342.31,303.74,424.27,481.55,408.89,453.67,408.7,465.54,412.24,416.13,370.54
"yghB",540.79,447.62,528.3,571.04,572.59,605.17,461.21,466.55,462.55,730.02,671.31,616.3,807.32,728.03,846.69,571.21,548.14,555.14
"rybA",1056.38,918.89,995.62,1059.3,930.28,955.62,901.1,968.45,894.5,615.6,897.88,447.97,661.92,610.99,638.75,560.95,619.53,531.79
"ybeQ",718.07,763.6,826.43,1025.01,1020.81,994.11,814.54,812.27,703.55,1005.52,787.2,1098.51,745.38,650.89,804.19,801.57,807.08,716.6
"yehD",119.77,142.76,98.73,136.84,174.65,166.5,151.5,103.65,113.95,200.77,323.32,503.84,240.07,201.17,270.04,174.55,176.98,211.96
"yqfE",144.46,144.63,144.13,144.25,185.56,157.55,152.04,143.11,144.19,144.24,146.73,112.13,142.79,127.83,145.13,144.35,143.72,144.66
"coaD",672.85,588.1,632.67,587.62,538.3,588.36,599.79,624.15,509.31,758.87,518.45,656.14,494.59,441.17,536.26,597.13,574.27,617.15
"pyrS",149,143.43,167.06,153.79,115.25,128.25,140.18,144.35,170.09,261.29,214.26,420.63,183.86,209.55,169.14,205.96,177.03,210.8
"hycG",120.51,120.58,120.33,146.51,133.65,183.35,148.99,120.33,120.35,117.09,102.09,82.97,120.32,120.57,117.59,120.46,120.45,117.92
"yddG",71.34,61.68,71.24,71.28,71.27,71,71.28,71.2,73.22,71.26,78.13,71.31,70.81,74.9,71.68,71.26,71.32,71.34
"cysP",1019.81,1250.87,1108.89,1685.75,1552.19,1568.13,1329.24,1304.47,1256.75,15230.78,17025.39,25294,1969.26,1858.66,1612.11,1592.09,1419.41,1450.63
"yqgA",55.1,39.43,41.09,66.31,59.59,91.14,63.59,49.64,33.75,88.7,64.71,154.83,152.64,103.76,124.13,61.44,56.78,46.78
"yfhR",95.23,98.06,95.08,95.09,95.18,96.91,100.36,101.47,100.81,94,95.11,93.15,95.08,79.76,81.92,84.79,95.11,93.93
"rcsF",1996.06,1934.96,1960.46,1106.29,1055.92,1287.27,1570.46,1410.3,1578.66,1479.47,1377.47,1884.75,1212.36,1097.5,1170.68,1073.7,1389.08,1331.94
"wcaB",45.72,44.96,37.72,57.52,46.64,49.22,444.97,546.36,949.86,44.93,41.16,41.51,69.83,115.73,102.09,268.68,170.28,247.65
"rpsR",23955.63,23577.85,24143.54,19054.45,18912.99,20843.32,19979.79,19642.66,17814.95,16080.84,18780.18,22526.84,11476.84,10487.76,11330.51,14844.77,15090.94,13999.07
"arcB",652.21,706.87,679.59,554.92,536.57,536.69,568.02,658.7,663.09,969.58,1037.43,1264.33,1425.14,1112.23,1011.94,632.3,755.06,729.34
"gspG",433.15,498.84,550.43,667.93,732.93,747.14,591.36,626.69,515.47,582.99,450.06,467.93,579.06,585.42,632.11,583.9,582.99,653.37
"treR",511.08,456.33,510.27,508.29,514.64,575.03,906.21,807.14,847.37,464.91,359.23,714.02,534.47,512.06,511.21,499.67,467.17,497.08
"elbB",751.81,904.68,867.93,727.24,849.43,812.79,866.43,941.48,896.21,1138.64,1011.7,1730.84,1396.88,1282.62,1267.88,929.51,823.97,952.56
"fabD",17037.74,18337.2,18059.39,14589.1,14892.7,14720.93,14777.98,14474.13,15494.04,13215.07,15505.24,15426.55,13863.3,11434.06,13085.51,12882.18,13291.96,11859.15
"tomB",7318.4,8055.88,7542.22,7144.01,6985.02,7009.83,11896.5,11813.24,12875.72,7549.84,7255.32,5565.33,7476.45,7554.85,8292.55,6761.92,8283.26,9253.48
"rhsC",34.69,24.41,24.42,34.7,35.28,34.69,29.04,34.68,34.7,34.84,34.7,33.94,34.71,41.38,34.76,56.63,45.04,42.99
"hycH",195.28,176.51,164.59,292.96,243.05,257.17,226.53,239.38,182.73,171.41,161.54,145.01,199.61,205.78,258.56,213,248.51,232.3
"csgB",68.25,70.87,64.93,78.72,107.72,90.26,76.3,81.12,66.71,68.1,101.38,104.21,68.15,64.88,77.59,87.02,92.44,77.48
"xisE",108.91,147.77,118.19,105.77,144.36,154.58,133.84,105.22,106.45,128.36,206.69,134.21,162.86,86.03,133.94,133.88,178.63,134.03
"greB",2676.52,2942.37,2882.85,2882.56,2911.97,2755.56,3433.93,3558.81,3363.42,2587.26,2926.61,1873.49,2902.79,3255.87,3441.02,3413.08,3037.03,3283.26
"yfdQ",58.23,64.18,57.08,61.76,58.24,63.15,57.95,56.44,58.13,74.64,58.24,104.69,57.89,58.27,54.5,58.26,56.52,58.27
"acrD",401.39,435.48,462.4,650.61,580.43,615.88,787.53,823.28,926.78,433.75,472.43,394.79,547.97,487.6,426.7,550.61,520.03,625.49
"ygeX",363.47,392.84,351.24,520.57,489.49,635.44,461.77,470.25,410.85,432.1,350.83,321.68,418.62,342.91,403.64,411.32,398.2,412.17
"rpmB",31748.09,34629.22,32542.42,28133.07,27885.73,28116.75,29429.92,28848.28,28978.79,28870.02,29333.97,25212.55,20552.4,19747.8,18916.84,25397.07,20687.35,26499.97
"gltS",1385.9,1408.31,1212.95,1329.51,1404.75,1643.26,1146.22,1233.89,1093.71,1676.79,1620.05,2149.01,1531.71,1208.44,1426,1358.88,1498.29,1475.37
"thpR",389.89,425.16,380.96,378.93,351.16,401.48,384.13,409.03,404.72,382.44,384.33,402.13,384.4,332.12,388.86,286.67,392.99,404.17
"yqaB",269.58,194.58,263.38,178.56,170.94,114.67,181.7,179.67,180.25,185.89,179.81,196.51,164.28,179.02,175.8,181.96,179.81,178.76
"purR",854.78,1029.64,838.89,527.14,512.05,468.21,563.93,563.9,566.88,592.74,566.8,609.78,465.57,586.94,529.46,564.54,535.26,600.47
"aceB",58.05,77.56,68.37,97.15,87.56,97.49,92.87,79.01,73.58,91.21,76.91,91.32,118.66,68.61,72.4,75.91,98.34,83.15
"sufD",1166.85,1232.54,1244.85,1238.64,1320.53,1481.09,1934.35,2222.95,2411.14,880.28,969.22,1242.54,1251.08,1595.27,1231.37,997.8,1017.49,1261.72
"phnG",354.53,354.32,298.69,510.23,496.08,490.91,353.26,350.55,319.01,319.15,319.14,149.91,368.84,329.21,354.19,374.63,372.4,357.74
"gudP",331.72,367.05,226.52,398.48,382.81,470.41,372.21,366.72,358.51,366.95,367.12,366.98,398.12,367.65,371.61,361.94,367.14,367.56
"lsrR",135.32,136.29,124.39,147.09,147.24,143.18,138.94,115.02,147.04,176.25,171.15,210.88,374,286.98,243.08,144.13,142.2,147.29
"nrdE",590.99,447.93,419.47,497.11,481.28,434.82,723.86,819.5,807.78,349.87,318.19,188.93,187.98,334.99,237.53,252.53,256.45,324.72
"dgcT",142.09,160.78,166.39,183.58,184.3,183.92,177.88,150.61,146.46,160.54,263.94,183.8,196.08,183.7,197.07,211.23,222.16,217.17
"dgcQ",268.02,243.62,270.31,300.39,278.71,247.15,252.2,294.06,295.9,314.62,301.26,302.2,296.22,318.96,335.02,314.99,296.66,327.89
"ygjV",568.99,501.43,567.09,702.88,696.48,768.8,622.85,646.65,535.16,551.22,496.04,385.55,800,523.21,569.8,585.42,568,557.17
"malS",4.93,6.67,4.85,4.7,6.66,6.55,7.12,5.17,4.69,16.07,30.05,8.04,10.06,6.68,13,5.07,7.98,6.18
"yjjG",275,236.32,225.39,178.38,155.79,149.6,170.84,159.17,210.54,127.99,134.64,178.82,112.32,129.11,127.4,129.26,129.23,145.98
"tpiA",5620.44,5472.02,4867.6,4651,4688.13,4643.09,4773.78,4956.06,5263.29,9789.74,8431.44,13830.88,11351.18,8810.45,7972.86,6352.12,7043.75,7046.46
"mscS",1930.35,1786.62,2154.97,2300.49,2445.28,2261.2,3290.06,3691.87,3489.63,2372.97,2236.64,3273.3,1742.11,1942.9,1951.81,1990.25,1910.58,2295.84
"yjaH",946.63,962.51,885.82,835.05,795.46,782.98,907.53,939.53,939.25,1082.2,894.25,1114.64,1025.37,998.62,853.76,741.23,894.53,856.59
"rarD",104.68,102.49,84.09,68.55,69.69,76.03,68.46,76.64,68.78,68.56,68.57,86.62,66.7,58.47,66.86,66.77,73.25,68.06
"yjhU",1067.86,1061.83,1097.47,934.16,1100.1,967.39,902.24,923.96,1032.56,1219.77,1107.02,1213.79,1655.81,1570.74,1482.85,1143.88,1063.4,1030.72
"spf",632.11,692.57,738.65,325.69,496.97,632.76,666.5,619.24,568.52,598.81,845.08,625.79,547.39,371.24,507.16,565.82,736.36,692.01
"ydgH",748.96,677.23,802.9,432.61,416.27,385.46,407.89,524.88,641.91,828.6,590.11,1192.16,830.14,937.95,719.15,481.22,483.98,577.68
"yagJ",343.07,361.22,273.63,352.19,393.49,447.21,352.26,318.76,298.72,378.94,394.31,369.41,380.95,352.59,352.37,339.14,352.25,325.73
"tsr",497.42,358.76,364.24,608.78,530.99,488.2,417.03,433.76,415.84,343.84,372.94,198.18,500.86,466.89,414.62,416.48,400.32,394.6
"eutA",25.56,25.55,25.11,27.1,30.16,31.43,25.52,25.92,25.12,21.71,19.94,20.96,25.52,25.61,23,31.64,27.63,25.59
"afuB",5.47,6.8,5.45,6.74,9.21,11.36,8.81,7.05,6.41,6.74,6.74,5.44,6.74,6.61,6.89,6.79,6.98,6.74
"lpd",24019.64,25737.11,22227.23,17152.27,17964.12,18875.87,16684.76,17453.7,16445.77,16323.64,16588.19,26297.79,16412.28,11664.83,10396.7,13460.72,14582.21,10689.69
"arnF",150.56,124.6,134.16,211.8,236.21,241.76,185.27,216.39,167.03,129.62,159.25,129.16,205.85,172.58,192.92,185.42,240.43,205.93
"allC",6.43,6.35,6.43,8.27,6.73,6.49,6.44,6.43,6.43,6.44,6.44,6.44,6.44,6.03,6.44,6.44,6.61,6.44
"yegU",120.63,100.62,100.59,102.18,102.34,105.07,95.91,86.79,89.6,93.49,86.4,79.97,87.88,111.98,92.86,103,104.88,100.26
"yciF",296.37,275.94,347.9,411.83,412.13,419.45,416.42,505.22,551.78,339.57,295.77,377.62,411.3,413.05,403.22,750.21,629.11,699.36
"yzcX",277.07,289.31,242.53,330.5,348.89,386.74,283.45,258.81,190.67,286.52,366.58,328.23,309.62,229.85,303.18,334.95,385.55,337.41
"intS",238.2,275.84,234.08,234.96,234.51,233.3,234.99,236.56,234.84,234.8,235.39,398.65,201.82,180.5,199.66,234.9,235.1,235.12
"mpl",1028.18,1106.15,1063.83,680.21,671.38,776.07,853,948.57,752.46,1057.45,805.24,1337.03,879.99,854.3,684.91,584.01,645.01,790.03
"apaH",2773.78,2648.9,2758.74,3244.84,2851.27,3009.62,2792.37,2844.44,2900.19,3154.81,2643.61,4536.76,2432.77,2838.1,2422.83,2870.52,2978.36,2773.85
"hycE",796.37,643.62,731.49,1236.82,1138.18,1113.61,951.17,912.29,819.42,749.07,563.37,468.84,900.72,770.84,759.43,806.02,847.03,886.81
"ttdA",248.35,258.32,239.96,439.5,395.07,420.37,329.79,308.37,249.4,215.43,192.03,160.2,301.43,288.82,284.28,316.33,296.67,308.49
"ygiB",4304.8,4122.37,4347.16,4119.02,3425.18,3672.9,4664.73,4983.82,4888.95,3147.98,3320.92,3451.93,5233.4,5424.77,5060.87,3995.3,4183.77,4095.33
"dacA",3202.21,3398.16,3114.76,2722.77,2867.06,2870.28,3225.52,3174.75,3633.54,1988.26,2030.4,3509.1,2190.1,2553.91,2290.12,1898.62,2163.09,2051.21
"mngB",607.01,692.52,743.46,833.81,778.89,762.44,671.89,622.68,632.84,893.5,722.61,1023.75,710.86,691.12,736.02,780.49,782.29,754.47
"ykfC",206.75,269.11,242.15,343.7,305.22,390.03,257.37,267.62,272.18,267.64,202.62,237.38,336.2,271.44,275.59,268.06,274.77,268.36
"rffC",1888.77,1969.05,2008.13,1563.15,1381.75,1388.29,1835.94,1961.53,2049.23,2299.29,2378.34,2613.06,1608.23,1536.63,1487.56,1889.22,1806.12,1991.17
"yahG",313.29,342.47,307.19,502.05,427.79,445.74,341.97,347.54,305.42,333.29,288.38,231.5,405.78,342.67,322.49,342.25,360.11,346.27
"cmk",3959.99,4361.17,4504.59,2245.07,2387.44,2327.87,3512.7,3493.21,3835.44,1797.78,2442.7,2867.14,1109.79,1198.8,1155.56,2108.54,2081.18,2150.16
"yeaO",5.08,4.91,5.02,5.07,4.7,5.07,5.08,5.68,5.24,5.01,5.07,5.08,5.72,5.21,6.02,5.08,5.62,5.62
"dedD",1203.12,1266.26,1047.09,842.11,862.19,790.18,789.04,791.35,930.17,839.95,924.74,954.06,818.89,762.09,745.92,790.07,817.97,794.45
"bglJ",774.23,787.73,717.51,892.98,891.18,1025.8,821.04,787.63,775.46,925.02,808.31,1042.5,761.9,763.1,666.59,762.38,786.19,763.37
"miaA",6530.07,6224.04,6545.18,7480.22,8017.28,7552.24,10874.39,11202.76,11653.43,3911.88,4632.21,6506.67,6140.69,6449.4,6101.07,5186.29,4852.7,6213.32
"rplW",27390.74,29877.77,29458.65,24481.86,25346.3,27356.05,25745.68,24755.04,23184.3,23618.58,25148.04,26126.01,22691.35,17946.57,19431.62,22185.78,23585.4,22043
"ugd",899.95,887.71,900.73,539.71,624.67,504.21,3123.18,3157.71,4414.85,595.93,664,776.76,662.67,590.16,698.55,1874.62,2388.29,2362.98
"gfcD",73.91,73.99,73.85,73.75,90.57,73.86,73.87,69.94,73.82,73.86,73.9,73.94,73.91,73.97,74.45,73.82,82.37,73.96
"yihT",290.94,393.78,284.4,413.78,427.78,492.45,371.32,370.81,320.72,390.1,362.62,462.93,560.79,421.24,425.93,434.25,468.65,442.41
"mdtA",5.55,5.51,5.5,6.44,5.55,5.64,6.04,5.54,6.68,5.54,5.5,5.54,5.55,5.56,5.43,5.55,5.55,5.56
"yffM",84.88,107.37,84.35,112.16,112.08,124.22,100.76,78.57,81.65,85.32,82.25,85.35,87,70.16,70.11,85.35,86.69,85.44
"rhlE",2372.61,2155.85,2574.34,1178.94,1185.23,926.9,1526.62,1740.64,1875.94,1704.1,1995.82,2577.42,850.72,873.37,732.42,1167.67,1219.63,1650.31
"argS",6476.69,5924.76,5934.28,3964.77,4359.9,4026.71,4457.01,4288.73,4842.45,3214.39,3123.93,3456.06,2352.06,2879.14,2634.04,3392.98,3780.1,4012.44
