"","3000","3000 | 1","0","0 | 1"
"hrpB",412.3,373,418.4,229.8
"mrcB",1128,908.9,856.8,612.8
"fhuA",3876.6,3862.7,709.3,2139.6
"fhuC",2177.2,1928.9,455.6,1669.3
"fhuD",854,697.1,193.4,705.5
"fhuB",444.3,387.4,91.8,299.3
"hemL",2449,2241.7,2509.8,2031.9
"clcA",1234.2,969.1,844.1,760.7
"erpA",2853,2272.4,2620.2,2066.7
"yadS",470,460.4,681.5,403
"btuF",767.3,499.5,1009,553.1
"mtn",3307.8,3282,2435,2164.3
"dgt",617.1,535.5,533.6,609.1
"degP",671,687.3,562.1,1544.4
"cdaR",300,210.8,278.8,251
"yaeH",1730.9,1804.8,1040.9,1664.6
"yaeI",293.3,167.3,337.6,198.4
"dapD",5741.6,5209.1,5094.9,4303.9
"glnD",2653.1,2184.8,1987.1,2198.2
"map",3624.8,3117.6,2883.8,2850.7
"tff",10376.7,10326.1,10240.2,10312.2
"rpsB",8017.8,7500.9,7003.2,6987.8
"tsf",8066.9,8470.4,7948.5,7623.7
"pyrH",3779.5,3667.3,4540.9,3870.2
"frr",4854.9,4642.5,4949.8,4675
"dxr",1105.4,814.2,957.9,832.3
"ispU",2771.2,2479.5,3529.6,2488.9
"cdsA",2600.3,2227.2,3100.8,1869.2
"rseP",2809.3,2022.5,2748.2,2344.5
"bamA",4682.7,4176.1,4332.5,3856.5
"skp",7643.7,7658.8,6428.3,5785.5
"lpxD",5130,4692.8,4324.2,4426.7
"fabZ",5452.8,5608,5983.1,5052.6
"lpxA",3551.6,2776.2,3150.7,2692.3
"lpxB",2346.2,1739.9,2341,1575.7
"rnhB",1663.2,1159.5,2039.5,1162.4
"dnaE",1177.9,1107.3,1349.9,908
"accA",3973.2,3371.8,3171.2,3015.1
"ldcC",1041.6,742.1,380.8,596.6
"yaeR",1500.3,1094.1,808.1,1049.4
"tilS",1591.9,1288.3,1364.8,1309.3
"rof",1291.9,1057.6,648.5,898.9
"yaeP",2739.8,2326.8,1471.8,1726.8
"arfB",1444.3,1002.2,881.7,867
"nlpE",1305.3,939.3,677.8,734.6
"yaeF",243.8,163,274.3,211.5
"proS",3106.6,3249.7,3185,2801.8
"trmO",1943,1498.8,2039.1,1669.7
"rcsF",3790.7,3292.9,3617,4114.4
"metQ",6838.6,7606.7,7014.5,4756.1
"metI",3659.9,3654.3,4053,1618.4
"metN",3269.7,4011.4,2968.2,1198.5
"gmhB",1930.1,1602.9,1732.5,1775.5
"rrsH",13978.4,14433.8,10945.9,11916.3
"rrfH",12262.8,12297.4,8587.9,10030.6
"dkgB",813.4,707.6,506.8,468.4
"yafC",754.1,711.9,374.7,396.9
"yafD",3655.3,2749,2089.8,2489.3
"yafE",1048.7,670.6,571.2,651.7
"mltD",4731.8,4223.5,5096.9,4702.9
"gloB",823.9,748.8,727.9,557.1
"yafS",852,455.8,681.3,768.6
"rnhA",1227.1,972.4,1171.4,1436.7
"dnaQ",1596.7,1394.9,1379.5,1267.2
"yafT",62.2,46.2,66.6,68.2
"yafU",71.7,48.9,33.4,31
"yafV",499.6,463.5,230,244.8
"ivy",2122.2,2159.2,1810.2,3432.1
"fadE",879.7,788.4,301.7,534.5
"gmhA",1994.8,1846.4,1686.5,1787.7
"dpaA",3526.1,3056.9,2801.2,3309.3
"yafQ",2995.7,1973,3074.9,2811.4
"dinJ",2808.1,2411.5,3001.4,2860.3
"yafL",210.3,161.9,86.1,113
"rayT",222,212.8,172.6,173.2
"lfhA",72.7,48.6,21.7,5.8
"lafU",65.2,40.2,38.2,67.4
"dinB",476.4,348.9,293.1,295.3
"yafN",673.2,423.3,365.4,269.7
"yafO",405.4,256.4,213.5,206.5
"yafP",105.4,75.3,84.9,68.1
"ykfJ",37.5,21.9,15,17.9
"prfH",55.6,33.4,25.4,31.9
"pepD",5888.7,5534.1,4121.8,3821.4
"gpt",2226.8,2206.2,3037.2,3147.8
"frsA",1715.8,1471.8,1155.3,954.6
"crl",9419.3,8587,6524.9,8121
"phoE",80.1,80.4,37.9,97.8
"proB",2985.9,2772.7,2491.8,2084.4
"proA",3129.6,2859.7,2331.9,2091
"ykfI",45.6,24.8,22.8,39.1
"yafW",36.3,41.2,31.5,26.7
"ykfG",47.5,26.5,22.3,16.6
"yafX",61,38.1,49.9,41.5
"ykfF",68.6,47.1,32.9,35.2
"ykfB",706,471.2,246.4,299.9
"yafY",140.9,122.2,79.8,61.3
"yafZ",67.7,47.5,27.5,51.2
"ykfA",359.3,254.4,234.5,233.1
"perR",130.1,115.3,110.1,121
"ykfC",460.6,349.8,212.9,206.4
"insH1",6986.2,6633.9,7684.7,7010
"mmuP",755.9,1066.9,498.2,163
"mmuM",1294.2,1353.9,1059,848.1
"afuC",168.4,115.2,74.9,79.5
"afuB",93.8,78.4,78,49.8
"yagB",741,588.7,512.7,481.6
"yagA",165.1,106.9,60,51.7
"yagE",92.3,68.5,55.4,34.4
"yagF",131.9,77.2,109.5,87.3
"yagG",144.6,126,52.7,85.8
"yagH",246,204.1,114.5,134.2
"xynR",489.2,452.7,2088.6,857.2
"argF",1208.4,1353,6502.5,3532.8
"yagJ",253.8,178.4,220.7,181.8
"yagK",148.3,122.6,118.4,145.9
"yagL",92.3,53.5,60.5,63.1
"yagM",51.4,30.4,35.4,31
"yagN",2538.3,2351.2,2532.6,3319.2
"intF",1619.8,1450.8,1155.7,1018.3
"yagP",384.4,289.3,148.5,197.4
"paoD",328,200.5,156,121.1
"paoC",308.7,237.3,114.9,153.4
"paoB",201.9,129.3,54.4,99.4
"paoA",389.1,282.1,101.6,208.2
"yagU",5819.9,5586.9,4260.8,4566.5
"ykgJ",213,201.5,127.4,179.7
"ecpE",189.1,137.8,107,105.7
"ecpD",259.8,192.5,165.7,190.8
"ecpC",67.9,49,37.8,38.2
"ecpB",74,47.2,58.8,71.5
"ecpA",163.2,124.2,236.7,197.8
"matA",41.2,28,44.3,87.9
"ykgL",103.9,81.3,96.8,109.9
"ykgM",11167.1,12442.1,7927.3,12155.1
"eaeH",29.7,21,6.8,9.9
"insE1",1911.7,1602.1,1447.2,1456.2
"insF1",718,643.2,581.8,670
"ykgA",653,437,401,534.6
"rclC",128.5,86.2,72.8,61.4
"rclB",73.7,55.9,34.8,35.9
"rclA",701.2,604.9,201.8,360.8
"rclR",134.4,101.4,49,74.9
"ykgE",204.1,168.4,245.3,252.2
"ykgF",351.3,277,212.4,249.4
"ykgG",386.9,378.8,267.1,455.6
"ykgH",38.9,24.9,24.2,21.7
"betA",1118,778.1,588.5,535
"betB",989.1,863.2,519,483.8
"betI",1718.9,1671.7,898.4,1028.7
"betT",671.8,475.7,350.8,232
"pdeL",242.6,208.9,221.6,292.3
"yahB",360.9,307,225.5,302.2
"yahC",93.2,90.4,41.7,36.2
"yahD",89.8,70.9,55.6,72.5
"yahE",88.5,56,22.5,36.8
"yahF",66.4,60.2,56.3,49.8
"yahG",216.9,149,89.9,121.4
"yahI",150.1,101.9,65.1,92.5
"yahJ",616.9,320,285.3,363.9
"yahK",3742.4,2958.2,1593,1019.3
"yahL",74.5,44.6,32.1,56.3
"yahM",52,39.8,43.1,88.7
"yahN",56.8,40.4,32.4,22.3
"prpR",330.9,244,75.8,172.5
"prpB",368.5,275.4,62.9,152.1
"prpC",195.5,150.5,61.6,243.5
"prpD",79.9,58,28.5,36.3
"prpE",140.3,105.2,53.9,63.5
"codB",3051.7,3146.2,5487.7,4890.2
"codA",3081.3,3251.1,6143.7,5674.4
"cynR",434.9,366.7,134.7,164.5
"cynT",211.4,160.4,119.1,187.6
"cynS",199.2,166.5,125.4,151
"cynX",113.8,115.2,95.3,76.3
"mhpR",1191.7,892.1,361.3,409.8
"mhpA",90.3,71.7,27,27.2
"mhpB",134,99.2,59.2,71.6
"mhpC",151.5,116.8,73,82.2
"mhpD",139.9,100.6,50.8,59.7
"mhpF",128.1,80.7,51.6,57.9
"mhpE",195.6,144.5,101.8,110.3
"mhpT",164.9,131.7,78.7,100.5
"yaiL",959.2,717.6,780,660.6
"frmB",474.6,347.1,277,163.7
"frmA",1048,930.8,619.3,612.3
"frmR",1044.1,978.8,647.1,645.7
"yaiO",108.5,100.2,51.8,60.9
"insC1",3918.6,3562.2,2700.9,3112.5
"insD7",2263.7,1639.1,1603.5,1746.2
"yaiP",105.7,50.3,25.7,35
"yaiS",42.8,57.6,19.4,23.9
"tauA",209.5,181.6,291.3,764.9
"tauB",135.8,151.3,224.3,500.5
"tauC",121.9,91.2,123.2,213.9
"hemB",2147.2,2003.8,1661.6,1396.1
"iprA",61.1,33.5,10.4,20.9
"sbmA",735.2,489.4,505,458.5
"yaiW",975.2,702.1,793,764.8
"yaiY",212.9,170.9,155.7,281.5
"yaiZ",640.3,443.6,670.6,441.3
"ddlA",1550.8,1417,1270.2,1329.8
"iraP",958.1,1121.4,787.1,1763.7
"phoA",524,445.9,578.2,967.6
"psiF",1066.1,1070.3,404.3,1383.4
"dgcC",131.3,87.8,55.5,68.9
"proC",1829.6,1533.4,950.6,893.8
"yaiI",1157.5,795.8,1307.3,1308.8
"aroL",1029.4,727.3,1105.8,974.8
"yaiA",765.9,537.2,542.4,810.4
"aroM",907.8,641.2,447.6,745
"ppnP",1573,1428,1536,1172.5
"ykiA",387.9,331.3,256.5,595.9
"rdgC",1170.3,993.2,1567.4,1259.7
"araJ",504.6,390.8,338.2,393
"sbcC",691.7,565.3,811.6,599.4
"sbcD",389,346.6,415.8,305.8
"phoB",322.7,283.6,225.9,344.4
"phoR",211.4,144.6,158.9,197.8
"brnQ",4582.8,3809.7,1787.4,1222.9
"proY",1829.7,1352.6,1278.4,847.4
"malZ",623.8,515.4,564.6,569.6
"acpH",1112.3,740,758.3,501.1
"queA",1717.3,1179,1917.8,2280.2
