"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"hns",13648.21,11435.49,10461.23,14657.31,12215.28,4636.491,24359.18,20341.18,24772.19,16235.44,15729.08,18285.56
"yncG",206.3061,186.1062,199.5895,98.92204,62.88462,124.1547,32.83519,72.00457,53.75876,13.4825,32.77496,21.8649
"hyfB",28.94035,27.93014,41.87605,7.578044,11.00319,6.955532,46.22113,52.51911,57.33696,46.92082,31.88973,41.0422
"bhsA",69.70502,77.09848,44.22197,12652.96,13485.22,8254.424,6112.99,5597.454,9039.253,9404.907,15920.65,12044.51
"yhbS",7906.856,5063.323,7155.028,9818.411,12139.5,10608.56,12919.76,10958.67,10481.32,8293.773,7989.606,11295.89
"gyrB",1482.483,1314.478,1245.274,5445.422,2319.781,3943.158,1668.191,2126.884,2169.476,1499.983,1636.368,1624.522
"qseG",532.7372,516.3449,627.1312,408.6378,319.5893,265.5978,533.1201,585.9093,786.4274,747.7982,390.4028,419.6843
"rflP",198.3026,458.6367,555.669,43.82141,58.69437,16.70643,69.86032,91.2732,114.3884,94.36622,52.00344,28.45115
"glgX",1792.676,1062.993,1477.086,1100.994,1004.612,1608.706,69.90309,148.1548,146.0262,964.2449,604.2368,1013.669
"ravA",521.7068,236.2755,497.1855,192.1692,143.024,219.4879,232.099,178.9772,223.5443,218.9703,194.4911,96.764
"pdxB",839.0505,758.0316,742.4783,706.6834,1027.107,692.2878,819.0841,868.7358,799.0726,518.9974,500.3992,849.3752
"eptB",218.5114,402.4628,256.0978,383.1559,568.7579,160.2915,159.274,229.9771,174.7553,661.952,198.9612,245.8869
"yfgD",4584.703,5398.953,4084.506,6207.489,3488.731,4023.548,1112.979,1106.621,897.8089,3168.557,1996.929,1724.452
"yaeP",4224.422,3438.098,4340.432,6522.692,10602.57,8791.266,11196.43,10743.52,9613.693,5175.713,5217.909,5951.305
