"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"ygaV",104.5209,184.158,166.8967,5743.04,3495.797,2777.107,758.724,714.7452,964.7721,13041.38,12816.07,9846.624
"trmB",573.5089,484.4842,577.2448,296.1741,261.9318,619.3513,791.1041,925.8352,928.1563,322.7317,147.8698,280.7435
"bluR",612.2808,1045.866,932.5657,227.1264,130.9787,204.5828,1296.921,1307.518,1059.545,575.1899,309.1565,269.7811
"yehL",29.61272,4.338932,25.13598,47.57596,28.78042,68.41512,34.92809,4.153674,38.20364,24.82508,12.17636,1.22456
"ykgL",225.9354,222.6098,164.6641,215.49,195.4766,104.2414,831.2879,817.649,773.0105,214.1994,146.8873,124.9156
"yaeF",284.4206,212.0987,241.7294,210.45,235.0897,225.1393,389.7047,325.9326,104.5061,132.1226,137.2961,88.23183
"bfd",4732.329,5693.12,6387.902,761.2148,643.1902,487.2679,1634.186,1298.519,1335.892,1325.057,560.5528,514.556
"tdcC",142.4477,284.459,305.3259,416.3247,173.9553,248.507,141.0722,135.0746,146.4733,808.5378,200.7397,316.4759
"tyrB",2871.682,3520.294,2615.266,1584.337,2415.973,2386.269,540.1405,339.425,241.0852,2341.458,1826.177,3030.434
"cobS",532.1758,641.8843,717.4153,741.7581,984.2543,864.4656,1633.787,1774.003,1503.674,416.4807,383.6123,476.1194
"chbA",291.2848,334.6342,334.3965,141.4914,136.9257,124.0601,282.2996,332.9316,292.9817,538.8751,502.4583,314.8881
"kbaZ",41.76767,43.66945,54.53598,97.47152,111.7919,96.06319,78.16202,34.59734,56.13483,108.7731,79.46682,121.8123
"recB",570.6364,553.402,491.5195,206.4291,246.3061,276.5103,89.22321,178.5656,203.1578,281.3474,291.502,385.3539
"rhlB",4394.345,4041.287,4607.125,2456.76,1873.628,1376.563,3283.782,2824.817,2780.113,6754.107,2557.078,4231.586
"malZ",169.2946,130.6904,162.5567,698.2252,736.0703,987.529,105.141,62.23974,125.586,108.4926,67.27778,150.656
"ydjL",149.1656,54.86563,93.06617,96.36721,139.354,4.29183,119.6588,151.0359,240.9784,271.8723,386.8269,471.6067
"mgsA",8063.608,6051.866,5316.586,4206.184,4549.179,4658.524,6009.392,3481.503,2945.424,12048.23,13398.63,13877.85
"glyQ",3483.201,3623.989,3682.532,4963.146,4081.906,4416.241,2969.032,2133.268,1815.801,4838.014,2620.915,5773.99
"yedI",1210.464,1134.528,991.09,418.0352,343.6081,421.6056,663.7571,771.2777,751.7612,712.9663,566.6137,1056.86
"ygeL",16.50486,14.99756,15.33674,3.885067,26.83865,7.307415,73.09216,42.1118,144.7976,26.39222,4.277685,3.232241
"ymfL",77.82982,156.0891,131.0851,92.30965,42.57392,60.37396,56.93649,188.2651,141.1075,41.36903,77.7211,62.98748
"treB",6067.384,565.1313,1446.377,6404.619,7436.57,5146.67,4549.214,1072.591,3046.421,20418.19,15619.58,26003.95
"prlC",1074.856,832.4424,1016.471,3432.303,2444.715,6508.39,454.5426,215.7358,372.344,858.0178,644.0094,1688.94
"phoP",5053.88,6153.771,4616.588,1544.317,1075.087,1138.896,4620.264,4207.585,2358.158,10111.69,10156.38,9036.268
"cysZ",376.8126,487.9612,480.3098,476.1442,355.0956,578.9489,715.6836,1095.65,816.7264,180.4767,249.1214,95.00614
"gloA",10064.36,6484.983,6941.74,16576.15,17759.21,14876.91,4713.99,3731.068,4012.746,4643.676,5773.888,4654.349
"nlpI",10976.37,9041.301,9437.626,3325.059,1941.082,2542.392,9249.498,16396.92,11969.03,3503.069,3771.917,2438.072
"ymgE",657.7339,473.3452,592.3524,389.7117,674.4761,735.7386,234.9113,181.6374,223.5063,171.9108,321.6343,322.9821
"ybgC",787.9922,1237.701,1085.461,235.5648,177.7186,304.7472,2195.323,2752.81,2330.857,901.6404,492.4528,518.9087
"prmA",439.4748,357.9042,357.1393,249.3625,135.319,154.382,78.12167,104.0989,59.76599,265.6019,392.2796,408.4126
"topB",169.8592,265.5059,229.5881,252.2036,326.8762,201.0143,59.36756,57.41122,31.33466,157.7882,129.2657,147.219
"emrD",115.669,158.9272,169.4403,235.8263,190.0495,270.4602,235.396,502.3622,436.3005,183.2965,114.9605,179.5598
"hofC",100.9712,92.85832,127.4557,146.246,108.8436,111.8984,112.0713,124.5251,112.133,68.18227,52.61941,51.44133
"wcaM",102.3104,104.125,160.6907,113.5745,117.4897,100.4531,96.8401,59.34785,104.0592,102.9438,101.0234,97.09513
"narJ",125.0026,30.05429,92.23293,356.9737,316.549,54.67699,85.66592,106.4731,50.40599,261.1414,140.9745,31.33274
"nupG",199.8999,269.2325,332.9814,535.1615,362.1688,618.4077,44.71598,99.52456,150.8326,200.2088,178.5648,234.4482
"lplA",354.3469,356.0317,435.9626,519.4271,381.3107,603.7259,196.6599,226.1981,155.4189,243.6117,275.8293,416.195
"yiaU",301.3388,252.3578,259.072,155.7806,62.59622,54.31328,88.51321,97.21196,99.63531,131.2433,128.0466,67.50898
"mdtN",24.01816,29.30702,21.52127,68.8182,70.17026,104.0375,18.99958,43.747,69.14487,38.43597,44.18409,29.81141
"araB",16.18161,6.650794,7.325613,4.851543,41.42122,18.61993,41.10353,58.4666,45.16769,8.230165,25.34017,29.40914
"ubiU",208.1121,40.99139,163.201,2.933182,13.41846,3.321331,18.69528,1.332947,5.157797,1.592088,3.410547,18.29717
"polA",1164.272,1110.743,921.9258,2868.555,2316.058,2000.039,235.2686,258.1625,258.9839,1223.995,1125.955,1123.244
"aceE",955.8651,645.5903,856.7124,14307.41,7109.868,5122.745,231.1041,171.4323,257.1516,3111.036,2183.348,2251.432
"yfcF",550.2955,868.4249,751.7114,153.4263,82.02473,139.2198,238.4318,321.6294,252.8432,323.2168,258.503,413.2255
"alaE",136.8479,112.0073,166.5483,558.4024,720.06,625.6442,830.9017,1405.461,1191.621,124.7592,254.7483,171.8832
"cysE",1893.245,3118.805,2218.314,1566.394,1159.445,1027.013,2474.798,1781.251,2118.638,2590.008,1916.421,4146.401
"recR",2107.749,2853.037,2429.529,780.8268,606.5231,354.4995,1474.38,1534.002,1952.972,1973.08,1799.21,3123.125
"yfeC",1977.936,1904.519,2017.497,705.1061,437.2671,317.9091,1703.828,1238.509,976.1169,3125.777,2892.315,1340.079
"yieK",103.8651,117.5438,140.9417,89.76034,74.34518,86.71362,103.5596,108.9585,74.51294,84.14386,94.90175,119.4907
"lpxT",621.744,1055.799,711.7653,51.28964,12.10725,2.296498,358.2221,371.0863,282.7435,1023.187,288.6713,408.0776
"ariR",53.55293,102.2083,88.41223,2.218638,1.772286,1.191806,29.72287,12.7709,4.505012,50.89308,47.2158,27.40254
"focA",4493.078,2956.64,5471.833,578.2668,347.2104,687.939,693.9741,870.9109,890.3077,732.8724,718.7138,513.2832
"mnmG",644.7621,863.0916,680.7756,266.0681,246.2364,235.5594,378.0522,552.1047,602.796,759.2846,145.6588,366.7919
"gmd",26.18318,12.77729,6.705775,5.777117,4.121992,3.281746,31.39974,40.4041,8.391825,8.542583,3.94557,5.860854
"fimZ",25.29326,34.11048,64.13959,12.80023,70.95119,2.317447,36.17643,34.06094,45.12507,10.60226,1.428696,2.155726
"degQ",1478.841,904.3362,1169.607,1257.664,1004.018,1997.77,734.9453,621.1576,502.2691,655.267,555.4966,790.9285
"gltI",3902.428,3341.808,2910.631,3171.835,2992.081,1136.946,523.6116,542.9584,682.7649,5759.436,8212.107,5174.806
"oppB",4295.999,4451.977,5482.053,390.2324,515.1297,190.0092,188.047,212.2243,337.4248,2938.773,2458.562,3726.594
"casA",46.90872,27.20081,34.56187,5.022321,6.40592,31.94522,68.58216,42.42817,27.41689,37.44029,14.39502,17.59322
"ycfL",3878.342,3155.021,3304.325,922.9647,623.2436,676.1661,1220.49,1152.619,873.5672,2642.182,1902.509,2453.66
"ndk",1805.925,2870.619,1252.983,491.1573,518.5895,665.0059,5849.301,6327.001,7190.818,2676.758,2269.176,3666.753
"srmB",1870.916,2070.112,2050.364,1431.537,1387.024,809.562,509.5149,866.2208,754.0909,1485.058,630.9345,964.0818
"paoB",13.10485,1.536663,30.23048,40.83987,23.07997,121.8174,5.952487,5.19926,70.30856,9.066464,4.148821,21.31537
"fhuC",2670.883,3012.597,4253.59,667.4968,528.528,688.5276,239.6197,312.4585,357.0231,299.1767,272.4917,702.8051
"lsrC",113.0889,80.38908,167.1644,95.54935,89.99148,91.75756,56.14006,35.80716,40.93372,76.54024,31.96155,78.34033
"yhgE",299.0469,494.4713,429.312,191.0798,229.532,105.9299,438.0277,360.8454,280.1396,237.824,250.1788,185.7937
"pnuC",1184.816,901.5751,1055.483,666.7143,789.3119,934.7693,609.3479,747.3994,774.5189,889.1953,1487.242,1135.236
"srlA",2214.166,747.3803,3821.293,2736.352,2578.457,7407.933,496.1983,328.3433,1121.528,12012.97,7816.917,20937.44
"ileS",2485.707,1626.554,2079.647,5498.631,6344.576,9802.719,1256.206,702.8655,1438.652,2237.769,2683.198,3465.062
"murR",60.98812,56.80257,57.00882,87.03064,93.06824,187.8163,123.0866,85.56771,67.97859,63.96034,84.06871,77.05258
"atpI",3639.305,3838.37,4018.41,249.3729,192.7484,378.2141,12717.96,12392.12,12160.75,2601.714,973.5268,845.9034
"nuoB",5267.025,4442.058,4351.999,1234.376,1930.684,1211.284,933.5748,693.2703,645.5573,8704.638,6250.6,7956.117
"recN",447.05,465.8761,526.326,3647.885,1721.967,1956.55,1142.068,2477.131,2504.969,670.1987,542.5302,393.9435
"yedE",1385.759,1498.299,1394.183,336.5698,635.5028,479.9345,546.7296,559.4177,502.6826,1006.073,851.4582,2198.264
"ybjN",2834.028,3008.028,3221.261,257.9567,165.7983,306.9437,2631.735,3162.232,2660.825,2789.903,1156.301,1712.979
"rlmI",222.2467,297.1547,258.438,260.6413,330.5588,320.2822,450.4161,642.959,603.6147,169.5826,144.0395,158.0051
"ldcA",454.7457,386.7883,507.2322,193.0775,332.3835,1019.417,412.6471,360.436,350.9738,175.2421,124.6783,238.8381
"dam",1867.667,1738.33,1792.054,108.2029,127.0026,102.9746,304.634,344.261,370.1701,867.8496,320.1942,565.5972
"ydcZ",589.7467,748.6941,748.3915,116.1329,93.35262,137.3626,163.824,182.7522,201.7135,423.4536,563.6535,646.2878
"pncA",730.4756,862.7112,798.1522,364.9439,324.186,435.3608,236.8846,240.4649,199.9515,271.83,244.251,282.1039
"dcuB",106.5355,59.77686,128.3473,61.59745,73.88673,82.00437,102.4543,77.19135,51.15341,174.4253,184.3935,215.0744
"minC",2168.31,2470.799,2866.461,1274.13,1156.366,738.5771,2045.666,1572.791,1616.777,2890.629,1696.695,1765.786
"chiP",42.19172,46.6792,35.35098,8.795619,6.193676,12.22966,21.48245,17.52611,62.40751,119.0731,56.39321,64.032
"dosC",619.1237,767.3099,474.7871,51.18637,27.77771,10.32634,42.64418,62.31213,103.2788,44.08667,45.70773,37.62764
"kbl",732.689,407.8591,676.9289,2323.033,2659.435,3408.097,2354.578,1548.127,1911.073,1547.324,1567.376,1876.079
"gmhB",5084.712,5115.601,4557.536,4096.9,3246.483,3425.964,6734.564,6347.335,5747.649,7057.772,6211.29,5070.292
"ghrA",2658.194,2059.779,2502.332,4565.435,5112.95,4728.586,3516.163,2768.006,2239.895,1419.197,2316.964,1685.773
"yhaC",4.421516,8.355761,12.27123,1.888678,4.11914,13.06557,14.09512,3.434597,0.903199,4.836357,1.448396,1.236775
"ybeX",1731.472,2211.484,2146.661,183.2407,196.2255,147.4975,600.7843,620.7791,764.0604,1016.607,635.2563,978.8561
"ytfE",44.35275,43.59323,53.08894,192.2926,148.5518,212.7863,126.6025,170.6339,147.0706,91.64484,92.35548,66.35387
"hslO",563.8928,618.9325,458.8834,1843.253,1162.05,2653.867,4437.851,716.7542,3223.862,1131.824,575.5266,1032.987
"appY",73.75204,100.2621,442.5199,14.67557,5.722176,3.615418,15.66232,4.615996,3.963418,0.8310838,10.53795,2.677312
"dinB",152.4055,194.5525,222.0484,778.5147,413.9715,685.9492,184.8879,274.9025,198.9984,105.5113,114.7236,51.10715
"htpG",660.5215,474.7946,923.5806,13172.31,8345.185,17621.34,6938.768,776.0795,3394.667,3571.14,1415.114,2915.692
"rclR",87.20676,85.71288,150.4976,296.135,164.1596,472.8894,115.1981,102.6538,111.646,77.8238,50.95951,82.52531
"stpA",254.1524,377.4264,869.64,126.3518,98.37457,107.6803,888.1324,689.4401,845.4413,205.9301,309.2239,158.454
"cbpM",1147.895,1050.705,1481.47,921.8107,425.0146,591.6567,354.0579,396.945,339.153,739.2868,543.0472,666.6912
"abgA",48.97438,63.73565,79.08157,117.2512,228.6708,195.7464,100.7155,88.85806,90.10106,66.3059,80.56748,111.0136
"yhjV",97.1647,133.209,112.1377,9.315423,7.233992,26.34597,83.83917,109.2254,195.9385,145.1513,62.19524,63.90314
"ydfC",21.43384,31.90654,43.58286,22.40958,37.97368,12.58482,183.0146,296.6947,148.0725,43.94581,72.39883,53.21438
"dapD",7368.715,6397.21,6236.605,4642.879,5283.215,6191.474,4332.712,2138.91,2208.23,8018.573,7388.102,9273.774
"rbfA",647.387,503.8336,577.9996,3268.551,2304.942,2053.565,791.2243,640.6387,820.325,1840.56,3079.354,1981.145
"lysA",1219.086,631.7751,479.0336,2272.381,1669.658,2635.252,173.6976,155.497,221.8356,6511.012,10962.44,6798.776
"ytfH",220.1018,252.3997,290.8746,407.755,586.9955,986.381,815.919,1079.73,668.5564,1350.327,2572.816,2527.061
"rpsS",8322.643,6810.657,5528.876,30173.48,32855.31,19616.34,18504.14,13628.27,23331.98,13945.01,17863.43,15869.34
"paoC",11.37534,43.73351,32.24477,38.17223,170.4587,115.1069,49.09435,21.94196,56.88197,39.77082,20.39671,30.76573
"queC",2588.15,2190.473,1969.567,1591.044,1029.124,1863.672,1521.429,1450.601,1237.128,849.2461,540.6878,776.5511
"entH",2445.719,2513.58,4790.057,177.8197,182.6296,172.8327,97.95654,93.44006,119.0949,91.74442,89.61025,171.1751
"nanC",17.83106,9.039955,16.90588,53.38104,50.88067,25.11955,22.98452,48.24199,44.73685,279.1224,662.7626,241.4232
"arnC",1007.448,1455.995,1087.721,54.55446,44.30362,107.9079,18.7775,40.14071,43.05788,100.1724,19.23783,68.86535
"avtA",2862.429,4100.301,3252.191,419.2438,387.417,385.1767,699.6409,560.9322,532.4758,2625.945,680.5927,1385.901
"rplL",14194.03,11363.1,11984.18,5300.479,6246.543,3748.792,21238.75,20482.53,29557.08,14876.51,13976.42,16046.7
"yciG",318.9259,282.968,197.5684,30.14196,19.4942,58.03484,26.43799,39.89138,14.51555,7.751821,49.2567,9.722348
"yihX",2988.82,1805.09,2287.435,3566.055,3619.828,4762.494,3529.821,2405.803,1884.871,4108.048,3280.92,3563.205
"insH5",194.0596,250.5274,219.1911,260.9976,105.6375,100.6795,167.7459,268.0153,206.2651,160.5526,421.0655,315.7893
"yjjV",772.8851,563.1857,715.3549,513.853,302.3456,526.0096,578.425,677.7336,803.2883,600.4088,421.2662,586.2293
"frlA",2.702148,0.7507697,6.675595,42.1764,52.86351,79.10355,33.14145,5.274891,39.44712,30.11302,22.1547,30.15396
"fadE",215.7168,185.5393,222.3868,3668.934,7891.305,8551.981,324.1965,247.4863,410.9463,1666.398,2463.612,2880.325
"osmF",495.6974,318.8548,286.7694,110.0027,117.7909,268.5205,48.37596,54.84197,65.81979,37.58848,69.77383,87.76876
"mglC",1053.928,664.5991,406.7886,684.8324,523.593,874.3172,155.7637,223.6121,280.7015,4558.537,1538.999,5460.593
"holA",297.7626,479.8337,533.0441,84.94693,121.7681,145.8019,61.90863,70.08353,82.15054,137.2917,99.86982,135.9906
"phnH",24.55375,28.20467,28.83927,4.957509,9.539336,6.139267,29.49032,32.84457,59.73672,39.96261,20.52506,39.81679
"ygjJ",10.15961,12.94387,4.32863,85.93022,74.95728,69.67691,20.67999,18.28844,13.68137,15.58467,32.7752,45.10482
"barA",536.9927,506.5465,670.2189,145.652,104.7952,160.4233,117.6944,230.6363,166.6176,309.8377,195.5672,164.3895
"yjiG",125.1787,147.4126,235.9552,137.2361,187.2493,248.2993,126.9636,170.6637,170.42,142.7728,107.9692,120.2797
"clsC",366.8347,520.4602,458.5956,149.0636,12.25171,129.5307,72.0235,88.36927,68.70863,113.8193,71.40397,44.22256
"rplD",6997.851,7049.106,5479.293,21675.05,29617.84,13103.78,22186.66,12596.63,26033.68,10823.06,13793.31,13816.99
"cynT",47.04655,40.31577,84.21743,94.33437,162.0867,182.7511,118.6293,141.8052,135.8984,42.49454,43.74748,73.66148
"rhsB",81.93434,74.06239,138.684,54.70724,81.92234,4.499726,149.9544,105.9105,192.3242,69.27117,36.73761,30.04885
"fetA",1054.341,996.3606,860.4849,343.5614,208.5125,192.9746,494.9915,494.5017,391.9236,804.5572,846.9897,369.7765
"yahM",148.8429,189.764,175.2306,184.2214,95.16032,242.8133,1517.612,1830.912,2062.024,89.08227,168.0514,114.5002
"garL",1248.232,866.2387,540.5978,937.8069,1043.491,1108.508,99.09144,121.0617,110.0281,249.8127,1123.17,942.2399
"pabB",90.87136,88.62988,160.6407,5.608883,10.40751,68.51806,78.5278,87.98451,124.3364,60.73388,12.38419,39.48089
"wcaJ",33.91494,22.83834,48.62069,24.21114,66.53213,102.231,21.20231,23.79756,28.88707,28.36121,21.81413,7.531452
"pqiC",418.8299,403.4153,327.2375,313.165,566.348,472.0229,277.7998,345.114,275.8893,183.4615,297.6336,242.3371
"ispB",3047.345,3601.757,3708.882,3149.942,3782.694,2849.981,3902.034,3463.159,3891.561,3961.626,3544.155,3613.308
"rnr",2134.527,1804.354,2043.54,6376.232,5820.722,4561.463,1400.497,1185.079,1292.099,3444.178,2657.458,2702.886
"alsA",39.26539,32.88315,32.50317,45.36073,12.72118,29.57429,2.015747,9.414132,18.90953,402.2922,90.76257,526.0851
"ymdB",1467.24,2052.952,1826.496,2375.759,2778.677,2691.29,1409.363,1593.079,826.8368,1238.776,1366.458,1278.639
"ynjD",205.084,259.7563,241.8221,114.8816,136.1145,139.642,122.5691,384.7498,270.353,130.3242,113.5981,101.2894
"rttR",303.2308,451.8962,403.3276,1.565375,88.26805,67.02375,6281.244,8353.235,13750.4,36.0246,31.56219,20.49824
"pheT",1600.65,1145.128,1316.178,6145.482,5912.557,6516.242,310.9576,226.9985,292.7378,1638.92,2696.113,1934.08
"aroG",8427.419,7445.493,5029.914,1744.999,3890.207,1432.252,1123.165,755.6984,722.9059,10244.52,10569.05,12474.39
"glgP",3626.312,2898.228,3716.06,2102.639,1649.237,2165.302,133.5948,140.9452,171.5899,1792.109,981.073,1227.002
"nagA",817.6224,630.6705,743.1108,983.6732,1238.097,1127.315,904.688,700.8168,577.4146,1211.949,764.0043,862.9105
"galE",461.9069,291.1263,334.2137,462.5998,280.3882,380.2823,95.00132,33.78173,139.6627,824.0704,621.8907,1234.239
"trxC",653.9349,826.0411,726.608,9511.445,6749.042,10508.46,8117.406,7179.833,9515.53,7854.842,8869.358,8810.36
"ydiM",30.95517,44.51107,71.12023,58.12497,51.85893,62.48451,41.83562,63.84126,74.7637,32.02826,11.56674,34.79124
"stfR",48.2182,38.74261,62.28723,44.51569,39.96526,109.2143,68.6127,79.05846,121.3272,48.30617,88.51478,60.31391
"phnF",6.289099,14.25538,0.7119057,1.189384,3.901993,2.900646,13.77607,2.794229,17.33601,7.379322,1.654453,0.7764579
"yiaD",87.61295,100.1282,113.7344,316.4179,252.2369,290.1945,614.5978,829.9484,664.5172,240.4915,210.6133,246.8461
"rayT",339.0968,344.1594,305.5469,416.2281,359.9565,233.1066,228.7164,173.8759,184.8189,656.814,1156.822,676.0115
"nagZ",998.5478,916.6764,832.6573,365.8408,289.1809,302.5164,544.4578,652.0501,612.5974,797.121,831.8005,986.3347
"ruvB",1831.954,1655.588,2135.371,1206.737,929.7267,1133.577,1862.537,2432.113,2816.497,1396.119,997.6721,1561.988
"yhcF",230.7188,243.4089,290.0784,362.8946,475.3815,394.6154,615.4188,972.4614,977.0343,750.9184,1221.537,658.0216
"cycA",2843.517,3428.043,3015.885,3120.484,4878.641,4308.483,6087.572,3790.422,5366.227,11803.05,9778.177,14948.33
"glpT",3955.417,3010.956,3598.424,2552.622,5373.583,2003.752,521.1167,398.4208,516.6775,5440.729,6432.895,5793.581
"kduD",252.8352,239.927,206.2341,234.3086,255.8235,345.4222,159.648,256.4296,220.5044,508.8455,447.5819,357.4747
"pitB",9.059018,9.721923,15.80552,14.05578,12.13665,21.37643,63.29432,70.03738,51.92736,11.55885,4.082463,3.792612
"yffP",64.05656,53.37946,89.39918,55.70087,51.24743,44.19575,118.0572,159.4365,165.7356,26.01474,39.72608,40.59254
"aaeX",221.7297,257.2098,319.0912,275.274,570.8245,335.066,373.9969,758.5286,832.7179,1697.525,3542.461,2179.06
"fusA",11092.53,8193.136,9064.767,50217.8,44445.07,26867.74,19551.04,14873.68,25055.96,18202.18,15884.99,19345.58
"yrbL",2114.667,2730.16,2241.564,15864.92,11573.61,13364.6,8634.639,7996.732,7701.125,9400.507,6983.225,6872.228
"frvB",35.41227,42.41192,35.5059,109.8251,114.7023,117.4371,88.57816,99.85924,112.7251,32.17093,48.4341,32.27303
"cusB",142.301,352.4125,276.2262,182.4763,28.72141,65.77231,57.6452,107.4234,97.37502,17.22166,11.22827,1.690681
"ydcF",2502.732,2151.566,2806.528,1236.214,1083.703,1590.993,2233.051,2235.777,1727.891,1455.6,1700.895,1361.257
"mngR",287.3283,276.2495,278.3172,211.6084,351.6841,236.6083,925.7983,1044.66,1147.352,411.4163,392.2731,204.734
"frvA",3.691824,13.24277,14.01188,39.65756,61.62451,54.91354,47.70859,40.84915,52.13822,34.59412,31.71079,42.0023
"fimH",315.4036,310.1874,244.8472,54.78167,49.59928,13.87749,111.6949,83.97827,140.418,74.43671,146.128,77.81225
"ymfH",22.26002,48.55543,34.07856,20.51641,68.92779,184.6227,14.7417,46.15539,107.4075,9.571499,30.32136,49.64476
"yiiR",434.4469,377.5065,420.4945,286.3586,502.3523,496.3063,1019.088,928.5436,997.2248,421.8654,494.1393,399.7276
"yghQ",82.02347,86.27793,122.1472,71.58644,68.04887,125.153,81.19242,70.54774,114.2964,56.73557,58.82228,53.11724
"mltA",326.6117,497.5047,431.1735,178.5232,113.8792,127.6065,456.2481,500.6489,537.5974,208.4899,118.5088,195.1059
"rpmE",3711.469,3046.896,2378.327,4947.809,2858.402,3002.049,17555.19,21457.15,23362.05,6017.093,7705.802,3909.706
"glpG",1408.583,2008.833,2086.909,486.7841,592.0699,539.3204,1863.667,2082.229,1923.95,1901.015,1322.817,1860.934
"bglH",12.24347,9.14507,19.44296,17.28526,5.830193,35.56614,31.46438,56.78037,82.13512,10.32972,12.08988,4.16129
"yjjQ",3.011153,26.34247,39.67065,7.883523,9.020853,75.42162,38.16127,47.5074,90.87429,0.9181888,9.861227,25.52924
"potF",1018.388,922.2974,491.07,254.2282,444.1957,452.1607,436.2049,469.368,556.4597,224.3054,183.2964,405.1612
"yneJ",216.5034,341.4672,342.3952,108.8361,211.9709,255.146,184.398,209.3655,236.6034,237.6362,320.1871,318.1923
"mlaC",3011.854,3246.105,2478,6636.108,6062.369,5059.546,3598.823,2095.522,2413.589,4133.895,4384.9,5461.361
"ynaE",56.08102,202.7361,248.9041,16.6775,25.0793,4.067451,59.67578,64.5822,96.33402,20.83854,27.20025,11.77888
"yigF",47.79883,72.30048,126.902,70.20064,83.08002,78.93991,104.7531,130.017,89.03171,79.8903,74.33853,66.73435
"ybiJ",266.035,320.5758,278.1142,2605.754,1793.052,1868.495,635.0182,891.6668,925.4937,19143.54,15111.63,18097.18
"ydaY",61.49649,68.822,86.27179,72.22497,111.3242,147.4496,54.50239,96.94952,170.0661,21.33548,67.06285,6.596736
"mdtO",39.32853,29.16671,32.5559,2.133766,2.219288,89.43526,19.1713,37.58675,2.479124,33.54871,60.798,52.49818
"ypdF",20.60526,35.3087,25.15963,29.63365,27.21447,91.64529,57.63153,113.636,36.14477,33.28749,56.50561,70.61485
"ftsE",3248.46,2854.385,3533.678,9250.438,6251.852,8184.059,6487.377,4580.088,6161.686,3970.915,2603.868,4491.5
"rpmC",3794.705,3334.695,3594.031,23034.36,23973.23,10537.35,11771.16,7531.942,14610.26,9284.098,12291.87,10786.4
"folK",439.3281,779.6477,948.6244,14.85692,92.20545,39.01331,39.46237,107.9252,112.1395,46.74612,30.45076,23.70013
"fucP",86.42853,64.49115,88.84039,38.63222,31.96784,85.96719,52.7631,47.40055,82.38688,283.1793,111.4342,103.9228
"mlaA",1354.359,1397.205,1436.773,566.5791,588.7755,789.7476,1554.837,2107.099,1986.867,3979.724,5699.096,4102.919
"gltA",195.4163,179.2241,265.555,712.7491,743.2062,715.8794,43.04721,38.42668,11.88245,547.7118,761.6333,487.0349
"ubiH",706.7556,653.0458,810.712,2446.216,2271.53,3504.24,265.1566,295.8727,368.3273,576.3298,746.8351,897.704
"zapC",950.1311,1094.507,1039.934,94.01337,89.58716,148.2494,1592.01,2094.542,1505.832,235.8963,119.0218,80.90962
"ydfV",47.4858,69.5537,82.9397,43.68256,10.01297,27.31182,150.8737,123.6087,161.3945,35.45941,41.62331,29.0338
"phnI",61.62443,30.11102,29.03955,80.09406,81.72695,68.40536,65.68258,62.32721,69.51773,59.91285,85.61282,58.40941
"yiaB",37.20084,38.8099,52.87986,24.73791,84.16155,75.98908,122.5904,128.8203,127.2104,49.33544,16.22024,9.817822
"yghO",44.71081,32.92261,47.43144,49.63342,47.52232,16.12465,80.76458,24.32053,105.9417,4.083303,16.31693,25.93652
"nagB",1401.229,1073.075,1269.78,915.2644,478.0227,522.7814,878.2461,640.009,481.5432,2148.41,1310.268,1905.983
"hofN",87.51389,86.29824,63.07372,58.53586,90.32005,93.58865,12.06442,36.99681,98.56989,83.53614,61.9802,88.39808
"flgB",15611.55,11893.91,14258.25,3171.422,1431.901,1812.106,19733.5,16163.2,12669.23,14091.91,13917.94,14255.44
"ybhN",120.5752,78.98257,102.2029,26.52915,14.86343,25.56811,3.06882,57.85447,44.48417,25.65323,25.03844,6.142707
"rof",1463.261,1331.975,1657.759,1555.737,2559.867,3133.616,3678.775,4822.114,3025.474,2262.336,1907.37,1863.426
"fixC",1.746561,22.27486,43.35836,24.42735,54.39148,12.05064,30.95905,81.2207,111.3344,16.7742,17.23363,24.8597
"abgB",60.53015,38.17064,67.95708,86.56746,17.99366,33.56175,67.30721,49.68586,78.47433,91.89854,118.9381,112.9893
"nirC",285.4773,145.6812,468.8835,136.1767,379.2253,337.6094,359.9381,317.6185,305.0041,201.5706,158.8057,132.8721
"pdeA",489.7047,726.9639,952.5517,66.22711,137.7413,199.244,381.5895,612.6194,1118.575,184.7908,45.35813,92.63902
"hyaF",26.90585,20.72819,28.72236,34.82489,27.21969,11.297,39.52882,40.03192,32.40773,34.02441,11.75582,15.14228
"narU",15.7585,32.82945,33.65553,11.31321,3.724281,4.784184,2.315083,20.70843,2.143185,4.642814,8.844827,1.977399
"tnaC",5407.254,4727.582,5492.518,6313.817,2162.941,1258.77,938.5659,438.8438,433.3629,16225.6,7410.229,11840.15
"prs",2923.164,4618.281,4575.421,816.9316,2955.94,1085.212,2049.734,2369.346,2842.494,1493.689,1348.192,2108.321
"tolB",3750.327,3746.892,3653.119,3577.875,3728.081,3957.018,7080.997,7775.183,8079.82,2745.347,3172.651,3953.403
"leuA",617.6158,747.8537,562.5399,272.7925,903.7102,587.7166,342.4024,191.1327,153.4003,215.525,731.2867,436.3567
"ampE",1237.087,1107.757,1129.066,1208.421,1536.671,1396.406,495.513,370.5487,364.0887,1312.375,1200.839,1782.444
"betA",143.3048,133.8418,104.8379,1124.339,1185.002,314.7809,106.701,78.17521,37.69388,1525.399,629.5239,710.4183
