"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"mrr",371.17071846614,376.471261609787,461.928785314973,381.876484228795,363.138709730271,449.164248220174,399.63795468029,411.395710167392,273.57325755973,322.860150520582,360.697619609636,332.208819191587,426.061060089553,388.949502673425,527.221174328984,373.299567259605,380.637928429783,328.427611965282
"pdeF",28.8812429477393,25.103452850926,37.054534034271,37.166917403638,29.6757817044701,18.8829123429307,25.7041641665818,27.5908274555778,29.7549791343241,28.9578026264951,23.7088847681017,12.400768767171,27.0600338518316,33.493832374906,26.0795365306032,21.5806307075147,33.6667475017971,14.8882077097615
"ycfK",51.8712520401695,45.1236608131417,43.9835215381197,61.9770499713888,46.9373871534258,58.834268570506,46.941569163934,29.8581706490271,49.6329979385293,41.2201944649977,50.6948382029073,45.9772476170123,43.6402144791785,58.9196749836668,38.8224337157792,45.3514857742456,47.20101584419,45.9376743410589
"yfbN",17.0509835694339,12.3095253663621,17.8583206074457,18.1520868159312,16.0245315432766,29.8158954037425,32.3202596243245,17.8583206074457,14.8042435999255,14.2464557160728,17.7369246890973,17.3380838959101,22.9340169252619,22.3563200256379,17.7126741549652,17.8881024883207,27.7011987666762,15.3922105407831
"ggt",145.787124966411,159.376988616886,124.250136199084,168.090383068386,216.577815628711,168.841950779095,192.603078677356,166.481411985498,150.626257345955,137.523254346217,140.450856194766,146.308015843218,96.7102225711355,147.980210819749,220.038457131756,212.811865868637,168.685095628324,212.054696018192
"yajO",539.882641776898,440.36015055562,521.365010965479,509.304594923622,534.753477486519,609.974955862529,706.704931907009,662.860150492757,480.317902581404,445.442175164819,549.756156457333,439.70754745869,554.933741014207,511.917241766105,523.845226570976,521.680348358493,727.625710001823,506.193483936332
"ygeK",6.91745160178765,8.72228432201742,8.58376071261278,7.40913407080515,9.37889612000809,7.72456300504893,6.54163510244438,8.57785826495463,8.16584340777818,7.82651373860368,7.87853711359293,8.13302190741574,9.85262607278982,8.58434626524011,8.15530383973802,7.117524154495,6.50031973696088,12.9123711170561
"rimO",1533.42226773335,1868.52559434768,1601.78865358542,1098.89954942261,852.561538838536,1101.13438182057,975.368448372989,812.780496862891,1235.9384130162,1268.69348293509,1460.91832615423,1619.79541209812,1467.39484834171,1265.5888681473,1335.78178385381,1102.47453698445,1205.02362830457,846.101860659715
"frc",67.4688068193867,31.1920327177735,46.340107343742,60.654240314014,35.2835226666375,40.3781358852097,60.4967653875364,33.3258438403369,53.2507713442566,43.9184960420113,65.5124365284511,26.716452934453,46.6637051064781,63.3140715458151,41.6026204776515,43.9814153599402,43.8801194827546,63.643123085434
"speF",19.9415605386849,23.7554293697591,20.2404546817844,20.1429144939258,21.7256657379409,17.5373678186586,19.1703593953529,19.7171565813121,24.9078090125829,17.1203895207598,17.5373678186586,19.6277802054299,15.6848555326007,18.5235050937361,24.7834585572718,17.1910904695673,16.7518772975353,22.9269289736722
"nanS",31.7949489427644,36.6422271909697,39.5622537885999,27.2255794413496,40.7809812214409,36.649100022802,33.4948818776566,281.663536370422,36.2190520886532,31.4186245206446,38.1780673665647,29.6386006485452,28.4667380159484,37.6045768559128,41.1380479570048,34.3460023157899,35.253800523218,67.6244595990308
"rnc",3069.45667247965,4034.95637452523,3398.69348186394,3199.40785252336,2699.42620010892,2755.43435171429,2512.19348993834,1893.0625951593,2718.76400086308,3008.12807996304,3331.02680918717,4009.67547262387,3583.02411975994,3115.65472863869,2961.16145677575,2744.60918906689,2798.2550322208,1695.70833539893
"slt",737.309847250656,545.459626595151,621.130677201963,723.37495649293,642.196344154749,747.778406989895,1115.5613646482,929.932392704269,776.45433080744,739.589173636639,725.28606334513,537.365287306398,522.681989589474,777.415706391303,951.602124215575,1037.09514474191,1126.29202300377,1293.86014709372
"fkpA",2605.49463722705,2548.4741954763,2748.21403036907,2686.06257666863,2409.2410828111,3053.33948730111,2859.17093804636,2730.58883910034,1865.18867530504,2086.42850539652,2159.52204692599,2447.30459987718,2668.42039910119,2163.21743618671,3239.94963217149,2766.02846903048,3903.88207886538,3362.53143595601
"yecF",1102.43745209271,741.613409449764,1269.12845166087,1174.62044594949,379.650185537752,968.463062641778,730.082373052403,526.584838685743,793.026817157343,792.264590729789,903.842461147607,966.526817398334,1877.06421401229,1016.11944093699,431.079742175248,358.657900371593,658.632417474223,634.563962362493
"menI",449.407842932943,325.451376971881,381.910905338778,417.461434811602,371.63731409941,533.760212117395,543.722016127662,459.103896405294,435.970268541185,449.873260953222,457.590668254844,323.42828183409,371.860150484932,437.917804906812,414.804595150662,478.01141791125,512.599622164917,447.99278239293
"ftsK",1475.24903572148,1134.68240370191,1075.47126256803,1178.24903954787,843.904819304456,956.24903926163,1077.86015122167,609.637928340537,1398.53386185305,1652.53646343202,1342.35422526467,1038.9285397932,1006.59715705949,1199.02681652594,899.051358419335,1112.10540701541,1123.79877697549,564.923998975785
"ftp",251.612367411292,218.97126164581,214.51591032404,233.929369800138,127.535249073675,181.175645851699,225.022413979246,187.618636855659,223.971261668003,226.445652450056,243.610843489377,185.971261774922,237.968376497653,210.070851106135,181.483152059629,173.735060088879,166.360150612297,157.689869002588
"thrA",3250.05991681126,2688.13576815032,2534.48740638571,3066.44761525512,2310.5357714841,2015.4494867359,2093.73941278776,948.356098764178,2930.06032038383,3110.10822814696,3625.43640020153,2366.70523628624,2089.41570402229,3121.46983775263,3024.02296424423,2792.69419645918,2212.17807748301,1315.78862458537
"yghA",56.4879285914381,68.9807251073993,60.7758655635393,87.6729498083976,75.960057844244,72.6832397030594,69.9297362134082,78.8807304344091,63.9031932721509,58.0194505893463,69.0758285570976,67.458120742098,56.4227559315328,65.1186876111202,87.0380534565686,84.1630823450735,86.4035982441825,167.216174376129
"yggN",1204.81865654153,914.833563990226,1117.49997205994,1147.13792701669,817.350851849926,966.614070997726,1136.23780104329,790.473310445265,1047.41570749677,1056.88817220411,1142.95557193197,954.723070061896,1178.23599692106,1172.79201448408,1016.79329877636,1115.37286266132,1437.58237395485,1088.44707965737
"ydhL",48.965766864021,62.5220877157949,42.6481188637237,39.7852191020086,49.9197542548311,48.2951932578783,53.8619179104465,73.9769145872918,45.749435054402,41.5796694501687,38.1122812334817,41.4531021506074,47.4574372658071,46.104874133014,51.6978874769438,40.9977356731403,51.0665072996989,39.0256588075353
"sokB",96.8065946584086,138.145575375044,162.988015743763,113.652337082351,144.94606013945,179.9874788292,93.0757434078682,89.9055287475562,86.7193980886152,93.5270700873997,93.4514170939679,158.495284150019,141.924273956873,88.1679441471194,139.361101806623,91.1970984590733,86.2311669654188,60.8505193051485
"ycjW",51.1006807717127,37.1956146241024,71.2341949823508,59.9549039451261,57.0378877027398,84.0837231609237,116.329910502191,94.8304340992878,47.6438903895145,50.4391642477066,70.2353432871901,53.9002177432475,92.4997975525451,74.9753045382261,78.6818333036291,95.080604268622,96.6381133280843,40.5794079122677
"mdtJ",304.810478050246,232.610077557115,194.569916593575,379.483957375743,200.214698998985,275.416426953242,430.714952155469,381.550242687609,240.971261654033,254.732040022594,351.414235819696,203.497305680107,268.385274479942,498.399497993051,158.733803620493,200.61274478136,236.789941596944,278.937632005795
"higB",312.064312355485,174.681594132054,284.341847211475,364.761796540618,153.619372877524,280.223156323225,279.471261749462,213.778319177662,275.679900166669,258.856250395306,387.171217041109,295.713849258523,400.727962987242,426.087260181712,143.137928407646,178.111557568485,196.182707804098,189.1191172027
"kdgR",1181.45098340178,1198.77932325751,1555.0763293673,1254.18504790994,1000.96342707058,1350.32730660572,1023.2386267191,1579.78537930637,898.076676353459,935.950156036244,1149.23684756855,1634.13437958534,1697.25195291231,1224.71814315161,1166.89400157988,931.235030977496,1137.39212873423,1048.26688986784
"fau",156.93318415214,112.690763564683,192.313749122021,105.637965386905,95.2491234598204,105.826003579313,126.698155119718,175.750651123568,121.693485289869,168.112216387699,165.415706143136,110.971274619073,179.804595009873,148.601817614527,107.631237752652,115.546194950487,121.492312661079,110.20185000362
"yqeA",92.6979688181213,70.0474828811564,98.7503844703476,95.5965450721618,64.6150110612657,86.9410848168446,89.0810693768071,98.6630898451255,88.2920139937125,75.2097014022407,101.99665632314,87.1818769570503,97.0204220955157,118.394577953298,66.7761276602884,76.7433030977809,90.3927165405774,122.764284335054
"cbeA",41.8345752139366,41.8352605178892,38.4846138383899,48.1486088499056,29.8383823350805,38.7245844082404,35.6876120731429,34.8045972877242,52.7069551239664,34.6668127057671,40.6812520020215,26.323572894011,27.3574334239939,46.5986472432803,36.3205417844933,62.0315339501213,42.8725350790831,27.8825571339865
"hycB",38.6820635396716,35.6606637523552,30.0176437246242,39.0924189509354,26.0670491391109,27.0601616407549,33.0947682479874,34.6316034492577,51.9602127222748,39.7095020850295,39.4471703089425,39.6691030704587,26.6628414679259,40.9825334720228,28.2492158261137,27.6573231113461,33.9414158180078,32.8900616890093
"grpE",6787.40205948271,6340.79596933323,7870.52359271915,10125.2992740726,6359.40339219683,7637.15283532052,5303.89547906722,5707.46475443621,5439.77370061656,6355.24906124652,7417.55456933411,7167.01992493499,8677.52204592193,8587.58239000685,6336.39057273107,5519.21870625097,6203.81022686522,7319.29308028634
"arfB",621.657656726405,614.683647000263,597.897852963621,477.304594992527,502.745923394062,567.021211409394,599.021001857507,525.123109995877,550.920420567833,611.020894867824,655.753907951006,618.497764283536,612.843324122522,609.061518394325,549.201882729981,590.531496574816,556.082318145523,612.249039390919
