"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"phnJ",0,0,0,0,0,0,0,0,0,0,703.2,618.1,0,0,397.5,209.9
"cyoB",0,0,628.8,544.4,0,0,0,0,0,0,644.4,697.6,0,0,0,0
"ybjN",5306.8,3436.5,0,0,0,0,0,0,7439.6,6086.4,19530.2,2768.9,26247.6,2958.8,419.3,286.9
"trpE",2342.6,1943.2,0,0,633.4,533.9,671.1,836.4,811.1,753.2,2273.5,2585,446.3,0,744.4,571.7
"ydfB",0,0,500.8,447,0,0,0,0,0,0,551.2,488.3,0,0,0,0
"ynfE",697.5,4098.2,0,102,568.6,525.9,546.2,444.7,758.2,10942.9,307,176,0,0,720.3,3738.7
"cbeA",2435.8,3994.3,1907.1,2099.5,1269.1,893.5,0.7,2.1,716,609.2,956.4,3529.6,1024.4,720.9,595.3,734.2
"pdxK",1758.8,1121.2,1373,1703.6,629.3,790.3,0.7,1.8,325.1,409.8,943.5,1020.4,0,0,444,481.8
"ygbK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yraQ",2702.3,2013.7,4988.5,5805.2,1042.5,849.7,636.6,1276.3,1355.4,892,1897.7,13022.7,2759.8,354.3,938.7,970.9
"xylG",0,0,0,0,0,0,0,0,0,0,686,698.9,0,0,0,114.1
"yjaG",3797.5,1268.5,5398.7,2160,4439.6,2536,666.7,318.9,874.1,530.2,2043.7,1091.7,3492.2,311.8,586.4,399.8
"fimC",0,0,727.5,1370.6,0,0,0,0,0,0,664.6,1214.9,0,0,0,0
"yjiH",0,0,1485.6,2074.2,549.1,491.2,0,0,0,0,604,845,0,0,420.7,368.8
"ampE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cysS",0,0,0,0,0,0,0,0,0,0,538,402.8,0,0,0,0
"rlmL",933.7,1009.5,715.1,1007,517.6,462.9,0,0,2200.3,1140.4,870.6,736.9,584.2,0,543.3,440.7
"ydaT",935.2,3924.2,0,0,0,213.6,0.7,1,755.5,969.3,711.3,2379.2,0,0,362.7,294.4
"ydhT",2953,2067.8,491.4,324.1,666.9,1116.8,1012.8,667.4,2974,1491.2,877.3,806.4,1162,0,1767.2,1605.3
"sufB",0,0,0,66,475.3,744.1,666.7,512.5,610.5,1144.4,822.3,652.7,0,0,453.4,298
"yegT",2714.3,3374,1808.1,1836.6,557.4,889.3,569.8,414.6,1361.1,1795.6,1446.1,2453.4,2086.4,600.2,779.6,909.3
"bamB",1989.6,1525.4,1439.3,1311.7,600.5,664.3,0.7,83.5,853.9,744.5,0,646.5,0,0,523.6,562.9
"tas",0,0,2500,3126,660.7,579.7,0,0,0,0,1054.4,2134.6,0,0,0,0
"rng",24223.7,2957.7,4138,4993.5,1052,1021.8,704.4,318.1,34689.6,1271.3,326.3,159.5,82833.8,326.5,3620.7,506.6
"nepI",1805.1,605.2,1345.6,2271.3,0,0,0,104.2,0,0,852.7,1721.7,0,0,0,0
"phnK",1046.5,1212.9,629.2,584.2,0,0,0,0,0,0,635.5,746.8,0,0,472.3,318.5
"insL1",0,0,1306.4,1931,0,0,0,0,0,0,693.6,636.2,0,0,0,0
"cyoC",0,0,2293.4,3350.3,0,0,0,0,0,0,617.9,579.3,0,0,369.8,294.8
"rimK",1618.1,2449.7,1835,1967.7,703.5,638.5,819.5,2998,274.7,617,985.6,726.4,357.9,354.6,455.2,577
"trpD",590.4,4822.2,467.4,327.9,0,0,0,176.4,0,1289.2,784.8,2105.6,0,0,0,0
"ydfA",2636.1,838.7,1205,1278.9,0,0,0.7,1.1,1482.7,1346.2,731.7,617.7,0,0,446.4,342.8
"ynfD",0,195.6,675.2,637.6,0,0,0,0,0,0,979.2,654.2,0,0,426.2,389.7
"yeeT",2263.8,7716.9,2922.8,4411,832.7,1311.3,513.5,455.3,757.4,19307.9,319.6,184.3,1289.9,668.7,842.5,3956.2
"crr",1850.6,856.9,746.1,542.5,675.2,580.1,0,0,386.2,1092.3,1002.1,1122.2,0,0,457.7,505.8
"ygbJ",12828.1,23637.3,1545.5,1594.8,830.3,888.2,623,782.2,0,0,997.3,2945.8,1849.6,433.5,600.1,537.4
"dolP",0,0,2335.9,3122.1,0,0,0,0,4329.6,981.9,1111,1614.9,0,0,482,396.7
"xylF",2182.3,876,1323.3,1623.8,0,179.7,0,0,0,0,10866.7,1683.1,0,0,473.3,441
"nfi",0,0,1384.7,2164.8,0,0,0,0,0,0,728.9,1005.3,0,0,358.6,260
"fimI",505,469.7,1461,2047.6,806.2,423.9,0.3,1.2,0,0,788.7,1556.4,234.2,668.4,414.2,376.4
"yjiG",0,0,1835.3,3465,606.5,748.7,0,0,0,0,1074.7,1064.5,0,0,494.7,426.7
"yadK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"insH2",660.1,6243.6,0,0,731.7,475.5,0,0,252.7,2142.2,683.5,3052,1084.6,21550.6,393.7,501.2
