"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"groL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL",0,0,0,0,0,25.7,0,0,0,0,999.6,473.3,0,0,0,0
"sfsA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybcY",0,0,3628.6,3792.6,912.9,3254.4,444.9,572.4,0,0,2863,3548.1,0,0,441.9,306.8
"aat",0,0,0,0,677.8,168,0,0,1347.6,801.5,1465.6,1278.8,0,0,603.8,634.4
"ymjA",0,0,0,0,727.8,279.8,0,0,0,0,1438.1,2476.3,0,0,0,0
"aroH",0,0,0,0,0,0,0,0,0,0,933.9,1092.6,0,0,419.3,249.3
"yehL",0,0,0,0,0,0,0,0,0,0,544.1,363.7,0,0,0,0
"amiA",0,0,0,0,0,0,0,0,543.5,361.5,1477.6,2977,0,0,467.4,417.2
"yffR",0,0,4104.8,5839.2,974.5,305.1,0,33.2,0,0,1895.4,3726.3,0,0,787.4,643.9
"ygeW",0,0,3998.2,6337.4,845.5,315,0,41.4,0,0,2070,4226.2,0,0,954,894.6
"rsmB",3446.7,1584.4,8363.2,12389.7,859.9,791.9,590,674.9,576.4,501,1816.6,3180.7,0,0,1158.1,1102
"yibI",0,0,0,0,0,35.4,0,0,0,0,1942.6,3707.2,0,0,519.6,480.6
"malE",0,0,2831.9,3858.5,798.9,242.5,0,0,0,0,1276.7,3165.4,181.7,3103.1,482.1,438.8
"gapA",5170.9,2970.2,4616.6,3621.2,566.4,1571.4,309.1,1503.2,0,0,1006.3,4714.3,221.6,2459,454.3,414.7
"groL.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rsmA",0,0,0,0,0,104,0,0,0,0,1073.4,540.5,0,0,0,0
"ybaM",0,0,0,0,865,190.6,0,0,0,0,1367.9,803,0,0,0,0
"clsB",634.2,636.7,0,0,757.3,426.9,0,37.5,526.5,786.3,1562.3,3262.6,0,4054.4,508.3,770.6
"dhaM",0,0,1166.4,1628.6,0,111.9,0,0,0,0,1181.7,593.8,0,0,513.5,308.3
"ydgC",0,0,1492,2161.7,906,1066.8,0,41.4,355.4,444.7,1416.8,3178,0,0,534,345
"hisA",2121.8,700.5,0,0,865.2,544.9,705.3,496.8,2972.5,982.1,3435.5,2274.6,0,0,1931.7,2057.2
"yfcP",0,0,1641.4,3575.4,0,0,0,0,0,0,1254.4,2263.6,0,0,603.6,385.1
"yfdC",0,0,2027.1,3179.5,793.9,250,0,32.9,0,0,1472.4,4070.8,265.5,952.4,680.6,602.4
"ygcS",0,0,0,0,0,31.5,0,0,0,0,1293.6,3171.6,0,0,599.8,482.9
"ispB",3030.8,1341.7,2941.3,3459.1,1039.5,1217.3,576.2,503.5,920.5,810.1,3048.4,6829.4,576,1698.4,1208.2,1537.4
"arsB",2712.8,656.3,5318.9,3502.5,1113.6,948.2,510.2,309.7,0,0,2023.3,3468.1,0,0,670.2,641.2
"glpF",1217.5,2847,2273.1,6052.7,689.5,866.6,489.1,279,0,0,0,0,0,0,381.8,3276.8
"hsdR",1141.5,708.3,2951.1,2705.2,786.6,185.8,0,0,0,0,1083.5,2713,0,0,0,82.1
"gapA.1",631.7,398.4,1370.5,1739.5,494,566,0,0,0,0,969.6,5381.8,0,0,0,0
"murI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK",0,0,0,0,1363.3,326.1,0,0,0,0,3084.2,401.3,0,0,0,0
"dksA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tfaD",0,0,1212.2,2002.6,0,61.1,0,0,0,0,883.3,600.4,0,0,564.4,348.6
"infA",3188.3,1559.7,890.4,298.8,928.3,2197.5,640,499.9,2625,990,2611.3,4587.6,2631.6,476.1,2042.5,2209
"sapA",7666.4,10639.4,6337.9,921.8,3180.5,5328.7,1608.5,9546.4,5594.2,1674.4,0,0,15628.5,341.7,10280.4,8955
"ppsR",1035.5,369,0,0,955.7,768.6,0,37.1,0,0,2669.6,2106.9,0,0,715.3,664.1
"yehI",1979.9,965.8,0,0,1053.8,823.1,653.6,476.7,1909.1,2001.4,2673.4,2008.2,2389.2,502.9,1667.4,1979.9
"ypeA",0,0,2479.8,3640.6,685.2,301.9,0,0,583.2,499.5,1567.5,2917.4,0,0,873,830.6
"yffQ",2783.1,685.4,2673.6,3021.7,1174,413.2,0,48.1,0,0,1498.2,3452.3,0,0,754.3,696.6
"ygeV",2846.1,1201.7,5187.7,7208.3,1585,1878.8,0,54.1,0,0,2529.6,2723.8,0,0,882.8,847.7
"fmt",0,0,2662.5,4595.9,870.9,269.4,0,0,0,0,2203.6,3050.8,0,0,827.1,679.6
"yibH",0,0,857.4,463.8,909.6,525.5,0,42.1,0,0,2054.5,3106,0,0,803.4,540.9
"malF",5487.8,2439.2,7394.9,5840.6,1029.7,710.4,618.6,254.8,0,0,1722.4,4531.3,363.2,882.5,640.5,731.1
"infA.1",0,0,0,0,1961.1,4184.6,837.3,1948.8,0,0,3006.4,6424.2,2536.1,335.4,568.9,430.8
"murI.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK.1",0,0,0,0,0,0,0,0,0,0,527.4,1346.3,0,0,0,0
"apaG",3294.2,1479.9,1669.2,326.2,2556.8,4387.6,739.3,1345.9,2158.4,1108.6,4815.9,3368.3,0,0,1317.1,1163.3
"mscK",0,0,0,0,1003.7,721.1,0,0,382.8,515.2,1930.9,921.9,290.2,0,917.5,607.7
"ybhN",620.2,343.6,0,0,6529.2,281.6,0,0,402.1,6535.8,312.3,174.6,524.9,8910.6,448.3,972.8
"treA",0,0,1391.2,722.4,1894.8,6619.5,676.2,1313.8,0,0,1854.7,1908.5,0,0,451.8,424.4
"folM",0,0,2284.5,4214.2,1006.5,338.4,0,0,1510.8,662.6,3780.3,3054.6,480.2,0,1193.9,971.7
"hisH",2962.9,861.5,3725.8,2773.2,1090.8,748.6,910.1,812.1,5449,2419.1,3940.4,3213.7,1077.7,0,2443.2,3217.6
"yfcO",0,0,3183.4,4982.6,1070.2,688.9,718.1,307.8,2236.9,663.3,2749.8,3849.1,777.7,0,1388.6,1656.7
"mlaA",0,0,4002.6,6375.8,996.1,407.1,0,0,0,0,2664.2,4110.8,0,0,827.2,577.3
"ygcR",0,0,0,0,0,67.8,0,0,0,0,1779.1,4009.1,0,0,623.6,411.1
"rplU",2404.1,984.8,5146.3,5962.3,2188.8,2756.4,771.2,563.9,1499.5,760.1,3754.8,4459.6,1028,534.3,1085.3,1057.1
"arsR",1274,475.1,5667,6551,987.8,356.8,0,35.5,1071.9,449.4,3088.9,5851.7,0,0,817.4,669.4
"glpK",3608.5,2542.3,11974.9,7084.3,1147.4,736.6,643.9,450.6,0,0,2655.6,3671.7,0,0,733.3,545.4
"hsdM",1763.9,1253.4,8120.5,7123,3010.6,843.5,562.1,486.3,0,0,1400.6,5358,0,0,417.8,301.6
"infA.2",3788,1393.4,8208,6103.5,555.6,995.6,572.4,556.5,477.3,1998.6,1110.8,9019.8,551,10730.4,384.4,700.6
"groL.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL.2",0,0,0,0,0,27.9,0,0,0,0,507.4,349.8,0,0,0,0
"tsf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cueR",0,0,2881.6,3040.9,622.1,252.5,0,31,0,0,1015.7,823.9,0,0,0,0
"ycaL",0,0,431.7,214.1,847.8,1097.6,522.1,378.9,1367.2,588.2,3770.2,2584.4,112.2,0,967.3,1036.3
"ompG",0,0,0,0,784.9,344.9,0,0,0,0,1671.1,2350.7,0,0,458.7,562.3
"ydjM",1713,560.8,0,0,733.9,383.4,0,0,2089.7,656.8,2648.5,1993.7,152.6,0,1196.7,1588.2
"wcaK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eutT",2144,860.4,0,0,998.8,1704.2,567.2,492.5,0,0,4130.3,6742.4,0,0,577.1,883.2
"ypfH",1581.9,1539.9,3283.5,4369.9,0,39,0,0,659.4,617,1413,2270.5,558.6,1289.8,588.7,739.4
"xerD",0,0,1717.3,4415.6,0,0,0,0,0,0,896,754.3,0,0,551.4,389.2
"mtgA",0,0,2395.6,6805.5,759.6,192,0,0,0,0,1583.2,3807,0,0,582.4,418.2
"waaL",0,0,1509.8,3861,0,39.9,0,0,0,0,1260.6,3229.5,0,0,481.7,399.7
"uvrA",0,0,5815.5,4570.8,899.2,473.1,606.6,187.2,0,0,1084.6,1906.3,0,0,0,124
"gapA.2",22082.6,8083.4,9062.3,1567.1,1189.9,755.1,873.2,294.1,0,0,3114.9,3218.5,0,0,0,0
"groL.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leuL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ppnP",2908,2807.5,1689.3,749,1203.7,5652.5,723.5,3224,518.9,2040.4,5250.5,7044.6,847.6,12272,540.7,831.6
"rhtA",0,0,0,0,0,0,0,0,0,0,937.6,588.6,0,0,402.5,315.1
"narX",0,0,0,0,793,719.9,0,0,0,0,1421.1,694,0,0,398.9,251
"rsxG",0,0,0,0,0,76.5,0,0,0,0,990.5,828.3,0,0,588.1,485.3
"fliL",0,0,0,0,855.7,343,659.8,274.8,1882.1,695.5,2126.2,1344.3,141.8,0,1700,1744.6
"yfdO",0,0,1474,1628.2,0,181.6,0,0,964.5,458.6,1784.6,3482.1,0,0,1040.5,974.3
"yfdV",0,0,3614.9,3536.8,0,0,0,0,0,0,1750.6,2982.3,0,0,575.6,356.7
"ppnN",3698.3,2170.3,4717.6,3942,1893.4,2906.3,492.4,781.3,0,0,2478.8,3672.3,0,0,810.4,472.8
"cyuP",0,0,2492.9,3909.8,789.8,376.2,0,0,557.2,448.4,1886.5,4473.7,0,0,789.1,913.3
"kdgK",17893.9,38875.5,29441.8,15865.9,7866.9,6573,767.1,13627.5,1926.3,630.2,8043.8,7349.8,1742.9,440.7,1700.7,2332.3
"pflD",0,0,839.3,423.3,0,116.7,0,0,1152.6,1355.9,0,0,461.7,7309.3,1592.4,2809.3
"yjjU",0,0,1766.9,3174.1,0,0,0,0,0,0,1170.7,2353.5,0,0,571.9,331
"gapA.3",2321.7,1102.4,2154.3,853.1,529.2,710.4,0,0,0,0,3670.7,2938.4,0,0,614.6,178.1
"murI.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK.2",1588.4,350,0,0,761.7,292.6,0,0,0,0,2038.5,558.9,0,0,0,0
"rpsB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybaT",0,0,1657.6,2274.8,1091.6,1026,0,0,0,0,2362.2,618.4,1988.7,364.1,0,0
"aroA",4026.5,2220.1,1561.2,343.3,1303.2,1739.6,854.7,1433.8,1667,1481.2,3820.3,2103.8,302.8,0,2221.5,2202.2
"ycjV",0,0,0,0,976.5,777.1,0,38.9,0,0,1542.8,2869.7,0,0,517.5,291.5
"hxpB",0,0,0,0,877.1,250.9,0,46,613.6,789,967.5,704.1,0,0,616.5,604.2
"wcaL",0,0,0,0,942.2,1029.6,653.6,428.5,1514.3,952.1,3153.2,3013.1,1241.1,1075.8,1158.3,1348.2
"eutD",0,0,0,0,843.2,250.6,0,0,0,0,1402.4,2540,0,0,559.5,456.6
"dapE",12071.5,1651.7,40473.3,6408.2,37174.4,467,11220,825.4,0,0,0,0,0,0,0,0
"dsbC",0,0,2271,5977.6,0,55.3,0,0,0,0,677,808.5,0,0,677.9,579.4
"yrbL",0,0,2438.2,4916.4,755,408.2,0,0,321,683.2,1715.8,4147.2,412.3,2242.8,683.4,967.8
"waaC",2828.5,2226.6,3718.9,4748.8,1279.2,1328.1,618.3,518.5,2325,1932.4,5661.9,6586.3,10465.7,3656.1,2439.6,2203.3
"yjbR",2294.8,1307.7,8176.9,5426.6,819.1,1206,0,0,0,0,1482.4,2912.9,0,0,583.3,567.4
"infA.3",1237.7,929.5,1195.3,876.3,1750.7,6237.2,454.8,816,0,0,1881.7,4501.6,0,0,469.7,295.8
"murI.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leuA",1655.1,1280.1,3389.9,4166.7,1245.1,1721.3,534.1,368.4,697,2153,3744.1,4925.2,1191.3,4409.6,889.1,1219.3
"aroM",0,0,0,0,1461.2,3369.1,580.9,482.3,0,0,1984.8,4732.4,0,0,794.1,576.1
"dps",0,0,0,0,1001.5,256.2,0,0,0,0,1611.3,961,0,0,678.7,516.2
"narL",1325.1,521.6,0,0,876.8,561.7,662.3,325,1560.5,674.5,2257.3,1057.5,1375.8,426.1,822.2,644.7
"rsxD",0,0,0,0,1102.7,1176.9,623.2,210.9,1023.9,362.9,2649.9,822.9,0,0,877.6,197.7
"fliK",1178.4,615.6,551.3,226.5,951.8,581.9,826,451.3,2011.8,760.8,1852.8,1173.6,458.3,0,1149.2,1248.5
"yfdN",2399.9,1126.1,3583,4022.1,1685.7,1128,701.6,355.9,2703,942.4,3686.9,4558.8,0,0,1678.1,2136
"yfdE",719.1,426.8,8769.6,11157.4,1034.8,389.9,548.8,231.3,861.9,383.6,3506,3978,0,0,894,963
"queF",954.3,673.8,8392.4,8812.7,0,0,0,39,0,0,1782,4623.9,0,0,676.2,580.7
"cyuA",3564.5,3946.4,4760.3,10135.5,1346.5,4015.6,569.7,1278.2,0,0,3104.1,8096.5,0,0,857.2,719.3
"pdeH",5061.1,4245.4,10939.8,6539.4,1916,2211,818.9,1096.5,2834,1116.4,5499.4,5472.4,1433.3,0,1573.1,1568.8
"frwB",0,0,2628.4,4160,1134.3,512.6,0,0,0,0,1809.8,6773.5,0,0,673.5,514.4
"osmY",0,0,2842.8,3282.2,2184.3,308.9,0,0,0,0,1208.3,2489.8,0,0,0,0
"infA.4",0,0,3564.4,1378,614.4,195.7,0,0,0,0,683.9,2044.6,0,0,0,0
"groL.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL.4",0,0,0,0,0,0,0,0,0,0,779.1,336.3,0,0,0,0
"lpxC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybbW",0,0,9021,12229.6,1003.9,341.3,0,34.1,0,0,2135.9,5987.8,0,0,864.8,991.2
"ssuB",899.8,304.8,0,0,0,40.3,0,0,0,0,1144.9,777.4,0,0,546.2,578
"dbpA",0,0,0,0,722.5,434.2,0,0,0,0,1871.7,1592.7,0,0,442.8,232.8
"rnt",1763.1,3709.7,1933.4,385.8,2602.4,7259.6,784.8,900.2,844.5,3300.3,3980.5,8189.2,1940,7633.8,715.5,907.5
"yegD",0,0,783.3,1015.4,0,22.8,0,0,0,0,1214.9,2191.7,0,0,583.8,672.9
"hyfC",2724.8,1210,522.4,208.2,761.3,689.3,707.4,382.5,2582.8,672.1,3729.5,4006.4,850.7,0,2120.2,2549.1
"uraA",3411.3,2355.3,7392,5751.6,831.4,750.5,631.4,705.7,0,0,2504.2,4692,1203.3,403.8,1014.6,873.6
"recD",0,0,2053.6,4083.1,0,35.2,0,0,0,0,1244.8,2525.4,0,0,669.7,425.8
"zapE",0,0,3710.8,5459.3,1058.9,342,0,35.6,0,0,1838.1,3409.8,0,0,940.8,724.4
"yicG",681.2,445.3,4074.7,4548.8,818.6,383.5,0,0,0,0,1341.7,2714.2,220.8,652.9,500.4,455.7
"mdtN",0,0,4015.7,3809.9,642.1,191.2,0,0,0,0,1393.1,4134.8,0,0,679,608.4
"creB",0,0,4309.6,5425.9,926.2,654.5,0,0,0,0,2217.5,3744.8,2915.4,684.8,703.9,686.7
"gapA.4",11788.1,8240.9,9693.9,1900.1,1146.7,917.7,444.1,281.7,0,0,1740.7,3824.8,0,0,0,0
"groL.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ftsL.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thrL",874.2,462,2076.4,4090.5,842.5,329.2,0,0,347.8,356.7,1646,1153,0,0,739.7,747.6
"ribE",0,0,0,0,0,60.9,0,0,0,0,1121.1,3284.2,0,0,565.6,289
"yliI",0,0,0,0,1004.2,262.5,0,0,0,0,1260.1,529.1,0,0,0,0
"yciU",3012.6,1694.1,2369.3,1902.2,848.1,474.4,574.3,475.5,0,0,2481.3,1080.4,0,0,572.3,404.9
"essQ",0,0,0,0,0,0,0,0,0,0,729.1,459.6,0,0,512.2,276.5
"hprR",805.2,505.5,551.3,278.4,725.7,673.5,431.7,226.3,904.5,521.2,3327.9,4727.7,1153.9,976.2,998.4,1110
"ypdC",1630.4,594.4,2754.7,2534.6,1395.7,1721.5,689.5,428.4,1291.1,422.6,3228.2,4840.5,0,0,1372.1,1192.1
"yfeC",6519,8484,12210,8885.4,1970.5,1425.1,776.5,732,0,0,5149.2,6182.6,1475,370.8,845.9,794.7
"hycE",0,0,2188.6,240.7,7175.2,531.8,1972.2,334,0,0,8191.6,1800.5,0,0,854.7,282.5
"agaA",1045.1,703.2,2743.5,3772.7,865.1,454.5,0,37.5,740,671.9,2024.4,4255.1,0,0,1187.4,1608.7
"bisC",0,0,4346.5,3492.2,1135,1532.6,0,42.7,658.6,284.7,2018.1,4122.8,0,0,803.8,613.6
"rplK",2548.5,880.7,3163.3,1928.2,878.9,559.6,0,0,0,0,998.8,4729,0,0,536.2,598.2
"sgcR",3239.6,796.7,4703.4,3635.5,784.8,242.6,0,0,0,0,1109.2,2348.9,0,0,0,86.6
"gapA.5",1043.5,457.1,3290.3,889.5,539.2,692.9,0,0,0,0,2343.2,3400.4,0,0,0,0
"murI.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK.4",0,0,0,0,844.6,293.7,0,0,0,0,0,0,0,0,0,0
"pepN",3672.6,1634.3,1827.2,372.4,926.4,984,749,653.9,1932,1432.8,2657.9,1945.6,306.7,0,1847.8,1908.1
"zntB",3176.7,1558.7,2222.7,472.8,0,0,636.8,4452.4,0,0,4634.5,4021.7,0,0,644.5,573.8
"gloA",4436.6,1736.2,1959,362.8,2597.6,2978.8,1051.2,1040.6,4087.4,2642.6,8735.8,5638.5,4412.1,325.8,3101.7,2913.6
"alkA",1045.9,770.5,0,0,943.8,581.8,0,0,2907.7,2478.2,54864.8,3459,54319.6,4147.6,882.3,729.1
"hyfB",1170.2,465,0,0,918.7,291.1,0,0,920.9,779.8,2396.3,3877.7,1703.1,2936.9,918.5,1001.2
"hda",3672.1,2133.2,7717.6,4283.6,1327.7,1035.5,580,401.7,430.7,647,2278.7,4175.3,721.4,750.9,815,884.2
"rplM",0,0,3756.7,6172.7,1009.1,839.6,759.5,415.3,1497.1,849.4,2880.6,4741.5,304.9,469.7,1388.7,1566.2
"dinD",0,0,4741.2,3533.2,696.4,318.3,0,0,0,0,1329.7,2187.3,0,0,608.1,438.6
"mdtO",0,0,2780.5,3477.9,827,449.8,0,0,0,0,1217.7,4176.5,0,0,672.6,478.9
"creA",0,0,1888.7,2385.8,850.6,272.1,0,0,0,0,1199.1,1866.1,0,0,433.3,319.5
"infA.5",2592.7,671.6,1871.3,934,1298.2,4903.1,530.7,548.2,0,0,991.2,5797.7,0,0,0,0
"murI.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dnaK.5",0,0,0,0,0,0,0,0,0,0,0,168.5,0,0,0,0
"ribD",0,0,0,0,0,29.3,0,0,0,0,942.6,576.7,0,0,377.9,249.1
"bssR",0,0,0,0,891.3,522.9,661,242.2,737.7,448.1,2227.2,2299.4,0,0,774.2,402.7
"oppF",1316.7,495.6,2195.8,3109,971.1,383.1,631.2,219.4,919.9,369,1702.8,3104.9,0,0,889,755.1
"ydfR",0,0,0,0,819.1,416.3,639,215.7,0,0,1456.3,743.5,0,0,590.7,585.8
"hprS",1396,553.2,0,0,958.6,1947.2,595.1,267,0,0,1937.4,3063.3,0,0,848.4,627.7
"pyrR",3022.2,1264.8,3606.4,5563.4,882.2,1184.7,495,585.8,844.7,4529.5,1483.5,3334.8,1235.4,10902.5,744.4,1926.8
"pdeA",2387.8,1647.5,6379.4,4351.5,3226.6,7129.8,798.9,1132,1671,476.4,6174.1,5351.7,212.9,0,909.3,655.3
"agaW",5304.4,3249.6,5486.7,4857,955,1257.6,801.5,819.1,3324.2,1028.9,7231.8,7328,0,0,1512.4,1731.2
"yiaC",0,0,5607.1,5828.6,815.7,776.8,0,0,0,0,1913.4,3010.7,0,0,492.7,409
"nusG",4809.3,1157.5,6563.7,3361.4,852.4,1269.3,0,37.3,0,0,2045.5,6077.6,0,0,482.5,352.1
"yjhI",1874.3,626.3,5519.6,5875.5,699,991.8,0,0,0,0,1653.4,3765.8,0,0,0,79.5
"infA.6",0,0,3301.6,1543.7,412.9,270.3,0,0,0,0,635.3,2120.6,0,0,0,0
"groL.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hofC",0,0,0,0,0,0,0,0,0,0,1874.1,772.4,0,0,0,0
"speD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fimZ",0,0,0,0,0,0,0,0,0,0,890.4,439.4,0,0,0,0
"ompA",0,0,0,0,712.2,440.6,0,0,0,0,2021.1,1825.7,75.9,0,713.1,481.6
"rluB",1511.9,1087,2156.8,622.1,2151.9,8191.8,587.2,2080.1,0,0,1637.8,3039.9,0,1404.4,390,395
"ldtE",0,0,0,0,0,0,0,0,0,0,638.6,564.1,0,0,382.3,203.5
"gatB",0,0,0,0,0,0,0,0,0,0,1340.7,1172.6,0,0,449.2,239.4
"guaA",0,0,3013.2,2816.6,0,38.6,0,0,0,0,2146.6,2039.1,0,0,0,0
"ptsP",2675.3,653.2,1381.8,1078.9,894.2,523.4,443.3,409.1,0,0,1821.6,2057.5,0,0,779.2,840.4
"kduI",849.5,457.6,4165.8,6240.2,882,416.3,0,39.7,1004.9,284,1981.1,3895.4,0,0,1328.7,969.9
"accC",0,0,3574.4,7679.2,705,371.3,0,0,0,0,1822.1,5610.1,0,0,819.6,765.1
"ilvB",0,0,1259.9,2271.5,0,0,0,0,0,0,1993.9,1504.2,1161.5,426.9,721.8,524.9
"zraR",0,0,3273,4664.7,0,40.6,0,0,0,0,1141.2,3446.4,0,0,488,539.3
"gapA.6",12021.7,7111.5,14356.9,2421.1,1166.3,1086,0,44.8,0,0,2305.5,3631.3,0,0,0,0
"groL.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yaaW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ribF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lon",0,0,2191.6,3185.9,753.9,463.9,0,0,0,0,1172,3235.1,0,0,626.4,297.7
"artM",2196.6,666.2,0,0,733.2,609.6,609.3,380.7,2166.4,885.9,3073.5,1723.1,322.4,0,2803.9,2951.4
"ymgG",882.1,550.5,1530.5,1968.1,875,429.4,0,52.2,745.4,386.8,1600.6,1415.4,0,0,653.4,621.6
"rspA",2086.4,1133.2,1352,493.5,998.9,1856.7,584.6,380.6,1184,463.1,2843.2,2696.1,0,0,1259,1129.5
"zipA",0,0,2737,1268.7,909.8,1129.4,0,58,1594.3,530.9,1971.5,2144.7,202.9,0,1156.9,1347.6
"fhlA",0,0,1533,3406.6,0,63.4,0,0,0,0,1554.1,3716.7,0,0,888.3,726.4
"truD",0,0,2509.3,3123.7,841.1,249,0,0,0,0,1062.9,2916.3,0,0,0,0
"ubiV",1820.1,1717.6,2394.5,3759.6,907.8,552.3,623.4,534.6,683.3,1021.7,2866.6,4665.5,3030.5,2594.8,991.5,1236.5
"yiaK",0,0,2811.6,1957,802.9,299,0,0,0,0,1361.5,2958.5,0,0,541.8,401.1
"rhaM",0,0,1292.2,1458.2,0,0,0,0,0,0,962.7,2560.4,0,0,347.9,268.5
"uxuR",5109.3,2392.4,7278.5,4130.9,2856.7,6088.6,490.2,918.7,0,0,3567.9,6998.7,0,0,605.9,718.1
"gapA.7",1911.6,1220.4,4146.3,1211.3,729,1195.8,0,0,0,0,2026.8,2650.1,0,0,334.6,207.8
"murI.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yacL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sfmF",0,0,2022.9,2478.3,0,0,0,0,0,0,0,244.5,0,0,0,0
"matP",3013.3,1717.2,0,0,1559.1,3338.7,580,783.6,2125.6,2265.7,5294.7,4496.8,5006.5,1270.4,2218.3,2628.6
"yciQ",0,0,0,0,805.3,1125.3,593.4,370.7,1354.1,768.4,3338.3,1709.8,0,0,1114.6,1124.1
"lpp",870.5,318.7,0,0,843.6,1213.6,0,44.5,0,0,1044.1,1452.3,523.8,3696.9,579.4,526.2
"gatC",6718.4,5174.8,4785.3,760.5,613.6,67.6,1636,4613.7,1837,375.1,4936.7,3263.6,318.6,0,1295.8,707.9
"yfgI",2835.7,1398.1,3427.2,3892.2,1377.5,1749.8,551.4,776.8,2315.1,1026.6,3619,5164.7,5081,2029.1,2070.9,2490.1
"lgt",2602.2,904,1785.3,1290.4,861.9,910.5,507.7,276.5,1098.4,622.4,2012.7,1825.6,0,0,845.3,791.1
"kduD",3168.4,1094.1,6565,5089.5,2672.7,5796,389.1,322.6,0,0,1514.6,4058.8,0,0,640.9,712.7
"accB",2000.2,1121.4,3203.7,5706.9,950.5,1325.8,566.9,516.5,1495.2,1115.3,2847.1,5806.8,2043.8,763.1,1532.9,1997.7
"ilvN",0,0,1470.9,1925,0,65.1,0,0,0,0,1178.6,2287.9,0,0,525.5,394.8
"zraS",1865.2,4058.5,5064.2,9901.5,881,3029.6,365.4,864.8,0,0,1398.8,3775.8,0,0,695.4,654.8
"infA.7",2509.5,863.1,2208.7,1096.1,758.2,922.4,565,793,0,0,769.5,5295.8,0,0,360.2,283.7
"murI.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yaaY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clpX",1194.7,537.7,4245.3,3702.5,850.4,602.6,0,0,756.3,414.9,1661,2993.9,0,0,680,805.9
"artJ",1142.4,522.3,0,0,832.9,661.3,577.5,234.3,2398.7,889.3,2454,3527.7,432.5,0,1155.2,1429.8
"ymgD",1357.2,846.1,1665.8,3082,1098.8,852.5,826.5,307.8,3361.4,1518.2,0,0,7881.8,5694,3466.1,3154.6
"rspB",0,0,0,0,882,674.4,0,0,899.4,393,1607.9,842,0,0,721.3,622.6
"ligA",3550.9,1629.6,7479.4,4337,1340.4,3113,702.1,473.9,2072.2,698.8,1948.7,4258,0,0,1231.1,1341.9
"hypE",1297.6,512.1,4557.7,10092.3,863.4,498.4,0,0,0,0,1417.6,6051,0,0,1044.6,1082.8
"umpG",0,0,3564.2,5408.4,0,29.6,0,0,0,0,1698.7,2548.2,0,0,610.4,403
"ubiU",2935.5,1492.6,6046.1,6861.1,826.8,1343.8,900.1,387.3,2851.9,1022.9,3924.1,3705.5,4020.7,357.4,2146.8,2424.4
"plaR",0,0,3824.3,4354.5,0,0,0,0,0,0,1945.5,2282.3,0,0,611.8,363
"frvA",0,0,2457.5,3294.2,0,77.3,0,0,0,0,1614.4,2126.8,0,0,0,47.7
"uxuB",0,0,2712.8,3750.4,837.8,437,0,0,0,82,1973.7,3561.6,269.9,3513.8,504.9,445.2
"infA.8",0,0,3737.6,2102.1,385.9,346.3,0,0,0,0,1421.2,2312.8,0,0,0,0
