"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"thrL",13.07796529,12.43378602,12.67253996,11.95923431,10.8872608,12.68437004,13.23046813,13.10640973,14.354326,13.0721117,13.01033451,11.78771421,12.71643378,12.03124155,12.47203544,13.93581583,13.18207607,13.09021745
"thrA",11.17304229,10.81184245,10.61945973,10.31095378,9.864428543,10.94166247,9.890495266,9.550825654,10.70109679,9.920307335,10.27183535,9.894933165,10.76075465,10.2726245,10.70962926,12.54887003,12.24430263,12.04691282
"thrB",10.87103267,10.74426602,10.53889945,10.82490014,11.07360908,10.62383896,9.976431531,10.09759104,11.00389978,10.08971142,10.22612059,9.783788719,9.92739567,10.0215064,10.37525331,11.47914321,11.48581014,11.27777263
"thrC",11.18016195,11.40108198,11.09677244,11.58726649,11.54999826,10.79492974,11.03150493,10.87878795,11.03289583,10.50883621,11.0039496,10.12073299,10.67105085,10.53305624,10.50526991,12.32949398,12.28007759,11.71729249
"yaaX",10.05546397,9.341356464,9.342078037,10.15242901,10.53530928,8.827695183,10.32195381,9.578881024,9.173866517,9.93102427,9.843254576,9.244978048,9.147012761,9.641178699,9.149237641,10.19223319,10.00019518,9.480384443
"yaaA",11.0303293,10.16625138,9.452666413,9.339628346,9.08809872,10.75233684,10.0036054,9.897245778,10.83394213,9.696919233,9.903323212,10.06739489,10.6904281,9.944894403,10.30729588,10.3030501,10.08228547,10.3462801
"yaaJ",10.39563534,9.337884425,9.371911756,9.713440529,8.394146019,9.525973984,9.958793522,8.770153242,9.478358108,9.531466674,9.848649624,9.353658724,10.15786868,9.317773167,9.63733319,9.666004765,9.384575493,9.724672437
"talB",10.6779496,11.4784519,11.61925261,11.80478684,11.99522488,10.68792342,11.43630094,11.31687994,11.5149057,11.32357353,10.31040603,11.44651345,10.93303624,10.99638768,10.94229953,10.87109674,10.86106959,10.79397966
"mog",10.15081009,10.54695402,10.73553067,11.19227584,11.2407469,10.48844665,9.736358697,10.68152629,10.27074906,10.88676613,9.944763865,10.49568815,10.34017187,10.73161766,10.83061602,10.77620705,10.83349229,10.59238201
"satP",9.290703269,9.622163471,9.544637939,10.71437787,9.778104358,7.249934147,10.0631998,9.219587322,9.350094986,9.518254004,9.480740795,9.097861063,9.699042673,9.564771359,9.280724459,9.603059624,9.205194313,8.893129113
"yaaW",9.288205172,8.714585222,8.978305549,9.792321739,10.05274523,7.804000437,9.382166993,9.66548568,8.857335872,8.895203057,8.896523801,9.05138969,8.667089716,8.903770648,8.150981236,9.054007529,8.990271771,8.514852894
"mbiA",10.14802442,9.726679907,9.520496281,9.383174662,8.657510815,10.60764296,9.232681119,9.272199723,9.510079678,9.463076826,9.547150643,9.237622812,9.579928541,9.187084449,9.584995456,9.29872445,9.66603148,9.366888311
"yaaI",9.62776581,8.969325273,9.161864867,9.804105106,8.802990685,9.475878593,9.646915362,9.38101533,9.694933528,9.472006154,9.229922618,9.566710287,9.26660939,9.176488381,9.242822714,8.981586721,9.266973122,9.20045652
"dnaK",13.94162327,13.83997937,13.61431137,13.7764458,13.10147044,13.70976825,15.58859691,15.54723309,15.97168661,14.17910126,14.3257062,14.59155902,14.0111403,13.52759236,14.26182361,14.3479998,14.32143705,14.15033674
"dnaJ",12.51475965,12.5466741,12.25581573,12.77734568,12.11530132,11.80364662,12.6186427,12.50612726,12.91897733,12.40609373,11.640849,12.79423506,12.08361382,12.3910466,12.80720332,12.48370714,12.67016011,12.15480505
"insL1",12.11249303,12.68929024,12.9540835,13.29534471,13.27156312,11.55948913,12.777421,12.75672331,11.29378108,12.4439906,12.33542769,12.90469904,12.84001825,12.91310999,13.02896911,12.52247628,12.99782507,12.92088595
"mokC",9.206288772,8.848038828,8.488997892,8.623088936,7.892389781,9.502291496,8.347730291,8.26941576,8.687548683,7.703681679,7.6639465,8.520839706,8.171569404,8.441293455,8.295009525,8.44238312,7.824155655,8.290914939
"nhaA",9.055570732,9.675654275,9.307337662,9.192835911,9.982158536,10.8626647,8.529979738,9.383912442,9.882201476,9.411067516,10.07223907,9.764503125,9.121202078,9.051015667,9.158179059,9.142150132,9.615270763,10.0054471
"nhaR",9.818541513,9.903893128,9.822906631,9.939045878,8.553541447,10.15352719,10.01858579,9.78769479,9.754408807,9.903365712,9.298609,10.12601366,10.27204152,9.678110924,10.27226028,9.860872211,9.530262921,9.911474877
"insB1",12.78287228,11.61899185,11.62181242,12.89924307,13.02254866,9.557455251,13.65929679,11.3662401,9.961131965,12.78921839,11.4100178,11.59360485,12.43370221,11.58278991,12.48684098,12.06878054,11.83927802,11.5635508
"insA1",12.88203145,11.61770341,11.95259397,12.73356941,13.38101234,10.25172963,12.94356977,12.44256265,11.01851395,12.46989508,12.118634,11.68490306,12.16231695,11.82678438,12.07864081,11.9245174,12.13614935,11.62883324
"rpsT",14.59029527,14.37738536,14.70833679,12.90735145,14.84381507,12.58460326,13.35535594,13.12736819,12.22576702,14.69387846,14.13165988,14.49101723,15.30372595,15.34885733,14.7944444,15.2434896,15.08276268,14.7485649
"yaaY",12.05467055,10.04393732,9.767684222,9.9344313,9.545168405,9.070992861,10.84630289,9.565283682,9.776394836,10.55271252,11.16413125,10.05503259,11.3202339,10.39812886,10.97046221,11.15099723,10.94585715,10.64055607
"ribF",12.41830999,11.96335825,11.54851523,12.15645785,12.42886791,12.53252583,12.55107942,12.29455697,11.68063437,12.37898653,11.73351825,12.2813126,12.33171141,12.14097412,12.18154803,12.97757141,12.57450124,12.38855123
"ileS",12.92404925,12.96565896,12.98013507,12.74190975,12.80064449,13.43548516,12.89114446,12.72082069,13.75638137,13.18060741,13.4787321,12.98796434,13.29261759,12.99427808,13.11275757,13.34267747,12.93478315,13.07007578
"lspA",11.92923385,11.68439603,11.59708971,11.79369758,11.61311734,11.56798289,11.7401724,11.52711867,12.53931434,11.95598761,11.8898932,11.49565143,11.39996134,11.50021639,11.58947429,11.20119859,11.37657568,11.51878189
"fkpB",11.86576031,11.62786947,11.63834007,11.44370115,11.40760071,10.90941533,11.73484384,12.03246811,11.73414415,11.82627754,11.74282154,11.29594953,11.52863707,11.71963303,11.20223018,11.72266025,11.64117536,11.40383099
"ispH",11.13967692,10.82078271,10.49645788,9.752659389,11.20575792,9.439713565,10.14977846,10.98560134,10.33871124,10.25296779,9.802399129,10.2216649,9.818585093,10.50633765,9.681528092,10.45043461,10.6580684,10.27969204
"rihC",12.473547,12.78781064,12.6783882,12.32015872,10.97212991,12.76499952,11.64150385,10.5273562,11.07897049,11.02928918,10.83655349,10.86974641,11.96077364,11.41202226,12.0157151,11.3908147,11.95010286,12.42566719
"dapB",10.56256966,10.70848231,10.6205683,10.20705054,10.75039163,11.03282234,10.57024776,10.82771512,10.87298683,10.41302957,10.14896039,10.7013931,10.18098146,10.41576564,10.47414054,10.68546494,10.90654236,10.97157514
"carA",11.30682423,11.39554687,11.43936847,11.34050409,11.35818761,11.83140043,10.05142326,9.423452496,9.887506404,10.07092719,10.48690815,10.33196446,11.35901146,10.91203192,11.85558128,11.13870144,11.17757924,11.22110078
"carB",9.506286287,10.67222895,10.67438276,11.31281907,10.75013905,9.988962252,10.2655688,9.643978651,9.713856391,10.31620113,10.3530437,10.04687423,10.6239079,10.28131385,10.65138509,10.59455913,10.10504712,10.34516472
"caiF",9.159967665,9.420313774,9.558845048,10.498152,10.52261715,8.356219974,9.245670646,9.417984514,9.081407265,8.659432687,8.10649089,8.664637212,8.670869945,8.454742685,8.010726998,8.575326758,8.350223751,8.215034745
"caiE",9.500979785,8.695610907,8.721289474,9.360181575,10.56182304,8.033573549,9.136674863,9.676657729,8.103611091,8.588031925,8.208407865,8.747749532,8.231331646,8.805951342,7.984267873,8.588705974,8.646252505,8.265393385
"caiD",9.670752292,9.045726483,8.494430499,8.513563748,8.004045109,9.54385457,8.952742691,8.280757561,8.181434152,8.332926699,8.620455098,8.782418323,9.104056295,8.473052135,8.840741786,8.773371712,8.359995726,8.656515925
"caiC",8.523131454,8.044585822,8.316365329,8.331530948,7.875014825,9.404398302,8.521786317,8.827494189,8.931362898,8.537397012,9.196140132,8.673583438,9.010818106,8.176447985,8.671508104,8.633425489,8.527148486,8.619338493
"caiB",9.599937545,8.708005685,8.707694493,8.806959609,9.356658951,9.370590274,8.940780601,8.851825856,9.255346577,8.990273194,9.071487619,8.965245608,8.966972679,8.473207031,8.892917109,8.974057903,8.609675118,8.599224545
