"apaG",11141.41,9925.85,12754.74,12849.38,12706.04,12766.1,12493.65,12012.87,11508.32,9939.62
"rsmA",9818.8,8016.92,9682.07,9610.07,9701.79,8988.78,8987.78,8279.46,7516.16,4448.03
"pdxA",4558.76,3807.56,4151.24,4086.39,3899.52,3722.83,3656.37,3001.37,2533.26,1259.83
"surA",4922.48,4950,4796.73,4868.39,5299.7,5128.57,4961.48,4829.63,4308.24,1955
"lptD",6616.03,6016.12,6419.8,6864.13,6927.79,6716.18,6876.29,6816.04,6593.05,4108.48
"djlA",3473.02,3234.7,2480.96,2405.54,2323.68,2167.95,2411.67,2224.57,2480.82,3128.06
"yabP",4444.23,5119.53,4742.02,4853.23,4849.39,4843.86,4474.43,4409.11,3937.18,2531.66
"yabQ",5900.51,6541.61,6223.38,5949.89,6347.33,5812.88,5442.93,5268.83,4022.83,2214.09
"rluA",2340.76,2122.35,1340.92,1272.98,1358.03,1338.26,1189.69,1027.77,1100.7,1091.94
"rapA",3743.89,2943.44,1803.23,1785.99,2020.16,1878.25,1608.13,1498.33,1387.28,1741.69
"polB",956.6,659.09,597.05,581.98,581.33,544.46,532.88,479.66,516.93,570.73
"araD",541.69,419.7,539.1,553.73,544,565.48,621.76,613.22,820.53,1080.73
"araA",844.41,867.55,1099.5,970.25,915.15,961.85,1070.22,1180.84,1300.82,1911.4
"araB",622.52,573.57,588.84,826.53,736.33,917.16,854.54,1062.96,1319.89,2076.13
"araC",2424.8,2253.61,2203.2,2282.76,2237.2,2049.39,2288.42,2274.32,2580.43,2765.99
"yabI",3865.39,4727.91,4020.23,4108.13,4182.32,4614.38,4631.92,5237.71,5752.75,6331.26
"thiQ",599.35,623.56,691.93,690.33,772.91,996.63,1165.02,1217.13,1076.12,1237.03
"thiP",680.41,895.66,745.82,694.21,858.43,1209.8,1443.23,1492.3,1593.03,1174.81
"thiB",1398.9,1587.81,1590.63,1514.61,1878.88,2647.53,2802.35,2937.66,2886.5,1764.43
"sgrR",1470.73,1377.04,1298.3,1060.1,991.69,900.63,718.68,565.31,581.99,576.83
"setA",1640.3,1785.41,1715.46,2043.65,1786.78,1996.33,2297.57,2721,3105.39,4830.74
"leuD",4970.66,4744.03,2447.33,1963.04,1869.48,1548.72,1502.99,1267.72,1022.73,1331.34
"leuC",9636.62,10121.03,6064.14,5383.86,4983.76,4287.33,3042.4,2561.11,1483.22,1150.1
"leuB",6793.56,7376.02,3955.43,3218.54,3098.55,2549.23,1716.32,1156.98,614.29,518.94
"leuA",11302.12,11225.83,7683.52,6666.63,6121.03,5361,4378.65,3527.82,2506.96,3166.2
"leuL",3790.31,5496.19,3393.27,3356.05,3435.59,3204.34,2624.19,1781.23,1755.73,2065.47
"leuO",2722.01,2681.36,3040.48,3109.24,3072.37,3067.98,3324.61,3112.13,3125.54,3797.94
"ilvI",5900.65,5400.61,5494.49,4899.11,4486.87,3423.94,2702.99,2266.49,1784.55,1002
"ilvH",4867.32,5050.82,4704.74,4350.06,3850.13,3472.68,2851.17,2904.88,2591.19,2469.94
"cra",5544.17,5171.03,5484.48,5233.05,4895.25,4541.15,4302.95,4035.32,3636.6,1943.98
"mraZ",6815.46,7400.42,5023.5,4690.94,4721.51,5240.9,6147.42,6120.66,6190.62,4160.37
"rsmH",4411.62,4225.91,3285.92,3072.12,3260.35,3300.46,3349.18,3259.56,3157.99,1193.82
"ftsL",6937.38,6528.56,5961.46,5553.03,5949.03,6248.63,6979.35,6747.92,6218.94,2692.03
"ftsI",3703.86,4076.02,2778.06,2524.14,2601.43,2720.55,2813.9,2736.92,2493.95,2226.95
"murF",2738.06,2449.02,2227.89,1831.15,1982.57,1906.15,1732.49,1370.84,1004.47,632.41
"mraY",2598.95,2564.41,1765.38,1472.02,1427.33,1403.2,1444.25,1328.56,1306.03,1415.69
