"","7200","21600","10800","36000","0","3600","14400","10800 | 1","21600 | 1","36000 | 1","0 | 1","3600 | 1","14400 | 1","0 | 2","10800 | 2","36000 | 2","3600 | 2","21600 | 2","7200 | 1","14400 | 2"
"yejA",1.528545356,1.202003869,1.811090766,1.268940657,2.322559502,1.820555854,1.417276072,3.013828744,1.493445314,1.57725614,2.901399512,1.770493532,1.40524199,2.929669315,2.16435789,1.707710048,2.117240593,1.524604678,3.056555291,1.618695914
"yejB",1.376763672,1.172419847,1.533195323,1.203971253,1.762152862,1.563961624,1.349093377,2.059894416,1.439846714,1.362210418,1.9047095,1.411189003,1.274419414,1.979782246,1.557990094,1.401605874,1.605070047,1.276141215,1.960056706,1.32423483
"yejE",2.003232855,1.287163468,2.139263609,1.441024966,2.09108213,2.019804415,1.579937476,2.915646762,1.625372675,2.055380637,2.439506449,2.101681488,1.565223975,2.653792897,1.955819644,1.661299132,2.074786711,1.465215396,2.774917905,1.62916545
"yejF",2.575678886,1.478680582,2.822537173,1.870441291,3.15389366,2.824730945,1.750016511,3.181863169,1.7065572,2.272492315,2.854593989,2.309516068,1.664356784,2.239723941,1.773740006,1.523212208,1.838021143,1.439046172,2.127122643,1.448958016
"yejG",2.356969867,1.544342835,3.569892115,1.821317058,13.28506623,3.234765328,1.923819619,11.51163016,2.159332923,3.18348504,12.78892377,3.543035736,2.284893546,10.33810083,6.735109744,5.230133514,8.439299951,4.0722597,10.12053628,5.37833639
"bcr",2.310611147,1.526895394,2.455224543,1.75070903,3.374789792,2.305176025,1.864265151,2.691792592,1.863763272,1.861323249,2.769745971,1.668673998,1.721744537,2.306407837,1.863930713,1.706331467,1.909699789,1.581239647,2.38306479,1.817025087
"rsuA",4.229226498,1.920717439,4.792214691,2.916817094,7.416988724,4.524651319,2.477047041,3.376277745,2.616528448,2.558975463,3.70749855,2.225005162,2.365581988,3.679650411,2.673619419,2.138765486,2.762388533,2.306497212,3.756775928,2.625464274
"radD",1.831940966,1.476404339,1.937869781,1.454944053,2.809174483,1.912120406,1.654381753,2.151687317,1.692801739,1.607056064,2.733620337,1.643171378,1.585624836,2.496716059,1.775283395,1.800181353,1.985428409,1.49292624,2.271134076,1.906263308
"rplY",6.35662999,4.499011502,4.58681794,5.106205873,7.696766713,9.600716208,7.187560366,2.003757489,2.116945341,2.099124537,2.047285512,1.901568781,2.017991413,3.373074477,2.744148089,2.581979272,3.426684905,3.965309555,3.668996296,3.323750768
"yejK",5.498247597,2.531539035,4.782892356,3.801687479,6.313185623,5.90578877,3.583165349,3.578885922,2.593837946,3.147339335,3.746687162,2.431456184,2.538425886,3.353026596,2.513727355,2.08475023,2.884637554,2.399991003,3.474154152,2.646551679
