"","0","0 | 1","108000","108000 | 1","0 | 2","0 | 3","108000 | 2","108000 | 3"
"ftsW",3082.81,3424.08,1885.13,2903.27,3163.65,3096.66,1761.07,2937.1
"murG",2683.34,2624.69,1856.52,2555.17,2639.58,2617.82,1912.69,2640.63
"murC",3407.22,3448.43,2454.5,3259.48,3287.54,3357.08,2487.05,3562.58
"ddlB",5554.55,6266.98,4409.35,5111.3,6033.02,5965.92,4427.1,5614.96
"ftsQ",7030.79,8000.08,5431.76,7422.65,7237.98,7463.43,5275.85,8019.24
"ftsA",7408.22,8185.65,5975.44,7691.74,7440.84,8064.57,6378.06,8258.92
"ftsZ",11261.2,11812.3,9662.22,11423.5,11002.8,11524.4,10328.9,11738.9
"lpxC",12501.7,12711.6,14444.5,15176.3,11891,12929,15288.1,15334
"secM",9861.41,10030.1,9411.47,9657.24,10210.4,9583.08,9182.64,9497.24
"secA",6741.5,7399.23,4525.6,6671.19,7534.87,7461.57,5130.96,7188.51
"mutT",546.545,616.819,667.119,711.019,628.5,553.727,529.53,841.623
"yacG",3758.92,3704.55,4821.5,3589.2,3528.55,3321.26,4296.06,3409.07
"zapD",4542.35,5052.23,5762.24,4454.39,4727.59,4562.49,5267.71,4018.24
"coaE",4702.57,5066.42,4596.46,3504.95,4642.07,4385.95,4419.6,3456.25
"guaC",5230.2,4830.34,14396.5,8807.67,5176.92,4805.23,14529.9,7829.88
"hofC",330.548,318.21,404.052,320.591,320.703,333.625,356.295,328.19
"hofB",335.741,255.673,466.971,341.151,293.835,312.096,427.039,308.289
"ppdD",156.088,138.563,159.703,137.733,151.14,155.594,176.566,117.807
"nadC",1962.03,1976.31,1890.81,1907.57,2031.95,2056.88,1828.46,1858.12
"ampD",2195.99,2279.31,3105.81,2104.54,2509.11,2360.77,3061.57,2187.29
"ampE",1418.18,1423.25,1764.09,1289.79,1503.58,1372.85,1811.51,1405.6
"aroP",693.284,636.681,729.458,580.28,715.227,642.988,558.921,620.5
"pdhR",2717.93,2549.55,5539.22,5113.37,2233.46,2153.09,4263.15,4090.2
"aceE",11674.5,11635.9,18296.7,20395,10907.2,12137.8,16251.1,18177.6
"lpd",21845.8,21730.4,23081.5,23140.8,21901.2,22196.3,22904.2,22158.2
"yacH",121.346,145.011,157.721,152.288,114.029,138.312,147.427,147.334
"acnB",23802.6,18326,17523.2,16340.5,19775.2,20467.2,18968.9,17174.4
"yacL",954.781,991.051,1853.45,1344.04,1012.43,1008.12,1628.07,1326.82
"speD",4604.36,3748.97,11762.8,10158.5,4455.36,3962.01,11349.5,8581.09
"speE",6987.03,6673.89,16758.5,13905.8,6947.4,6315.28,16280,12288.1
"cueO",1752.95,1973.54,2626.04,2057.14,1973.33,1879.4,3251.14,2196.1
"gcd",2388.83,2077.92,2404.4,1275.79,2106.72,1865.6,2418.03,1434.75
"hpt",4365.64,4643.78,5150.31,4906.84,4531.17,4328.81,4618.97,4674.17
"can",10108.3,11088.1,12248.7,10726.9,10347.6,9764.3,10965.2,9613.76
"yadH",1118.39,1142.32,1053.09,1103.6,1235.11,1163.97,1025.64,1165.89
"yadI",556.84,529.447,517.019,494.895,624.866,544.978,456.339,573.72
"panD",8200.54,8349.11,7249.54,7071.73,8450.72,8157.08,6461.05,6496.53
"rpnC",245.176,270.684,373.189,285.806,260.247,263.508,384.58,300.694
"panC",7966.07,7557.32,7331.68,6865.16,7877.97,7547.62,7242.48,7006.97
"panB",5399.86,4599.83,4304.42,4294.52,4788.06,4544.14,4492.53,4034.92
"yadC",224.431,158.275,117.17,111.211,159.809,167.233,111.262,108.893
"yadK",157.405,132.176,131.641,102.944,132.347,125.552,111.952,97.3455
"yadL",295.699,266.139,288.971,210.791,287.804,264.596,260.554,239.706
"yadM",206.953,216.403,220.402,160.058,206.848,179.748,193.625,180.055
"htrE",106.415,99.9132,84.7211,83.0684,106.577,99.7781,84.3376,84.2332
"yadV",102.232,110.932,92.3472,90.7824,94.9281,97.1276,91.9348,84.8931
"yadN",120.379,124.346,120.492,121.675,119.208,127.183,100.334,117.931
"folK",631.126,581.096,1197.31,852.635,598.722,554.734,1077.5,774.946
"pcnB",8711.1,7937.03,11084.3,8968.5,7996.56,7667.52,10742.1,8447.54
"gluQ",1491.06,1334.71,863.6,976.846,1424.02,1235.25,764.54,1164.88
"dksA",8898.97,9106.79,6085.35,7327.02,9987.46,8971.92,6189.2,7794.47
"sfsA",3625.08,4259.68,3667.38,4122.92,4101.72,4244.79,3552.64,4480.83
"thpR",1408.95,1380.92,1502.83,1410.76,1468.28,1246.28,1277.81,1254.69
"hrpB",814.043,737.321,1073.01,779.067,810.05,726.915,879.719,874.597
"mrcB",1730.8,2604.65,1959.85,3646.12,2038.94,2615.36,1821.89,3976.22
"fhuA",1176.62,1120.23,993.429,1308.97,983.153,993.241,576.773,1413.11
"fhuC",678.743,663.665,1069.77,886.77,638.499,537.853,881.492,879.937
"fhuD",289.928,307.863,426.178,385.634,283.971,251.238,351.779,443.908
"fhuB",226.846,208.846,220.383,276.98,207.824,211.522,203.471,281.476
"hemL",4208.32,4985.3,7597.67,6825.72,4619.54,4755.87,7007.76,6536.89
"clcA",2602.1,2981.19,1935.19,2267.81,2816.97,2631.05,1791.6,2436.4
"erpA",4483.02,4396,4249.11,4379.69,4472.62,4646.78,3986.01,3875.86
"yadS",827.856,887.671,1197.57,1250.35,914.487,859.194,1143.09,1144.9
"btuF",1507.47,1548.15,1536.21,1653.82,1476.46,1346.88,1408.47,1456.66
"mtn",6277.98,7558.84,8661.68,8209.1,6720.69,6765.45,8553.22,7399.22
"dgt",2248.87,2069.94,2206.1,1683.7,2320.95,2374.3,2152.19,1726.1
"degP",4066.16,6076.06,4583.34,9170.1,5193.36,6508.08,5065.69,9061.12
"cdaR",1643.64,1577.45,852.394,1031.24,2053.79,1671.01,853.092,1089.53
"yaeH",5817.99,6210.38,6014.45,4643.73,5862.05,5631.99,6078.97,4794.78
"yaeI",569.999,561.832,869.47,620.735,688.725,579.809,749.413,576.57
"dapD",9834.6,9916.94,7810.35,8043.76,10253.7,9995.14,7633.35,8025.45
"glnD",2611.22,2162.85,6227.13,4635.6,2290.53,2235.46,6014.8,4233.85
"map",6284.38,6809.33,9944.91,8932.81,6641.05,6409.39,10202,8624.3
"tff",24665.9,23047.9,25099,24914.5,23903.7,23282.1,24086.6,24292.8
"rpsB",19463.2,19910.8,23079.3,22321,20958,20965.6,23262.7,22047
"tsf",16760.4,16931.2,19085.3,18747.5,17433.7,17332.5,19006.9,18746.4
"pyrH",6679.1,7410.1,15880.3,14324.7,7255.2,6765.97,15599.8,14829.2
"frr",12949.2,13316.5,15629.4,15046.5,13175.4,13173.6,16091.1,14917.8
"dxr",1569.97,2150.75,1580.34,2764.67,1728.03,2105.83,1491.11,3282.99
"ispU",4962.85,5431.1,5601.61,5837.41,5302.11,5725.29,5379.43,5683.42
"cdsA",2411.22,2947.84,2812.26,3253.43,2911.35,2616.3,2366.13,3317.79
"rseP",3951.18,4103.71,4239.44,4832.72,4154.01,4295.12,4452.41,5014.77
"bamA",10629.6,10214.7,8166.5,9534.86,10335,10605,8459.66,9938.86
"skp",13615.7,13297.9,13615.6,12488.2,13977.8,14086.7,13760.1,12417.9
"lpxD",8705.19,7946.32,7907.9,7840.53,8580.92,8136.45,8203.5,8077.38
"fabZ",11280.5,11570.9,10913.3,10042.3,11979.8,11832.1,11108,9821
"lpxA",5354.69,5196.94,4912.23,4482.51,5681.46,5159.18,4948.21,4492.72
"lpxB",4365.72,4283.64,3805.5,3536.35,4648.81,4062.72,3776.15,3490.74
"rnhB",2710.56,2584.99,2409.48,2325.38,2766.58,2390.4,2200.75,2330.47
"dnaE",2582.74,2772.1,2373.43,2381.3,2793.35,2520.77,2351.54,2403.22
"accA",8386.27,7999.84,7812.66,7513.41,8972.77,8303.69,7817.66,7247.42
"ldcC",2882.85,3169.95,2440.47,4992.99,2654.32,3071.47,2813.76,6720.13
"yaeR",2554.06,3845.39,2628.11,7295.35,2706.4,3579.72,2544.79,7894.92
"tilS",2173.2,2635.05,2641.72,4254.8,2272.43,2476.2,2519.96,4527.53
"rof",1581.95,1604.79,1892.53,1488.27,1608.9,1770.66,1830.28,1536.58
"yaeP",2614,3086.79,3741.21,2700.87,2732.13,2831.71,3388.7,2917.5
"arfB",2596.77,2680.79,2901.78,2713.16,2106.99,2629.1,2803.45,3032.85
"nlpE",2812.36,3880.28,3587.85,3821.74,2976.48,3525.03,3604.62,4245.09
"yaeF",201.388,239.609,274.989,230.457,231.34,200.488,228.953,232.912
"proS",8700.27,8646.63,11861.5,11868.1,8547.23,8252.82,11917.3,11304.2
"trmO",1716.87,1988.67,2341.07,2248.07,1945,1727.02,2100.33,2142.52
"rcsF",8331.48,7737.61,8110.4,8027.94,7451.11,7607.35,7980.73,7247.86
"metQ",6671.1,7483.23,6201.96,6313.1,7611.22,7348.32,6311.12,6270.41
"metI",1720.99,1878.43,1481.8,1504.47,2039.97,1785.24,1382.03,1634.61
"metN",1482.05,1311.34,1450.45,1191.58,1378.51,1176.6,1260.26,1214.77
"gmhB",4714.39,5537.13,6310.79,5208.1,5028.47,5059.73,5847.14,5019.14
"rrsH",30620.9,30633.3,31017.7,30560,29625.4,28385.6,28679.1,30193.4
"rrfH",36100.2,31618.6,31724.6,33083,33176.1,33361.4,32765.9,34264.9
"dkgB",1272.84,1504.29,1207.92,1231.78,1293.07,1371.7,1264.81,1136.84
"yafC",1939.13,2095.89,1643.62,1426.7,2158.72,2089.43,1613.48,1473.27
"yafD",3640.58,3514.09,2666.18,2965.87,3478.91,3660.15,2623.1,3091.72
"yafE",680.597,628.672,567.971,522.683,602.489,574.099,478.579,584.044
"mltD",7977.83,7609.95,11446,10060.9,8237.49,7288.23,10928.4,10433.2
"gloB",3846.6,3803.35,3763.61,3176.77,3745.22,3743.45,4016.98,3450.56
"yafS",1060.52,1222.6,1719.5,1248.42,1164.83,1052.01,1485.41,1305.92
"rnhA",2064.23,2362.13,1963.94,1876.6,2284.28,2179.24,1877.85,1815.6
"dnaQ",2659.69,2616.05,3601.99,2923.31,2584.39,2482.27,3532.45,2894.85
"yafT",166.878,166.889,140.915,96.785,158.729,144.599,91.0324,102.171
"yafU",64.4817,67.6016,57.924,68.7191,57.1251,46.4026,41.6031,76.7981
"yafV",883.567,965.773,1000.47,804.086,931.067,913.046,878.214,902.846
"ivy",4837.15,13194.3,8353.39,20135.9,4124.74,13028.6,8627.72,20558
"fadE",1444.34,2055.22,748.769,1381.67,2054.5,2161.04,757.173,1595.86
"gmhA",5353.58,6239.72,5870.85,5724.47,6451.6,5906.53,6017.26,5401.54
"dpaA",2943.72,2234.4,1965.16,930.971,2899,2004.39,1708.34,737.262
"yafQ",1772.78,1767.12,2873.05,1849.77,1746.78,1606.67,2305.51,1671.24
"dinJ",4302.63,4853.55,6782.43,5149.43,4539.45,4173.67,6139.8,4642.15
"yafL",200.955,194.618,374.848,207.698,178.35,160.443,298.617,241.058
"rayT",784.517,753.619,706.754,632.181,837.721,796.247,580.346,738.221
"lfhA",109.596,95.2205,93.7103,107.294,96.5759,86.0976,100.791,104.596
"lafU",278.125,260.942,298.846,262.485,271.064,234.938,271.721,285.444
"dinB",327.195,394.276,806.378,520.152,375.69,320.835,609.356,513.138
"yafN",820.666,1050.69,1047.14,858.292,990.139,914.51,781.208,831.633
"yafO",726.45,778.947,617.346,542.213,747.107,666.971,415.846,544.305
"yafP",672.878,450.743,369.777,439.011,474.46,490.472,355.198,400.441
"ykfJ",78.9711,43.732,37.5789,32.1869,49.2766,37.633,30.4772,32.4956
"prfH",76.2886,73.8472,78.8268,66.9151,69.2864,79.5098,82.4431,71.1152
"pepD",13496.2,13207.2,11490.2,11372.2,13431.1,13478.8,11473.8,11418.8
"gpt",3205.93,2911.95,7454.72,5838.64,2696.02,2724.35,7003.82,5238.72
"frsA",1561.04,1772.96,2555.07,1930.93,1750.78,1590.9,2305.56,1887.85
"crl",12756.6,12832.7,12258.5,10242.5,13345.2,12672.5,12123.3,9707.17
"phoE",241.346,262.596,201.693,211.5,242.971,251.964,235.877,197.01
"proB",4865.93,5346.66,4002.74,3688.29,5391.33,4895.94,3844.84,3694.55
"proA",3864.19,3893.28,2698.5,2742.42,3965.45,3773.54,2835.34,2889.67
"ykfI",180.864,143.462,147.913,148.129,153.628,133.518,138.693,141.346
"yafW",129.675,104.846,114.364,95.2943,101.054,108.196,116.997,103.846
"ykfG",217.802,134.281,180.166,131.218,129.8,114.232,159.962,132.992
"yafX",237.889,177.008,226.027,165.78,165.965,161.592,185.222,165.954
"ykfF",142.231,105.928,136.924,99.5068,113.984,109.714,141.218,115.88
"ykfB",1150.25,1201.72,1093.92,768.115,1386.41,1192.37,1063.79,898.346
"yafY",466.272,526.684,455.721,366.446,577.984,476.096,361.691,377.665
"yafZ",155.677,130.631,148.56,118.042,131.032,111.77,150.779,136.97
"ykfA",614.491,605.941,515.333,420.752,608.284,548.027,523.13,466.221
"perR",267.212,250.096,430.846,267.329,262.656,237.596,313.393,257.184
"ykfC",461.246,468.152,638.346,482.418,425.096,390.846,705.315,498.878
"insH1",20702.7,19341.5,18620,17207.1,22107.8,20838.4,19191.7,16943.7
"mmuP",247.957,193.267,176.478,169.096,217.524,216.119,179.221,196.204
"mmuM",1220.45,1386.21,1065.7,946.048,1577.16,1347.93,963.472,1028.22
"afuC",177.221,154.276,192.71,152.672,163.543,143.916,163.992,161.653
"afuB",188.186,149.953,187.594,163.061,146.766,119.791,170.165,122.666
"yagB",1184.47,1036.7,1030.99,779.279,1093.55,1018.06,933.796,822.254
"yagA",145.845,169.355,177.794,195.055,165.017,189.798,228.596,172.971
"yagE",3182.69,2946.82,1093.47,2095.62,3656.68,3102.22,1150.73,2521.44
"yagF",2255.58,2233.8,774.913,1602.78,2739.97,2399.17,778.346,2067.52
"yagG",347.905,348.927,249.963,246.437,382.465,294.368,226.627,269.301
"yagH",932.7,788.805,693.295,582.149,892.971,772.784,596.809,605.596
"xynR",1317.49,1365,1317.3,1039.79,1381.49,1287.53,1283.13,1038.38
"argF",977.76,1019.81,684.461,1237.49,1042.76,1070.02,727.495,1282.57
"yagJ",461.007,439.846,435.077,407.15,405.221,462.76,404.072,389.389
"yagK",223.297,201.187,158.161,150.107,208.06,193.281,120.505,151.688
"yagL",286.152,285.143,301.795,241.618,258.504,264.864,198.8,251.029
"yagM",121.29,94.0735,71.0889,70.2854,94.9804,93.3646,50.718,78.4949
"yagN",7362.29,6904.55,5285.44,4776.45,7051.59,7045.86,5140.49,4544.27
"intF",3484.68,2956.22,2909.13,2411.42,3227.06,2973.01,2844.96,2534.5
"yagP",219.585,225.045,407.438,434.281,184.14,170.49,363.255,513.493
"paoD",411.569,478.015,626.785,1043.13,357.602,402.67,575.101,1336.09
"paoC",404.814,538.685,586.034,1235.13,391.468,476.835,593.234,1754.85
"paoB",336.696,444.351,399.211,1037.44,262.914,386.511,374.492,1503.56
"paoA",511.592,916.652,706.408,2025.82,478.202,705.472,675.177,2743.97
"yagU",5354.83,3511.81,3791.76,2208.03,4692.81,3100.6,3552.31,2107.12
"ykgJ",486.643,433.086,825.097,560.073,420.665,374.663,669.234,516.44
"ecpE",331.721,290.151,495.726,325.886,275.537,247.968,458.439,375.563
"ecpD",490.864,538.862,986.326,622.817,513.721,469.721,786.372,649.339
"ecpC",200.361,215.219,344.853,215.603,199.97,185.915,314.885,231.817
"ecpB",110.646,120.025,138.515,121.569,110.349,103.328,126.437,137.982
"ecpA",268.813,327.459,411.479,386.502,303.852,316.642,362.346,399.034
"matA",52.8907,70.9735,74.2229,94.3558,54.3969,64.5884,47.2094,105.866
"ykgL",295.765,456.227,443.101,437.02,345.644,373.075,335.721,440.727
"ykgM",474.721,449.236,278.282,308.603,477.27,434.807,138.352,316.488
"eaeH",72.515,73.5347,79.096,75.9139,73.7222,83.6588,70.9666,73.4723
"insE1",3166.97,3122.7,4395.92,3267.9,3095,3096.79,4270.69,3085.17
"insF1",852.377,892.096,1322.72,886.781,908.488,806.897,1224.98,840.51
"ykgA",673.996,692.385,1046.27,708.416,577.96,675.499,895.669,698.017
"rclC",294.372,281.428,152.135,148.791,260.183,202.924,136.722,224.039
"rclB",186.541,144.414,67.713,86.4565,152.003,112.301,56.5172,115.294
"rclA",1151.85,1069.88,1364.28,1056.13,1033.35,982.74,1528.62,1234.56
"rclR",548.058,542.738,285.096,441.353,549.596,560.722,305.343,563.276
"ykgE",5148.22,5286.57,2418.44,2430.88,6130.65,5332.88,2504.8,2459.23
"ykgF",3926.53,3944.44,2118.38,2035.64,5128.49,4274.51,2212.96,1988.9
"ykgG",3433.23,3068.8,1804.52,1641.4,4206.92,3439.64,1840.31,1750.06
"ykgH",100.803,87.4584,48.7913,50.5532,128.087,90.9143,44.1209,54.1678
"betA",2085.86,1898.85,2195.22,1861.57,2355.43,2164.02,2177.49,1930.18
"betB",2338.15,2726.1,3433.39,2610.25,3195.46,2670.22,3417.18,2718.35
"betI",5052.57,5479.56,5839.96,4709.52,5860.81,5275.87,5996.1,5055.71
"betT",1386.59,1290.46,1060.19,927.824,1693.34,1471.73,1085,1058.76
"pdeL",724.462,938.557,562.449,1067.6,708.55,863.486,474.414,1081.79
"yahB",523.4,484.61,472.332,403.145,522.403,443.167,404.592,426.611
"yahC",148.091,154.821,151.471,110.058,139.983,112.163,130.216,133.887
"yahD",312.366,301.355,330.01,242.744,344.89,299.281,325.815,275.553
"yahE",127.145,116.846,226.783,104.025,115.14,113.887,192.633,127.163
"yahF",179.841,181.663,373.787,194.451,172.168,198.892,324.716,205.1
"yahG",267.887,272.018,509.376,305.758,271.293,281.89,480.108,303.327
"yahI",190.483,224.375,305.494,185.441,196.117,181.823,238.527,205.644
"yahJ",1094.22,1076.63,1334.24,1038.82,1079.74,1093.41,1294.68,1147.22
"yahK",4092.9,3726.23,3997.42,2412.95,3058.11,2955.48,4509.25,2636.14
"yahL",82.9398,83.62,78.0063,136.526,67.9999,71.4098,79.5243,178.434
"yahM",411.739,382.846,416.511,382.25,416.015,387.588,397.59,382.619
"yahN",514.172,461.467,190.585,271.811,506.979,470.869,169.226,328.691
"prpR",668.331,647.251,634.559,432.971,769.128,582.096,627.221,492.648
"prpB",166.44,187.544,212.555,211.301,165.397,202.436,272.078,203.884
"prpC",287.686,339.952,332.4,317.829,304.696,341.091,384.329,314.828
"prpD",157.733,141.278,114.578,128.798,141.721,149.532,158.16,122.136
"prpE",138.178,146.317,174.089,142.313,149.425,168.426,188.165,149.377
"codB",474.493,452.606,9326.96,5287.62,438.045,372.748,9261.65,4483.94
"codA",1615.31,1717.39,10489.6,6317.92,1667.58,1481.94,10097.5,5737.29
"cynR",547.378,642.466,953.621,658.734,602.384,545.523,856.067,744.605
"cynT",218.773,251.3,335.441,234.596,227.721,205.868,272.534,245.232
"cynS",247.179,260.346,268.895,263.285,272.02,239.204,242.164,249.971
"cynX",221.957,211.597,184.686,201.503,214.723,201.948,174.937,182.76
"mhpR",3152.71,3116.66,1875.8,1481.83,4089.11,3591.62,2283.98,1778.03
"mhpA",186.257,231.382,168.557,141.323,252.382,238.775,186.768,153.281
"mhpB",226.064,274.406,182.637,169.488,299.735,242.974,233.918,177.632
"mhpC",453.21,569.278,455.231,373.137,566.479,533.371,437.53,383.499
"mhpD",239.663,251.941,214.541,180.918,258.398,262.953,205.993,188.636
"mhpF",306.798,317.843,253.229,208.392,338.21,315.846,261.418,250.81
"mhpE",458.863,513.119,431.366,345.346,535.081,536.81,456.61,398.465
"mhpT",225.471,242.173,203.444,187.793,243.966,233.275,222.06,212.645
"yaiL",3374.6,3531.1,4611.06,3468.99,3502.02,3340.76,4027.25,3325
"frmB",2241.92,1960.71,1889.42,1286.83,2129.81,1899.56,1929.31,1315.61
"frmA",6797.65,5391.74,4664.93,3654.35,5695.1,5810.95,4885.32,3716.64
"frmR",8538.27,7978.87,6192.94,4959.03,7832.62,7550.71,6415.75,4912.86
"yaiO",331.539,295.096,266.153,244.572,296.026,271.816,185.375,305.846
"insC1",5733.67,6556.57,6549.67,4989.99,5981.1,5962.61,6364.47,4936.06
"insD7",2315.05,2065.18,2573.28,1704.72,2191.1,1976.5,2314.35,1770.8
"yaiP",71.9652,63.9233,68.2812,67.2233,70.4155,58.567,55.8185,51.8707
