"","0","0 | 1","108000","108000 | 1","0 | 2","0 | 3","108000 | 2","108000 | 3"
"isrC",847.43,657.428,2337.13,1416.19,785.342,778.9,2024.7,1370.65
"mcaS",47.7996,49.6154,52.8561,53.0532,50.2976,56.0456,54.6228,55.1339
"prfB",9394.52,9450.31,9611.08,9085.5,9588.56,8970.45,9169.95,9019.18
"thrL",1673.43,783.075,484.324,640.919,1418.33,1097.2,675.223,853.013
"thrA",8588.84,7710.86,3288.05,4295.94,8616.23,8157.74,3386.91,4605.65
"thrB",5405.88,5164.45,2085.7,2541.31,5596.51,5128.24,1916.44,2876.68
"thrC",6307.19,5895.54,2302.99,3070.61,6436.23,5828.89,2260.59,3397.11
"yaaX",800.03,1377.67,337.882,5418.75,414.971,2183.76,352.76,6689.69
"yaaA",2104.25,2226.03,2898.61,2344.56,2276.27,2215.81,2707.81,2251.6
"yaaJ",396.046,396.471,470.356,389.796,394.286,369.506,391.432,408.096
"talB",17445.6,17709.6,18231.8,17329.7,17445.6,17481.7,18623.7,17227.5
"mog",3106.73,3024.04,4086.82,3389.86,3247.49,3072.72,3942.37,3405.64
"satP",722.985,587.787,920.331,727.544,611.459,485.783,797.789,701.188
"mbiA",115.211,97.8882,106.118,89.317,95.9397,94.8675,92.3771,95.3551
"yaaW",266.617,297.378,312.531,243.777,263.538,264.481,276.565,275.534
"yaaI",160.96,170.036,252.662,167.936,166.815,173.316,201.273,139.447
"dnaK",25437,24594.5,11383.3,19663.3,24457.4,25375.1,12680.1,19693.6
"dnaJ",13097.3,12533.5,4838.17,7698.94,12317.7,12169,5012.97,7859.1
"insL1",6256.83,5289.9,3977.28,5075.77,4945.97,5142.43,4010.08,4903.72
"hokC",458.032,383.589,487.422,379.979,420.498,331.606,348.096,425.077
"sokC",633.656,473.078,946.223,697.804,468.888,431.802,788.721,631.88
"nhaA",1476.82,1807.72,1740.5,1847.58,1579.72,1823,1644.73,2191.78
"nhaR",1331.7,1546.93,1826.53,1602.18,1428.17,1429.25,1738.76,1716.8
"insB1",710.346,624.76,796.007,484.074,641.493,561.472,692.221,511.917
"insA1",1889.35,1888.83,2269.02,1604.14,2024.68,1519.72,2020.88,1603.41
"rpsT",8308.08,8561.95,10934,9843.68,8886.7,8413.16,11194.6,9373.72
"yaaY",177.855,175.333,109.507,120.229,182.522,124.905,79.913,132.091
"ribF",7266.66,6380.22,8123.98,5703.03,7168.23,6541.85,7142.54,5523.51
"ileS",8793.1,7465.06,6584.62,6498.56,7895.33,7640.91,6957.34,6660.73
"lspA",10095,10703.7,8227.72,10505.3,10312.1,10679.3,8236.26,11253.3
"fkpB",5831.73,5456.38,4392.42,5998.72,5263.77,5303.97,4295.92,6135.34
"ispH",4055,4442.85,3635.26,4918.81,4005.44,4119.16,3357.64,5416.89
"rihC",5775.07,4805.24,3099.94,2995.86,5805.84,5342.8,3495.83,3135.69
"dapB",3461.3,3575.86,3543.25,3444.78,3537.13,3378.34,3575.73,3542.36
"carA",1867.27,1972.79,26721.8,23491.2,2389.54,1831.82,25133.3,21834
"carB",1354.25,1157.5,21678.8,19299.6,1530.5,1234.58,20978.5,16792.7
"caiF",502.515,524.094,5396.45,4810.49,637.499,579.294,4930.87,4161.86
"caiE",335.778,336.359,574.155,558.632,333.986,397.051,664.241,637.328
"caiD",294.713,282.622,655.295,526.221,330.221,281.795,668.626,581.984
"caiC",292.941,248.824,871.562,358.462,279.872,221.314,815.263,318.436
"caiB",360.015,301.008,783.391,275.593,342.64,253.073,637.081,272.849
"caiA",392.508,407.921,707.541,376.148,456.717,367.747,1008.13,355.027
"caiT",184.841,172.358,174.723,165.971,172.276,177.961,186.593,155.135
"fixA",206.482,211.693,176.252,178.967,240.096,219.968,201.908,185.221
"fixB",262.876,287.145,226.285,240.721,268.096,278.113,270.292,224.932
"fixC",186.846,175.467,186.055,159.372,205.846,181.081,172.269,154.707
"fixX",139.598,139.491,127.346,119.119,131.505,132.667,137.518,123.644
"yaaU",137.043,120.464,121.064,134.155,108.235,151.11,162.182,108.988
"kefF",1385.71,1586.79,1670.77,2041.48,1312.22,1432.78,1776.26,2198.72
"kefC",1015.77,1140.07,1142.15,1440.28,972.674,1071.39,1226.88,1706.01
"folA",2936.72,2971.85,2981.35,3463.84,2842.85,2799.43,2833.36,3315.29
"apaH",2609.95,2706.97,3170.1,2976.91,2442,2299.1,3335.73,2781.6
"apaG",6254.17,5176.38,6221.68,5613,5331.22,5165.55,6278.4,5405.79
"rsmA",7645.72,7157.6,8765.37,7810.77,7028.98,7147.98,8501.42,7600.96
"pdxA",5394.18,5570.42,5114.16,5951.68,5446.85,5217.97,4881.37,5697.9
"surA",9997.85,9518.66,7591.1,8954.59,9801.24,9886.36,7774.98,9144.76
"lptD",8577.64,8012.98,7090.38,7369.78,8460.64,8172.17,7053.96,7573.4
"djlA",1774.46,1709.81,1957.26,2068.47,1833.85,1715.22,1844.44,1996.6
"yabP",1519.34,1380.61,1595.64,1058.54,1489.82,1325.56,1203.37,976.736
"yabQ",3167.77,2294.6,2718.85,1625.14,2447.12,2267.84,2154.97,1617.2
"rluA",1391.59,1291.75,1050.7,1055.26,1162.01,1191.49,1176.99,1182.31
"rapA",2904.04,2841.85,2405.51,2163.38,2658.47,2502.85,2642.97,2371.63
"polB",1089.97,1102.38,1369.77,939.18,990.506,1023.68,1307.79,1023.68
"araD",390.542,331.063,269.699,275.24,385.613,334.346,266.991,316.762
"araA",892.206,813.172,488.074,484.096,825.011,748.358,537.471,547.065
"araB",605.888,558.436,426.241,405.313,621.938,579.062,458.941,474.966
"araC",2194.75,1957.06,1706.35,1758.84,2379.75,2221.83,1699.6,1776.13
"yabI",1064.53,1346.18,1125.2,1400.22,1143.28,1102.68,983.614,1545.56
"thiQ",523.221,578.001,622.149,579.411,550.959,446.378,425.096,560.143
"thiP",674.201,701.045,683.647,635.481,760.341,597.44,539.401,624.41
"thiB",1659.85,1453.45,1804.03,1455.78,1645.4,1362.44,1685.65,1369.79
"sgrR",974.477,960.363,958.59,777.096,1017.12,820.54,789.066,829.261
"setA",1027.47,1201.14,1113.98,1654.07,1029.85,1140.2,945.448,1850.72
"leuD",577.357,583.219,494.349,522.542,563.361,470.478,429.75,537.005
"leuC",1001.85,1005.32,1011.9,967.645,1087.76,994.797,952.153,972.937
"leuB",287.669,370.954,391.895,315.088,365.541,298.346,268.199,365.328
"leuA",464.596,480.324,499.128,475.284,565.568,427.347,455.56,530.827
"leuL",647.346,534.15,259.096,463.859,633.578,458.979,201.684,523.688
"leuO",217.507,228.079,161.025,220.835,233.346,208.801,134.085,273.411
"ilvI",517.096,473.54,352.54,370.56,614.085,438.431,267.638,417.468
"ilvH",533.996,517.221,411.832,426.836,547.901,488.346,287.596,457.974
"cra",3911.75,3641.47,2392.97,3378.5,4090.17,3797.38,2386.41,3483.88
"mraZ",5449.63,6192.01,4743.79,5444.99,5945.37,6446.95,4537.76,5478.74
"rsmH",4308.14,5117.37,3528.77,4603.63,4599.61,5031.75,3437.57,4577.8
"ftsL",3746.19,4658.84,3289.71,4156.6,4394.85,4541.53,3118.49,4255.63
"ftsI",2636.97,2609.76,1493.89,2363.45,2593.99,2775.52,1356.04,2250.97
"murF",3440.96,3948.48,2786.45,3909.3,3763.46,3688.54,2598.16,3952.05
"mraY",2946.07,3175.53,1792.78,3046.34,3039.27,3243.66,1702.14,3243.66
"murD",2532.14,2511.47,1629.84,2537.96,2457.68,2452.73,1592.22,2689.87
