"","0","1800","3600","5400"
"dksA",3739.86,3144.68,1453.58,1907.93
"sfsA",1448.43,2820.1,1041.24,1266.24
"thpR",314.671,627.076,488.726,500.26
"hrpB",179.274,440.878,342.009,289.09
"mrcB",362.404,813.188,544.654,411.037
"fhuA",450.922,1148.25,721.28,624.633
"fhuC",272.24,1400.78,934.363,691.843
"fhuD",146.13,1005.71,641.524,458.132
"fhuB",22.7096,442.401,336.861,188.294
"hemL",1461.2,1012.63,658.639,554.21
"clcA",802.488,1285.61,824.727,832.11
"erpA",1321.77,1627.32,1172.74,1053.51
"yadS",240.886,1410.7,961.743,701.137
"btuF",561.568,1310.68,879.33,697.168
"mtn",2211.57,1342.57,998.39,965.516
"dgt",636.154,960.21,802.779,674.083
"degP",2020.54,583.156,548.388,508.864
"cdaR",271.401,1240.42,949,836.36
"yaeH",1908,2631.3,1382.3,1388.6
"yaeI",225.855,1452.65,1041.2,973.372
"dapD",5791.25,1650.26,1554.48,1356.18
"glnD",921.194,1353.97,878.419,760.451
"map",2937.11,1606.64,1116.8,1319.66
"tff",13637.1,5291.06,3602.38,4346.05
"rpsB",8794.34,1793.24,1671.23,1784.29
"tsf",10171.6,2551.46,2077.69,2353.17
"pyrH",3347.35,1000.01,692.556,736.571
"frr",4384.63,2304.08,1340.89,1683.57
"dxr",729.831,1056.6,751.717,756.451
"ispU",1608.8,1205,820.024,831.347
"cdsA",932.444,890.317,610.734,484.967
"rseP",2061.78,1628.25,1048.21,1032.54
"bamA",4413.25,1658.77,1080.34,1077.12
"skp",6931.78,1938.43,1448.81,1834.17
"lpxD",4042.02,1503.35,982.21,1098.01
"fabZ",5919.15,2233.76,1577.81,1741.11
"lpxA",2520.49,1497.63,934.196,903.524
"lpxB",1244.91,1419.98,811.906,673.091
"rnhB",784.357,1091.84,629.232,527.99
"dnaE",753.702,1405.83,645.001,586.832
"accA",3047.02,1447.6,842.044,867.34
"ldcC",690.729,1756.16,942.36,941.653
"yaeR",878.034,1370.94,829.192,765.123
"tilS",888.925,1726.5,921.609,771.263
"rof",896.173,1861.38,986.73,929.679
"yaeP",1729.86,2154.15,1095.71,1373.63
"arfB",728.8,1514.03,888.046,865.693
"nlpE",729.777,1258.68,734.843,715.676
"yaeF",75.4086,734.196,412.68,336.223
"proS",3610.93,1024.29,891.68,807.559
"trmO",567.862,792.667,544.545,447.775
"rcsF",2661.62,1209.22,958.15,1148.73
"metQ",7533.8,3107.79,1916.41,1788.83
"metI",2681.06,1607.76,1110.68,742.45
"metN",3156.41,1727.92,1029.64,913.944
"gmhB",2370.99,1472.58,1069.62,1146.52
"rrsH",13365.5,9377.63,4917.38,4980.57
"rrfH",10181.8,7891.83,3731.08,3857.12
"dkgB",776.91,625.921,723.105,569.078
"yafC",668.715,821.662,739.82,765.672
"yafD",1905.34,1285.34,1125.54,1348.82
"yafE",229.125,383.901,646.292,602.483
"mltD",3483.46,1173.3,1511.13,1184.77
"gloB",1031.81,1200.51,892.478,1002.6
"yafS",301.268,369.634,669.265,585.153
"rnhA",1062.35,619.294,760.07,775.563
"dnaQ",1491.9,631.444,684.932,838.976
"yafT",74.7728,358.697,675.211,793.312
"yafU",40.545,383.137,738.324,760.89
"yafV",256.025,247.407,342.302,354.738
"ivy",3744.59,2039.02,1052.1,1050.72
"fadE",280.303,2311.98,635.606,535.39
"gmhA",1810.73,858.636,815.997,876.201
"dpaA",2050.99,518.717,828.301,1068.12
"yafQ",1099.16,671.395,807.434,1138.21
"dinJ",1412.01,1278.11,817.908,1295.31
"yafL",54.9456,296.938,502.392,407.121
"rayT",457.673,976.421,938.583,864.731
"lfhA",10.856,262.778,403.998,352.041
"lafU",96.1273,349.444,518.961,425.502
"dinB",212.91,372.161,593.754,493.837
"yafN",302.509,436.045,654.598,700.744
"yafO",155.872,244.599,601.281,642.14
"yafP",146.185,199.012,381.228,466.871
"ykfJ",21.4966,378.116,800.112,789.147
"prfH",39.8531,280.647,544.85,605.082
"pepD",5433.79,1635.24,1614.4,1925.17
"gpt",2090.46,561.319,753.663,867.136
"frsA",869.225,641.53,704.395,732.188
"crl",5017.71,1400.7,1053.21,1287.95
"phoE",222.599,352.617,634.65,609.27
"proB",1636.67,553.954,731.807,705.451
"proA",1912.8,933.962,993.24,1020.46
"ykfI",66.426,430.753,659.032,540.566
"yafW",61.4243,726.547,890.01,894.309
"ykfG",96.0898,543.277,640.331,579.808
"yafX",104.846,833.02,816.18,924.832
"ykfF",34.6126,775.534,753.943,750.489
"ykfB",343.815,1144.57,860.592,914.282
"yafY",101.873,777.882,626.59,611.757
"yafZ",83.9623,1040.9,1029.27,1093.29
"ykfA",148.509,769.599,801.396,959.46
"perR",73.4994,800.191,800.17,810.166
"ykfC",166.158,1072.38,817.463,719.562
"insH1",8141.8,5484.55,3626.93,3900.29
"mmuP",261.485,994.385,548.483,393.268
"mmuM",516.4,1550.79,952.204,849.46
"afuC",76.8961,968.377,786.519,568.394
"afuB",61.8067,815.11,516.407,398.797
"yagB",595.131,984.159,657.267,684.867
"yagA",111.104,1048.55,703.185,464.605
"yagE",52.9375,688.151,417.291,289.925
"yagF",138.505,792.715,592.543,335.841
"yagG",78.3521,518.702,364.393,221.188
"yagH",188.512,744.903,595.833,368.018
"xynR",626.605,505.382,517.311,339.412
"argF",2200.91,588.354,1460.24,639.5
"yagJ",241.897,530.865,780.276,885.939
"yagK",104.35,329.618,650.248,794.038
"yagL",115.867,416.879,790.509,867.42
"yagM",24.2822,284.261,608.802,660.039
"yagN",3581.06,1384.1,1400.66,1665.37
"intF",1702.33,480.006,1073.75,1457.82
