"","0","1800","3600","5400"
"speF",13.2822,215.44,676.646,618.396
"kdpE",363.098,523.574,952.211,977.075
"kdpD",431.577,817.308,976.311,1104.36
"kdpC",204.143,569.706,664.398,556.836
"kdpB",10.2689,233.985,256.667,238.084
"kdpA",14.2225,177.366,526.432,470.477
"ybfA",1140.64,781.522,892.048,1459.75
"rhsC",75.0918,427.591,372.554,330.011
"ybfB",40.4732,229.313,589.641,570.064
"ybfO",47.477,238.056,551.757,486.056
"ybfC",121.664,350.845,787.772,942.469
"ydcC",432.658,1991.23,2195.89,2283.56
"ybfD",47.893,336.627,937.436,1207.68
"ybgA",1353.53,1459.5,1194.12,1741.09
"phr",419.288,440.232,537.119,445.478
"ybgI",3623.98,1481.37,1066.87,1127.87
"pxpB",1706.86,680.141,703.811,597.742
"pxpC",1918.26,865.431,767.677,663.884
"pxpA",1245.08,659.977,676.847,601.95
"nei",601.764,634.939,753.256,746.427
"abrB",104.623,313.828,683.514,678.91
"ybgO",107.729,513.689,958.084,894.772
"ybgP",53.461,249.792,571.023,454.192
"ybgQ",40.6785,420.391,803.953,853.647
"ybgD",44.2721,433.949,716.408,889.688
"gltA",809.789,692.987,783.785,768.331
"sdhC",4158.23,1873.25,505.789,530.966
"sdhD",3861.88,1733.66,555.169,595.371
"sdhA",3869.17,1558.24,477.031,544.089
"sdhB",3139.66,1523.06,732.939,709.01
"sucA",5213.1,1834.09,708.418,690.213
"sucB",5455.99,1541.89,649.966,504.313
"sucC",5921.84,1376.05,822.728,769.194
"sucD",6152.46,1471.95,1100.12,959.167
"mngR",477.445,695.683,993.566,991.645
"mngA",47.734,441.912,554.603,589.798
"mngB",184.806,536.146,828.371,793.3
"cydA",7211.39,5100.22,3489.71,3570.42
"cydB",6608.32,5525.84,3785.49,3555.86
"ybgE",1827.03,1546.63,1466.55,1753.13
"ybgC",1737.14,512.339,826.214,863.429
"tolQ",1228.66,312.736,428.316,489.533
"tolR",920.673,160.627,426.66,398.587
"tolA",1670.41,775.924,845.071,878.028
"tolB",5852.36,908.066,911.506,1107.94
"pal",7009.05,1064.49,1236.55,1371.57
"cpoB",5934.04,1125.6,1320.12,1367.73
"nadA",3361.73,776.105,1081.36,1208.9
"pnuC",1699.36,558.954,689.996,694.307
"ybgS",763.861,540.708,678.019,1109.73
"aroG",5821.4,572.522,1012.78,1162.97
"gpmA",9378.86,3517.75,2560.78,3485.15
"galM",3625.8,1903.03,1366.03,1322.32
"galK",877.465,1119.17,896.364,948.95
"galT",1162.45,1200.93,881.21,761.802
"galE",1534.46,1452.27,888.714,772.638
"modF",454.951,865.321,895.87,738.501
"modE",674.376,788.35,822.684,718.817
"acrZ",1239.08,594.089,829.432,1066.29
"modC",1154.13,858.703,832.868,789.113
"ybhA",929.228,458.453,621.21,683.326
"pgl",1440.73,761.587,747.18,834.296
"ybhD",94.108,430.199,948.616,892.216
"ybhH",3.73914,311.792,510.778,428.638
"ybhI",2.29018,300.019,635.054,520.779
"ybhJ",54.5998,810.636,940.17,809.179
"ybhC",2612.46,932.173,967.185,862.386
"ybhB",1580.05,899.581,953.853,909.188
"bioA",763.501,561.129,529.544,685.488
"bioF",411.107,375.2,436.28,329.995
"bioD",1107.1,859.125,964.001,999.227
"uvrB",1161.04,1202.01,1030.2,986.547
"ybhK",564.134,914.159,962.018,822.211
"moaA",1062.07,792.201,801.851,733.507
"moaB",2299.86,1263.27,1157.53,1197.6
"moaC",1896.03,947.246,827.861,900.386
"moaD",1444.48,1061.39,940.461,898.614
"moaE",904.959,604.313,671.376,619.408
"ybhL",3438.98,3184.7,1715.54,2294.63
"ybhM",133.368,889.472,1123.78,1181.21
"ybhN",191.181,596.868,770.005,655.289
"ybhP",1025.48,1725.29,1258.82,1340.08
"ybhQ",344.752,1799.32,771.276,816.687
"ybhR",368.725,1038.03,778.357,681.283
"ybhS",229.365,606.024,492.113,428.241
"ybhG",908.898,2177.27,1031.79,799.141
"cecR",601.755,1621.76,860.73,820.53
"rhlE",689.639,955.853,768.559,678.272
"ybiA",152.858,913.679,652.305,570.82
"dinG",221.97,602.98,495.874,367.572
"ybiB",677.846,1421.56,661.668,525.277
"hcxB",4223.33,1332.18,1415.9,1355.23
"ybiJ",1211.06,1174.35,1110.91,1203.02
"ybiI",325.044,1642.32,1042.84,1170.28
"ybiX",143.459,556.314,542.966,482.634
"fiu",160.124,609.487,643.8,459.972
"mcbA",417.211,966.517,732.353,864.632
"rlmF",525.513,574.886,798.641,710.68
"ybiO",174.972,723.939,770.805,826.221
"glnQ",1006.45,772.371,972.226,756.762
"glnP",1588.87,1112.23,1207.05,969.464
"glnH",4279.41,4817.36,3295.27,2706.52
"dps",11141.1,8398.65,4643.73,5128.59
"rhtA",138.593,241.196,545.544,515.16
"ompX",8568.2,2029.42,1908.96,2974.71
"opgE",111.542,369.323,563.115,487.516
"rybA",4785.77,5031.87,1541.44,2954.85
"mntR",1281.62,816.557,719.801,811.119
"ldtB",2825.09,746.087,891.593,959.376
"ybiT",1486.38,931.003,889.101,751.639
"ybiU",308.574,551.431,538.548,472.407
"ybiV",1245.47,768.32,828.159,818.129
"ybiY",87.299,677.715,536.415,513.775
"fsaA",251.992,846.918,751.058,644.007
"moeB",241.47,632.318,567.455,546.455
"moeA",374.472,344.564,321.371,275.914
"iaaA",1980.6,961.039,942.77,874.757
"gsiA",1332.48,920.738,946.813,950.782
"gsiB",1228.09,712.265,890.858,790.415
"gsiC",484.351,334.786,526.491,538.263
"gsiD",689.44,395.266,774.581,622.329
"pdeI",633.055,302.981,847.147,851.26
"dgcI",413.734,273.252,696.729,686.988
"rimO",1081.7,424.25,874.51,869.051
"bssR",419.814,1270.93,1136.44,1684.3
"yliI",240.68,605.953,806.522,691.234
"gstB",1571.74,654.312,778.662,790.483
"dacC",2065.44,2049.28,1136.49,1361.68
"deoR",579.924,403.825,635.951,642.07
"ybjG",945.007,360.717,718.446,712.127
"mdfA",254.158,490.64,709.072,645.851
"ybjH",160.169,474.72,884.524,862.631
"ybjI",496.553,393.212,607.839,571.495
"ybjJ",296.599,357.787,591.341,466.681
"rcdA",153.61,545.932,803.462,740.238
"rybB",91.5035,313.446,634.421,492.727
"ybjL",711.17,398.924,713.504,692.861
"ybjM",168.925,233.656,507.97,528.725
"grxA",505.079,519.571,1135.97,1154.51
"ybjC",1978.91,671.645,1141.23,1311.62
"nfsA",1485.74,347.576,765.542,684.654
"rimK",446.484,329.347,450.114,423.047
"ybjN",1415.15,450.45,803.28,824.304
"potF",2000.55,1600.04,933.518,890.982
"potG",456.582,545.182,605.943,544.144
"potH",315.654,607.907,973.347,894.445
"potI",150.855,331.176,566.701,512.891
"ybjO",331.448,432.927,554.355,549.526
"rlmC",270.277,797.376,1146.29,1046.85
"artJ",3196.21,416.827,1871.91,1103.81
"artM",885.089,507.132,769.7,594.151
"artQ",2414.15,1327.08,1644.92,1282.33
"artI",3592.49,1566.79,1536.12,1499.32
"artP",2619.29,1370.24,1371.15,1250.97
"ybjP",2636.25,3431.77,1722.47,1848.81
"ybjQ",1332.5,1806.36,990.116,1102.12
"amiD",742.346,1100.75,837.865,939.974
"ybjT",1327.09,1231.31,1062.31,918.649
"ltaE",1374.94,1200.39,1215.86,1048.9
"poxB",2182.55,2417.96,1618.79,1707.84
"hcr",78.8915,782.501,735.937,536.254
"hcp",119.709,970.337,930.627,625.421
"lysO",555.269,335.199,559.482,431.263
"aqpZ",64.3814,355.672,447.798,428.684
"ybjD",280.569,560.284,637.361,583.889
"ybjX",4824.14,1271.07,1482.67,1644.05
"macA",698.68,734.146,734.326,663.951
"cspD",2598.11,6136.04,2110.57,2700.8
"clpS",3982.79,2450.88,1510.61,2282.14
"clpA",2371.37,3317.04,986.917,1239.78
"infA",5709.51,738.485,1115.66,1691.99
"aat",467.431,636.629,692.658,656.714
"cydC",668.255,638.651,578.746,580.377
"cydD",588.698,662.046,709.079,629.559
"trxB",3807.56,733.55,871.781,753.462
"lrp",5567.69,1575.72,1609.83,1774.17
"ftsK",1667.16,1137.14,941.662,1030.99
"lolA",1741.88,1178.31,888.167,828.489
"rarA",496.157,694.151,629.133,619.709
"serS",3000.65,979.622,963.268,1106.02
"dmsB",111.879,504.787,613.493,529.915
"dmsC",91.1876,336.237,501.298,437.502
"ycaC",3577.4,2515.61,1795.24,2109.01
"ycaD",505.846,257.814,640.922,607.88
"ycaM",86.9381,365.881,748.326,745.766
"ycaN",252.633,406.064,598.783,682.871
"ycaK",383.314,431.92,890.488,696.022
"pflA",1859.52,1061.88,1139.92,1390.67
"focA",947.784,778.512,1672.43,2327.34
"ycaO",458.271,150.71,361.143,311.415
"ycaP",755.305,1328.88,1257.93,1383.28
"serC",6062,624.98,1142.47,1485.22
"aroA",2515.08,373.561,819.157,636.677
"ycaL",111.553,396.891,923.951,623.788
"cmk",1710.5,959.102,950.481,909.177
"rpsA",8799.55,1810.67,2008.85,1868.15
"ihfB",7224.24,5986.95,2618.7,3349.82
"ycaI",83.9252,904.908,992.825,849.628
"msbA",1297.12,901.091,814.919,865.444
"lpxK",456.481,843.646,723.705,629.52
"ycaQ",124.213,767.116,635.635,591.381
"ycaR",3802.16,1951.25,1335.46,1737.92
"kdsB",2596.15,959.189,850.08,875.754
"ycbJ",272.999,872.337,717.959,613.934
"elyC",124.22,533.416,366.766,284.221
"cmoM",1406.28,1140.18,880.222,925.768
"mukF",1039.74,951.871,752.992,705.055
"mukE",2301.82,1419.93,1050,950.731
"mukB",1135.44,919.132,678.162,518.125
"ldtD",1040.8,2337.78,1124.18,1186.82
"mepK",4073.15,1516.36,1203.7,1443.57
"gloC",2598.06,1025.37,966.454,1049.48
"aspC",5913.32,1062.04,1329.75,1223.77
"ompF",3869.53,1317.68,945.594,932.857
"pncB",4452.55,847.873,1220.84,1564.98
"pepN",3930.62,2680.63,1269.76,1141.14
"ssuB",250.712,941.396,1090,944.722
"ssuC",117.26,583.574,703.819,660.686
"ssuA",64.73,430.013,677.83,556.121
"ssuE",78.7515,352.452,772.952,678.438
"elfA",103.848,296.726,786.377,764.56
"elfD",7.12877,191.916,590.796,564.713
"elfC",37.9372,227.38,676.114,622.887
"elfG",119.493,351.331,724.721,825.524
"ycbV",47.4794,273.116,629.932,547.855
"ycbF",69.786,247.085,483.066,427.176
"pyrD",2480.84,170.779,520.572,398.439
"zapC",1000.64,431.802,653.818,712.533
"ycbX",993.053,724.065,942.199,888.682
"rlmL",1376.03,803.265,767.696,679.952
"pqiA",153.334,458.312,563.105,511.153
"pqiB",735.373,480.661,737.276,641.799
"pqiC",511.393,430.679,625.536,668.911
"rmf",8986.76,7330.36,4299.16,4671.15
"fabA",2994.63,719.867,1151.1,1658.41
"ycbZ",897.738,699.391,780.288,771.909
"matP",485.157,895.387,1018.63,825.364
"ompA",10970.7,4964.74,3365.34,3984.84
"sulA",1588.11,1046.45,1174.4,1342.94
"sxy",280.837,578.563,522.531,584.091
"yccS",521.947,601.231,735.663,719.275
"yccF",1065.36,630.227,735.599,681.421
"helD",978.332,1313.39,1224.17,1229.69
"mgsA",3002.13,1721,1348.8,1509.62
"yccT",171.498,907.483,807.134,695.588
"hspQ",1693.23,4085.58,1601.5,2309.37
"rlmI",1203.23,863.886,818.371,912.829
"yccX",1076.26,2047.21,1013.02,1327.37
"tusE",1134.65,895.808,958.156,1026.39
"yccA",4718.75,1290.8,1146.25,1496.63
"hyaA",672.639,2033.44,2207.07,2544.54
"hyaB",637.027,1832.27,2332.79,2282.29
"hyaC",240.102,1014.24,1263.13,1515.11
"hyaD",325.012,1018.66,1285.02,1517.43
"hyaE",279.157,642.814,710.218,817.148
"hyaF",196.023,789.786,1024.98,1243.04
"appC",614.238,955.832,1000.08,990.221
"appB",574.093,927.733,1017.43,1215.3
"appA",557.768,1024.29,1060.53,1102.02
"etk",371.417,1138.54,960.993,790.55
"etp",298.218,756.21,682.521,598.962
"gfcE",158.334,643.476,630.994,461.42
"gfcD",75.5949,582.825,570.584,481.9
"gfcC",113.036,569.069,686.587,739.57
"gfcB",59.6577,446.691,619.045,507.663
"gfcA",248.512,498.553,792.996,747.749
"cspH",31.8218,338.649,728.478,876.136
"cspG",181.998,353.531,697.509,728.676
"ymcE",95.5801,239.039,496.734,473.373
"yccM",39.4776,271.112,562.32,584.05
"torS",155.922,630.661,651.101,538.139
"torT",137.428,475.046,530.755,495.479
"torR",416.542,789.798,834.571,843.497
"torC",76.7806,773.305,815.543,671.428
"torA",225.437,677.647,752.612,735.759
"torD",62.9767,432.819,613.836,550.891
"cbpM",1962.62,2469.15,1613.42,1653.73
"cbpA",4712.65,4362.88,2227.49,2229.76
"yccE",11.5855,299.911,773.517,759.807
"yccJ",4192.8,3013.19,1933.13,2546
"wrbA",6483.73,4936.97,2809.22,3190.79
"rutG",127.291,405.659,497.968,543.47
"rutF",109.238,573.457,593.71,460.496
"rutE",32.2407,385.108,425.665,362.886
"rutD",50.8328,726.366,634.318,580.329
"rutC",239.778,1200.05,913.101,971.98
"rutB",56.954,913.701,735.276,651.163
"rutA",43.7946,1141.68,963.891,795.015
"rutR",488.26,797.417,660.707,640.374
"putA",776.522,1340.04,561.692,519.323
"putP",768.633,909.647,561.23,572.245
"efeO",912.301,394.717,472.751,413.099
"efeB",463.799,403.758,584.239,613.111
"pgaD",200.132,357.585,706.547,841.587
"pgaC",79.9606,313.797,635.863,572.075
"pgaB",82.0286,379.317,834.088,725.485
"pgaA",81.1796,246.098,587.87,695.154
"dgcT",224.744,325.503,611.517,760.413
"ymdE",33.4797,196.907,612.603,641.734
"ycdU",61.8662,360.764,845.678,1016.05
"ghrA",2943.92,1069.28,1006.22,1056.64
"ycdX",2643.57,657.298,997.173,1082.63
"ycdY",1684.51,402.406,846.997,989.188
"ycdZ",244.874,244.129,353.709,420.757
"csgG",163.508,233.281,518.142,584.87
"csgF",242.735,213.733,557.724,573.019
"csgE",262.251,282.88,649.418,745.623
"csgD",611.159,207.739,670.696,742.798
"csgB",64.4182,237.591,744.701,776.271
"csgA",271.502,434.813,910.53,1012.46
"csgC",51.5998,260.328,765.339,798.282
"ymdA",137.731,432.967,699.831,822.614
"ymdB",625.103,694.986,645.872,692.566
"clsC",293.548,308.185,488.339,647.902
"opgC",139.757,218.249,545.536,603.878
"opgG",3597.39,1214.04,1171.45,1245.37
"opgH",1846.1,609.259,797.068,725.434
"yceK",1189.83,800.959,932.47,1099.92
"msyB",6637.45,5864.14,2531.58,3013.39
"mdtG",396.088,822.546,864.144,1018.49
"lpxL",540.984,633.92,829.693,838.504
"trhO",1161.84,374.621,557.874,529.167
"yceI",1567.54,786.125,986.534,1090.19
"yceJ",602.302,604.344,899.806,843.208
"yceO",27.4227,336.945,715.548,762.408
"solA",1844.98,445.024,873.522,962.823
"bssS",1183.21,5506.58,1999.71,2946.86
"dinI",1570.51,452.208,795.649,913.463
"pyrC",3861.1,435.507,665.425,754.421
"yceB",1418.8,594.006,889.866,1110.84
"grxB",6525.26,3778.93,2605.99,3007.22
"mdtH",169.242,892.836,864.921,933.628
"rimJ",2256.73,2124.22,1023.68,1121.19
"yceH",1750.08,1835.65,1011.78,847.457
"yceM",788.498,1053.22,663.526,530.712
"murJ",561.386,1026.01,861.777,816.802
"flgN",307.869,859.143,720.854,757.179
"flgM",693.502,1218.52,817.295,827.775
"flgA",240.83,895.817,594.409,550.653
"flgB",231.596,730.577,607.685,487.402
"flgC",236.897,987.173,726.994,625.238
"flgD",236.201,641.328,521.434,510.344
"flgE",318.876,963.862,695.802,580.036
"flgF",153.323,472.987,328.321,185.96
"flgG",269.706,888.44,709.09,607.421
"flgH",80.5199,801.584,566.35,469.151
"flgI",102.277,781.73,527.652,428.371
"flgJ",52.4039,842.818,603.4,599.421
"flgK",206.243,635.944,578.107,517.005
"flgL",257.929,886.245,691.374,523.18
"yceQ",100.918,750.205,740.325,598.69
"rluC",598.3,473.879,481.783,476.73
"yceF",1387.18,1371.62,938.451,1143.27
"sraB",7336.42,2830.93,2081.62,2514.52
"yceD",8826.25,2435.46,1879.43,2336.56
"rpmF",7588.95,1333.28,1112.47,1546.03
"plsX",2941.03,1050.05,908.228,840.86
"fabH",2788.4,595.524,593.927,649.728
"fabD",5781.71,1879.58,1343.18,1277.22
"fabG",6862.29,1763.49,1402.43,1771
"acpP",8446.13,3767.52,2340.05,2806.69
"fabF",2358.96,731.655,828.776,801.205
"pabC",462.185,720.882,720.51,755.339
"mltG",431.95,963.673,841.066,681.577
"tmk",1060.54,792.269,663.594,716.368
"holB",691.263,1019.46,858.942,843.674
"ycfH",1551.8,1826.51,1318.75,1489.45
"ptsG",3726.72,1249.77,1617.54,1555.96
"fhuE",104.696,798.432,894.81,805.885
"hinT",2874.94,1752.75,1031.65,1291.6
"ycfL",2894.74,1581.29,1060.82,1097.54
"lpoB",2241.56,1246.84,883.975,983.362
"thiK",1129.34,641.696,823.243,758.45
"nagZ",1243.07,541.924,798.676,727.356
"ycfP",3677.93,2500.03,1521.19,1669.47
"ndh",1545.3,349.54,1755.09,1418.06
"ycfJ",151.656,338.618,678.501,578.87
"comR",466.43,513.331,834.82,753.176
"bhsA",2506.37,426.095,1244.7,1907.91
"ldtC",394.573,306.463,465.953,404.844
"mfd",1159.55,786.261,918.767,866.602
"ycfT",30.3986,291.933,498.213,590.058
"lolC",756.382,413.977,569.14,498.406
"lolD",984.169,447.266,711.389,639.354
"lolE",1181.59,665.751,957.368,998.964
"nagK",1049.88,881.86,951.292,996.329
"cobB",1290.22,509.36,578.201,605.314
"ycfZ",99.2179,391.417,761.745,834.162
"ymfA",179.153,473.69,956.416,995.784
"potD",4782.7,675.664,915.279,873.159
"potC",2924.25,584.78,769.744,717.279
"potB",1438.95,413.382,678.694,554.929
"potA",2441.17,564.238,605.728,516.554
"pepT",1026.39,1553.68,952.126,1100.21
"roxA",1897.81,1003.89,830.717,828.258
"phoQ",1525.03,828.045,803.201,902.086
"phoP",2776.46,1406.97,951.192,1273.79
"purB",4352.53,821.042,944.135,977.694
"hflD",2747.45,723.022,856.054,866.835
"mnmA",2716.12,701.774,864.16,924.282
"nudJ",624.539,480.925,530.496,542.989
"icd",9951.06,3442.42,1414.29,2052.22
"ymfD",218.574,282.113,711.191,890.224
"ymfE",353.118,368.856,546.058,796.947
"lit",1406.4,543.726,966.802,1299.87
"intE",114.388,265.036,698.368,876.286
"xisE",235.478,269.915,520.846,656.84
"ymfH",2.01177,90.7291,280.205,419.45
"ymfI",2000.61,419.279,803.782,1137.27
"ymfJ",240.501,236.911,659.474,841.834
"ymfK",810.227,395.404,860.92,1028.64
"ymfT",141.418,279.72,754.109,799.703
"ymfL",134.112,225.703,427.555,495.213
"ymfM",148.417,307.688,575.964,668.079
"ymfN",160.555,374.342,661.206,646.888
"ymfR",29.8775,191.143,339.834,310.33
"beeE",60.8105,511.591,521.835,501.515
"jayE",188.312,422.694,659.175,645.766
"ymfQ",153.454,453.287,831.835,869.36
"ycfK",59.7205,267.267,626.299,712.636
"tfaP",33.4802,178.221,378.707,480.016
"tfaE",65.2266,243.316,620.1,841.499
"stfE",63.4339,453.826,838.016,880.072
"pinE",39.7221,185.546,531.669,810.89
"mcrA",144.584,255.421,741.464,1072.7
"iraM",60.3116,195.334,693.09,1135.32
"ycgX",50.7018,203.145,556.422,772.008
"bluR",1040.23,459.402,887.282,1432.63
"bluF",165.041,235.512,669.103,920.942
"ycgZ",1279.8,1052.95,610.018,1086.06
"ymgA",806.903,814.868,728.458,970.26
"ariR",250.617,290.287,550.089,824.513
"ymgC",134.493,230.801,610.028,819.057
"pdeG",38.9132,233.862,743.975,1045.15
"ymgD",557.791,398.007,926.188,1165.81
"ymgG",579.254,249.401,597.013,705.978
"minE",2526.89,879.53,949.021,1264.69
"minD",5214.61,2002.31,1441.23,1560.51
"minC",4299.61,1335.66,1334.69,1751.59
"ycgJ",910.915,478.725,878.828,1115.26
"pliG",10462.9,4863.91,3266.69,3973.79
"ycgL",2155,1094.9,909.539,1248.68
"ycgM",1395.63,948.176,838.688,949.632
"ycgN",786.658,488.99,644.485,720.57
"hlyE",143.906,456.173,943.597,1001.55
"umuD",216.513,217.685,602.771,656.975
"umuC",186.931,261.309,652.769,623.421
"dsbB",711.328,529.765,899.428,996.143
"nhaB",1176.2,446.896,764.737,816.6
"fadR",944.824,802.098,787.943,853.507
"ycgB",1263.3,4166.76,1241.23,1645.06
"dadA",1228.43,3042.63,819.626,939.431
"dadX",1085.92,1788.48,870.948,951.486
"cvrA",228.006,551.03,722.548,650.579
"ldcA",862.884,712.089,797.147,870.423
"emtA",1124.26,392.813,666.03,810.838
"ycgR",165.033,234.8,413.704,539.06
"ymgE",307.898,928.415,575.582,682.198
"ycgY",37.2592,341.516,643.047,709.505
"dhaM",1763.45,785.8,984.565,841.443
"dhaL",1731.36,951.162,940.588,775.592
"dhaK",1127.41,798.478,818.677,783.872
"dhaR",232.773,498.127,794.616,698.611
"ycgV",128.451,516.006,739.133,591.132
"ychF",3346.02,620.245,1076.18,1158.27
"pth",1721.09,549.676,796.405,879.214
"ychH",1148.14,6938.19,1723.46,2034.15
"dauA",215.791,298.001,488.316,397.653
"prs",5898.03,794.667,1269.71,1240.12
"ispE",1904.11,870.812,1029.51,1062.99
"lolB",1653.33,560.376,661.269,812.067
"hemA",1223,663.665,896.233,824.828
"prfA",1186.29,670.258,917.414,859.995
"prmC",439.353,470.342,708.3,605.731
"ychQ",1022.67,770.405,940.73,1002.53
"ychA",1697.14,580.273,842.529,857.306
"kdsA",2933.11,454.852,768.629,732.471
"ldrA",623.905,1236.92,1520.2,1477.89
"rdlA",729.449,632.185,858.55,1148.27
"ldrB",200.563,957.609,1407.21,1425.6
"rdlB",272.292,599.769,818.141,1119.4
"rdlC",227.531,604.771,844.083,1085.13
"chaA",1131.54,362.822,620.331,728.737
"chaB",1140.14,1458.36,1099.33,1384.07
"chaC",1531.66,1189.6,1298.59,1487.14
"ychN",824.613,625.887,601.916,619.24
"ychO",397.171,604.058,792.583,760.135
"narL",2529.89,1531.03,1222.13,1394.24
"narX",428.551,670.474,797.198,717.405
"narK",13.2847,230.877,456.263,416.526
"narG",84.8287,611.388,662.025,635.377
"narH",346.332,578.752,683.859,558.158
"narJ",169.72,364.614,442.407,418.003
"narI",84.4738,487.28,628.823,433.086
"ychS",31.1235,129.212,169.097,145.511
"tpr",118.314,659.13,797.071,933.166
"rttR",437.187,1113.58,1285.05,1432.3
"purU",3808.25,491.15,726.135,850.265
"ychJ",2927.16,519.582,1015.52,1049.36
"rssA",1914.94,1092.59,902.304,964.216
"rssB",811.986,1162.71,813.47,1034.91
"galU",1804.66,523.309,753.596,737.853
"hns",6359.99,3740.72,2207.28,2677.51
"tdk",942.613,437.865,1029.86,1204.17
"adhE",4449.23,2836.64,2283.13,2418.7
"ychE",130.686,207.338,462.551,555.508
"oppA",6818.99,3018.31,834.272,746.355
"oppB",2001.01,469.151,642.511,570.851
"oppC",2503.98,620.29,764.956,662.049
"oppD",2218.35,615.361,663.627,596.035
"oppF",1633.23,642.646,706.153,634.935
"clsA",1017.23,408.132,495.285,527.294
"kch",1147.55,345.91,879.414,874.969
"yciI",2526.23,560.845,923.803,1038.26
"tonB",1224.84,304.37,876.214,897.499
"yciA",1236.74,220.29,607.902,617.692
"yciB",1320.63,670.328,902.213,1043.61
"yciC",1192.87,355.938,756.128,823.918
"ompW",344.131,473.596,786.977,826.199
"yciE",554.956,326.881,867.191,1025.23
"yciF",987.281,541.276,917.158,1255.43
"yciG",1343.7,726.91,911.861,1334.19
"trpA",3056.4,1831.67,1003.08,968.272
"trpB",3277.92,1815.34,1038.65,835.951
"trpC",3168.51,2030.58,1204.12,920.43
"trpD",1838.22,1691.67,809.808,608.791
"trpE",2274.31,1502.54,1048.05,813.116
"trpL",3996.71,3453.62,1653.06,1944.03
"rnm",1107.63,843.819,927.888,990.313
"yciO",1678.56,1526.06,1053.34,1260.73
"yciQ",146.973,482.876,677.307,765.403
"rluB",2895.05,814.385,1054.04,1107.55
"btuR",690.294,756.475,857.57,732.204
"yciK",1290.14,845.137,939.903,866.661
"sohB",1663.95,568.543,841.073,815.615
"yciN",2672.4,1889.97,1300.33,1533.1
"topA",3829.07,2222.66,1263.06,1394
"cysB",1390.69,341.247,734.44,811.49
"acnA",2789.62,3406.73,1097.95,1462.63
"ribA",1375.53,622.426,808.012,856.654
"pgpB",281.81,336.09,465.57,443.068
"lapA",1634.87,908.992,989.246,1122.6
"lapB",930.741,555.205,869.51,1011.5
"pyrF",1537.85,217.138,534.493,505.209
"osmB",3878.31,4458.6,2646.26,3172.8
"yciT",621.449,253.232,586.716,510.098
"pdeR",451.755,966.981,665.502,635.86
"rnb",3577.12,507.647,755.843,645.948
"yciW",977.168,731.839,835.485,895.007
"fabI",6514.23,1754.46,1512.4,1912.97
"ycjD",143.408,776.992,661.141,674.131
"sapF",417.179,883.829,754.915,737.837
"sapD",621.953,755.353,754.584,652.943
"sapC",129.119,499.528,540.237,339.9
"sapB",412.079,854.111,614.177,567.134
"sapA",907.605,1286.97,1032.53,877.669
"ymjA",712.93,908.929,916.956,965.035
"puuP",50.5481,554.883,562.41,562.504
"puuD",293.411,1034.87,707.772,624.053
"puuR",303.207,774.928,547.141,516.126
"puuC",211.358,795.316,666.478,469.748
"puuB",128.018,708.355,669.797,465.339
"puuE",119.825,407.088,481.593,345.764
"pspF",198.791,507.917,525.138,376.632
"pspA",692.893,370.161,424.584,449.321
"pspB",1171.72,895.379,1084.21,1086.94
"pspC",641.951,607.677,822.635,711.192
"pspD",446.812,422.795,549.904,420.502
"pspE",932.743,1325.85,898.655,854.025
"ycjM",28.5079,327.869,721.012,693.534
"ycjN",29.982,293.99,544.317,510.505
"ycjO",46.8195,406.95,512.339,439.859
"ycjP",50.6632,481.304,558.565,467.334
"ycjQ",122.512,675.41,723.422,572.885
"ycjR",106.25,520.583,640.351,454.742
"ycjS",167.282,812.531,742.883,700.636
"ycjT",38.4864,422.438,577.785,542.082
"ycjU",20.4012,327.403,435.386,431.88
"ycjV",42.9417,355.001,474.782,512.872
"ycjW",141.746,310.785,573.049,581.292
"ycjX",459.263,906.086,720.15,686.216
"ycjF",132.997,473.298,478.155,479.867
"tyrR",1005.81,838.013,893.485,885.346
"tpx",5898.84,1218.56,1011.73,1116.14
"mpaA",875.984,715.336,838.564,843.063
"ycjY",135.82,370.407,730.146,790.086
"pgrR",737.639,298.645,527.887,542.271
"mppA",799.406,725.57,801.668,805.705
"ynaI",764.085,266.373,697.729,729.483
"ynaJ",81.7096,81.1665,60.1542,56.6951
"uspE",71.4033,31.3892,6.31433,5.66866
"fnr",42.275,13.0289,30.9473,44.5621
"ogt",58.5422,59.7604,42.4095,32.4192
"abgT",71.9867,75.5058,35.0022,37.7507
"abgB",9.41516,10.4542,5.24547,6.93686
"abgA",55.2949,50.1058,15.7441,41.7468
"abgR",160.583,301.06,669.509,687.195
"smrA",701.352,343.268,629.3,669.699
"dgcM",702.452,588.498,988.747,1086.21
"zntB",601.617,492.092,824.717,870.821
"dbpA",472.832,332.564,636.672,584.954
"ttcA",970.548,463.945,735.659,753.181
"intR",1.66108,12.9298,7.65846,1.15964
"xisR",28.8962,3.09055,7.98905,13.6677
"rcbA",10.1548,1.42778,4.39343,1.0132
"ralR",6.14221,2.91984,0.915005,2.52904
"recT",54.2472,46.7841,39.5405,43.4501
"recE",16.1935,10.3365,1.38935,3.02621
"racC",10.1848,0.565794,5.7068,3.59926
"kilR",19.2802,12.6106,8.40108,6.66588
"ydaG",5.74288,3.47056,4.77295,1.70841
"racR",2.72138,1.78732,1.4746,0.477406
"ydaS",17.0855,4.27979,10.4094,3.12595
"ydaT",3.69374,11.2876,2.1898,2.64204
"ydaU",29.8898,11.5719,12.8998,9.09237
