"","0","0 | 1","3600","3600 | 1","14400","14400 | 1"
"mrr",1.851833158,2.482303091,1.763087477,2.127224599,1.520921643,1.892765958
"pdeF",1.394104535,1.525870681,1.576554392,2.4485464,1.811046782,1.47821841
"ycfK",1.934689786,1.267547299,1.589002464,1.345265736,1.539410375,1.630746622
"yfbN",1.617591218,1.280520455,1.280563346,1.291778552,1.191967769,1.342308711
"ggt",24.98435422,45.21746607,26.79813027,23.27082602,40.77271146,19.19586581
"yajO",3.91694283,5.874098666,4.956431707,5.354201283,5.043819158,4.069825981
"ygeK",1.239583452,1.271793298,1.186274702,1.345581335,1.201296007,1.237591268
"rimO",2.923027678,7.911951598,7.186917085,2.375931359,7.317265127,7.331268168
"frc",1.739185984,1.963861035,1.596029061,1.585437938,1.605061785,1.331523479
"speF",1.495607761,1.518661601,1.581786554,1.445947938,1.678300016,1.557774454
"nanS",1.847689197,1.851978091,1.830011938,2.023275738,2.098118604,2.088399158
"rnc",25.47081815,36.30813757,37.61839912,17.41626599,29.8615939,45.44478023
"slt",105.3605546,173.2136468,116.8683026,110.4728028,186.971731,78.48200019
"fkpA",24.20195517,74.82680894,71.91758129,11.8660602,70.78205741,74.08751941
"yecF",7.771122075,10.38041249,19.82193473,11.14533226,5.123936165,21.20280366
"menI",9.626643082,11.38722543,11.66561987,6.543216782,11.24798883,11.81687168
"ftsK",36.84100421,36.13010667,38.55356723,23.37187406,31.0293161,35.60363194
"ftp",2.417441056,2.728240299,2.748937647,2.593272518,2.888566838,2.753163788
"thrA",23.21402884,90.84179236,180.8467137,11.05831957,82.07713885,197.1217343
"yghA",7.202621168,27.18469234,4.160475304,6.861376685,24.00750408,2.080138757
"yggN",31.60188782,47.75450503,37.42949365,11.88202517,68.12397999,27.02677202
"ydhL",2.984202483,2.543990408,1.925487837,2.269589316,2.179267427,2.152460003
"sokB",2.50914135,2.097349474,2.144286313,3.948019885,2.081948657,1.869808708
"ycjW",2.380406679,2.043733512,2.516949065,2.093331473,1.744785303,2.771519345
"mdtJ",4.271384069,4.337780219,4.218227012,3.960149074,3.436096867,4.852305866
"higB",1.571699617,1.553444677,1.267289283,1.377538135,1.110368463,1.533960599
"kdgR",24.71007851,51.06523236,44.02089152,23.34842596,49.74315779,49.65643632
