"","0","0 | 1","10800","10800 | 1","21600","21600 | 1","36000","36000 | 1","57600","57600 | 1","86400","86400 | 1","0 | 2","0 | 3","10800 | 2","10800 | 3","21600 | 2","21600 | 3","36000 | 2","36000 | 3","61200","61200 | 1","86400 | 2","86400 | 3","0 | 4","0 | 5","3600","3600 | 1","3600 | 2","3600 | 3","7200","7200 | 1","14400","14400 | 1","0 | 6","0 | 7","3600 | 4","3600 | 5","3600 | 6","3600 | 7","7200 | 2","7200 | 3","14400 | 2","14400 | 3"
"afuC",108,178,198.6,216.9,326.5,224,345.4,48.6,304,72.4,414,485.5,291.9,29.9,127.5,223.4,147.6,146.7,106.6,231.2,331.2,317,558.5,747.1,151.8,78.1,337,203.4,265.4,158.4,279.7,284.6,204.3,418.5,272.3,216,104.8,369,83,253,196.3,313.3,1801.6,904
"agaA",444.5,609.5,649.2,592.2,473.2,644.4,750.6,549.6,490.3,693.8,1446.2,936.9,648.8,63.1,742.7,705.1,605.5,681.6,897.5,915.3,820.3,1315.8,2051.9,2224.7,663.3,464.4,621,502.3,912.2,768.1,898.5,773.6,678.4,594.4,1171.5,976.7,575.2,957.1,586.9,759.8,1006.9,723.1,1739.7,1889.7
"agaB",8.4,13.3,8.8,7,15.7,4.9,9.6,20.4,5.8,8.7,92.7,7.1,60.7,824.1,18.1,24.2,7.9,8.9,12.1,14,19.9,23.9,23.9,34.9,10.2,19.5,12.4,8.3,14,11.3,19.5,14,16.3,11,93.5,70.6,22.7,26.1,27.4,49.6,25.1,31.9,59.2,31.3
"agaC",24.5,39,32.1,36,30.1,26.5,32.2,41.2,41.1,22.8,283.5,48.9,328.6,2025.3,45.2,55.9,42,28.6,33.1,39,45.3,129.5,60.7,123.8,39.8,28.2,43.2,36.2,34.7,34.4,40.3,44.3,34.9,45.7,86.2,90.8,61.4,84.2,43.8,37.5,62.2,43.6,319.2,141
"agaD",88,39.6,25,28.2,21.9,24.4,28.1,35.8,29.8,35.1,96.8,64.5,94.8,595.4,109.5,92.8,303.2,204.4,170.3,398.8,135.6,56.6,199.6,90.2,41.6,18.6,38.8,34.1,39,36.8,36.8,44,37.4,32.6,242.3,150.4,186.5,80.8,241,138.1,291.5,289.4,295.7,175
"agaI",114,129.1,123.6,167.8,165.9,134.6,137,176.2,128.4,143.1,676.9,416.8,320.1,518.5,256.2,276.9,235.4,237.4,206.6,255.9,329.7,206,361.7,660.5,202.9,120.8,213.2,155,138.8,47.7,109.3,167.1,180.3,184.1,242.8,275.5,272.4,345.9,212.6,148.2,342.4,329.3,1098.6,212.7
"agaR",1995,2173.3,2607.4,2335.6,2180.5,2988.4,2898.3,2936.6,2470.2,2599.6,1670.2,1350,1350.2,457.4,1632,1403.2,1706.5,2059.2,1416,1526.2,978.7,1223.7,1218.4,995.8,3410.7,3614.1,3296.2,3155.4,3160,2774.5,2407.4,2073.4,2075.1,2184.3,2517,2218.9,2963.1,2559.1,2344.6,3036.2,2437.4,2206.1,821.8,1188.8
"agaS",39.6,135.3,29.1,14.2,11.4,11.9,54.8,16.7,15.6,15.4,317,43.1,98.9,532.7,25.6,29.2,24.1,37.2,16.6,28.1,48.1,34.5,85.3,101.8,11.7,15.2,22.2,18.7,21.4,21.9,21.6,23.6,24.5,10.6,43.6,24.4,53.9,121,26.2,38.8,59.4,84.9,179.6,81.6
"agaV",611.1,608,344.4,360.3,325.9,365,292.4,229.7,375.2,346.8,711.3,228.8,856.6,5291.2,528,425.1,482.6,377.2,463.4,290.3,137.9,275.2,740.2,618.1,542.7,611.3,585.9,592.8,377.2,552,483.3,391.4,374.7,245.4,638.8,699.2,952.1,998.2,357.3,553.9,813.2,410.4,729.1,361.5
"agaW",147.9,51.3,70.5,92.9,66.6,27.8,70.6,62.6,53.8,30.7,114.1,74.1,291.2,860.4,77.4,138.8,77.3,72.2,70.7,57.1,65.5,56,85.7,100.8,95.8,105.3,97.4,91,98.3,115.3,73.4,105.4,105.6,67.1,113,146.1,162.9,225.8,61.5,62.3,87.5,108.6,133.1,144.9
