"","0","0 | 1","10800","10800 | 1","21600","21600 | 1","36000","36000 | 1","57600","57600 | 1","86400","86400 | 1","0 | 2","0 | 3","10800 | 2","10800 | 3","21600 | 2","21600 | 3","36000 | 2","36000 | 3","61200","61200 | 1","86400 | 2","86400 | 3","0 | 4","0 | 5","3600","3600 | 1","3600 | 2","3600 | 3","7200","7200 | 1","14400","14400 | 1","0 | 6","0 | 7","3600 | 4","3600 | 5","3600 | 6","3600 | 7","7200 | 2","7200 | 3","14400 | 2","14400 | 3"
"fecB",68.7,29.2,289.8,370.9,387.6,224.4,357.3,361.2,782.3,577.3,713.8,508.4,249.6,4380.5,243.7,159.7,91.8,41.1,36.7,273.1,252.2,208.2,781.7,235.8,82.5,131.2,214.6,41.7,167.5,133.5,197.4,335.3,314.6,360.6,89.9,63.1,23.4,75.3,51.7,134.9,89.3,107.6,491.7,321
"fecC",259.2,372.9,558.4,533.1,413.5,370.9,677.4,380.1,682.8,524,867,758,340,563.4,344.6,217.3,349.3,500.9,559.4,1019,1957.5,765.5,2836.3,3029.4,482.8,289.7,605.9,403.9,641.8,527.6,643.4,636.9,809.3,607.6,460.2,531.4,500.7,761,505.4,619.4,953,916.3,3682.1,2681.5
"fecD",166.3,79.8,61.7,195.6,273.6,61.3,89.4,145.1,350.2,402.9,426.7,100.6,290,808.1,76.4,27.4,139,123.4,350,246.5,98.2,202.5,219.1,545,187.8,89.8,168.2,20.7,35.9,121.6,51.8,39.9,40.4,133.2,109.5,59.9,22,327.4,30.8,215.8,44.5,212.8,183.9,385.9
"fecE",239.1,179.6,238.6,241,371.2,380.3,420.9,369.2,662.6,612,169.4,139.6,511.2,9952.9,76.4,280.7,155.3,78.5,65.7,90.4,88.2,49.4,223.6,96,281.4,133.7,290.3,303.8,318.4,100,155.8,152.4,79.2,248.1,23.6,126.6,22.3,33.2,27.3,64,58,235.8,612.9,499.1
"fecI",230.8,216.1,145.8,187.3,461,572.3,433.1,551.9,2549.8,2724.2,1659.7,1850.1,208.7,4177.4,131.2,65.9,150.9,112.4,262.3,137.1,476.8,278.2,1005.2,180.7,210.1,143.2,112.4,132,71,75.1,90.6,102.9,121.7,70.3,52.3,32.2,122.7,66.1,48.3,60.8,73.7,201.3,504.3,515.8
"fecR",229.2,70.8,36.8,47.5,72.8,55.4,57.3,36.2,310.3,303.2,197.8,162.8,146.6,619.8,76.6,57.1,195.4,61.9,73.1,80,173.4,97.6,181.7,279.1,170.7,63.8,32.9,38.3,41.4,23.2,31.6,50.1,36.3,38.7,255.3,186.7,233.6,101.6,201.4,63.4,95.1,81,230.6,87.5
"feoA",685,456.8,1507.1,1431.1,3324.6,2405.7,2693.1,2370.1,1786.1,1527.4,845,888.9,3387.7,3054.3,1781,1435.6,3597.4,3099.6,3098.7,6474.8,2072.1,3195.4,2285,2062.4,2763.4,2688.4,1910.6,2051.9,2965.2,3237.2,4270.4,4417.2,6365.1,6479.6,2862.6,2148.1,4367.8,4608.1,5637.6,4668.6,5937.3,7634.1,12562,12292
"feoB",297.5,299.5,590.3,458.7,591.9,733.2,680.8,937.5,360.9,301.2,579.6,72.8,363.4,9566.9,568.2,273.8,787.8,914.1,1135.8,1496.6,310.1,657.2,620.6,193.8,754.5,652.1,664.1,791.8,934.2,1162.5,1253.8,1437.5,2109.4,1712.7,704,397,1288.1,1285.8,1362.5,1427.5,1268.1,2010.9,2461.4,2190.3
"fepA",495.3,770.7,987.2,977.5,810.3,799.5,1233.5,738.3,1900,1679.3,2463.3,1528.8,808.7,2537.3,789.3,760.5,875.3,637.7,964.2,1169,1512.6,1901.1,2568.9,1898.6,815.2,1006.8,1035.2,915.6,1713.7,1242,1575.5,1233.2,1426.4,1037.7,989.3,839.4,705.4,1152.7,1000.9,1176.2,1343.8,1597.8,3886,2485.2
"fepB",165.4,267.9,315.2,228.5,268.9,192.1,368.6,181.4,866.9,831.7,444,479.8,297.3,1589.7,172.7,278.1,293.5,201.8,721.3,581.3,1049,815.3,696.3,794,285.5,346.6,58.2,141.9,183.3,83.6,192,117.3,112.3,54.9,236.2,342.3,279.3,477,335.3,307.4,468.5,542.4,268.4,151.6
"fepC",169.2,285.9,256.3,318.4,498.3,253.2,443.2,435.8,427.9,585.2,445.2,719.2,464.2,3099.3,728.4,578.7,733.3,660.1,903.5,1045,1262.2,1065.1,970.9,1276.8,412.7,518.6,561.1,297.5,510.3,482.5,520.3,476,717.5,521.7,635.3,586.6,609.1,636.9,580.8,874.7,1178.1,1107.6,852.1,1132
"fepD",59.9,56.4,77.5,66.9,79,84,426.9,126.5,62.3,76.7,183.1,91.6,197.7,1175.2,194.7,190.5,134.4,128.2,169.2,100.7,218.4,601.3,173.7,315.7,88.3,270.7,558.7,127.9,148.4,104.2,114.6,323.5,80.4,100.5,90.2,214.3,75.6,63,86,113.5,163.1,194,246.7,300.3
"fepE",235.5,438.1,323.4,365,463.4,332.1,435.9,367.7,290.8,397.3,1301.4,775.4,493.4,658.6,697.1,601.1,490.7,355.2,515.4,643.8,746,867.1,1902.8,1772.3,265.6,466.5,355.6,473.1,420,435.4,392.2,519.8,483.5,332.3,588.1,356.3,297,589.8,376.4,498.8,564.4,700.7,4306.8,2300.9
"fepG",52.3,74.8,72.6,64.1,81,95.2,193.5,73,473.9,653.1,508.5,491.6,265.3,2997.6,106.2,106.5,404,391.5,313,306.2,659.3,105.3,347.3,1169,58.1,81.2,204.9,76.8,253.7,120,95.8,104,494,308,96.4,76.9,86.8,94.2,52.1,125.6,248.9,159.5,465.4,695.3
"fes",285.1,408.8,342,406.4,402.7,346.5,617.8,449.1,2643.9,2874.1,2974.7,2260.1,863.7,3414,740.9,654.8,538.2,482.2,1629.8,2281.5,3702.7,3614.9,5042.8,3710.9,490.3,709.9,645.9,599.2,591.6,635.6,780.6,459.9,625.4,549.2,744.5,763.2,594.6,790.5,590.5,792.8,902.3,837.5,4528.5,3414
"ffh",4062.3,3302.6,1700.8,1854,1955.5,2029,2766.8,2521.6,2996.2,2812.4,2435.7,1919.9,5309,3828.6,2205.8,2435.2,2290.7,2401.6,2301.1,2524.5,2845.1,2518.6,2890.3,3256.1,3853.3,2990.2,2083.6,1384.5,1697.8,1565.7,1664.1,1110,1485.6,1564.3,5854.9,6376.9,3177.6,3603.5,2822.9,2680.5,1344.5,1901.5,1606.8,1910.3
"ffs",1310.7,1611,2193.4,1881.8,1245.7,3678.5,8095.3,5090.2,3630.1,4344.3,20431,21001.1,1918.7,5955.7,4675.3,5263.1,9386.2,9785.2,23644.5,22212.4,59255.9,32061.3,95469.9,103601.7,1714.8,2423.7,4338.9,2914.6,4972.5,5775.8,4923.8,7608,7148,7957,1702.9,1700.4,1290,1145.5,2522.8,1845.4,3231.8,3389.3,23978.4,16252.9
"lfhA",134.6,166.5,334.8,365.3,322.9,240.7,198.2,309.7,441.1,360.8,150.9,223.3,253.3,1589.8,153.6,123.7,104,89.2,97.5,95.4,149.3,141.1,229.3,697.8,104.9,113,241.2,390.3,990.7,772.4,938.9,758.5,556.6,441.4,70.9,165.3,82.5,82.6,90.1,47.5,245.4,134.7,729.7,490
"fhlA",725,968.5,1373.6,1684.2,1478.3,1405.3,2200.7,1351.8,978.4,1252.1,1443.3,1535.2,2353.4,947.6,2579.7,2988.9,2162.4,2181.3,2356.7,2696.2,2928.2,2454.9,3785.4,3637.5,800.2,780.6,1197.9,888,1887,1680.2,1952.4,1960.8,1805.2,1748.6,1588.8,1695.7,1564.1,2018.7,1996.8,1750.5,4273.5,3933.6,3778.7,3564.9
"fhuA",455.6,620.6,720.1,815.6,385.6,597.4,831.3,956.1,1700.9,1806.2,983.9,2037.1,584.1,79.5,604.5,536.9,467.3,380.5,502.2,695.3,950.1,784,1284.3,1032.2,605,629.1,500.6,1011.5,1314.7,1233.9,1301.3,1493.8,1216.5,1236.9,437.4,336.6,399.3,413.8,616.8,421,1050.2,909.6,1058.9,563.6
"fhuB",335,291.3,353.8,348.8,390.5,320.1,531.2,282.5,541,577.8,636.1,513.8,1082.3,49.2,676.2,868.5,539.3,543.7,476.8,634.8,696.9,576.5,908.6,734.3,335.1,398.7,345.8,267.4,303.4,583.6,510.4,366.2,577.2,516.4,460,666.3,477.7,526.5,682.4,430.4,639.7,766.3,2028,705.6
"fhuC",1446.7,1611.2,1042.5,673,881.4,811.2,1113.2,766.5,1285.5,1588.9,1722.9,1249.4,2029.3,340.4,1199.2,1401.5,1166.5,910.9,1453.1,1429.2,1730.9,1677.3,1950.7,1973,1316.3,1514.2,1476.8,1543,1575.5,1471.9,1325.5,1686.9,1077.5,1248.4,1253.2,1468.9,1042.6,1454.1,1312.3,1150.1,1294.6,1421.7,3281.3,2508.2
"fhuD",219.1,318.5,428.9,534.8,470.8,434.7,470.9,378.9,565.2,577.2,611.4,559.5,338.6,165.7,503.3,255.5,396,215.9,372.9,479.9,546,299.9,1032.3,468.7,276.1,278.2,282.1,243.2,226.3,211.6,298.4,249,281.5,231.2,375.6,547.5,327.3,409.7,381.9,280.2,661.8,755.4,626.5,439.3
"fhuE",218.7,391.8,344.6,338.7,322.6,321.6,362.1,479.7,458.5,524.4,150.4,794.6,301,125.9,385.3,171.7,228.8,216.7,196.3,145.2,616.6,569.6,671.7,616.3,251,344.5,190.6,254.6,507.1,545.6,387.5,487.7,319.3,462.2,270.8,296.3,331.1,248.4,295.9,394.1,350.1,600.3,303,694.9
"fhuF",39,83.9,313.7,313.3,620.4,792.4,1072.3,855.6,6722.8,7252.4,4773.9,7247.9,146.1,209.8,520.1,218.1,286.7,221.7,1068.2,1173.5,1615.6,1648.9,2068,2504.8,176.2,222.5,119.8,235.6,305.1,162.7,258.3,249.4,227.9,181,236.4,310.2,234.8,256.7,247.5,394.2,258.9,641.2,795.4,708.3
"fic",352.1,384,6433.3,6444.3,6454.7,6101.1,6725.7,5922.5,8389.2,7278.9,9179.2,10363.4,366.8,1388.5,4850.9,5675.8,4482.1,3819.6,4159.5,4567.6,7761,10715.1,9046.1,7772.5,816.5,802.2,3104.2,3071.1,10301.8,8747.2,9398.6,7167.9,6827.1,5788,344.8,259.9,1081.1,2013.3,2862.3,2068.4,7282.4,5483.7,6798.9,8629.5
"fimA",9384.9,8535.7,2851.1,2842.9,1190.1,1117.1,1393,1208,1331.3,1602.6,668.5,526.7,3807.6,441.5,1486.8,1638.7,2452.9,1994.5,2218,2780.1,1458.1,1653.8,1672.9,1305.6,1139.5,1261.6,1774.1,1782.4,452.8,527.9,634.4,435.6,557.7,438.6,1728.6,2203.7,1955.8,2368.3,2029,2920.6,2022.4,2030.1,1122,1917.6
"fimB",236.3,339.6,39.4,58,30.7,38.2,25.3,11.8,52.9,92.5,50.9,17.9,134.7,769.2,22.2,27,38.4,30.4,28.6,25.9,32.7,184.5,66.5,50.5,287.2,264.2,208.9,188,47.7,18.6,37.5,65.7,52.1,17.1,342.4,294.3,393.8,553.7,204.2,235.3,135.8,22.9,69.8,82.9
"fimC",879.9,847.1,303.9,259,216.6,188.2,193.6,154.1,293.5,201.9,342.1,290.9,2395.9,859,691.8,901.1,1127.1,959.4,1981.1,574.6,553.7,496.5,648.4,434.2,173.5,153.7,152.6,89.5,127.8,131.7,136.5,16.3,130,37.4,1549.6,2262.6,772.9,978.8,1035.1,1125.6,374.4,269.3,477.6,693.3
"fimD",193.8,287.5,42.8,35.7,58,115.7,71.9,56.6,68.1,43.5,276.7,93.9,871.8,1127.6,461.7,282.6,501.7,529.3,663,661.2,105.9,462.2,178.7,161.5,77.1,25.1,43.9,17.1,40.2,29.1,23.8,27.3,54.3,47.9,477.3,603,322.9,257.2,496.7,376.6,92.3,104.2,811.1,263.3
"fimE",161.3,295.3,236.8,258.3,290.3,280.3,315,272.5,422,381.6,1569.3,783.9,319.4,23.8,388.6,246.2,331.8,313.2,558.4,648.2,1006.9,737.6,1240.5,1100.4,324.3,357.5,421.2,242.4,215.9,379.5,380.2,379.4,360.1,280.4,438.6,549.8,537.4,591.5,389,680.3,699.5,620.5,1504.3,2006.2
"fimF",555.2,416.2,264.6,358.1,222.1,225.9,216.3,110.7,209.1,254.8,698.8,307.1,1057.8,796.3,552.2,522.6,400.1,507.6,563.1,559.4,473,422.9,191.4,483.1,217.8,245.2,223.7,195.6,210.1,257.7,261,200.7,76.2,206.5,488.9,631.7,345.8,398.4,400.7,486.4,441.3,257.2,1666.8,638.8
"fimG",621.9,680.3,308,242.3,174.6,67.5,143.9,105.7,107.7,78.5,618.4,283.9,770.2,13940.4,434.4,397.4,491.4,544.3,687.9,1351,212.9,666.7,179.5,153.8,223.6,59.9,222.6,63.4,67.7,75.2,230.9,160.9,159.6,130.3,641.7,655.1,459.4,659.1,898.7,649.5,475.6,129.1,466,222.8
"fimH",366.2,465.2,510.9,379.8,373,524.3,622.7,482.3,532.9,603.2,1062,828.6,924.5,1837,748,644.4,1203.5,1183.6,1270.4,2152.4,710.4,847.3,1067.3,623,180.8,212.8,263.1,251.9,445.7,535.4,597.8,416.4,525.1,648.7,499.2,1186.4,747,816.6,805,812.6,788.4,953.5,425,1183.8
"fimI",1642.7,1205,571.8,555.6,243.4,187.6,281.7,225,260.8,327.2,643.6,190.6,2990.7,1839.5,716.9,1068.4,1443.8,1464.3,2708.3,1256.4,540.5,860.3,720.7,112.2,200.6,176.2,330.2,256.7,194.9,268.5,203.5,243.2,235,125.3,2171.5,2977.5,1624.6,2214,2268.2,2668.9,1120,805.9,912.7,201.2
"fimZ",1.8,5.4,3.4,5.8,3.7,3.3,3.6,9.3,5.2,4.1,18.8,13.1,20.7,691.8,4.6,5.2,4.3,3.2,4.7,4.2,9.1,4.2,10.6,33.1,4.1,9.3,8.5,7.9,4,3.9,2.6,6.5,3.6,6.8,3,2.9,8.2,60.4,5.8,41.5,6.8,5.5,31.6,30.1
"fis",5915.9,5135.9,2701.3,2730.5,4457.8,4784.6,4499.7,4530.4,2213.4,2475.2,1658.1,1549.6,13852.1,5210.2,2506,2579.8,3586.3,3813.8,2995.9,2813.4,1361.3,1805.3,1551.5,1693.7,1181.6,1307.4,1274.1,1355.9,835,768.2,1235.3,1456.1,3411.3,2917.8,5234.1,6964.2,1710.3,1621.8,1372,1737.8,872.3,1008.1,1951.7,2273.7
"fixA",252.3,216.3,100.5,48.2,204.2,154.7,183.4,163.2,52.8,46,406.1,80.7,144,4538.4,191.2,43.1,183.6,141.9,299.1,269.5,210.4,79,1044.3,366.6,253,263.9,145,302.2,40.7,202.5,277,49,200.6,136.9,539.9,368.1,378.3,422.8,351.2,28.5,126.8,104.7,355.5,1135.7
"fixB",354.8,416.8,464.1,371.8,556.5,379.5,811.2,493.5,454.4,281.9,1189.7,1003,595,1929.5,979.3,788.8,719.8,682.5,1061.7,954.6,1187.8,705.4,2782.7,2226.5,581.7,496.1,424.1,407.7,262.7,306.7,560.5,447.3,403.6,397.7,560.6,715.3,620.1,525.1,570.4,355.1,550.8,1417,2872.7,3468.3
"fixC",340.4,394.6,93.9,239.2,52.5,248.8,365.7,420,132.5,182.7,930.7,367,265.4,7457.5,299.8,247.3,86.5,94.4,500.9,425.8,441.3,493.9,1317.5,1139.7,318.1,474.6,420.5,313,326.1,704.5,481.4,312.1,217.4,392.1,391.7,297.9,308.1,362.7,330.8,171.2,233.9,440.7,1489.9,1723.7
"fixX",254.1,117.8,127.5,163.4,131.4,61.2,88.3,149.9,67.4,149,459.5,124.8,196.2,5265.8,227,104.2,168.5,85.3,214.4,425.5,187.9,187.2,528.8,352.9,134.1,202.8,337,143.7,283.4,463.3,331.9,98.5,86.7,77.7,216,212.2,331.4,570.1,294.3,137.9,400.7,220.6,323,351.5
"fklB",6010.1,6055.5,2673.9,2566.3,2462.4,2378.9,2141.3,1837,1787.9,1716.5,2074.1,1242.7,11061.4,2190.5,4166.1,4863.3,4135.9,4213.5,3179.6,2811,1332.8,1875.1,2451.2,1728.9,3938.1,3408.8,1364.1,1168.6,870.5,810.8,928.7,1190,1556.3,1292.6,6797.5,7859,6707.2,6502.7,3633.5,3801.6,2023.7,1443.4,3052.5,1585.5
"fkpA",3928.4,3846.9,1753.6,1842.6,1142.9,1598.6,1341.1,1662.9,1188.7,1145.2,1191.3,1437.4,7010,12184.6,3240.6,3494.2,3516,3756.7,3015.3,2962,3470.2,3620.2,1849.1,2058.8,4584.4,3430.1,2040.7,1810.3,1051.3,1029.7,1152,1257.6,1756.3,1624.1,7458.1,9459,6399.8,4004.8,3954.4,4218.8,924.7,1348.4,2069.4,2499.5
"fldA",8127.3,8094.3,8029.7,7634.1,8536.3,7015.2,6322.3,6721.9,7246,7448.5,6666.2,8368.6,3830,1392.5,2299.1,2746.8,2434.1,2350.7,2283.1,2811.2,2639.7,2613.3,2802.4,2000.1,7375,6981.9,6032.4,5884.8,4298.2,4703.4,4310.3,5230.2,4744.1,6004.5,3138.3,2623.1,3754.3,3558.1,3394.8,2646.7,2481.1,2361.2,1205.5,1210.7
"fldB",1415.1,1265.4,1038.9,1023.2,1067.2,1147.4,1286.1,1193.2,1247.7,1086.8,1993.1,1561,2680.1,1197.1,1634.8,1276.9,1495.6,1720.2,1410,1142.2,2075.8,1931.2,2060.8,2811.5,1538.5,1643.4,1426.1,1229.3,1637,1418.2,1442.6,1611.9,1395.3,1333.7,1872.2,1863.8,1634.3,1486,1575.2,1648.7,1215.3,1633.4,3211.7,3400.5
"flgA",14116.6,12293.1,665.2,792.4,552.9,603.9,605.1,694.5,786.2,745.3,1234.2,564.9,662.6,1562.8,680.1,880.7,707.3,781.2,871.7,904.4,1065.8,1051.8,1389.5,1117.4,8690,7627.9,4909.9,5907.8,778.6,899.1,786.5,819.5,698.5,635.3,707.8,576.4,509.7,847.2,531.9,774.5,885.7,837.3,1616.2,1555.1
"flgB",28527.6,34445.3,511.6,429.7,52.9,43.2,53.5,128.4,349.9,459.7,57.1,78.8,166.9,2771.1,43,64.1,55.2,135.6,153.4,149.6,50.4,51.2,180.3,159.1,26729.6,27543.8,17044.8,18255.8,412,441.5,141.6,126.2,56.1,58.1,295.9,280.6,369.3,302.8,40.8,48.9,62.1,159.1,215.5,190.7
"flgC",34027.7,47178.4,703.2,829.4,458.5,394.6,393.9,506.2,576.5,1038,1060.6,261.1,251.1,1809.4,139.3,172.8,147.4,335.7,353.2,184.4,968.1,938.3,785,1477.4,36986.7,38347.2,27748.2,28787.8,1064.2,1080.6,877.4,828.3,556,132.9,326.9,302.6,361.6,357.6,119,236.9,169.5,595.6,972.4,399.6
"flgD",35107.3,39102.8,769.3,814.3,590.4,537,755.1,524.2,736.7,799.3,1101.9,775.1,1001.9,318.4,947.9,891.9,546.3,680.7,804.1,887.4,955.7,869,1916.1,1009.3,31601.5,34140.9,28513.1,23694.9,928.4,917.6,836,679.7,628.2,384.2,995.9,545.9,898.2,955.3,723.3,859,1599.3,1128.2,4660.6,2123.1
"flgE",33377.4,46031.4,784.4,707.1,87.7,326.6,471,264.7,474.7,726,361.5,185.1,777.2,80.6,223,385.8,389.2,331.1,481.3,510.7,542.4,399.3,303,232.1,37146.7,41753.6,34608.1,28314.6,788.6,704.6,482,246.2,294.7,274.3,485.1,300.6,334.4,477.4,581.2,343.9,274.4,116,469.2,384.5
"flgF",27656.3,29061.8,717.7,714.6,490.8,667.7,510.7,474,956.9,1107.4,489.6,591.6,629.8,53.9,584.2,601.5,571.2,933,721.5,616,1262.6,802.3,804.7,1540.1,20061.4,20780.5,15754.1,13964.5,814.1,872.9,599.6,436.3,789.5,525,445.2,333.1,397.6,283.8,421.5,669.3,916.5,685.2,3145.5,1528.3
"flgG",21718.9,22340.9,644.5,612.7,619.4,419.2,397.7,454.6,516.2,602.4,1604.3,583.5,1022.8,303,518.3,577.6,654,670.5,627.7,527.5,525.7,724.4,380.6,523.6,18280,19654,14888.9,14722.3,1134.2,968.8,727.5,634.6,638,555.4,826.7,683.4,490.4,893,660.9,765.7,959,874.2,1486,1490.8
"flgH",9333.5,9471.7,188.1,201.8,73.9,108.7,344.9,104.3,150.2,164,329.1,193.4,448.5,321.9,219.1,210.8,185.2,260.9,126.5,236,375.6,267.3,225.6,91.6,7327.5,7106.8,6019.5,5242.5,99.9,167.3,252.6,108.2,164,127.2,270.4,195.6,178.4,335.1,78.8,152.9,325.7,149.9,1119.5,647.3
"flgI",9314.1,9262.8,24.3,34.2,26.3,26.8,33.9,16.3,21,30.1,74.5,26.1,95.5,6737.9,60,62.4,56.2,45.8,61.5,77.4,112.8,49.8,77.4,133.8,5329.8,4800.3,3746.1,3263.7,35.8,35.3,44.3,19.2,27.4,39.5,216.4,45.1,31.2,171.1,62.5,44.4,58.4,62.4,247,155.8
"flgJ",5345.5,4659.2,543.7,576.2,586.6,409.4,701.7,471.1,600,540.9,1024.6,999.2,981.7,948,596.1,630.4,563.1,624.4,742.7,992.5,884.5,861.5,1161.9,1331.7,2893.7,2753.2,2721,2266.7,517.7,641.8,582,517.5,491.5,533.4,681.5,666.1,551.6,672.4,556.1,930.1,905.6,895.8,2832.4,1976.7
"flgK",13817.2,13537.8,1303.4,1401.5,919.7,860.8,1176.4,781.2,1057.5,1087.9,1252,859,904.1,3797.1,770.1,956.5,660,759.4,789.6,862.5,806.6,1032.2,1251.9,1649.8,11357.2,13286.7,22130.5,20009.3,20458.4,18965.7,10900.6,8343.1,1079.7,1065.8,603.2,571.2,447.6,599.2,705.3,814.5,1285.2,1125.6,1536,1770.4
"flgL",6178.2,6249,419.1,385.7,378.2,298.1,168.6,186.1,399.6,430,570.9,238.3,164,1184.1,129.8,68.1,435.4,300.2,261.7,542.8,447.1,413.2,221,551.9,5298,5996.4,9383.5,9146.7,8368.4,6450.4,3175.5,2460.3,486.3,402.6,508.8,303.2,260.1,130.2,155.8,122.8,499.4,590.7,241.1,210.1
"flgM",18897.2,20695.9,2007.1,2272.7,934.7,1164.8,924,1018.9,1071.8,1155.9,1246.6,1215.7,980.9,2205,1039,955.1,958.4,927.8,836.5,932.6,1229.1,1087.1,2249.3,938.4,15505.5,17504.4,24209.1,29084.2,32635.8,31408.1,13699.3,11349.6,1334.7,1519.2,893.8,666.2,997.5,1276.3,838,1199.6,1189.9,1433.5,2429.2,1296.6
"flgN",13738.6,13258.3,1673.1,1650.5,879.1,882.6,711.7,744.5,774.1,743.5,993.7,704.4,780.2,910.3,1008.4,1114.5,1064.5,873.2,976.3,1087.4,968.1,942.4,1623.6,839.7,11124.6,12328.9,17866.6,21032.3,23101.2,21988.1,9941.1,7913.9,1234.6,1574.2,664,756.4,1052.9,942.2,1242.3,765.5,1060.1,880.1,1877.4,1593.4
"flhA",2514,2880.9,61.1,78.3,136.7,36.9,61.6,54.6,64.2,29.7,140.6,72.4,209.6,282,163.7,277.3,297.3,225.9,295.9,161.1,56.7,54.1,121.6,188.2,1092.2,983.3,587.7,455.2,47.2,75.3,49.6,66.8,31.2,30.2,149.5,177.7,322.3,296.4,321.9,210.2,92.8,85.3,151.3,139.7
"flhB",3668.1,4183.6,297.8,332.6,156.5,345.2,392.1,106.2,383.3,348.4,573.9,211.4,146.9,409,491.3,358.7,642.2,686.9,363,231.5,312.7,981.1,525.4,575.8,2307.8,2654.9,1928.6,1503.6,929,746.3,542.6,457.3,111.4,130.4,752.9,420.5,576.7,580.9,574.8,891.2,1119.6,1192,783.3,599.1
"flhC",3778.9,4345.6,2475.3,2947.9,1277.7,1487.4,1680.2,1582.2,698.6,839.1,1096.7,420.4,939,477.1,593.4,464.5,554.1,576.4,358.3,489.3,403.6,392.2,881.9,498,3675.7,3402.2,2882,3038.5,2375.8,2059.6,2619.7,1821.7,3284.9,2762.7,643.1,763.8,492.3,704.3,527.5,615.5,738.6,663,624.9,445.9
"flhD",10690.7,10330.1,7130.7,7077.4,3689.1,3839.4,3792.8,3954.7,1960.2,1790.5,763.7,529.8,4380.9,17.6,1392.3,1331.9,1808.5,1828.6,1213.5,913.1,492.5,709.9,719.5,706.7,7136.5,6327.5,7463.2,7789.3,5706.7,5640.4,5599.3,4649.7,6824.5,5743.6,3501.9,3881.1,1785.7,1847.1,2782.8,2525.1,2683.1,2466.4,1443.2,1360.3
"flhE",1857.8,2491.6,192.8,227.8,272.5,290.5,153.5,195.5,174.5,99.3,513,209.9,563.9,1133.4,534.6,296.3,492.8,309.1,397.9,574,469.1,770.4,907.6,1021.3,1605.4,1472.8,795.5,786.8,417,330.6,354.4,383.8,382.3,241.7,265.2,312.7,416.4,540.6,488.8,609.1,634.2,703.7,1564.4,1493.5
"fliA",27829.2,34682.6,1252.5,1083.6,415.2,319.3,251.9,284.3,670.5,513.6,778.2,453.4,504.3,264.6,609.5,490.5,405.3,443.6,470.2,606,543.1,192.9,568.5,1046,24641,27018,34628.5,33139.7,23720,20261.1,9038.7,6552.4,400.1,484.2,309.6,314,506.1,429.4,445.3,680.5,593.1,782.4,728.4,363.4
"fliC",33855.7,44625.4,4342,4759.9,1326.1,1409.6,1248.8,1579.2,1977.9,1970.7,1666.1,1846.9,367.3,466.4,207.3,271.1,206.4,62.6,102.5,284.6,253.5,311.2,729.5,1055.5,43761.3,50376.3,89171.9,78240.4,76549.4,64302.7,32835.3,26553.9,2444.4,2583.3,163.3,236.3,188.8,103.8,171.5,244.6,418.3,279.4,457.5,644.4
"fliD",21623.5,20838.6,949.3,947.2,241.8,225.1,175.3,311.9,276.6,266.1,452.7,386.4,320.9,348.7,258.5,229,186.5,149.4,293.2,185.3,224.3,115,507.4,345.1,17061.4,17373.4,34474.1,33894.1,21343.5,16797.7,7558.8,5916,543.8,606.6,272.3,320.2,330.7,305.2,342.7,418.9,317.5,385.4,63.4,649.9
"fliE",10959.4,8449.9,565.2,520.3,622.9,387.6,291.8,377.8,598,634.9,1308.3,1164.8,526.4,376.2,793.5,738.7,721.5,818,569,1112.3,1166,1165.7,1917.1,2140.6,3621.1,5433.4,1708.4,1455.2,424,469.7,604,573.5,345.2,402.7,729,475.2,609.7,597.9,330.1,782.6,764.7,810.2,3639.2,2367.6
"fliF",8974.7,8965.4,876.2,720.6,911.4,765.7,1003,912.6,877.5,958.9,1605.9,1073.7,681,55.2,1157.8,1244.9,1197.5,1103.5,1020.1,1427.4,1561.5,1114,1892.9,2256.8,6003.6,5970,5822.8,4793.5,450.3,898,788.5,656.9,856.6,870.6,862.2,846.7,776.9,707.2,974.6,1043.3,1148.4,1211.7,3228.8,2251.2
"fliG",11480.3,10715.9,590.2,673.6,577.7,627.8,717.1,493.8,737.7,718.5,1246.1,1502.2,779.4,422,1021.5,909.4,673.1,723,969.9,873.7,1724,1231.2,2498,3020,7381.8,7699.1,6052.8,5456.4,1039.9,860.5,862.5,916.8,838.4,699.4,813.2,610.9,991.9,854.3,698.9,792.8,1255.5,1403.4,3061.5,3347.2
"fliH",6655.1,7140.5,307.9,341.3,502.4,317.3,424.8,562.7,487.3,474.1,1111.8,1062.7,293.6,5112,624.6,522,523.3,424.4,598.6,848.4,1082.3,660,2135.6,1802.5,4740.8,5456.2,4416.7,3979.6,474,307.7,455,614.4,576.6,369.6,369.3,246.1,309.5,329.8,349.5,338.3,771.9,747.8,3342.2,2559.3
"fliI",6115.4,5377,252.4,338.2,180,220.7,362.8,245.6,175.6,183.3,408.2,354.3,538.4,819.2,584.1,328.8,377.2,383.9,373,335.8,555.4,514.4,595,250.3,3015,3049.6,2372.4,2210.8,282.1,142.3,266.3,215.6,326.3,275.8,355.3,341.1,276.2,255.5,396.2,478.3,447.4,725.8,216.8,232.5
"fliJ",8807.2,6721.6,58.8,175.9,129.6,45.4,54.7,46.8,72,50.8,382,343.8,137.5,89.7,79.5,45.9,60.7,49.1,193.5,44.5,409.6,209.1,470.9,716.8,3986.1,4728.1,2964.2,2883.8,161.3,92.7,172.9,235.4,181.8,28,42.9,113.4,80.8,225.9,169.3,276.1,78.6,291.8,1283.5,1007.5
