"","1770","1770 | 1","1770 | 2","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","270","270 | 1","270 | 2","570","570 | 1","570 | 2","870","870 | 1","870 | 2","1170","1170 | 1","1170 | 2","1470","1470 | 1","1470 | 2","1770 | 3","1770 | 4","1770 | 5","2070","2070 | 1","2070 | 2","2370","2370 | 1","2370 | 2","2670","2670 | 1","2670 | 2","2970","2970 | 1","2970 | 2","3270","3270 | 1","3270 | 2","3570 | 3","3570 | 4","3570 | 5"
"yaaW",8.445209988,8.49484373,8.525303211,8.363521714,8.52517054,8.320330535,9.443938757,9.267685777,8.790578042,8.946240068,8.670692743,8.820763619,8.775274129,9.460178512,8.859946246,9.136284505,8.969204284,8.966790036,9.028454568,8.631556882,9.098870526,9.683900114,9.648175288,9.508877778,8.485873591,8.987660668,8.53694953,8.85540492,9.504871159,9.136800738,9.214326986,8.797151549,9.109238848,9.026973295,8.979100727,8.497865832,9.402429183,8.733811457,9.346891058,9.166227941,9.418244832,8.774424138,8.082888023,8.421887877,7.724479535
"mbiA",9.787267773,8.934420715,9.47641988,8.344557461,8.424459967,9.48099591,9.474643732,9.435309463,9.498176802,8.448132735,8.700892356,9.198344721,8.663577798,8.117114348,9.19335632,8.437324304,9.857792569,8.327895262,8.232449026,9.124710669,9.215935595,8.365767151,8.891932541,8.409451865,8.883569554,9.598203914,9.282258972,8.588999565,8.883176882,7.948667118,7.601306717,9.102218446,9.379812317,9.057951891,8.614637343,9.632586294,9.372840691,8.559662097,8.29762576,8.653626737,9.087736299,9.009728417,9.457475861,9.152725347,9.586592392
"yaaI",8.855519076,8.832322657,9.670097159,8.766299356,8.368082661,9.009456766,9.816049579,9.403520991,9.360677462,9.401089854,9.448711753,9.407214479,9.355608743,9.189191607,9.583270363,9.599143603,9.329784297,9.068610059,9.37951623,9.187098082,10.00840003,9.655529291,9.942859675,9.607916099,9.422717171,9.192925308,9.094061474,9.647798065,9.633966413,8.200305642,8.434444522,9.034054432,10.16604907,9.808314391,9.57273282,9.03882258,8.953076529,9.284569028,9.290771962,8.897466707,9.10870485,9.091392164,8.998774314,8.677726928,9.298906131
"dnaK",13.93642567,14.27686585,13.89343208,15.38772332,14.15546601,14.91327282,13.38822355,14.11488762,14.1044561,15.97614551,15.94001129,14.88616438,15.49229494,15.98883377,15.41594337,15.90978354,15.13576762,15.95948413,15.24043758,15.57055429,14.84643429,14.15210903,14.10271789,14.54039755,15.26143536,14.88954596,15.03447036,13.76094427,13.72947187,14.3443498,13.80151053,14.11699877,14.45760069,13.78272082,14.30852068,14.94519116,13.33373976,14.0650644,14.39069953,13.65660122,14.04484989,14.85214103,14.65068115,14.74522404,15.76948079
"dnaJ",12.86064235,12.48710853,12.16914692,12.83522496,12.40136851,12.58179275,12.40142516,12.73262342,13.07487447,12.83064377,13.10958459,12.17335887,12.6414531,13.14678816,12.60331541,12.90356288,12.43271891,13.11097885,12.86082703,13.23946074,13.4453753,13.08212178,13.46201429,13.49260544,13.12725029,13.09198546,12.97014646,13.20024882,12.6639146,12.99207474,13.13115076,12.85334941,12.46989936,12.37027037,12.31230206,12.77983734,12.71830452,13.33609501,13.10648014,13.21992703,12.85654558,13.40964753,12.02890836,12.67994692,12.55119121
"insL1",13.55940214,12.25566198,11.86027734,12.04445273,12.4976391,12.16700083,12.62806317,13.15878133,12.5123822,11.98523796,11.89876824,11.78751037,11.42102329,12.69099171,11.48037593,11.91497485,12.28811383,12.04693588,11.849216,12.0892406,13.30555295,12.46267157,13.50662562,13.01238016,12.56524596,12.46993202,12.15467739,12.86282615,12.9977456,12.71676363,13.00213801,13.22282219,12.42584549,12.90837702,12.42047467,12.54750832,13.18019227,13.33365531,13.21602435,13.28258885,12.83834829,13.4087078,12.16994232,12.84758266,12.79291684
"mokC",8.099161916,8.042921803,8.913207288,7.780870434,7.979337557,7.834068005,9.192804237,7.867984491,9.170914518,8.516674356,8.883836186,8.562731558,8.614511542,7.67873503,7.91330605,8.34038936,8.407565148,8.249149463,8.523185784,8.079633586,8.422537709,8.190036982,8.375995722,8.490807146,8.473547786,8.242526962,8.434548364,8.643422684,8.834344471,7.591873874,7.640046437,7.855231093,8.038440597,8.671774915,8.53842776,7.993514027,8.483061244,8.160670251,8.310060557,8.364807736,8.52944453,8.412290294,7.740637997,7.89676047,8.254477991
"nhaA",11.38058121,10.7004675,11.06235266,12.03034734,11.35384385,11.34672195,12.38071289,10.19310449,10.00696045,9.956938166,10.29004157,9.890030137,9.758234927,9.00073401,9.962583794,9.319465131,10.44268337,10.3643809,9.820805553,9.907929362,9.354192452,8.977034861,9.382515307,8.398008142,10.44929897,9.540969989,10.51719926,9.742963249,10.25775531,9.141734373,8.710180828,9.725944335,9.895979686,9.330335513,9.444183984,10.60970969,10.34150228,8.577236603,9.68590723,9.059676728,9.630126674,10.03011635,10.52895773,10.5465076,10.3737493
"nhaR",9.970789701,9.928672006,10.55503557,10.36352327,9.791089452,10.06721958,8.296797908,9.255673177,9.511498994,9.757095208,9.915036777,9.330254224,9.463643346,9.664264277,10.12528641,10.07117238,10.02473506,9.944215487,9.765535668,10.25027991,10.41579137,8.970596471,10.41590907,9.458389379,10.13530091,10.16593652,9.6681064,10.57155198,10.25923521,10.11431884,9.858285308,10.33431737,9.819649333,9.278945123,9.399137375,9.418784478,9.190230045,9.863772104,9.958390065,9.352887754,9.531166424,9.436700861,9.914165079,9.947480422,9.956543951
"insB1",11.85743833,11.1178884,9.387101337,8.85311367,9.350108035,10.94770947,10.07859264,12.13344977,12.08835124,9.588626631,10.02405931,10.58226882,10.03338852,11.92098596,10.54409427,10.55862141,11.62445,9.655279283,10.6843436,11.35013285,13.66441852,11.92362718,12.90200946,12.38948256,10.58532723,12.30235399,10.22900333,11.09150655,10.98644541,13.9225316,11.71215453,13.03234143,12.23611059,10.49727657,9.993767808,10.60225601,11.77253041,12.73023976,11.70288015,12.50450583,11.3384989,12.31885952,9.921308693,9.498628429,9.649086984
"insA1",12.76115341,11.25504313,10.67895141,10.45749241,10.89030711,11.85309419,11.52768378,12.31011961,12.0407619,11.36390655,11.44380109,11.40396794,11.39240393,12.71200767,11.42604473,11.514998,11.92451946,11.31803773,11.73471218,11.96570754,13.7186304,12.08637826,13.57216092,13.05329906,11.46036841,12.19997679,11.3232783,11.96997379,12.2288825,13.10313647,12.32440882,13.21381064,11.95647788,11.56757015,11.29594103,11.68196332,12.32842921,12.91892602,12.21387346,12.7288519,11.9888657,12.63127744,10.8451614,11.15241727,10.9298521
"rpsT",14.53478946,13.69680905,13.8702764,13.29390833,13.8162991,13.33973031,13.41062297,13.93734572,13.86867107,12.53610911,11.46785018,12.56431188,14.10916541,14.04668893,13.69041487,14.26052563,14.15122212,13.86220889,14.82484206,14.38175023,14.28753773,14.58691674,15.34039061,14.81856663,14.16870015,14.20470943,14.14258843,15.07129466,14.99665584,15.02374546,15.32876025,15.39185775,15.19576102,15.67046087,14.89912825,14.52098987,15.54990869,15.46572401,14.81508449,15.6221455,15.583139,15.40525998,14.31510288,14.34615655,14.50153668
"yaaY",11.24237611,11.77622405,9.651662953,9.764759558,10.27927219,11.42607511,9.395395898,10.52055305,9.99931933,9.873888986,10.2781991,10.50945767,9.57357981,9.465199293,9.832031328,9.840225416,10.84299107,9.829810368,10.04903328,10.13250993,11.62874472,9.095229058,10.43773225,10.41987079,10.22644171,10.67267729,9.995003131,9.212366318,8.797424598,10.77919672,9.633303004,9.567202482,10.31607203,9.93827911,9.638317076,11.16047777,10.84282422,10.16449111,10.07118723,10.74142743,10.12067528,10.43692844,10.8041258,9.713089029,10.22012937
"ribF",12.19539216,12.71321432,12.80650843,12.06630015,12.13678965,11.89231046,12.46979215,13.35595954,13.02047177,12.97945684,13.17340562,13.81379339,14.00459481,13.0853613,13.69149928,13.47270156,13.3997676,12.39642766,13.39365838,13.37838853,12.97826934,13.22002756,12.08859884,13.38382709,12.74861842,13.15772146,12.45973622,13.15363114,12.72800555,13.6262872,12.97615194,12.08575815,12.98917877,13.07928428,13.3191217,12.39566456,13.08852073,12.61050271,13.0204172,13.1010095,13.09797785,11.9632011,12.32761016,12.25434396,12.14941207
"ileS",13.57910623,14.34437069,14.17016868,13.96310464,13.99294147,13.91223148,12.98960589,13.0611193,13.08411117,14.14235838,14.17611027,14.72056911,13.91851427,14.20643157,13.77789859,13.60611617,13.38019013,13.59757579,13.31086652,13.45184453,13.3086443,13.29744167,12.52288093,13.44047737,14.14026387,13.54384986,13.61626568,13.55578978,13.66589233,13.8955283,13.57155489,13.17102499,13.10193303,13.21195451,13.52726953,13.32210508,12.93737233,13.30941613,13.11831409,12.78042902,13.07298361,11.97646773,13.71236637,14.08332782,14.03570361
"lspA",12.86834413,13.07511952,12.57655522,12.32812911,12.3688121,12.27257813,11.94643115,11.55164708,11.85126147,12.55165198,12.4810573,12.70714045,12.07669906,13.11512599,12.24194134,12.09795821,11.75885978,12.24812479,11.4617774,11.79677853,11.43393524,12.83726301,11.73511472,12.35911382,12.57740713,12.70454206,12.34881499,12.12645636,12.33241337,13.26475123,12.06310722,12.16927754,11.9347311,11.79580103,12.36185383,12.15588175,11.77602246,12.28507981,11.85107999,11.53606166,11.63305351,11.44166386,12.25377224,12.37220204,12.04541056
"fkpB",12.42278968,12.09142026,12.15855097,11.49716254,11.82908491,11.37111836,11.59702732,11.25214547,11.49763727,12.14291081,11.55539446,12.15515535,11.92349418,12.62594261,12.08235385,11.8664041,11.91110823,11.90083416,11.93653483,11.54587347,11.4606318,12.64558224,11.42813215,12.60088092,11.91911821,12.3081228,11.91976954,11.96394977,12.34858627,12.68711894,12.07021084,12.16239088,11.88551774,11.84595244,12.07475796,11.84433567,12.15337545,12.1374789,12.36969317,12.42671294,12.00818301,12.0228006,11.93102606,11.47431647,11.08875764
