"","0","0 | 1","7200","7200 | 1","0 | 2","0 | 3","7200 | 2","7200 | 3"
"yfdM",21.1121265723663,56.4929917626019,43.4113384783255,34.2967508011614,32.8996424529941,25.4571674801574,41.6429393741419,43.1114744597021
"ygiF",128.89031040726,194.011720513331,174.853152864563,195.361178746952,256,168.897012578931,248.999666537545,259.573626826247
"yfdG",6.36429187003935,7.5161819937121,5.69620078238829,2.9690471412581,4.08404850282877,12.7285837400787,3.73213196614723,2.28152743173685
"kefB",9.57982963695143,24.0839479585771,12.3805199483391,35.506223106171,34.2967508011614,21.7056692391628,17.1483754005807,21.4068408765778
"yecF",388.023441026662,362.038671967512,48.1678959171541,42.5179460510884,282.087709664412,19.6983106135187,198.088319173426,198.088319173426
"mog",24.0839479585771,21.2589730255442,25.6342360828679,143.012753673244,28.246495881301,21.8566441080703,87.4265764322813,90.5096679918781
"yehC",6.45313407377701,3.31727818325777,3.70635224756148,3.09512998708478,9.00046787751048,8.87655577654276,2.92817139189125,2.65737162819302
"yihV",42.8136817531556,39.1244888861462,34.2967508011614,43.4113384783255,41.0696287220129,16.4498212264971,28.0513830821131,37.5307183754201
"yidK",9.18958683997628,13.0864329369245,6.63455636651553,7.16020056742378,10.5560632861832,25.812536295108,6.36429187003935,10.1260527517622
"pnp",2556.5809641505,3281.18221860709,837.531707963168,968.76303024701,2628.45623820883,2272.39827879495,3590.57703451048,3281.18221860709
"soxS",12.817118041434,23.917587978159,158.68258559219,278.204124806671,138.141214272567,10.2674071805032,116.970425629363,116.970425629363
"astB",19.4271181503208,30.484415937406,18.2522194538948,11.55143356418,16.564238781462,21.555737229851,7.88986163594687,8.33972608672897
"yagN",3.38698124945011,3.73213196614723,3.38698124945011,2.39495740923786,2.75108363627949,10.4831472308669,2.17346972505212,2.2657677705916
"acnB",7.46426393229446,12.0419739792885,7.88986163594687,13.0864329369245,13.1774562762812,12.7285837400787,8.57418770029035,11.6317801385625
"tdcF",49.866533098272,43.1114744597021,22.6274169979695,24.5900029006082,13.6421582682873,8.75434961008592,28.6408022696951,24.420147343369
"phoP",537.454942015011,734.185086984103,935.763405034906,1341.84284555096,504.9511447006,113.771863189321,739.291748107518,685.018908050489
"lolE",484.381515123505,445.721888407616,240.517823798787,151.16706066298,617.373607777669,326.287520593731,455.087452757284,504.9511447006
"yhbX",18.5070109424846,16.7954669379691,10.9283220540352,12.0419739792885,8.93829710457776,16.7954669379691,23.263560277125,20.5348143610065
"sad",28.4429657973302,41.0696287220129,76.1092553601741,147.03338943962,85.6273635063112,104.691463495396,68.5935016023227,59.7141114583557
"stfE",24.5900029006082,18.3791736799526,20.8214696870709,17.6304818540258,15.6707247613908,54.9481879320163,14.9285278645889,15.242207968703
"eptA",377.412919626522,242.190757561753,144.007486040168,128.89031040726,410.147777325886,252.4755723503,388.023441026662,398.932264786176
"marA",33.1284775629241,23.5883074766576,415.873226934392,1260.69187926519,1296.13475222557,109.137266146298,254.231678831881,245.571614547268
"puuE",10.1260527517622,8,18.6357373834953,6.91629785046292,9.00046787751048,6.91629785046292,8.39773346898454,8.05564440045375
"secF",243.875327499248,467.881702517453,56.8859315946605,95.0095085202592,430.538964609902,508.463357663762,342.509454025245,374.80593816208
"fumC",52.7098251051247,39.3966212270373,38.8542363006415,38.0546276800871,324.033688056392,186.108482217,88.6470059590992,70.5219274161031
"cysU",4.85677953758019,4.85677953758019,9.31786869174765,12.9960383416998,6.82107913414365,16.3361940113151,8.39773346898454,11.9587939890795
