"","0","90","210","30","90 | 1","270","30 | 1","150","390","30 | 2","210 | 1","510","90 | 2","270 | 1","630","150 | 1","390 | 1","630 | 1"
"rihC",1.907052737,2.225892841,1.679187217,2.041596953,2.486084808,1.405800928,1.853664947,2.218741884,1.335299291,2.719350172,2.41482789,1.5255164,2.673206235,2.179972636,1.482362982,3.133086494,1.343120722,1.252754426
"dapB",18.22458218,11.93464195,5.963565608,17.36237179,12.87486392,3.75805481,14.33676921,8.793154154,1.535884194,33.56675763,20.85288976,2.917228937,28.44626197,18.77206625,2.136969313,16.21755906,4.627272591,1.87069929
"carA",93.92578986,50.51049633,39.655493,102.5924964,57.83664346,43.57768934,71.58130368,42.03827876,22.22364272,81.04856487,29.26141046,8.729602968,64.39207376,23.05379512,5.625291106,39.33036435,7.29579794,6.429402907
"carB",70.10128768,55.95591396,31.27824216,78.03353208,54.90951727,31.52838809,64.16363853,41.49419993,13.93614598,92.70286222,45.25910775,7.060833773,94.93548798,36.8578251,5.818401482,76.61134821,8.83245696,5.6907432
"caiF",4.507234526,5.163631532,3.157134674,5.144902346,5.323921636,2.231841834,5.06344022,4.543041877,1.66702292,6.552603162,4.841718011,1.655293936,6.749462789,3.773735627,1.465258798,6.374880137,1.931113583,1.540746824
"caiE",1.736482214,1.824985888,1.668542229,1.741775803,1.930294451,1.450427446,1.859143425,1.796521297,1.223673648,2.368100019,3.192040433,1.533162573,2.945114479,3.021292236,1.489799274,3.106065316,1.548189247,1.326645137
"caiD",1.420200099,1.566791042,1.547736731,1.514569269,1.801884308,1.444903957,1.485273286,1.680957304,1.217048451,1.795434253,2.309206323,1.351894338,2.189226433,2.259203693,1.210486726,2.402012292,1.290498674,1.186011778
"caiC",2.657130055,1.862816601,1.236551443,2.62587569,1.86942357,1.245764074,2.278766499,1.545531905,1.167298694,3.260859104,1.576851192,1.231790838,2.746294645,1.41999965,1.20683949,1.805296662,1.192158017,1.178974792
"caiB",2.594069317,1.887752038,1.475329105,2.703270508,1.991661174,1.559548945,2.241159638,1.745356854,1.323752009,3.499749186,2.179151387,1.662611825,2.581094275,2.037100656,1.570995509,2.436160604,1.512434941,1.674470849
"caiA",1.947600224,1.545745335,1.410802087,1.888410537,1.516509288,1.376683557,1.640405428,1.452556226,1.300872257,2.548076809,1.832079125,1.577043628,1.805401768,1.797498523,1.450682853,1.890714554,1.458813009,1.364898981
"caiT",1.264260665,1.243693273,1.167036942,1.273230757,1.214026247,1.158883004,1.256486735,1.189821667,1.150232828,1.346890286,1.24512878,1.185073452,1.251508252,1.245868563,1.1618611,1.242592533,1.132161682,1.129417884
"fixA",1.438777691,1.248530765,1.16509285,1.434329107,1.369252021,1.190802999,1.337123314,1.244308374,1.164596216,1.420704463,1.244560872,1.155555556,1.291611906,1.314987504,1.174421192,1.205239539,1.166024413,1.086011816
"fixB",1.3745097,1.278163046,1.220586107,1.415760263,1.233364993,1.211107753,1.308955382,1.216398909,1.179209127,1.730019243,1.351117183,1.352758221,1.328259222,1.366954063,1.277218207,1.246379565,1.188258057,1.117810383
"fixC",2.575206951,1.638295789,1.376753862,2.397154834,1.846299865,1.406354261,1.962210026,1.582003505,1.274236231,3.037893664,2.321802929,2.114514102,2.388487261,2.518314305,1.935135656,2.126608726,1.673911146,2.14827251
"fixX",2.136773839,1.532859638,1.289478421,2.198269688,1.679672076,1.432483961,1.89459708,1.515974598,1.317859328,2.99713096,2.173211932,1.835388383,2.264784584,2.271383969,1.8470769,1.927701659,1.688351593,1.829449181
"yaaU",1.813246456,1.349132783,1.232311382,1.753638086,1.434545548,1.31908097,1.692274344,1.395830231,1.236727998,2.479967996,1.686525217,1.555001927,1.7004296,1.618458342,1.460751784,1.455884047,1.379550052,1.443439974
"kefF",2.198143138,1.573992007,1.277362562,2.366167648,1.603383918,1.249981274,1.896517583,1.355673614,1.24518888,3.30411405,1.599041508,1.204439997,2.334942632,1.46262942,1.160088814,1.896857632,1.11138333,1.113716942
"kefC",5.087227251,3.051390003,1.462060196,5.592742835,2.956945311,1.312500876,4.399276508,2.149256042,1.153890405,8.351887744,2.930848057,1.407982759,5.467385829,2.658316215,1.259821266,3.74372336,1.324989084,1.281232411
"folA",2.911617012,1.553950419,1.193651203,2.65875058,1.556372088,1.2076696,1.927536479,1.309116415,1.175374438,4.363985796,1.48744977,1.269180111,2.574891525,1.353342163,1.193969705,2.074208649,1.199871055,1.169141885
"apaH",9.23517243,6.400801146,1.692778952,12.01888565,7.982545992,1.382661615,8.988786077,5.431492882,1.278872293,16.16713255,5.814861131,1.323438608,14.72389262,2.725685018,1.286460869,17.57116941,1.391906849,1.277667762
"apaG",14.12055422,9.035150735,1.729964253,17.121539,9.379880631,1.430703151,12.60255353,5.951530159,1.203842441,26.83806027,8.00173894,1.473071926,22.8346365,3.796375088,1.442572401,22.06288234,1.572664299,1.587284477
"rsmA",35.92024039,19.66311609,2.052797111,37.37064085,19.1497416,1.510712265,25.56737027,9.337628916,1.2769517,47.43737997,16.10857,1.624330868,47.84016088,8.215248333,1.555826223,39.83266085,1.915655804,1.85569036
"pdxA",20.1387314,13.18072819,1.432322587,21.68498665,8.832713465,1.26373019,17.27112637,3.703557066,1.171332718,32.13558748,10.37252039,1.459528304,37.83847285,4.766318728,1.416279987,22.75305543,1.49203285,1.431359156
"surA",32.33401084,16.77484062,1.739593198,36.37722345,11.19744231,1.569468032,34.04334774,4.841837963,1.299403004,129.1684754,77.48887264,3.912255575,141.1099328,54.35577671,3.443459407,109.7204546,7.159219946,3.740213915
"lptD",28.44846735,6.642011745,1.462422079,27.61125358,4.972402174,1.284123668,15.42849718,2.536038647,1.177463329,51.19014753,6.90808868,1.69537619,27.30158577,4.552288661,1.6625862,11.44861274,1.888522354,1.942357233
"djlA",5.756592473,1.631155777,1.229256569,4.574359909,1.514956613,1.195430872,2.383118515,1.283795116,1.149462721,17.80197444,3.557588788,1.601459855,9.648910977,3.126049337,1.496457285,4.671057061,1.595539397,1.513118388
"rluA",4.2214497,3.280161318,1.731216453,4.682483832,3.519941344,1.632390067,3.757139827,2.451270497,1.343336004,9.259827077,3.744482705,1.683259252,7.126814338,3.500438246,1.838786108,8.055010977,1.940994189,2.042918727
"rapA",10.11612137,7.39900296,2.72573941,10.88010094,7.893151328,2.125525352,8.653464364,5.169014316,1.490527718,13.63297154,6.485525537,1.997370179,14.8045965,5.668484506,1.858950637,11.26068966,1.902306361,2.101209205
"polB",2.527174901,1.29137024,1.240464049,2.362791005,1.269605794,1.142072729,1.653080818,1.187978794,1.188740314,2.405346765,1.320689009,1.229439938,1.561001629,1.254113263,1.192007043,1.436880853,1.205640638,1.126757568
"araD",1.565547676,1.470499746,1.450313629,1.698551862,1.495126296,1.447009924,1.523832407,1.329249403,1.454848135,2.070705508,1.694403825,1.567957969,1.694139447,1.711422326,1.39643113,1.612385829,1.334065532,1.250176581
"araA",2.114638393,1.86830304,1.456176202,2.418114696,1.997084616,1.465023798,2.200213247,1.793859761,1.342193069,3.000087297,2.300909331,1.75758214,2.683394505,2.310488382,1.758893874,2.331152178,1.503368587,1.676609173
"araB",1.639087884,1.270534196,1.236541788,1.570848294,1.354416819,1.206561689,1.482033787,1.277591357,1.186827769,1.707263925,1.411442818,1.407175572,1.400781577,1.382013636,1.309290016,1.417114764,1.24846783,1.253950553
"araC",5.284852344,1.61105513,1.195245914,3.677600871,1.534674499,1.193456244,2.285856095,1.339719631,1.16186065,5.255963682,1.428975389,1.31848807,2.190987911,1.338732898,1.255929485,1.59167014,1.190371577,1.189916212
"yabI",2.88695781,1.381729535,1.181604657,2.375401872,1.268406253,1.208127888,1.681794126,1.229227082,1.202835626,3.94912577,1.491904019,1.352618176,2.129834851,1.528827193,1.426387698,1.714668515,1.359046622,1.442524698
"thiQ",2.636036025,1.710858223,1.251901319,2.487242528,1.672381927,1.422789747,2.11902122,1.524598262,1.361501766,4.018845529,1.69556176,1.6914007,2.49270786,1.566962426,1.582700838,2.09794604,1.51086027,1.54592941
"thiP",2.958800923,1.561672784,1.229888323,2.701068216,1.456529256,1.158085479,1.941394488,1.257815281,1.170058537,4.425122559,1.554168481,1.453191175,2.681060333,1.44239135,1.347481765,1.778308551,1.231273623,1.200839845
"thiB",5.785843112,2.221870833,1.533972184,4.57703209,2.056183248,1.46325583,3.346633125,1.673675181,1.383453933,5.277359434,1.736677785,1.553688643,3.017928834,1.570616825,1.477842354,2.063504012,1.36152237,1.442570169
"sgrR",3.786211248,1.613223676,1.248802817,3.363336875,1.531341612,1.203095339,2.178168581,1.303333923,1.248599815,3.860447162,1.407900483,1.362685051,2.321243448,1.38895371,1.289949226,1.583007737,1.252791386,1.259772084
"setA",5.279132674,1.598204167,1.224113511,3.953969874,1.724650767,1.334830128,2.275136096,1.466216938,1.24786468,10.12110608,2.021613265,1.647007024,4.414890338,1.938062679,1.636935384,2.262020765,1.491535337,1.639004332
"leuD",119.6220657,117.4747163,67.47310314,147.7154762,124.1054731,59.79346029,129.1464412,93.43645047,15.93206465,180.4726027,148.8597301,28.5703963,194.5198291,141.5429752,17.25449743,152.3828606,31.71119914,13.23097329
"leuC",141.9902622,134.309216,93.89198385,191.840089,167.718071,88.22199696,153.6585283,121.3362697,26.28341396,206.088496,199.8395195,53.7525646,231.2424401,182.6744797,28.67891943,214.4514727,54.5688596,22.71448291
"leuB",169.3707604,140.968511,99.56184208,201.4879678,163.1851671,83.98259733,172.1744462,113.9452786,21.73926077,251.0134626,196.6800964,51.20626528,250.0581799,195.0830918,28.06982075,207.2126602,55.73868924,22.32070928
"leuA",93.78209788,29.71989169,9.068927303,89.09118671,29.98630394,6.263896479,53.07573357,18.34428626,1.93502549,120.6225017,21.86206289,2.663805309,73.36642332,13.79043554,2.579819868,22.91165823,2.644284429,2.608791839
"leuL",2.38181208,1.185544159,1.093907303,1.674094686,1.159414884,1.113242797,1.389062279,1.137985386,1.134526174,2.459537497,1.449213197,1.310713974,1.542500291,1.253525395,1.221210589,1.328115669,1.214167984,1.140540324
"leuO",1.393758193,1.149285653,1.064900238,1.333395899,1.117244486,1.102007711,1.200861291,1.147466921,1.094831033,1.595456606,1.234920556,1.069409948,1.353352863,1.202619234,1.103263834,1.213000509,1.075322852,1.072529816
"ilvI",66.79714314,21.15337294,2.789852706,65.3282114,17.96451125,1.69543581,41.50614702,9.544604468,1.256615933,95.50301525,16.31637233,1.467960362,63.27533139,10.78117108,1.540695196,25.05745685,1.56141134,1.561944964
"ilvH",23.25014285,7.286541752,1.761268644,27.64424352,5.381272938,1.447111543,17.8368333,3.294523364,1.388235452,35.16284643,4.870168986,1.782461796,17.0828996,3.515746296,1.671877722,7.255544123,1.684603847,1.45580996
"cra",10.30284846,2.275636659,1.231151867,8.278365134,1.875445016,1.305239612,4.600038886,1.492282184,1.227085066,17.05698756,2.024794439,1.515165949,6.794437304,1.734058517,1.397418548,2.398896491,1.379433852,1.351779829
"mraZ",13.64105752,2.27059969,1.309840224,7.908442027,2.106919483,1.30868652,3.880020909,1.59658004,1.232209392,13.16801082,2.0421423,1.585805878,5.554563738,1.952582634,1.574015106,2.372779114,1.56148457,1.719895707
"rsmH",10.44181658,2.141945384,1.28206398,7.58446316,1.94226669,1.272223254,3.805425378,1.645326306,1.234602427,13.48364205,2.129070881,1.518247473,5.211943675,1.888225278,1.499071901,2.70805604,1.575690629,1.625123545
"ftsL",26.94715947,4.062523034,1.673217238,22.66801404,4.30113503,1.533750927,10.20903487,2.931802567,1.470979499,45.98433261,4.315798475,2.204555654,19.74443611,4.014303485,2.281757397,7.718229073,2.342733712,2.276801461
"ftsI",3.935531996,1.811520345,1.246855744,3.928462653,1.52523553,1.295669259,2.768559138,1.386878853,1.258420749,15.33476126,1.920110036,1.354802992,7.469268028,1.611536548,1.315344261,3.069700192,1.313014827,1.270025101
"murE",18.56426385,19.77451931,2.374383265,23.69601009,20.50771623,1.786357712,21.19660734,10.37066281,1.243493454,30.16601018,6.68513737,1.58166989,38.55191043,3.207751979,1.503498911,18.20557486,1.49743388,1.565847388
"murF",11.21054439,13.42369022,2.662766932,12.99237385,16.25762688,1.679812562,11.66877134,11.19719728,1.213699287,25.54665777,11.43213681,1.38234349,31.62764072,4.280343867,1.383745175,34.7528205,1.432786064,1.3875659
"mraY",12.94543802,12.94103392,4.545891107,14.66631818,19.20417689,2.246192412,12.83164857,14.85630208,1.239709294,46.46101948,32.87441915,1.939957713,52.9319017,12.2732287,1.800055105,74.37540633,1.845163623,1.810163071
"murD",10.52791852,9.558417658,5.349013716,11.32017593,12.89100263,2.257875399,10.15452283,12.37547476,1.344593306,26.03937924,36.70320427,1.459033751,31.4907765,16.88242763,1.41400238,53.52963907,1.66456419,1.441782395
"ftsW",11.62862125,9.914624302,15.8416455,10.87511575,14.71286296,5.145814223,9.737457443,15.9015156,1.248941077,36.44971136,64.61531199,1.74047039,42.46712599,40.00360689,1.659162351,71.97545137,2.234303226,1.729391641
"murG",23.05118942,16.17878639,22.80234844,23.78294448,22.51357859,9.619798886,20.25071592,23.96827924,1.738703829,32.90537123,69.09021006,1.952228714,41.1361214,51.53843963,1.757628821,65.24482991,2.258700401,1.818848189
"murC",9.780026593,9.085253515,10.49206575,10.96025235,10.39743534,7.66518644,9.539709993,10.20030197,1.264953134,20.45584224,36.30737186,1.461067136,25.43171204,33.07738792,1.419996628,34.75709017,1.999540363,1.483377147
"ddlB",13.97084633,13.30691977,22.49245964,15.5686894,18.68159121,24.54817491,13.18482912,17.94292841,1.741418761,26.58503307,53.75006998,1.515405922,33.15132609,63.33446074,1.528319698,47.72653901,3.837359742,1.612386226
"ftsQ",15.17732808,13.12273627,28.22086986,15.51833212,19.99285075,32.51084259,13.16844707,19.42313671,2.393033176,27.15688441,73.63840958,2.353053582,39.26019521,100.0276119,2.023395994,58.70980497,8.528795093,2.481024339
"ftsA",11.86839946,12.17990215,21.79925425,13.09962079,18.1416966,26.60544867,12.19062118,19.59388847,3.616354135,17.7458781,51.15408881,3.068665767,21.53724721,67.06305834,1.928848062,35.45077739,13.28610649,2.429443439
"ftsZ",112.0759408,101.0607464,126.4654633,132.7326575,147.4037011,151.9535377,114.0188318,117.9626586,92.56276098,178.1630966,240.0001505,110.546447,199.9862218,277.6385005,57.66781994,250.4629164,183.9530238,72.57057661
"lpxC",44.81542105,31.53134876,35.61253213,41.01064424,38.75804408,41.86579561,37.85256984,33.79596036,23.03609015,99.06310871,110.6458821,29.6544133,85.38946299,117.5074476,12.78554134,102.8369408,72.89855558,13.42918597
"secM",6.54377819,3.029128234,3.369174691,5.873201169,3.429321696,4.52884974,3.917164967,3.337416597,2.285475767,16.66661819,10.24965541,2.17684351,12.15435509,11.14929797,1.537416746,8.401165029,7.582701941,1.655222863
"secA",21.83430467,12.40051792,4.91196356,27.96654137,10.77289121,5.213044514,20.50845117,5.633881722,3.154988031,68.57039164,19.43903906,3.629368837,50.97367414,18.82479616,2.626601193,25.11605314,11.04451238,2.88444728
"mutT",2.808620334,2.152686932,1.40958408,3.394967724,1.869581121,1.536745726,2.831694782,1.521644121,1.435371861,4.851725492,2.000733125,1.245006816,4.006062596,1.985275768,1.111759644,2.33451803,1.6810239,1.107644295
"yacG",7.559566484,2.86053513,1.343605024,7.493495337,2.477347759,1.433911205,5.090107202,1.730106023,1.358558016,16.7428631,2.448080193,1.506966196,9.989631656,2.243847708,1.398246491,3.801613111,1.90783315,1.485776585
"zapD",10.16929878,2.678324366,1.273974333,9.53665473,2.052089683,1.315266471,5.024493448,1.53504126,1.260894661,11.5668432,1.974856101,1.512488904,5.584691837,2.036075553,1.44497082,2.250029833,1.505494757,1.503213953
"coaE",5.788468156,1.519401575,1.223761364,4.420695613,1.43666858,1.161261325,2.257166528,1.25273225,1.247923599,4.224049453,1.432168532,1.437379887,1.962234625,1.373895919,1.281157765,1.424430992,1.300565895,1.239352911
"guaC",17.93234246,15.40772184,12.12534742,18.15589759,17.42112015,12.3423287,15.02416738,13.07032896,7.46337927,28.37609319,22.61293552,11.00145019,19.00953706,19.62010617,10.8340582,21.63699853,11.38211477,10.37747137
"hofC",1.706504138,1.233949289,1.149025276,1.566002949,1.189130525,1.110502332,1.246672562,1.140523818,1.136220528,1.874396091,1.256098785,1.188489141,1.407035621,1.171979714,1.194413265,1.314644227,1.162914092,1.168375326
"hofB",1.614785509,1.178347711,1.163552118,1.475350917,1.204103699,1.184191655,1.32518616,1.200799601,1.146153957,2.111942286,1.2957881,1.309726813,1.42134397,1.290226615,1.251637633,1.395841958,1.1649306,1.198609904
"ppdD",1.857853693,1.345067976,1.370443104,1.651616301,1.452489218,1.342992133,1.697563727,1.315761795,1.323045967,1.778055171,1.419454295,1.512965522,1.401916691,1.357400244,1.357104046,1.334800236,1.246540604,1.197931794
"nadC",9.757119434,3.406962096,1.358754881,7.77490232,3.309148537,1.283368104,5.662579351,2.305379878,1.183371448,11.9438769,2.283163129,1.477285369,6.304932057,1.733996986,1.283837281,3.232237852,1.280765395,1.184535072
"ampD",7.458208726,3.197672664,1.606140271,6.84750469,3.281084482,1.363609804,5.026602628,2.421984033,1.216448787,18.45062541,11.08489851,3.34954633,12.96158823,10.31428731,2.568589255,11.80204791,3.754125781,2.402437166
"ampE",9.947140504,4.689475325,1.971056186,10.26759332,4.372712772,1.625860682,7.235476499,3.22399798,1.380253855,26.79608997,13.96334775,5.138987611,16.44707564,13.19331731,3.465178195,11.9866505,3.599825841,2.79375194
"aroP",94.47057637,48.80877999,21.45435395,90.31233396,57.73726692,17.21731627,68.94410119,35.49750527,3.901020017,182.1667139,170.2544939,71.95214104,173.213455,183.9475202,62.53814033,200.3681322,98.82030826,78.53929621
"pdhR",2.410904992,1.202607607,1.159260498,1.836589332,1.277542898,1.209190358,1.391537572,1.239029427,1.253083334,2.575325715,1.389673153,1.384935911,1.538289349,1.384200888,1.278216806,1.340722487,1.181583168,1.189029521
"aceE",102.4991732,101.5659293,79.60948635,131.2718482,123.3539856,72.14455923,114.2303514,93.22960892,18.22061603,167.9697087,155.2438542,23.84792594,181.0582684,147.459954,11.0838667,173.832101,47.18004014,11.70748621
"aceF",64.23491211,59.77815462,49.00114257,77.95950375,73.73675297,45.83875048,68.76953446,64.17225402,14.41053355,151.9137212,147.0665436,29.54044301,168.7178482,138.7023355,13.83059261,163.5657789,50.15227589,13.51405391
"lpd",169.6633634,159.362078,145.0455882,198.4578113,188.0371845,136.882014,152.1370281,152.8050034,61.90706908,173.902643,205.9121659,51.35923545,197.7946043,192.6289427,34.13623154,229.433729,86.34038232,38.74869929
"yacH",1.509942543,1.199182161,1.173177765,1.486545289,1.19582731,1.187886834,1.306967923,1.242228481,1.145477742,1.891873599,1.409938952,1.386641389,1.583075903,1.308759422,1.266477764,1.491247429,1.148177835,1.214322578
"acnB",152.1427566,133.9943505,110.260109,183.017451,157.0199137,113.7044363,137.1684488,120.0886449,51.38121943,190.7102352,177.1375401,60.93729685,200.4202377,169.5072321,54.00416233,231.6834263,83.76314348,62.23045356
"yacL",3.948911392,2.300766763,1.64263234,3.98282421,2.576320644,1.625659018,3.113497751,2.111569916,1.401609971,7.816021203,3.128036138,1.821458406,4.85818761,2.576801413,1.605204599,3.698075233,1.658700552,1.530528818
"speD",36.44929073,30.65177701,29.0519627,44.22315146,41.95265264,32.26381262,33.98670253,32.10848211,17.38664087,47.95796673,53.3714988,25.18546944,43.86355359,57.62199418,23.97898055,51.35428525,35.9349926,33.90138439
"speE",65.86668986,56.92098581,48.81371858,82.55663038,66.81840139,59.48112525,62.72658563,49.15097186,24.81135294,65.6016111,73.25254614,36.58483162,66.20578235,81.99162661,31.35338622,72.50234048,42.52379416,50.4560193
"yacC",2.14644449,1.220489308,1.143943662,1.75770455,1.224276235,1.117090824,1.355340814,1.148497119,1.173258196,3.43339877,1.544077591,1.358229918,1.821714225,1.435692099,1.37742327,1.520728498,1.228520247,1.309122399
"cueO",15.2363183,11.32907753,6.461686305,16.50081551,11.59487916,5.714055785,11.78683907,8.507694636,2.748205841,34.71557088,24.97225667,7.339751526,30.17172672,23.3618937,6.523972017,27.42452643,7.856542058,6.510260982
"gcd",17.49296176,11.23195227,3.583475001,18.78576155,12.00870406,2.729189131,14.4735285,7.483694718,1.470920166,56.50005693,17.28255569,2.18969737,51.51978665,15.94454069,2.175336625,27.59409295,2.228329015,2.234453234
"hpt",32.38629761,15.66982496,6.331229699,31.8934353,16.26582479,4.047710238,23.38764701,11.25792198,1.808721113,70.54655322,32.80720209,4.688758584,52.35792708,31.2970994,4.46492428,41.89078787,8.558992907,4.150989723
"can",40.96203102,20.90261578,6.898609289,40.75366979,22.6813574,4.291249589,28.02693564,13.65238076,1.493759507,67.06251847,21.72188068,1.913234641,50.26494526,15.81156529,1.87301264,29.81474507,2.69585132,2.078973482
"yadG",22.83578822,18.66612125,9.933095789,28.06389702,21.01935622,8.086418113,20.2804346,14.44935585,2.85992984,43.0548569,26.30988218,8.638087701,38.7408905,26.61487405,6.913096968,29.118238,9.471882242,8.837074845
"yadH",16.75048011,12.06248532,5.817085443,18.95509846,11.93288589,4.577036097,13.61288823,7.632436047,2.114371332,36.13873558,17.69711607,5.005238308,28.78131342,16.80460263,4.676505399,23.00059455,5.653147168,4.268779993
"yadI",3.414794567,1.88938007,1.178794901,3.544127292,1.729651843,1.201582875,2.696404922,1.355090067,1.179067014,6.536452135,1.511366821,1.270047098,4.612400157,1.426429395,1.224919495,1.991922656,1.215983532,1.202519018
