"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"carA",11.91607748,11.58394092,12.54319613,13.2493466,13.20428968,12.47062955,11.86657923,12.37676947,11.9704029,13.14051119,13.96788241,14.72080467,12.72790104,13.04689324,14.4379571,12.71019727,13.40848762,12.22428075
"carB",10.16507849,10.47379597,11.33159406,11.41960386,11.8152695,11.89357166,11.45100511,11.14053824,10.91318224,11.35165733,12.23480997,11.29986774,12.1468735,12.39581687,12.55128064,12.230348,11.10272767,10.62081479
"caiF",10.37441082,8.953622076,8.79987047,10.58624964,10.83839828,10.73158193,9.558162744,9.470667032,9.595044081,8.749011246,9.551672635,8.267651016,10.09726033,9.952002284,9.277002767,9.479966519,8.902638721,9.156406255
"caiE",7.809684916,6.791498917,6.89848591,7.831308884,7.011644315,7.869350687,7.883424961,7.72465695,8.12341362,7.895032817,7.88197161,7.538952471,8.500368732,6.9729451,6.494144623,7.871849277,7.218574577,7.180677586
"caiD",7.520002236,7.744238074,8.298752949,7.705484599,7.046143507,7.585506169,7.529458284,7.107759798,7.674647276,7.34351893,7.535430398,7.459943701,7.325745915,7.673992419,7.763443872,7.805718101,7.209774037,7.942859067
"caiC",8.509280195,8.325437681,8.807260681,8.812004114,7.717364122,7.97614727,8.911231637,8.224195116,8.237329574,8.994018988,8.753225365,8.935982211,8.284671403,9.374491148,9.195845738,9.086213812,8.949270028,9.391616673
"caiB",8.230901961,8.300749485,8.367245405,8.093100893,7.804274665,7.670650616,8.15616232,7.893851948,8.077655705,8.248799781,8.115347387,7.992348975,7.882112298,8.720952776,8.567326275,8.193460834,8.443226196,9.036473462
"caiA",8.17888237,7.526736323,7.896252641,8.532849374,8.7317935,8.125209341,8.509051874,8.507670766,7.808538757,8.76534941,8.648083866,7.809210346,8.318308767,8.648675453,8.512332173,8.433755462,8.99483985,8.78867123
"caiT",7.883229337,9.2720717,9.0898989,7.691431226,8.922718398,8.222996716,7.603042952,8.465400189,7.740651697,8.043973256,8.332382059,9.051128503,8.32072524,7.930821399,8.76435041,8.095253031,8.717912361,9.168318053
"fixA",8.247523524,7.216481431,7.63434815,7.73173721,7.444082257,7.80877466,7.195214365,7.616462397,7.141274565,6.860299716,7.211447545,7.376371167,7.083517226,7.342546858,7.165326428,8.435877565,7.424530292,8.846272816
"fixB",7.393302833,7.863976066,8.052581293,7.415699475,6.998114253,7.019337346,6.852597175,6.836185469,6.737493895,7.309524198,6.710271809,7.160297599,7.362866625,7.404248286,7.788284387,7.051674493,6.469939036,6.815430484
"fixC",7.576586285,7.262220487,8.4944876,7.346013031,6.789074399,7.167699345,6.838822863,6.377815733,6.834224189,6.910110393,6.91976024,6.683955049,7.502035639,6.679799927,6.970585517,7.048795099,6.84966926,7.24300918
"fixX",7.607658193,6.972375943,7.736478202,7.72868469,7.708464105,7.757035253,7.445350462,7.071782694,7.068724223,7.420684147,7.054637825,7.482705737,7.834380162,7.160856351,6.997239597,6.851664822,8.225289887,7.449554383
"yaaU",7.632075785,7.490396932,8.09510768,7.530038496,8.035434275,7.622815208,7.425741128,7.496769625,7.354290382,7.947952903,7.365016778,7.083415857,8.535864859,6.968030954,7.157539548,7.665559631,7.309490739,7.695916828
"kefF",9.660645559,9.305918203,9.824047734,9.311286513,10.37516098,10.04416965,10.21671923,10.65275315,9.833524133,9.339873509,10.12840774,8.66762343,9.722710597,9.222921376,9.098880448,9.841308015,9.662946832,9.890377353
"kefC",8.51048533,7.686867936,7.232270844,8.536276504,8.020734009,8.463758737,9.574325691,10.0629486,9.010919878,8.523733282,8.852315749,9.282698921,7.61336489,7.862080181,8.129209286,8.951533869,8.428097886,8.832576499
"folA",11.22763416,11.16095194,10.90608737,10.90102491,10.0381035,10.14448283,10.89892266,9.22462408,10.79258081,11.46025298,11.44499471,12.93714022,11.0648543,10.75783492,11.14333514,11.44347297,10.83953748,10.69490504
