"","0","54000","108000","162000","378000","0 | 1","54000 | 1","108000 | 1","162000 | 1","378000 | 1","0 | 2","54000 | 2","108000 | 2","162000 | 2","378000 | 2","0 | 3","54000 | 3","108000 | 3","162000 | 3","378000 | 3","0 | 4","54000 | 4","108000 | 4","162000 | 4","378000 | 4","0 | 5","54000 | 5","108000 | 5","162000 | 5","378000 | 5","0 | 6","54000 | 6","108000 | 6","162000 | 6","378000 | 6","0 | 7","54000 | 7","108000 | 7","162000 | 7","378000 | 7","0 | 8","54000 | 8","108000 | 8","162000 | 8","378000 | 8","0 | 9","54000 | 9","108000 | 9","162000 | 9","378000 | 9","1242000","378000 | 10","594000","810000","1026000","1242000 | 1","0 | 10","54000 | 10","108000 | 10","162000 | 10","378000 | 11","1242000 | 2","378000 | 12","594000 | 1","810000 | 1","1026000 | 1","1242000 | 3","0 | 11","54000 | 11","108000 | 11","162000 | 11","378000 | 13","1242000 | 4","378000 | 14","594000 | 2","810000 | 2","1026000 | 2","1242000 | 5"
"yaiA",1279.69,620.403,735.872,833.618,987.277,1602.25,398.693,1054.9,860.263,782.89,1528.83,433.906,1059.7,821.879,1013.08,2252.1,532.949,995.587,754.204,1029.3,2326.96,548.841,826.58,841.748,889.73,1950.87,635.693,1062.81,843.069,903.768,794.925,728.752,1122.66,1019,1009.98,1363.77,482.904,1154.02,658.797,974.524,1544.24,509.766,1040.18,945.171,873.728,1679.8,641.619,805.897,1002.75,1043.96,1070.42,1013.4,971.47,952.515,975.122,1010.99,1021.04,356.766,982.483,792.036,860.34,880.539,793.007,1058.71,763.348,1025.97,975.93,1584.69,441.946,670.885,807.598,851.018,911.162,774.786,848.619,1129.87,1211.74,957.061
"aroM",252.068,421.979,298.015,207.25,318.05,210.777,348.494,198.384,307.35,373.165,262.409,348.863,368.72,275.334,321.972,246.177,281.492,255.314,220.725,234.465,216.037,318.862,301.455,321.848,351.079,124.378,295.576,226.384,276.806,443.444,276.743,257.396,285.235,229.986,277.827,222.432,213.774,274.739,160.372,203.941,292.716,269.118,265.445,232.942,237.557,202.201,314.781,159.162,293.907,256.841,309.299,391.965,285.464,329.476,311.01,397.749,256.93,223.296,200.376,277.089,315.153,214.3,270.017,369.665,240.179,302.729,321.252,228.237,291.738,209.877,257.98,218.865,193.596,336.128,330.53,280.872,289.602,242.65
"ppnP",2042.03,1043.83,2799,844.767,1512.78,2000.69,786.106,1416.04,1291.64,1292.9,1682.35,725.293,2808.15,984.06,1771.91,1687.37,803.975,1126.2,775.122,1488.12,2063.54,671.436,672.94,839.323,1688.21,1559.45,742.645,1194.73,951.134,1417.58,1145.54,808.458,2299.97,1899.89,1529.17,1285.34,503.293,2374.13,563.219,1487.73,2110.51,794.719,2270.37,1223.44,1074.13,1841.05,1095.97,625.283,1367.24,1231.16,1096.67,1015.81,1352.31,1049.34,831.286,941.236,1856.68,579.118,458.411,878.416,1227.94,1036.42,1471.17,1240.23,918.111,992.522,919.943,750.29,661.903,668.134,723.689,1166.35,933.477,1042.83,1032.06,1113.74,1175.38,1035.64
"ykiA",69.2284,107.48,124.573,3.09396,126.176,84.6358,40.3875,44.7778,142.693,131.305,127.655,37.5499,197.858,17.219,56.8508,38.9121,60.0628,180.133,42.3129,68.2126,36.8997,127.386,156.936,45.916,136.219,18.2327,53.4002,51.1164,37.3722,242.003,50.2407,47.7044,160.079,83.7294,100.206,58.4511,19.0851,143.41,1.55621,57.6122,102.383,44.6126,162.737,64.5785,59.018,29.0294,36.725,35.0787,45.367,57.0341,80.4911,28.5494,39.3029,22.0225,20.5251,23.9971,61.8325,3.17224,1.99986,44.3522,33.0842,58.5535,48.6914,59.4813,3.18091,22.8218,38.2444,26.215,46.424,33.6115,20.9199,3.49544,30.8483,30.8925,48.9211,20.0785,35.2518,25.8849
"rdgC",1415.44,2282.59,1355.41,3548.2,1383.99,1409.31,2561.21,2307.47,1935.87,1488.22,1355.77,2221.92,1677.83,2452.43,1396.71,1179.99,2484.25,1994.89,2938.77,1368.31,1187.9,2118.54,2417.22,2410.69,1226.58,1492.96,2010.87,2212.46,2425.67,1228.89,1922.1,2352.73,1533.24,1643.16,1574.75,1837.17,2669.93,1559.54,3248.3,1792.56,1641.37,2189.61,1661.88,1955.15,2100,1192.6,2268.12,2994.92,2175.68,2108.92,1900.88,2198.9,2249.4,2722.07,3358.15,2596.99,1616.69,3056.48,4509.68,2731.2,2457.08,2368.61,2015.99,2416.38,2637.96,2439.17,2938.53,2306.89,3026.18,3408.5,3095.89,2819.42,2729.44,2850.77,2439.97,2367.14,2609.59,2970.22
"araJ",149.947,185.889,201.95,193.923,144.176,160.232,153.842,136.422,183.903,221.892,281.418,102.873,223.913,85.6311,122.316,157.965,83.2623,200.405,64.5476,93.1379,120.46,235.068,278.82,119.596,162.517,153.533,122.414,104.237,98.8851,296.455,126.121,126.849,198.201,136.91,140.922,107.295,74.0913,133.337,141.978,98.1849,116.009,64.676,185.062,122.44,174.934,151.321,162.189,91.762,100.988,134.754,125.578,140.464,92.2696,102.893,110.103,81.2438,178.267,72.3605,180.004,141.488,80.3226,121.881,91.3068,99.8472,81.1278,126.492,71.0665,130.276,72.3053,65.7583,153.946,87.2057,122.861,122.644,150.584,97.4969,109.663,118.257
"sbcC",786.428,819.735,750.453,876.547,672.425,741.318,934.92,571.625,754.804,713.921,644.881,926.633,863.051,840.658,657.992,556.935,1086.27,775.638,823.082,783.656,552.918,922.744,730.003,712.144,686.118,595.001,1017.13,753.042,762.078,731.535,990.936,979.037,673.491,733.943,676.655,690.001,892.185,599.869,819.253,618.681,806.08,920.503,621.437,783.369,689.64,668.5,990.448,878.944,918.414,816.929,939.115,934.833,974.452,940.276,948.598,914.664,1000.41,1008.54,755.238,1015.98,842.585,833.693,922.976,940.85,902.849,942.109,770.219,803.982,936.145,862.87,871.855,908.16,878.052,809.586,852.779,910.763,997.58,857.056
"sbcD",537.158,686.819,371.788,291.956,329.681,428.923,422.508,187.127,399.933,301.456,424.298,505.29,524.67,347.242,369.92,372.489,668.396,365.972,259.982,396.487,404.602,511.449,373.731,251.331,493.912,256.187,539.477,564.708,283.989,413.494,534.181,600.4,434.35,400.719,359.925,345.284,395.273,414.938,226.33,284.41,590.959,529.777,342.471,485.544,261.662,416.51,717.19,424.563,709.437,435.668,594.284,489.593,563.142,510.469,368.618,540.154,435.736,398.51,381.029,429.279,297.624,405.185,587.344,651.355,406.226,403.276,385.561,335.89,394.555,276.944,293.381,250.963,308.388,374.426,468.458,498.008,659.005,410.18
"phoB",310.245,409.666,563.837,92.3174,184.211,294.782,202.987,367.407,276.517,227.254,292.929,321.693,634.851,183.102,271.578,277.522,380.332,272.535,147.68,248.126,240.489,308.636,257.823,260.609,272.283,117.642,379.934,285.955,182.015,298.206,234.519,289.777,1479.02,348.183,262.071,154.379,160.764,790.108,79.2128,247.611,381.504,230.18,875.744,267.806,183.207,281.42,370.849,156.841,494.255,231.363,247.64,220.779,171.517,171.839,106.488,151.012,227.104,146.726,60.734,173.807,144.039,209.612,181.977,294.928,125.967,141.093,151.52,103.667,212.429,182.065,129.382,111.968,110.45,123.925,173.405,181.277,173.732,100.336
"phoR",116.108,105.983,183.216,37.9611,122.835,90.5571,107.52,107.115,149.775,119.926,101.119,93.9472,199.969,125.678,71.1342,82.5566,91.3187,140.118,85.7986,94.3119,65.5001,130.26,260.276,113.028,90.5225,38.1323,118.293,103.152,104.728,168.433,98.0471,118.065,287.915,86.867,102.833,95.5745,74.3163,174.658,32.563,93.6731,92.4324,95.2607,188.602,70.8818,115.118,74.3786,97.2648,71.8559,151.148,90.9302,107.365,91.6142,91.4876,76.5464,77.8306,76.4893,99.9992,93.1238,115.783,104.147,84.8919,57.6216,88.6989,108.039,88.961,111.121,83.722,80.3159,127.816,88.0044,83.4324,72.5061,39.5957,78.2636,46.4831,94.9393,77.8805,40.8642
