"","0","54000","108000","162000","378000","0 | 1","54000 | 1","108000 | 1","162000 | 1","378000 | 1","0 | 2","54000 | 2","108000 | 2","162000 | 2","378000 | 2","0 | 3","54000 | 3","108000 | 3","162000 | 3","378000 | 3","0 | 4","54000 | 4","108000 | 4","162000 | 4","378000 | 4","0 | 5","54000 | 5","108000 | 5","162000 | 5","378000 | 5","0 | 6","54000 | 6","108000 | 6","162000 | 6","378000 | 6","0 | 7","54000 | 7","108000 | 7","162000 | 7","378000 | 7","0 | 8","54000 | 8","108000 | 8","162000 | 8","378000 | 8","0 | 9","54000 | 9","108000 | 9","162000 | 9","378000 | 9","1242000","378000 | 10","594000","810000","1026000","1242000 | 1","0 | 10","54000 | 10","108000 | 10","162000 | 10","378000 | 11","1242000 | 2","378000 | 12","594000 | 1","810000 | 1","1026000 | 1","1242000 | 3","0 | 11","54000 | 11","108000 | 11","162000 | 11","378000 | 13","1242000 | 4","378000 | 14","594000 | 2","810000 | 2","1026000 | 2","1242000 | 5"
"isrC",1867.45,2534.09,2684.94,1742.92,2368.23,1470.18,1478.99,2562.76,2468.64,2151.13,1342.27,1598.65,3839.31,2608.31,3070.93,1293.3,2495.31,2545.58,1867.31,3071.48,1318.47,1745.94,1877.66,2234.42,2608.07,964.04,1966.52,3802.1,2320.32,2119.73,1798.18,2540.82,1929.05,2579.43,2007.22,1088.97,1709.31,2220.37,2023.91,2369.84,1685.43,2205.44,1769.1,2708.88,1804.22,1234.44,1865.93,2383.64,1772.69,1778.36,2190.55,1872.1,1845.3,1927.09,1407.98,1455.68,1491.32,1741.13,1066.81,1918.67,1483.78,1790,1903.36,2266.15,1446.12,1414.29,1135.73,826.908,1444.18,2042.2,1521.51,1713.66,1721.64,1663.92,1684.06,1831.83,1951.11,1370.19
"mcaS",151.556,236.015,289.469,276.709,291.555,237.135,223.76,195.743,262.4,323.793,265.621,190.653,281.637,251.615,240.591,130.769,214.427,279.684,145.216,223.05,136.537,276.642,359.842,200.562,250.833,145.328,195.482,179.45,168.612,383.237,171.763,138.299,272.351,226.92,193.946,180.902,168.249,209.052,291.2,182.735,114.569,200.74,212.837,227.388,223.984,210.134,183.721,118.458,155.856,121.293,213.373,161.17,94.1887,134.696,103.142,116.068,167.375,141.075,75.8,195.548,155.384,181.696,167.25,150.588,122.887,104.767,139.049,209.56,191.41,104.573,176.302,229.217,179.371,158.321,69.1382,123.467,146.683,120.987
"prfB",5705.32,7610.91,6782.17,12494.8,6273.46,5194.7,10329.6,6952.07,5188.09,6481.58,4043.96,11136.6,5542.45,7459.78,7222.27,4914.25,9314.88,5306.67,9603.66,7386.9,4816.28,8348.82,4974.88,8254.65,6710.33,5993,9822.82,6705.91,8785.21,5748.51,7369.91,8708.43,6627.59,6892.77,6487.35,5166.55,9932.36,6309.51,15050.6,7161.09,5397.67,8567.7,6189.76,7107.28,6385.07,5857.42,8824.95,8531.99,8556.76,7517.07,6931.67,7742.66,8086.09,7452.13,8746.28,7450.86,6168.35,11555.2,13567.4,7639.33,8378.36,7450.44,8399.83,7421.21,7748.54,8515.05,6907.81,7911.19,10167.3,7859.51,8681.99,9769.14,8349.14,7244.9,8258.34,7887.04,7505.23,7707.41
"thrL",520.221,669.332,1017.86,343.783,919.32,597.714,259.534,829.138,1115.65,543.124,512.054,260.331,2225.23,773.03,1304.44,557.366,384.835,742.825,217.249,1008.61,510.228,211.425,204.857,386.664,724.719,209.421,240.633,802.733,282.865,663.127,352.838,401.491,1530.09,1729.9,915.469,180.696,143.433,950.437,133.133,775.61,472.254,315.769,990.913,1059.57,530.046,323.873,356.946,154.065,481.9,471.99,770.542,735.315,513.126,358.386,254.371,323.174,263.713,112.933,158.055,255.166,313.354,316.812,672.703,688.456,248.856,279.841,182.907,95.7691,132.693,114.292,157.35,300.232,337.58,286.507,252.521,489.678,503.406,225.244
"thrA",925.385,2009.35,5326.89,4659.94,6527.3,986.792,1979.48,5026.21,5469.34,6560.15,789.221,1713.39,4062.15,5701.68,7906.14,641.62,1285.02,2937,4803.71,6699.05,568.618,1337.94,2108.97,4763.04,6362.01,535.181,1273.78,3210.32,5402.82,5218.7,1004.58,2232.89,5145.43,6349.16,6711.13,731.75,2181.59,5038.79,4519.99,7384.71,829.644,2354.06,5274.02,6558.58,6519.16,592.095,903.88,2072.21,2924.08,4088.95,3173.08,3176.12,3667.62,2503.37,2070.89,1219.95,828.196,1335.42,2039.02,3250.6,4143.53,3395.06,3688.16,3381.09,3487.46,2857.83,2067.21,589.097,1240.47,2406.51,2387.43,3622.78,2800.02,2913.72,3440.9,3008.61,1854.95,1558.06
"thrB",662.545,1198.63,3447.82,4241.33,5070.79,740.469,1351.88,4425.72,4066.6,5155.7,599.359,1103.35,2398.74,4258.31,5683.8,616.977,782.477,2209.58,4330.35,4739.98,491.346,873.795,1760.98,3722.44,4809.82,643.902,871.363,2086,4246.28,3998.77,708.185,1590.21,3521.74,4729.21,5180.06,647.62,1588.21,3600.01,4682.8,5374.37,613.645,1675.63,3776.41,4614.04,5037.02,494.892,624.675,1658.01,2073.62,2895.47,2342.8,2415.18,2557.81,1673.98,1550.29,841.052,675.483,1163.79,1920.5,2038.66,3309.77,2539,2803.51,2242.83,2304.19,2108.58,1785.13,600.705,908.981,2105.29,2049.56,2941.8,2718.98,2391.9,2366.22,2010.98,1146.32,1371.57
"thrC",602.544,1061.91,2503.67,2882.03,3924.31,683.162,837.522,2270.43,2630.31,3855.41,552.162,862.387,1920.31,2985.12,4095.52,664.941,693.098,1340.83,2570.25,3630.72,519.379,731.372,1189.92,2854.68,3548.41,574.22,670.527,1381.14,2896.18,3106.69,572.621,1186.28,2678.86,3503.13,3942.52,628.49,1136.56,2656.61,2700.24,3867.83,604.155,1238.73,2673.05,3139.49,3491.33,410.796,535.005,1070.85,1633.47,2005.84,1710.96,1773.03,1927.08,1212.38,1081.39,542.308,508.394,828.803,1174.65,1409.59,2234.95,1902.06,1869.1,1930.29,1575.24,1550.2,1201.04,573.694,698.818,1204.89,1424.29,2207.48,2021.42,1537.01,1773.29,1574.79,932.027,951.649
"yaaX",44.3681,168.837,129.73,225.548,158.919,74.5069,70.4055,128.51,205.37,158.722,105.756,19.8276,151.76,140.231,86.782,122.908,45.1719,226.002,92.9129,94.1547,118.549,115.95,280.801,175.86,139.584,96.9091,43.2086,79.7211,132.732,234.903,33.8495,50.03,143.603,152.788,120.423,75.2147,46.0945,108.84,146.943,99.7474,113.282,54.2675,123.574,117.652,142.327,61.4227,62.3465,60.1386,65.664,84.3723,127.117,82.5161,92.1521,77.0441,36.4476,57.7937,62.5002,52.7128,71.5068,93.6517,75.6441,124.196,77.5066,76.2726,90.7627,70.3154,113.376,54.5064,63.8588,97.8853,109.752,67.1274,102.466,105.353,83.8558,27.892,51.7239,76.5364
"yaaA",903.201,979.62,784.95,979.08,780.814,1028.76,937.741,979.631,869.335,789.334,902.605,794.94,793.179,922.076,815.22,878.482,881.075,961.617,1017.68,779.777,912.805,877.532,947.717,932.253,803.736,956.191,808.879,816.837,886.009,742.708,1027.93,940.573,875.632,794.833,875.436,1086.65,982.921,911.748,925.964,971.119,958.18,888.411,965.702,965.547,953.484,817.106,1025.49,1085.9,952.359,1141.45,997.843,1169.7,1093.16,1170.01,1417.46,1155.85,1098.22,1047.64,1189.88,1067.44,1096.06,1054.52,943.671,1069.26,1454.86,1151.95,1361.26,1197.79,1007.45,1038.56,1146.96,1212.46,1036.28,1227.13,1278.46,1215.64,1303.84,1396.88
"yaaJ",159.657,106.475,176.135,214.377,214.741,170.97,119.552,140.404,189.917,214.968,283.479,68.4179,146.24,99.7746,86.9231,177.329,91.0208,266.876,60.7479,127.575,126.947,233.961,331.279,121.345,207.606,154.122,76.3481,124.828,65.2937,275.453,108.164,85.4872,123.482,189.733,100.497,172.214,70.8692,161.147,106.479,106.69,139.705,89.6909,116.972,85.8137,166.885,200.942,82.451,92.0848,73.2906,113.86,165.518,129.683,160.6,105.632,101.111,170.924,193.766,74.4861,86.1027,125.756,68.5188,125.399,125.786,141.764,119.113,149.133,195.651,162.616,33.8948,43.9261,61.3203,65.1043,97.6171,147.772,119.631,152.103,142.29,91.2908
"talB",12996.5,8639.55,10615.4,12855.6,11117.9,15438.2,11900.2,15311,10249,8968.14,14349.6,10522.7,9413.5,13315,10920.4,18736.6,9872.43,11607.4,13343.6,9343.89,16355.8,8024.87,8060.76,14533.9,9275.01,23074.6,10838.3,12785.5,13567.2,7054.2,13583.1,12675.4,10948.1,11701.8,12243.6,20726.9,14533,12595,12361.3,13287.9,14036.1,12865.9,12802.8,12720.5,14305.1,17124.8,10229.6,14397.3,11153.5,12613.6,12024.1,13091.7,12915.3,13112.2,15193.5,15163.8,13647.3,12440.5,13486,11537.5,16704.8,14846.1,11156.4,10947.3,14670.3,13742.5,15883.5,20471,14954,15197.6,15168.6,14093.4,13958.9,14914.6,13697.7,13553.9,12722.1,16036.5
"mog",1098.03,1248.23,911.314,403.284,777.969,1080.09,1003.15,662.398,1027.18,672.09,1006.67,1039.18,985.6,686.176,871.426,1028.61,1425.61,796.981,652.238,816.56,1021.03,1154.52,699.666,796.287,813.773,809.287,1270.51,1061.6,883.202,768.462,1059.73,1184.39,1073.72,1008.12,840.176,798.272,892.299,1209.12,377.706,788.42,1089.81,1163.15,1009.34,977.477,645.621,1090.39,1451.68,936.304,1293.92,999.119,1237.98,1143.32,1103.35,1130.14,883.034,1482.96,1081.81,940.753,644.494,1141.23,863.201,874.311,1068.27,1239.31,1111.56,1016.91,922.671,648.86,977.294,714.882,1019.46,890.651,814.107,873.439,981.441,1237.81,1414.85,1240.24
"satP",141.413,251.795,248.342,212.48,313.102,202.992,196.309,282.137,395.158,351.071,272.964,174.765,269.069,259.226,145.988,226.942,185.659,487.923,164.684,233.311,182.634,384.034,609.998,249.525,249.07,179.361,192.541,232.727,170.269,370.556,164.933,235.37,280.428,281.755,250.498,176.117,263.312,318.232,136.234,256.31,163.31,248.727,274.637,237.514,330.74,188.302,216.692,199.811,209.067,241.467,251.15,211.819,171.252,118.948,127.919,134.249,176.018,167.686,99.9109,241.303,203.604,192.786,121.163,202.772,133.919,139.162,306.143,121.639,183.355,210.514,217.033,214.102,158.578,156.97,165.749,121.778,184.385,152.099
"mbiA",14.9362,50.6525,91.0261,2.71834,99.6051,70.2111,30.6537,20.5689,129.41,129.999,113.049,11.956,115.576,1.12973,19.1343,11.1736,1.95362,188.831,4.81286,6.32613,21.2129,103.813,259.309,49.2736,114.478,35.1014,14.8284,37.8082,4.92857,207.952,4.61247,0.8316,69.2474,10.3661,60.8081,41.3028,24.6028,73.4821,29.4779,11.046,21.3317,13.8451,93.9827,9.98271,56.4539,16.3851,17.7929,24.5595,7.07425,59.9471,45.3083,29.7126,68.1313,6.02212,47.7323,14.2234,57.5591,33.446,53.647,52.8771,1.89413,55.2711,19.0159,23.0643,31.4078,21.2702,91.0551,8.52793,3.19039,21.8778,41.7588,29.4399,1.32761,49.1785,3.38531,1.96961,17.8373,1.47199
"yaaW",104.4,173.798,261.978,325.153,294.435,181.183,210.355,177.183,395.945,363.731,350.712,100.195,272.514,161.598,103.873,119.99,96.6156,429.638,164.606,135.51,69.0548,327.724,673.445,204.071,315.298,105.393,103.08,160.205,128.753,487.976,91.6418,112.804,238.304,147.845,143.634,146.495,118.589,233.324,223.02,99.359,74.4084,97.5149,230.136,149.958,257.356,94.6258,122.652,109.548,122.797,195.614,184.806,144.446,187.077,142.996,187.361,127.161,198.783,98.1667,128.737,262.699,123.657,176.431,158.514,133.096,142.396,133.317,262.687,183.552,114.742,160.693,198.509,178.654,118.933,202.203,114.982,133.065,108.506,101.38
"yaaI",68.7888,103.011,118.893,89.4841,157.673,102.16,49.8454,60.4021,215.853,192.283,162.547,52.6096,102.496,47.2532,38.8627,25.3721,53.8472,260.718,23.1643,51.2911,21.1641,208.31,381.526,58.0939,165.717,20.2392,61.5408,49.727,101.539,294.727,43.455,78.1145,109.137,78.4787,77.5428,70.4849,35.5457,122.102,67.5207,21.6485,21.6695,78.913,164.063,44.7726,173.112,48.8879,33.6561,52.6335,41.9072,102.944,71.1463,67.0685,86.1784,31.3837,50.3773,51.2131,89.4025,51.3916,93.9364,88.4788,60.3191,84.2618,46.855,63.341,59.5689,67.7572,107.41,66.4072,62.5917,34.0372,97.2117,55.37,47.9116,112.179,36.1457,66.3157,43.9844,66.6755
"dnaK",19816.9,4862.58,8761.48,16056.1,11073.2,20317.9,4428.98,7678.79,9763.41,10742.9,17875.1,6709.73,8266.61,11680,11802.6,21191.2,8757.27,7976.85,10765.3,12244.9,19834.4,8491.9,6771.24,10365.9,11290.1,23586.5,8933.58,11412.7,11903.9,10190.3,18601.9,4504.67,9700.5,12888.5,13495.6,26563.8,4459.97,8649.95,24068.4,12369.7,23869.1,4490.21,8695.58,13635.5,11585.2,21528.5,8562.76,9166.52,11927.1,12678.5,12854.3,14416.7,13830.2,14585.9,15533.6,15345.1,23592.6,6098.16,10522.5,12876.4,12522.9,12871.7,13183.1,12663.9,14054.2,13956.8,13515.4,33013.7,6574.26,11206.1,13166.7,12802.3,13820.4,14533.7,14965.1,12896.2,13855.5,15212.1
"dnaJ",6408.83,1518.7,2953.96,5102.38,3533.53,5407.07,1993.9,2578.22,3732.37,3444.88,4769.02,2355.16,2439.07,3869.39,3682.66,4887.89,2774.49,2730.64,3941.59,3845.07,4668.16,2649.17,2418.62,4087.84,3383.99,5654.06,2851.38,3529.92,4227.25,3401.92,5813.1,1651.29,3444.3,4114.8,4325.62,6753.93,1808.78,2821.64,5537.6,3616.96,6336.8,1896.49,2908.64,4560.29,3770.98,5495,2428.72,3188.54,4067.96,3928.22,4095.83,4638.39,4914.37,4619.91,4474.11,4378.8,7403.6,2075.83,3725.49,4581.28,4333.71,4242.51,4455.51,4235.29,4615.14,4358.15,4185.63,7456.41,2506.11,3779.79,4731.35,3980.91,4503.18,4617.56,4949.61,4132.15,3843.91,4231.3
"insL1",2549.06,2303.77,1294.1,1291.96,1612.82,2356.29,1601.82,1156.78,1761.98,1415.74,2113.86,1817.97,1704.76,1217.53,1632.8,1936.62,2463,1365.43,1269.09,1764.81,1995.67,2176.79,1428.34,1708.66,1706.89,1576.1,2140.36,1557.03,1469.27,1765.98,2959.94,1719.25,1891.71,1764.13,1782.38,2180.64,1489.86,1527.22,1251.64,1400.53,3285.83,1765.95,1528.73,1765.8,1359.72,2056.46,2299.38,1387.9,2321.15,1847.66,2195.03,2143.89,1899.63,1925.02,1535.5,2014.73,2948.23,1637.11,1203.05,1955.87,1335.55,1604.19,2093.97,2280.94,1754.81,1496.55,1444.41,2191.6,1801.7,1309.48,1778.42,1429.79,1576.27,1695.59,1956.43,2022.53,2148.2,1406.71
"hokC",56.7231,100.399,83.8205,48.2177,79.4903,45.0622,52.4406,41.4665,85.1416,47.0339,89.5745,31.1986,99.2954,7.16751,47.612,71.3586,38.9042,102.371,44.0859,44.4665,95.9835,95.5566,134.878,58.1399,80.6359,57.389,51.7073,40.2614,38.2882,101.214,43.5255,39.0991,84.8554,70.7208,48.8235,74.1764,39.2533,96.2813,59.9961,52.0098,82.695,46.4928,79.0568,27.5904,47.5564,79.1524,64.7847,31.9306,27.5131,74.7752,58.7649,61.5322,42.1228,62.0085,43.638,40.5017,41.914,30.4426,67.6223,43.5825,44.9645,51.3628,51.0433,49.6995,21.7256,36.3832,62.6915,24.2178,60.6587,28.7602,56.3927,70.5036,22.9094,61.473,47.9434,34.3753,56.3637,29.3342
"sokC",88.2229,328.056,112.014,95.5704,80.9954,81.4697,93.2175,62.0287,125.552,138.373,104.694,80.8072,387.195,67.4112,91.3118,36.689,95.2777,74.4163,59.2212,64.8464,53.0856,109.265,84.5981,44.0145,68.5664,46.5667,69.2307,86.591,36.387,143.543,62.863,102.961,102.678,70.3412,85.0358,31.277,71.7212,112.705,4.40079,63.1484,120.889,72.2351,54.8378,49.414,54.6596,51.7317,61.5787,64.6945,39.0467,37.9862,92.4291,36.0807,76.0929,48.0293,50.1625,54.9885,64.5014,61.0272,162.372,30.5263,28.5266,78.4352,88.0593,67.4956,26.2732,75.5838,86.0514,29.8577,28.1833,98.5986,81.7415,82.1437,79.2831,32.6568,55.7649,92.0774,68.7337,40.2597
"nhaA",801.756,957.142,464.632,299.182,560.61,694.342,474.912,365.55,572.3,473.263,722.65,718.912,796.357,468.969,577.524,737.427,803.493,553.179,340.789,496.149,861.237,611.277,447.393,501.372,553.85,557.732,677.178,546.707,482.089,582.965,726.989,705.549,565.032,665.684,526.172,568.717,455.877,530.946,269.127,479.136,817.482,672.22,505.284,523.056,426.908,761.254,771.237,526.606,798.785,559.92,635.191,726.667,715.741,682.86,507.581,845.98,682.758,530.479,292.41,636.955,489.923,534.321,710.676,722.077,633.47,621.719,578.675,420.368,598.323,472.978,519.725,465.042,476.88,566.704,618.383,687.328,887.989,754.858
"nhaR",714.388,434.174,506.237,1037.92,569.97,801.079,622.325,628.614,657.565,798.788,853.706,537.613,459.088,571.973,475.452,682.576,441.34,761.081,781.227,559.64,679.675,705.676,1136.67,625.061,625.253,826.315,470.294,527.991,479.257,806.43,584.488,462.926,451.648,468.265,562.302,885.063,494.659,657.78,898.313,458.342,530.088,478.18,537.303,467.727,688.918,641.371,424.311,587.765,435.116,639.329,585.835,506.261,515.739,470.484,520.994,340.882,668.248,472.499,1078.68,648.245,619.492,637.485,493.508,484.95,492.723,498.127,683.583,1040.31,480.004,647.994,672.154,583.899,674.082,641.046,532.602,415.015,433.856,454.747
"insB1",567.472,507.95,740.259,273.67,684.176,881.613,726.101,692.607,1186.74,1245.39,1258.22,563.417,617.849,280.169,312.725,663.368,557.83,1339.76,283.16,374.524,605.876,874.865,2659.44,441.247,856.503,557.223,508.384,332.542,279.377,1758.75,498.648,265.762,755.131,506.493,503.445,761.245,320.105,805.967,285.042,355.771,424.196,312.967,797.633,382.196,865.462,499.352,405.529,217.865,425.685,633.701,453.705,411.655,493.008,315.023,364.031,481.61,676.081,421.142,385.323,630.497,296.742,599.682,323.294,439.937,289.428,361.047,854.748,536.714,352.289,303.6,453.731,352.323,278.502,480.54,488.951,454.402,386.125,254.215
"insA1",1003.54,798.621,872.353,207.064,684.175,823.222,544.171,483.138,832.894,652.517,1026.29,711.279,939.773,358.638,647.673,975.35,827.004,805.658,287.08,610.353,1044.8,796.453,600.057,447.248,713.11,732.098,745.902,624.198,387.47,844.934,747.884,615.43,1014.7,804.813,633.183,720.888,394.655,950.892,151.383,617.914,805.656,550.964,872.853,634.127,505.732,955.938,867.402,505.865,821.82,634.354,693.533,673.748,697.31,624.012,416.301,596.985,879.092,409.872,175.193,608.691,445.326,569.124,795.963,728.618,598.552,588.288,583.724,368.651,597.384,330.419,575.056,429.63,467.223,509.538,661.046,748.952,644.633,531.399
"rpsT",4795.58,13253.2,5248.54,7825.91,10426.9,5316.54,11502.5,7266.04,11110.1,7237.83,4511.7,15392,5680.21,12045.3,9552.54,5581.47,11322.7,7514.85,12627.3,9273.09,6278.2,11572.2,5209.52,13676.7,7867.16,4961.8,15339.7,10093.5,12075.5,7217.95,9597.22,15576.5,8758.18,12113.6,11476.9,5279.64,13677.5,7587.31,7631.33,9331.6,5804.07,15450.2,7933.96,11994.4,8790.74,4791.13,13328.9,11247.9,12790.6,10412.6,11323.1,14065.8,10631.9,10482,9509.04,10410.8,5375.25,13743.1,9905.53,10830.1,9921.07,10234.3,10377.5,10702.9,9635.64,10583.3,9741.69,5066.85,14888.1,11844,12887.2,11301.7,10986.1,10600.7,9671.19,10892.1,11370.9,11823.2
"yaaY",60.1767,66.7906,145.349,54.1694,105.75,75.2357,78.0922,98.0883,167.466,137.385,135.986,47.9116,133.229,41.5102,66.1597,77.3003,41.4395,166.167,89.0649,90.1747,107.01,124.949,222.265,52.2284,148.145,121.179,41.5419,61.815,83.9341,203.306,43.2715,58.058,142.274,129.706,91.6776,49.9674,39.3213,173.81,57.8279,47.6595,64.8978,80.0159,155.859,65.4809,155.845,88.6479,30.5143,44.9359,49.5365,94.0004,49.7035,55.4132,70.0048,47.4374,83.9184,38.2843,98.167,29.6303,73.3821,90.0573,60.6107,51.9168,32.2773,79.4177,49.7291,36.7842,85.7231,72.093,64.6856,40.2917,95.0819,39.3365,19.6039,79.2003,37.7176,28.4588,40.1034,16.8637
"ribF",2860.17,3893.8,5706.48,8827.68,4108.92,2609.24,4348.47,4975.08,4067.62,3832.91,2373.37,4193.99,5081.8,4910.24,4699.15,2338.16,4103.83,4224.43,5588.16,4737.13,2244.98,3262.99,3663.48,4950.95,4891.57,2385.92,3910.49,5247.48,5689.08,3918.56,3593.76,5140.18,4735.16,4571.36,3956.48,2480.82,4216.3,4753.4,6850.26,4383.67,2948.79,4747.22,4734.75,5072.68,3605.96,2479.65,3853.44,4651.07,4435.91,4133.57,4211.84,4904.77,4999.28,4968.61,5267.83,5534.95,3266.33,3715.35,4429.24,4910.01,4560.91,4061.11,5089.83,4288.94,5064.21,4921.75,4321.13,2913.88,3569.99,4169.67,4365.05,4311.82,3913.81,4526.99,4742.13,5186.62,5002.3,4536.54
"ileS",2541.81,3104.71,2856.53,2231.37,2676.59,2303.45,2464.25,2887.97,2538.61,2478.11,1834.43,2823.53,3422.49,3060.27,2840.75,2224.02,3063.14,2408.49,2626.82,2851.32,2373.88,2407.96,1904.34,2685.3,2597.89,2148.54,3012.04,3048.83,3222.52,2285.85,3013.76,3555.91,3192.05,3651.06,2690.25,1958.9,2781.77,2908.1,2257.83,2858.07,3078.85,3108.2,2791.88,3305.24,2863.29,2288.53,3211.71,3108.17,3805,2827.53,3080.03,3259.91,3040.22,2897.71,2993.76,3207.72,2553.34,2848.96,2335.66,2827.55,3143.62,2839.58,3588.25,3384.56,3211.46,2945.85,2961.66,1853.99,2729.7,2767.23,2962.41,2518.63,3018.29,2968.34,3058.63,3131.96,3439.65,3196.36
"lspA",3131.73,3927.81,4887.88,7152.01,3881.42,2894.91,4856.46,5763.39,3403.15,3928.82,2454.17,5142.35,4147.12,4564.82,4763.48,2612.21,4600.78,3621.17,5290.88,4810.12,2361.74,4117.79,3922.8,4619.81,4540.46,2547.18,4440.6,4749.04,5197.85,3716.46,4289.94,4918.88,4344.06,3929.14,4429.96,2871.71,4875.18,4575.88,6513.12,4460.25,2969.42,4737.46,4612.95,4862.59,4532.5,2680.15,4080,4910.88,4478.88,4342.16,4440.37,4390.51,4723.1,4978.1,5290.69,5243.38,3671.85,4311.27,5297.36,4980.13,4718.12,4334.42,4906.23,4584.31,5355.55,5024.6,4585.57,3419.61,4073.38,4703.5,4868.84,4588.26,5173.11,4724.11,5016.12,5046.44,4968.26,5183.14
"fkpB",1401.63,2015.62,1716.63,1010.82,1796.32,1456.79,1828.2,1339.22,1915.81,1288.15,1191.49,2417.45,1575.55,1655.39,1863.71,1478.17,2219.91,1388.03,1478.69,1827.63,1336.8,1771.52,962.561,1981.41,1860.29,1225.11,2445.9,1653.04,1720.64,1522.96,2099.06,2700.46,1895.43,2192.15,2013.93,1183.73,1771.08,1859.45,712.108,1786.54,1561.91,2411.62,1924.17,2368.5,1589.59,1270.58,2194.92,1898.86,2384.07,1969.03,1968.02,2247.53,2194.22,2175.48,1557.74,2258.73,1523.83,1845.98,934.349,1960.32,1589.92,1743.32,2192.7,1879.2,2051.64,2009.44,1681.78,904.431,2059.91,1450.04,1691.93,1485.88,1656.35,1637.75,1923.06,2262.2,2136.63,2122.46
"ispH",1379.66,1617.41,1042.63,391.274,1297.34,906.133,1290.46,717.464,1446.63,1095.92,907.283,1523.39,1072.21,1004.26,1349.36,907.773,1455.35,1442.94,1109.73,1167.19,796.11,1324.88,811.217,1382.88,1208.67,742.454,1707.06,1372.71,1265.33,1109.97,1385.58,1584.32,1409.33,1216.2,1252.68,996.257,1228.85,1209.31,482.832,1244.65,970.104,1515.27,1355.63,1513.82,1121.28,907.83,1782.31,1407.33,1563.31,1369.48,1321.53,1578.03,1385.14,1508.67,1092.08,2065.21,1117.01,1223.36,743.783,1377.8,1112.52,1092.39,1475.89,1541.17,1259.85,1483.63,1266.5,667.686,1392.21,951.224,1259.33,971.245,1249.6,1231.77,1543.5,1559.1,1838.29,1937.28
"rihC",193.794,454.852,323.75,203.853,365.665,408.213,534.533,344.625,514.658,364.653,375.339,431.99,386.102,248.18,258.104,291.727,483.328,548.052,366.683,341.624,212.77,555.429,443.673,395.209,485.399,214.891,443.864,383.452,474.965,462.535,442.679,557.641,420.705,380.992,394.831,279.371,576.486,370.979,205.634,380.902,335.765,526.402,365.145,395.291,336.065,241.319,532.895,480.322,508.508,602.895,656.926,654.84,676.771,952.498,1093.89,1417.45,378.1,551.048,195.399,572.466,409.226,626.648,577.753,684.792,770.97,997.588,1368.65,262.98,550.859,349.879,538.705,411.989,533.101,759.436,706.193,933.485,1242.16,1240.73
"dapB",1332.29,1312.48,1127.39,592.402,1332.59,1289.34,937.859,897.634,1008.69,1261.25,1145.58,1001.62,1433.78,1084.89,1407.44,1389.47,1160.04,966.919,1012.24,1608.98,1480.54,1063.74,766.633,1152.12,1441.48,1069.4,927.057,1192.23,1121.13,1360.87,1140.06,1282.65,1378.45,1490.18,1481.24,1021.34,966.867,1231.67,632.853,1270.43,1459.79,964.811,1144.38,1108.12,1038.23,1313.1,1314.32,980.944,1400.87,1296.86,1483.45,1416.3,1158.22,1610.13,1074.51,1254.74,981.76,1014.88,465.567,1095.3,1360.33,1159.7,1496.65,1553.17,1168.83,1356.1,1205.33,801.655,953.312,746.814,984.954,1333.97,1143.93,1123.89,1233.01,1287.38,1394.46,1336.54
"carA",1106.99,8235.72,18958.8,36141.2,16580.2,1017.77,5220.52,27450.3,22117.2,17181.2,1099.39,1059.94,18033.2,34953.4,18982.8,1158.34,1235.52,25605.2,34073.1,16857.8,1156.73,1038.88,26216.3,27447.2,16277.6,1004.59,1155.64,31420.2,29520.6,13625.8,951.791,24257.7,11165.5,19394.3,16477.7,997.751,13025.6,15674.2,39580,19756.8,1163.88,21504.6,15463.2,25299.5,19215.1,1269.77,959.425,34224.1,12723.8,16002.4,14387.4,14462.8,15307.3,13114.7,12533.9,9183.55,1354.5,6226.15,25667.6,19034.5,14136.7,17914.8,15362,12075.3,16301.8,14591,11582,923.714,1297.73,32596.3,17435.4,15058.5,17530,15803.6,14960,14732.6,12060.5,10823.4
"carB",971.914,2724.16,15997.4,40506.1,13394.2,737.056,1753.26,27210.3,17361.2,14901.5,1187.6,713.861,12144.2,28827.5,13912.1,1168.2,839.891,21030.6,28493.2,11808.2,1300.59,684.622,22699.5,20887.4,12459.8,1209.78,756.761,23470.1,24598.3,10626.6,748.895,15020,8671.65,14009.7,12845.4,1191.07,5484.77,13264.9,38832.2,17137.9,668.152,11906.1,13439.3,18530.4,18084.9,1473.56,621.131,26459.8,7978.49,12575.4,9309.99,10481.2,11627.7,10931.9,11274.8,6468.75,1072.24,3002.5,28840.5,14661.5,13832.3,14198.5,11049,8304.11,13648.5,12096.8,9804.63,1069.03,995.443,28573.2,14169,15306.1,14500.3,13398.6,12291.4,10207.7,7568.26,9009.77
"caiF",250.396,211.724,1630.03,2678.12,1647.38,334.034,191.652,2222.19,2241.63,1489.42,420.833,143.368,3084.35,2379.49,1885.54,226.404,143.681,2676.88,1642.63,1682.04,236.906,278.117,2524.84,1319.99,1580.1,224.512,119.869,3820.8,1401.92,1598.08,174.628,1157.2,1036.97,2159.2,1499.08,352.682,156.737,1611.59,2852.01,1782.75,251.755,483.223,1338.11,2334.64,1666.94,278.052,70.5605,2335.37,790.068,1263.16,1171.72,971.871,841.168,797.665,597.109,386.894,274,141.323,1929.78,1222.9,1012.3,1101.56,997.854,1085.45,850.074,744.39,684.262,253.506,91.4061,2327.39,950.434,1160,923.866,874.651,807.38,820.762,631.778,515.081
