"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"nanK",181743,68552,93487,65385,112786,48780,66651,54762,85609,26455,318808,129796,100578,63655,108308,36544,228387,129890,264235,132316,155383,140166,205290,95526,114228,112329,94299,67395,137821,95154,107422,40745,85351,110433
"gspD",113246,33585,75847,20424,60371,29184,56925,19136,72960,57307,434534,146535,110025,26166,83482,23976,203766,112625,154891,75849,136103,51931,128188,81633,146882,101456,126199,108526,283386,127669,77627,62664,140501,98383
"rtcB",426485,210534,408846,245046,307722,232867,196035,147379,343445,238808,266675,95802,323079,205947,193512,114926,527239,253051,329273,237486,294569,234158,349514,334369,307704,277094,305549,341503,1096412,475659,491221,372848,896929,755611
"yhjD",111268,51189,82769,47312,75294,58618,51723,31088,76113,38450,92439,37082,98251,64432,111104,23224,276922,127769,221661,109964,167553,103097,177775,82538,99653,72656,81842,47769,217462,107059,88316,50969,95586,83698
"rpsJ",2490330,3167578,3690280,2525867,4058288,2871246,3233823,3794654,4488541,4011797,6145027,1411900,3997635,4529540,2235824,1877311,6121680,4059462,3556075,5203710,5704493,3913374,5676740,5547023,5990807,5109996,5558742,6274636,12600000,5198741,7476706,7997499,8351460,4778844
"malP",379245,152522,203961,111157,302961,286977,222164,102448,203552,177729,303754,66400,412009,173461,161884,97089,696484,259906,588031,363527,513340,377500,594621,546624,392482,311700,539710,307272,835044,495627,694722,280774,311129,544488
"ccp",205897,80987,111963,42366,119117,62282,65182,45404,105415,55009,182217,41836,231965,84960,99549,38404,380477,124568,283114,141296,225487,89631,321248,223307,216240,99430,146408,111633,297471,90598,136431,89269,199034,101489
"rpmB",1560219,1209993,1257969,338284,1641246,935326,1834592,1124692,1956365,2009439,3745279,1474875,4051900,3049483,3592799,2093403,5059181,4806497,4146580,4027422,4043994,3845545,3620672,3546673,4147756,3370766,5491574,10100000,8322943,6510002,8007742,8052412,8327876,8596913
"atpG",1372966,388394,443335,234348,454564,78128,462050,398409,1047717,816898,805875,237322,2124927,677144,1167965,349246,3780572,3611869,2618637,1580355,2065661,2488466,2732177,1196723,1499528,1556234,2229760,1509119,3349262,2366589,2484839,2011476,2089426,1541332
"gldA",325029,135556,174944,59360,183996,55364,134164,78467,150669,72069,215046,66368,83061,36398,70685,27551,237503,161059,174357,65446,120622,122531,133625,62492,83993,61027,63515,56435,96442,60145,68924,48768,90056,88461
"waaA",265995,207246,287016,90128,316170,96727,219739,166673,319130,242635,252559,102846,416965,192226,278734,111348,845056,660617,339047,256675,302308,331145,377938,451213,226409,231066,167810,226990,453573,311221,228509,247661,206877,156055
"glmS",251116,124215,183627,100280,280140,76596,161506,151338,173559,308680,383710,69898,756515,163399,422805,161978,1426616,1041536,499878,381624,470341,381558,835135,541341,357484,584607,655524,547263,1170068,852334,713299,849488,694013,454808
"metF",260999,132823,173087,79542,522301,325149,458930,317050,204323,96489,201136,126967,380185,260559,133874,30583,249817,225846,537457,138066,238338,526156,1134042,326154,233026,693300,321609,236638,466881,448008,546214,270438,157918,188595
