"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"ppdD",105129,45970,112651,62600,70203,25369,58110,24058,103618,30802,48422,31987,29901,15557,164914,77149,171745,95987,77810,27110,110339,38751,98556,34696,74204,25305,40898,25733,116029,78500,25320,26570,105923,111954
"yafE",199213,91210,215040,59512,181030,94880,134500,49436,175657,85874,49881,15542,783532,463278,102911,37964,430266,257445,256868,83308,169581,66590,176282,51747,99188,64749,99081,78180,106723,93902,95613,40001,41769,51470
"betB",286422,86078,200428,106268,207132,77918,137936,83254,198591,47062,60383,21463,162295,113906,70018,37288,315392,302775,183710,125522,183769,58858,215890,65230,107276,86149,98126,59241,130110,102869,96644,47921,61647,84678
"nhaR",301698,103859,202846,104166,205971,128108,155348,56665,195766,72212,62533,30865,128353,82243,96589,41506,227821,215119,257435,94464,173465,99209,249322,76407,128354,110851,126580,91669,155426,135010,110194,61302,79211,117063
"coaE",896421,519661,954976,436755,958468,790119,885304,347097,913556,501040,54792,18481,687110,419167,527174,196147,955501,1201252,871381,566538,536179,384089,657126,368889,404295,410905,268853,348218,499666,572094,330306,223588,224855,445483
"gmhB",1399282,711212,1874644,1378444,1457109,894949,805378,322703,1047015,525769,280496,123027,608579,321061,743804,449307,1180689,1238563,828762,693760,551477,318492,886902,405071,501607,457288,773248,760896,1287251,1007253,817366,619514,691338,727173
"insL1",349726,136744,308268,146380,336307,226670,277510,110228,374354,260419,57011,14509,414088,154170,267149,74926,207430,186012,305560,174967,252610,151457,336953,140001,191595,197632,148507,202609,337282,223369,181496,151202,226632,194251
"secM",1635672,766596,1676876,930464,1912519,1575643,1452542,498673,2158586,1527611,50623,15484,1266416,676550,1010554,642846,2250964,2402153,1128646,870593,974315,724444,1506601,885409,757197,1083077,588292,816104,1225351,1323005,558371,509443,384957,556737
"rcsF",1139596,560289,1074562,541266,1124000,1024393,1136470,417131,1231208,658496,47815,19081,619565,410323,540619,256350,1281673,1319980,750732,448795,528897,513798,819510,416189,381775,505095,533028,594784,683387,811012,489815,375045,304369,497538
"ykgE",418195,102260,217099,172826,232243,102357,147742,67800,229696,84708,68336,24243,149620,82791,220308,112050,313022,251305,309251,164206,272368,136070,336196,87476,131819,178934,169203,112442,188720,261678,146321,87958,163286,184171
"mbiA",141741,22485,89216,35774,94711,31956,63608,46333,102520,23195,80927,34396,41366,16441,60450,29084,159070,64253,137436,51791,80726,57793,120900,35596,261604,143886,50991,18693,55192,43142,43638,48836,59249,37918
"ftsQ",2135919,738000,682086,550524,1297768,1196261,1465640,666651,1282760,753046,56346,15736,1156484,514410,1028842,499449,2473766,1816974,1200521,634716,1244705,1085966,1378297,605855,710083,846630,645427,547989,993664,1191088,653336,642106,412286,503187
"nlpE",572374,272416,474477,430444,737517,405723,469225,269600,638211,250768,86532,34622,166787,85456,309037,188068,492370,368033,411810,218737,391614,349435,461110,177845,146552,156804,425933,309732,489447,526202,363862,252985,482868,447929
"talB",244325,52512,158662,57111,205413,92241,153458,49248,196540,112472,46317,15617,172796,59624,108332,45945,518770,250506,292056,129715,241690,125103,257639,84240,172014,88475,96405,98914,210262,120376,169995,138133,272991,209065
"tilS",2908161,1791709,3096681,3095626,1043900,633567,532265,347000,808000,398335,283889,130767,412737,233713,920219,791283,1025456,896311,647631,845526,416923,266458,738490,482914,771762,1059200,759080,690986,704143,471962,525281,427907,1116243,1076918
"eaeH",571661,283050,354304,301435,171661,122685,125363,110985,203169,89196,91367,40637,69910,48803,173633,175075,329151,190928,188328,120380,206977,58357,145460,60436,105921,109111,125311,96132,127982,104725,79608,56819,154137,157463
"thrC",4898418,1343245,2392822,2094149,3044010,851259,1094610,956637,3469891,1164357,77906,25733,1485234,985726,525070,322698,4641550,1720016,3369849,2268091,2294084,935011,4512433,1963745,2090042,1599714,1511754,2097430,4637354,1872759,1409971,1471285,762438,405519
"murF",736161,247573,456880,291421,558441,247485,407168,180870,490259,286726,119389,51987,566172,365452,288777,138363,706128,453594,517269,307778,411451,183359,494446,197877,299287,221762,274723,207503,401060,287641,321758,245208,267134,248124
"dnaE",2060370,873205,1798993,1309760,2071563,1381258,1459775,711184,1541591,1010900,94021,52984,1024219,486536,605535,329195,1468078,1265057,1321868,784333,747460,486827,1181588,588485,826214,695231,686342,875209,1350780,1020677,971789,728771,674625,926314
"ecpA",435460,159308,295119,193725,300895,102038,175460,112366,199513,79507,126769,44145,185603,97438,205365,106742,240095,240727,286313,156318,171534,78648,264829,83148,227022,188461,238509,165583,244059,174279,144214,115649,211572,171848
"ribD",684224,508240,904766,426425,811691,481146,439358,219000,1169990,534301,89422,33412,774083,332373,524637,255122,1577278,1375931,713599,574791,505484,207585,675969,382993,595532,405096,251213,364317,568055,358374,296536,321477,468594,439232
"citT",361501,175384,293218,187742,178902,95850,207432,98658,178523,49455,74807,38439,124925,90302,187785,141311,199060,150187,179884,102681,178000,69338,171562,53185,89971,66258,114551,153607,138282,96285,90980,52503,201522,197037
"ybgD",165791,32504,143621,58138,98984,45373,95242,20347,101191,33147,87257,22861,70421,16422,84481,29161,184708,57243,174847,40080,152244,39003,149083,41032,95375,37167,40403,20921,63766,30302,45484,16252,43701,39150
"yajD",238409,78210,160260,70823,161459,102358,162751,55156,183184,92067,65179,28042,138062,82961,121947,47160,274387,179441,239737,109364,184778,100641,181001,86126,126934,104453,111212,89187,165595,132876,111384,79298,99579,110192
"hyi",213605,27485,135646,30091,131421,32822,89789,24253,156670,32921,95743,24440,57490,25380,155866,58599,217248,46151,262018,78056,129500,28955,160632,28838,100373,45087,91206,52157,57515,35746,86589,68762,39254,12455
"ybdR",475039,151626,204517,113251,323713,153381,295923,85900,374517,163383,52128,15433,168065,85888,197743,77717,481034,253146,284803,131284,201197,136773,298585,100993,139228,116537,125494,94757,170726,159543,123941,66182,93677,72607
"abrB",121224,29129,89274,27037,86597,33788,87616,52763,87942,24511,49915,12764,61279,28176,114832,54890,150170,120883,92955,42015,94876,39629,127963,32783,55117,27583,69833,71704,38316,15833,18358,14371,28432,21934
"tgt",2965043,1426876,1662904,1106634,5240632,6067123,6672227,2614184,5902338,5308335,92537,24177,3885008,602072,1497128,1463680,7216255,5377502,1760038,1424976,2535819,1986433,4278270,4417904,2562762,1435403,1961651,5231729,10300000,5279185,2349577,9413251,2745290,833827
"allS",311352,63051,235408,78808,393103,112407,191160,56125,229823,69810,86289,23327,1306804,142938,213432,82327,356353,177638,250134,78019,212019,94546,244734,62712,158725,105847,61648,38699,94092,83514,79589,49445,43537,33426
"dsbG",317901,133588,235296,76131,228566,153368,230006,90382,313751,164693,63841,19312,150429,57420,136792,41383,451874,362099,334990,145666,254505,177049,280977,118944,146796,116381,127373,114637,195002,148982,140208,89808,73593,86378
"pxpB",1216860,435336,578241,349911,1047044,400078,653966,496901,1095553,575992,62922,19421,761188,382497,596945,194340,1573823,1033552,729753,399859,762961,346979,721771,285369,451696,321225,626878,338414,652536,482882,644672,341983,810371,802717
"proY",424392,173462,352676,300443,290835,118632,178307,110354,243219,116803,70115,30691,80020,65334,180193,87596,608674,340180,293905,147098,203999,74235,281251,64149,114831,124820,209488,135510,168647,122083,250696,67171,108841,253075
"ybdL",272523,75739,211759,72512,216851,157059,257274,52624,228255,50667,51292,18917,93432,63541,102631,20795,220642,100132,273980,51333,172474,78894,238730,52194,113400,67189,99286,42377,86494,63828,101108,32915,82606,45724
"ybgA",863224,389377,773692,543311,561980,323700,381979,247276,541897,138959,211090,30638,154362,145748,473141,169029,1122090,880167,535277,253434,353393,251480,512428,147913,195589,247428,217655,159337,182479,293509,194246,78098,170339,247824
"sbcD",391221,189003,459137,295304,394040,210144,288790,120695,425325,220885,131094,52781,321764,154652,215754,116130,678645,323341,282559,166498,241553,88289,307850,141731,248928,159791,106362,115352,269210,170482,137775,87350,183323,147644
"ybbP",255815,41748,180551,83517,180620,70633,143024,49472,153151,163365,66480,24824,285262,52624,154843,73256,406309,98963,160362,68112,166198,50341,191299,104666,156935,46585,75113,151372,291681,60263,83969,158254,183437,44097
"entA",424021,97970,213085,153796,282507,79512,93227,80883,300710,45768,51272,29721,135751,111719,206251,124578,562654,305050,249675,134721,258445,133952,270754,47285,94513,101971,155152,100595,177812,182478,231632,116407,131737,170809
"mak",821169,162563,459420,413845,392025,159099,283813,138250,446305,148927,96722,30216,282254,161702,296291,104227,414323,339056,723238,415823,517126,305948,708439,156713,237113,379623,300503,103225,306665,368278,265950,130206,199177,258706
"cnoX",778620,215701,436843,290675,570586,462892,531587,164866,600306,717842,81049,21714,1755714,273419,621286,237050,722969,444800,767636,345451,511955,328349,678669,411632,587722,400183,353236,521496,1215665,422975,501686,397796,453443,408310
"fepB",390327,115245,177637,90313,121808,31556,187441,46038,181315,37004,49091,16645,55427,45133,82455,38660,284127,99987,132478,47203,152339,61476,139465,26579,100765,49639,108657,107192,53275,44077,68222,38962,190274,208949
"kdpB",129589,31826,128844,74885,143002,39794,40298,23735,83382,36001,111487,68281,61162,29887,56999,26326,167778,72046,113530,48846,55184,26607,109021,30435,77703,72553,77470,78268,132859,97323,68224,64638,379408,434111
"ybiW",229135,53688,135820,64927,133637,47359,105326,27998,156384,38354,65711,15382,86292,44051,138221,46054,295282,113968,222265,87199,170913,78088,191440,40342,96272,40441,104077,104720,57728,33290,56401,29282,60895,44907
"elyC",715081,379118,491613,321360,393703,286848,387591,114549,351336,181752,121207,45190,295281,151375,472093,331189,685817,405409,304133,166855,263983,169802,299005,131062,205156,157927,230801,179860,356828,229955,219046,136967,299749,266914
"efeB",398826,82123,246417,148783,282421,64110,98717,80977,197181,53575,86721,32538,146292,77984,293488,120788,435297,455356,281560,187553,267426,133553,422866,55885,108707,239219,200585,66679,184570,283676,214554,56406,185925,161026
"cobB",1520266,516984,620119,556180,890226,397458,626161,388116,838346,632855,171144,78416,953827,320409,486939,341702,1868721,1058660,1126174,496941,810769,692671,1177583,455368,571338,615539,556258,562620,945000,802550,541016,644801,746966,581646
"ldtB",219157,101246,177199,47632,235119,105933,187100,79195,221311,103919,71804,15312,186343,75531,100395,50138,378428,175685,247403,91790,207835,90048,209205,95098,171743,62811,161732,145736,136067,43697,77681,51812,136523,141760
"ycaQ",174497,40307,105113,37001,114969,50526,89822,34235,125447,73642,57355,14226,92353,29928,82167,27289,276485,143433,206587,63459,150548,53693,161376,47847,127775,87896,2167505,291291,82464,65445,78659,60428,78239,97193
"putP",1565774,497922,1228683,1102906,769178,347684,320083,207498,445304,156926,125935,57209,181619,122410,305607,262983,653451,489790,559933,268953,545763,242538,817435,178407,299099,448704,478215,352109,459512,375011,409864,170304,369474,383361
"lolC",426545,283636,534973,211831,563831,489806,600395,190331,510788,298924,157605,53031,547939,198677,414369,233426,825236,388747,380826,220001,351132,126678,396375,377220,460219,207921,227426,345745,645171,214134,232124,144366,261518,222364
"opgE",470226,111529,324127,143285,321040,151881,259855,109197,305026,112238,80688,18121,164301,59065,205113,68549,439964,225382,371545,132388,291262,105985,334128,92286,169305,98347,113462,80853,162543,118643,99419,39344,68725,69802
"ihfB",1731420,603779,929070,772761,1716939,909656,873715,639718,1314876,946173,441330,156467,1117119,590208,783449,304429,2168739,1998046,1363261,697146,867550,762586,1032563,576170,505633,754547,669509,478221,806815,1092564,607189,392038,365325,550452
"rutB",213243,47444,131978,74229,78864,27776,77639,37128,109209,27629,86510,35434,53020,22195,74194,38554,185872,68771,168395,58665,127494,30134,128194,35518,65738,33409,61131,66805,92064,41730,47664,28064,63900,40602
"bhsA",360693,94000,331379,158997,679865,2681104,2916458,92512,287840,2165772,279344,98129,1476865,112093,183818,131448,712886,169609,206477,75834,163162,40963,224696,544667,548667,95193,127154,820563,1151073,116369,116454,210197,200213,75265
"glnH",4967999,2680122,4513188,4463754,4786549,3815826,3345969,1846718,4615693,1940163,188221,96815,2714573,3003977,4738434,1237988,5129181,5300648,5274412,4726156,4749552,4262857,3342285,2345259,2497661,4265789,4105630,2797205,4054223,6653500,3049034,1573657,1542879,3242577
"rutF",162997,33335,178919,101445,113417,210934,246893,34548,103143,252056,86085,14909,685516,28838,78309,63579,641072,90377,177427,68612,136083,40212,141527,292616,385795,42255,82819,421876,785774,109063,72577,257835,362520,42768
"ycfP",4237746,1639044,2115640,2100826,2692001,1878975,1651928,669173,3146876,1277465,76227,39996,1226378,795318,1767421,764349,1941680,2162724,2160986,1189508,1621482,1489634,2845308,753224,786024,1700534,987178,570807,866056,1905412,765565,628887,465581,796653
"rlmF",241924,109481,260632,127812,214617,105614,196152,104348,285292,109258,66387,21249,222075,118577,168207,71820,333455,162571,239609,137941,230036,97139,189038,85144,170338,86445,59401,56733,159947,107877,112622,62928,113702,165924
"ycaP",800360,485048,1318970,1030878,402080,209929,262734,121791,332013,138306,158759,83158,301388,164891,455580,342062,550063,369583,448976,233549,313414,245591,285761,93642,188952,196438,311085,212371,330183,309756,291058,147241,483227,363515
"yccJ",1273647,337729,489300,375157,1332409,454113,665403,302125,1116890,389260,89668,41811,371275,242064,484222,94142,761683,946350,1353601,484510,794842,1074854,885802,278825,352939,462504,736514,346240,496687,716002,628230,140001,183683,500070
"ycfL",1018465,290738,469986,273793,953327,267195,418636,241241,676034,173372,60342,23512,356487,215049,549297,97164,833181,860799,761604,331449,675539,483682,877931,154822,360339,283788,354518,163809,416731,356355,620739,133165,351067,580504
"ybiI",841311,192807,317832,248053,295022,98679,186717,124889,313229,98961,81445,13322,145069,125075,251524,65157,547030,578719,603067,250211,375170,506087,465225,85802,165536,270354,295587,234010,154230,255195,160560,70974,91786,217510
"pflA",669869,333251,511540,248414,643760,498482,674633,232630,692787,599277,98087,40677,881911,361631,3007590,1485392,2241193,1254185,748940,381486,634295,598906,585602,437732,517126,474627,426849,670190,789253,613393,554784,421894,580706,776715
"cbpM",629683,167364,372934,215710,462027,189495,316565,164466,435835,209037,54460,15535,241438,127352,239583,84363,625529,514952,606732,233902,428746,350023,469685,121254,230110,221883,235965,137966,250592,272223,303434,116382,158200,231225
"ycfH",3263938,845293,1085891,1131417,1221003,534767,736252,621748,1061038,426321,35691,9904,415348,331432,803519,216137,1154398,1680967,2114409,834327,1016491,1709720,1471218,251117,361042,922934,623244,224891,324009,889253,391837,198037,310118,649485
"chaB",662030,304308,663908,426636,513296,371480,417859,194971,386476,199439,59917,23904,308057,127023,325255,147797,733787,484468,627842,176236,396004,258952,375283,163451,241964,226062,186867,175249,418641,326974,198077,79419,194589,185946
"ycjQ",200616,49033,135084,61952,139387,47773,89660,55993,153028,32721,58595,22969,74611,20525,132576,49738,269910,80600,131967,53816,134537,34551,169289,41843,102546,50948,42417,33153,130852,86993,44135,31518,46485,27008
"hrpA",541438,236644,382011,254129,329459,175108,164896,103271,197326,112373,184020,71664,188135,66412,253387,183325,438799,218556,304634,127867,207513,95434,296762,127624,190596,164275,103313,103187,182439,128466,105988,84340,173641,124523
"ychQ",1323168,570449,1201292,656365,1695865,1143539,1080403,392374,1438647,794390,42930,17069,558598,261152,598700,181418,971645,805702,984091,515366,836145,496205,802343,407123,386271,337323,640369,750444,1108983,796289,776439,413299,204330,264253
"ycjM",478147,157107,274776,196566,150350,74492,129654,117956,179576,54742,151623,72717,103958,47131,172873,104550,309401,186529,183810,90446,133734,44600,188468,66500,115116,110839,82920,46042,169419,129677,68069,48539,136097,111093
"ynbB",166059,33224,223536,138065,73774,20776,119727,80007,178730,74845,75625,34758,50632,26689,132781,53795,205611,100950,80989,30641,96206,29143,110640,22341,98245,56684,77056,37154,19410,9474,43810,39749,27067,24317
"ydeT",259530,106232,526698,358029,218904,92293,211317,114907,173714,36487,120592,51173,184392,120356,122270,72437,254799,103722,184238,55606,148301,39451,200744,43312,100847,45545,142972,88730,182392,98834,96243,40910,96848,61078
"lolB",1126029,698201,1267881,594857,1396591,784963,876117,410930,1545912,715412,184284,65472,1018747,650035,971060,365198,2261370,2010168,912951,761006,888335,514966,888278,535482,593011,544637,351283,481836,783826,660404,444314,283521,354153,535288
"pspB",810178,315355,622740,395967,843369,1084014,911338,202366,940678,1431556,55747,10743,1621443,266016,447459,565010,2155752,581738,479226,266453,342974,241772,628422,728912,800999,404015,281887,942851,1353397,412404,263925,2321080,1544777,207062
"ydeR",186786,36793,114395,23524,72283,22033,47224,18066,102731,31520,89061,42336,28870,8839,163908,80851,183967,104816,111890,45155,97870,42204,144000,33620,176547,109137,10840,6722,18552,9994,52292,34797,22387,15487
"ychH",4185432,1782196,2601277,2429481,3663616,268100,416510,1160115,2724772,525814,52160,19469,944656,992303,2076892,260407,2659931,4124926,5611228,3060920,5377819,5934783,3211215,350188,550081,3441202,3477620,260066,547530,3520238,986507,362151,436936,843018
"puuB",381974,118451,208216,91468,246053,76190,121191,41039,190549,77871,94071,29392,224104,99804,264505,130385,379984,207375,290370,110756,217456,88534,248880,75068,395291,239849,161821,87307,165279,113345,114459,52951,155729,90991
"paaY",323504,122116,267388,128451,257783,113386,185477,79971,224635,108227,120255,57865,211627,112633,204345,106252,396867,348466,379401,177080,310129,283655,319650,103924,166820,212973,161599,191375,292385,225829,150104,118890,137395,153835
"ydeO",109272,28537,74145,27651,73022,24480,61037,33855,82145,38866,49450,14892,76282,21891,54456,22465,176690,69213,129351,35027,101603,22152,134064,31665,62553,29433,88670,73209,55518,39519,45162,29609,142510,135213
"dhaR",162646,55036,100511,35511,113772,43862,67265,30555,123555,64296,124196,67208,69424,18590,74314,38208,250190,128725,116138,50002,112912,46104,138762,34344,103882,48075,36919,35292,157842,132913,45653,32190,74928,61746
"puuA",605354,273703,369693,192911,425563,176935,259646,198939,502378,124752,41168,8479,170094,192264,289358,81234,542812,769411,462510,338468,513156,321993,565236,110915,344679,315332,262688,156493,286870,277333,242619,67779,87096,240016
"paaI",238532,83237,154937,83947,128011,47860,248669,137166,150817,45941,72355,25553,45177,22719,91317,36568,240468,94307,132887,44251,119732,29814,186266,57498,79991,42590,113584,92281,52639,15172,55480,33284,30952,21335
"yddB",332573,124178,171962,98205,114112,35938,48874,33610,144418,31229,78386,32756,45922,18435,72545,42022,224692,103629,109478,22998,135458,37957,115627,18329,84767,33930,112567,79885,20997,7127,53042,27736,95564,68457
"treA",4283152,1963135,3002768,3066802,2567005,2338626,1823794,1040338,2368384,904378,1075470,377229,1018862,713248,3156714,1620154,3211215,4385144,4579623,3313697,2124778,1762794,4233020,2216275,3239821,3937438,2338610,1925510,3863229,3147584,3553834,3117167,6958057,6175721
"sapB",356228,86820,427575,242343,287408,122879,170336,137029,180102,98583,137594,45791,185537,52614,141172,86545,468994,231970,347854,154053,225808,81012,334395,122912,314960,148205,136602,116690,270888,136028,216079,142027,293567,258747
"paaE",2549500,1358112,3102735,3789395,890852,640296,373853,330607,545635,280988,406864,296962,480391,254101,823032,459167,516123,320171,395766,554888,252903,189956,391250,162500,310670,458412,927907,875793,971167,672960,646942,487055,1410925,1233128
"digH",512584,182899,357581,204680,198519,52484,105374,55828,174560,43744,51576,20777,125826,47558,145414,43685,284804,118918,165676,46746,163751,52565,186224,44140,118983,66310,79111,49646,90160,74430,75018,39928,88956,63064
"ydgA",2641628,1091088,2268108,2039490,1670357,858483,677351,464970,1330533,411024,427812,305650,760332,596641,1287022,785419,1521257,1708748,2158230,1247712,1149535,994601,1603608,625655,698919,1037239,765090,485930,1010532,1211109,716606,343303,813376,1149901
"yoaB",1317918,528476,1193565,784239,1282821,642979,552630,266436,1214402,683213,256089,132485,1148681,666480,968230,520758,2528693,1949079,975931,739355,938517,523313,1218696,612231,673261,738544,767909,731002,1227272,1129535,973852,686723,635769,803735
"pgsA",622508,202997,490938,273185,502195,351012,439558,154582,658937,319467,62380,21503,525196,226809,390674,148110,828440,511812,704175,363845,525776,312315,665209,254728,408913,317362,381261,290149,512630,398543,441609,287150,286378,323534
"tus",238403,62213,166622,102416,129709,46977,104548,38873,160119,55970,64243,17503,216307,118256,128708,51437,209803,52176,231294,84433,170565,65806,180824,51071,104617,68274,69538,39479,95558,66345,73195,43617,121818,132481
"nlpC",729786,297744,478901,262476,434286,155579,324935,169004,471846,157229,70273,20662,382335,385513,419631,110463,698731,1023626,860153,421957,627738,372861,721606,139481,271332,470322,478428,202738,360104,629255,605253,206752,267432,735400
"fadD",545304,73911,236597,216350,211820,110658,204748,43582,260919,81112,72672,17080,484945,258457,154365,79121,380795,241771,735732,255212,396729,397710,504011,133259,189252,265469,299087,160003,282657,314827,252067,104574,280724,273439
"ftnA",505909,221325,317638,198652,505187,1875907,2122645,170065,652825,2585604,76483,43666,2314813,221539,303056,183317,994713,958950,308237,187903,263196,209223,480785,1426418,1382643,305533,212119,1647458,1971647,485574,189413,527136,336962,290729
"folM",299379,85168,188150,93085,217780,104685,183202,69360,224137,116939,63615,25751,108598,57106,109646,53672,347438,283034,262579,140843,181564,160724,229362,74432,114253,122731,143546,92278,136935,150253,126609,82541,39360,52797
"aroH",257941,215125,363056,119041,567390,361554,489607,225474,753162,278100,98586,57067,456124,386951,350173,211378,879119,597854,321549,159603,282936,169413,289526,299099,401761,170102,178415,305692,500225,184158,382243,157414,247732,338733
"yeaV",152497,47511,113205,48429,110944,45311,81712,21630,102813,36192,56981,14511,82281,28607,168928,76126,218286,98154,143814,44679,116662,46310,148852,30063,311462,230136,100366,71647,106197,68664,44485,33111,29152,19886
"araF",847590,467723,599469,454998,481551,332346,534855,233080,502916,272898,143747,69357,357060,186788,540531,436217,615774,847457,957367,401351,549015,590081,824641,223003,292500,393287,529436,482014,629896,604094,340878,252224,447696,576651
"pntB",628043,179377,295768,171216,505621,141568,205192,126701,323443,257472,82027,28972,370452,97288,350378,111299,615823,418625,388157,126273,327222,135007,554614,139532,203715,275693,261476,139920,297331,254157,200734,148106,244860,153663
"ydiT",241583,64083,171173,64054,155572,35199,139302,67797,172405,57943,80238,28295,157512,48517,133093,40133,347645,183563,220030,96359,192711,35762,270100,83640,115664,82877,87174,75014,175182,139734,105609,134104,227489,131111
"yeaR",408303,122176,143544,37851,115632,33567,104821,68181,134595,36988,68098,19159,52308,17818,67436,15696,179136,58707,157169,31255,133712,42223,147463,35647,75052,39653,42204,35541,43418,19881,54114,33740,33954,30573
"otsB",2771292,1264047,1844182,1273507,1573728,982313,1228621,651462,1381221,316544,145406,69417,510417,479656,727765,245623,1534897,1994553,1946006,746419,1014279,961313,1307010,502018,494587,642312,578672,380217,533553,885546,627706,190435,268307,731841
"ydgD",417376,162201,315936,175882,236093,114532,182093,82569,218457,84634,73646,15179,177875,108227,225039,56322,485044,386930,433594,114960,207640,120807,294347,102544,157592,160863,144336,111016,189890,164792,192929,90933,167561,223988
"ydiP",326372,94137,213133,132247,195198,70056,153310,70400,196267,64169,109671,36281,118487,37753,190956,63611,323165,141918,236843,79099,189759,72477,227196,62892,142769,79540,81074,57978,131399,110458,96561,49319,144801,115524
"nimT",142841,55771,150667,80979,121831,42985,95067,39596,141758,49776,70526,23196,54050,23674,112382,37843,214927,69860,152547,68998,130998,38950,143664,43146,90407,47325,67605,62049,77736,39573,49940,19548,76115,44282
"flhC",208339,90627,222396,106254,235604,58274,105430,72826,236815,43583,66286,22831,70560,71708,149165,25091,217069,166623,199954,86903,188586,69955,227076,41761,92606,90091,104322,68136,70704,61609,111453,21448,82392,55816
"mlc",551109,162791,424178,355926,254546,111566,192792,66101,353061,336142,115639,41904,390523,111665,373273,114332,427167,388296,464528,218647,356297,235935,447677,101601,135694,251025,197553,117164,222325,279724,161163,123870,154509,107823
"ydiB",897415,587765,795141,610127,643125,412656,371880,227467,814616,428210,130166,110942,471074,295282,607709,363625,1316881,1074653,540685,472873,586336,315636,671009,357077,381043,442144,419780,396943,616305,712463,409370,261271,343158,446511
"dgcJ",230913,81369,274055,93685,164461,299289,392325,34606,279084,131495,72226,15436,262730,100957,173084,85870,406396,150154,272501,85244,171197,90421,224116,129980,225410,61818,116006,231307,355499,137933,138757,60910,141512,141530
"cheW",191057,62081,456343,287578,130038,37907,99119,27758,159177,51058,35728,10797,160165,79651,174690,60519,212022,81920,270825,147269,205318,129963,274440,66428,134230,185633,162345,108491,177951,180257,180692,62557,125072,213109
"hisD",1748974,566258,1101972,788540,936769,627824,901093,290723,1044763,3487271,133542,44899,3407820,528816,916597,606282,2936711,1561235,1032154,622114,877608,937872,1609717,722199,993999,1255905,758520,975962,1625729,1146941,621968,1357700,1391284,666138
"yehI",145277,49196,120407,58032,106034,36164,94692,23545,143336,44519,63489,16984,66717,27709,119940,53047,363724,134140,188581,61651,136704,63812,167068,38016,72441,49966,64286,50158,167590,81636,62156,34390,94206,58693
"rcsB",1060128,309301,533344,357985,694905,351215,543831,269218,778903,541280,76603,21739,1088148,436632,560545,248022,2372523,1594112,1131937,651305,1052624,792545,1176451,583907,805479,772298,796706,740192,1205021,760774,845845,814655,796613,680327
"ubiX",160569,47010,127196,45805,133102,74573,154274,40367,166091,66734,76588,33190,301540,181153,104485,33546,291230,229685,221923,68881,160253,117154,172910,53061,95297,63972,159166,119570,158557,127379,90869,56804,57479,47571
"yeeY",671075,627807,1157787,765855,337991,231894,230827,105637,418856,196870,265795,130728,338720,176300,735651,728418,896233,694442,459524,219887,371171,279218,481204,154506,254845,260271,645729,499819,811825,530222,513304,466182,889156,649992
"mrp",1500417,1678282,1650935,1642789,999113,579028,739916,506201,1102672,707502,1729651,933145,1446926,575987,1802608,1550151,2297939,2765752,879765,617649,981155,540736,1244556,618810,921018,723840,1983437,1908816,3523649,2156767,2320574,2043687,3663024,3461958
"ada",255911,80295,202326,84404,168963,83972,101667,78796,176324,43185,68342,22369,109237,52704,197493,97397,299253,157370,217816,93692,209171,72495,262511,84239,146067,103937,115772,92908,129520,75244,118510,78407,194060,100091
"hisM",740397,233923,552973,258291,472300,219489,333308,153306,499034,99775,107833,37346,166884,160870,353927,92981,447421,479056,503256,214332,412931,207334,590795,177072,268323,230221,212635,138764,238198,271935,290041,117954,147728,207445
"sbcB",531239,264853,396859,234123,360997,219572,257244,124005,370741,193992,163964,86091,258055,101431,273102,165811,701687,432212,391043,214517,311675,120442,332521,162227,356908,181876,117261,170186,280029,158627,132693,122455,137563,113094
"yehB",296099,94325,134900,36951,110618,32557,104991,29098,120984,34913,121909,49551,96793,18665,89776,28082,248153,65990,195980,36277,165368,38667,172352,37380,102798,30934,72664,40525,115426,62001,55864,20782,111152,58909
"eco",569450,173233,540247,341385,377219,142422,219503,133208,421282,152293,169024,67978,744613,318970,404726,139027,1024045,850200,923756,404299,444065,255454,825638,276498,423513,445507,455944,223195,499505,488903,463441,268065,476156,524886
"folX",2483348,1270328,2081352,1698588,1858996,1343256,1326263,695907,1885587,1039115,229768,130388,1495211,891647,1304016,649450,3308165,3270766,1710675,1163447,1087792,794289,1659857,840882,877274,1212971,899798,902838,1275602,1548049,816012,674715,771168,1048590
"tmaR",2262610,1069900,2330252,1894502,1915145,1139697,966833,539560,1792106,1120001,395551,144508,1906981,1190842,1742854,731216,3606191,3972251,848551,495333,1248079,927239,1671182,982278,1020684,1475977,724293,673254,988558,1331418,740686,513096,628816,963337
"rcnR",1493865,774660,1672743,1444127,758913,1382824,1258789,277001,515761,891627,511193,282463,1081454,250494,739287,577875,933351,605598,459185,290886,337040,194223,401175,661348,774620,300067,416110,985808,1606549,555160,473330,451300,857734,657514
"napG",259219,61277,353577,212520,118595,54781,108803,37555,146588,40724,63473,27552,71873,36109,99384,31710,200481,123618,168934,81900,152570,51125,155836,34335,79792,49397,133283,103284,85567,52491,88604,41994,108338,63537
