"","0","0 | 1","14400","14400 | 1","28800","28800 | 1"
".1",3322.37682924357,4935.56660221865,1854.7383972205,1957.77601043198,1985.10554508301,2922.52570771022
".2",1762.00218749223,1003.62180131008,2694.87006725941,2425.38826107624,1773.02848618426,1694.91827932816
".3",1396.88738291646,1392.0545197125,2236.4580776871,1906.88219101231,1647.42834368904,1007.80443856261
".4",850.401304669075,1224.51947189875,1435.16410785868,1563.97311791176,1039.01444769882,939.663239486837
".5",2844.58011804695,3304.00464577383,3519.12245226367,3555.90237225387,2462.65702174347,2632.10257913728
".6",4857.50578958724,6737.51096289251,4435.86578647419,5056.76843783593,5442.29709453931,3743.05362013962
".7",7337.12932938423,8719.32053465792,6714.20094576654,7018.75777346412,6950.9767307747,5910.23590138523
".8",699.897575394207,1257.20134032902,381.621859020524,547.228667500036,682.175910447115,393.440046409731
".9",1856.0244495715,3821.70313333476,1343.70432470217,1371.93840888611,1363.40645195404,1648.57064984806
".10",4264.02446411412,6970.27567211758,4701.80828715009,5618.61955006709,3204.75865799275,7116.73598075391
".11",1047.69276900806,1140.14373706617,1858.59923008954,1449.1588201745,1441.14521633321,1415.40577948527
".12",1073.42077492933,1634.91509525842,1024,1258.07306797635,741.344344258335,1908.20439921617
".13",1036.85612272691,1329.8059291954,1544.58119852706,1731.73204454915,901.385229888667,1256.3302167079
".14",544.579928521311,985.01371357673,930.588791243285,974.825378301472,1599.05073685994,974.825378301472
".15",389.640545494876,417.02787229195,570.071868533087,368.62241753976,383.74389804942,300.245747003361
".16",2547.73586595526,2469.49443111068,2017.00647505009,3178.21277910981,3084.88287566605,1178.71563911963
".17",3869.68387992455,4053.63366467669,2255.13799290463,2646.73859714558,5025.32086683158,726.087698267883
".18",2654.08709720747,4048.018028547,1584.70655338741,2018.40504205183,3784.79645674219,645.8252333216
".19",4053.63366467669,5764.58086533283,1881.93358536509,2161.77401372256,5191.731290253,826.001161443457
".20",573.639277667418,554.099017997166,383.74389804942,495.588877769593,409.57958570637,461.760193731712
".21",647.169586407837,3425.265254048,569.282128648759,962.071295195148,1286.28979829097,773.898203297908
".22",11690.1028308409,14272.9902840587,10283.1881525874,12881.3841144272,15076.354467838,9988.13773067307
".23",225.658920424235,100.357178121695,354.833890726506,276.665702922074,111.430472101904,124.241212130502
".24",90.3842818806243,140.555880164742,75.58353033149,74.2850505205581,82.7679316407992,133.250764503566
".25",333.143514993135,69.744135181653,92.6680430322918,74.1307395964571,77.3859632533351,84.3315169109849
".26",60.6737257682333,87.1845142169912,65.61710322487,64.5345571132541,56.7284287484715,83.9815202938855
".27",717.084836294249,438.368401687786,576.829044990607,420.511078785058,448.82212931381,526.029536962029
".28",721.572226632714,589.766472882871,658.025644784319,996.689279138036,897.022274628736,633.411829087833
".29",46.8182790625385,67.7430012720085,45.3490366882629,39.9188983012495,52.7098251051247,49.1118750720284
".30",73.0088778155791,117.295186518445,100.775421000858,98.8384170357485,102.323946285116,76.214838359358
".31",104.329258547536,113.064326589628,151.902310100036,99.940671053746,113.064326589628,164.50641119608
".32",404.501151674049,462.080372460764,503.902219281306,404.501151674049,250.905450327519,502.855472774856
".33",1195.16989626211,1956.41945371123,1407.57882426576,1822.87510170111,1305.15008237492,1414.42503489931
".34",1164.10058059368,959.407561597364,1258.07306797635,1308.77374791992,1023.29046322222,1211.85384627463
".35",1415.40577948527,968.76303024701,1089.15985704262,1041.89920471315,859.885048774799,1004.31770008428
".36",2000.29906731464,1625.87429054802,2405.29811704556,1811.538811559,1510.69845205283,1507.56030686021
".37",948.82617537574,1083.13698674527,807.881565032924,845.698728894177,768.019962514339,898.26667390241
".38",1221.12908526657,936.412251647899,1405.62885760503,1346.50138644999,1294.33917281567,1168.14204504927
".39",753.257853878138,998.763992604305,1359.63152218362,1438.15155275571,1280.06379784725,870.680739905737
".40",330.842324643198,200.714356243389,387.217407304694,303.804620200072,317.365171184381,171.849280355874
".41",120.175583656378,330.383997555655,310.618511423665,211.131788444181,248.999666537545,147.03338943962
".42",339.907880545904,524.573093392794,566.134094499977,550.653127914178,477.051099804044,336.392096550239
".43",294.066778879241,598.828883994597,887.128940953689,829.443556999215,770.686334674466,319.129905734425
".44",170.543977611779,387.485899000212,467.881702517453,374.027360907693,416.738910756062,259.034419462894
".45",136.617643269115,141.337452436876,159.343902128918,142.715675997145,141.141652872821,144.808251244275
".46",2732.48905150007,8475.0137878029,7874.64952536073,8641.10442142156,8822.67239377345,5626.41401212773
".47",375.84656282473,315.391506802114,1632.65019195502,1627.00165139682,2073.71224545381,1556.40305295515
".48",131.87250606337,114.087743474812,214.079078378,173.0445866276,176.925722435659,100.705593005256
".49",226.599363732364,138.236999658609,238.195112371972,157.259133497043,224.878199869021,113.535527059475
".50",73.7719261951273,74.8536104993246,85.8651023924647,66.0735062709275,93.1833311359415,68.0724910651638
".51",301.497034136315,177.539964048817,822.573052679202,429.346910433757,2078.02889539764,627.729848347216
".52",260.474801178288,244.044427593769,692.178346510401,438.976530756696,1889.77662495498,602.576249456009
".53",287.416684050844,322.465274866534,495.588877769593,309.329367907825,1932.1615378337,693.619188472509
".54",714.108757171408,802.857424973556,634.290533265361,676.994357832999,722.072555768008,1112.04542087403
".55",513.065781800772,756.921564812207,1743.77719346984,1719.7700975496,1336.27386643349,1200.1508184827
".56",553.331405844148,726.087698267883,490.462831730021,371.186389216986,511.290709043727,325.384112462251
".57",684.544253647429,2971.5501216444,536.710387464667,604.249263788136,791.255602839539,3260.77685259788
".58",123.811370190583,85.7461505553818,160.118922254498,136.996953398608,88.8315340169979,105.93239245801
".59",109.288667442079,140.458488010143,187.923281412365,148.570101041116,149.811026108748,139.488270363306
".60",636.492630478817,648.966411281626,1024,840.43940742195,933.819561492244,1179.53294576574
".61",917.777100359071,1044.79197107042,1180.35081912204,1099.0185332669,1205.15249891202,1244.19767491074
".62",79.5615788098521,87.3659979446506,87.7909304697983,108.986074591865,67.2750661816132,81.2896628824825
".63",335.926081175542,164.620477879117,244.213644940175,196.583714521869,183.546271746026,326.061433683584
".64",209.237844093,140.848461998866,248.482424261004,240.517823798787,246.082797667523,183.8008973598
".65",78.4118612418993,69.1184998293045,103.39337953403,75.58353033149,88.7699820244087,61.0111068984422
".66",1401.73702460604,1375.74750793861,1264.19210945898,1484.74555686794,1204.31744029795,2583.3009332864
".67",1848.32148984306,2167.77604070427,1609.0573141352,1410.50884749633,2012.81658582067,730.631426927554
".68",1801.52130748915,2574.3633910207,1893.71039357686,1645.1461053584,2583.3009332864,660.310144335814
".69",2996.36986000246,3209.2044777445,2108.49809087283,1763.22393771808,3244.99378554867,1092.18383957173
".70",3766.47698903719,4547.9478625429,3006.77250259784,2764.87779353138,4833.99411030509,1344.63603243433
".71",2121.69269977092,4073.34981088549,1844.48200672856,1614.64355646726,3635.65603745586,707.212517449654
".72",1009.20252102592,2202.61251165671,912.701947798498,676.525263697031,2201.08630600807,634.290533265361
".73",71.0616853522329,168.312673306249,90.1965283290892,98.3600116024328,175.825437878992,98.8384170357485
".74",350.677242871185,460.162624824847,224.255568657184,102.608042163122,419.346789304232,135.956375871408
".75",314.300335082255,284.838430869718,453.198727464727,588.133557758482,442.029853990099,865.266057638414
".76",337.559965310046,345.370248790963,360.286304083302,599.659612784031,520.227913212775,859.885048774799
".77",153.916063858967,228.809001563337,341.087955223558,322.465274866534,223.170109321488,405.062298206951
".78",66.3028968678412,56.571361988075,64.1332227250965,60.2546217306372,59.3427549718696,58.5663467601874
".79",276.473999317218,433.233201459348,420.219703710975,381.886470833015,308.686803888835,150.957643809436
".80",308.472912638665,534.112559887287,527.124522718206,553.331405844148,365.82249977372,319.794208167264
".81",45.4434354733897,51.6966897670149,48.3686377061193,43.9868382583049,47.9347499015738,52.8195461448101
".82",70.7177270271944,60.3800480573031,73.1608534664983,82.4244242886288,66.5330838512178,62.9005183068961
".83",82.1962117753232,121.853172287684,91.836770214829,99.8022198542494,99.1815591627739,119.676825312186
".84",1230.4753147155,771.220718916512,878.561823158979,1375.74750793861,574.037031950596,536.338497075096
".85",1159.26927576133,903.887868201631,912.701947798498,1116.67991824922,985.696709736194,1719.7700975496
".86",167.034233304187,155.309255711833,64.7137331744835,63.2941386483796,138.141214272567,129.517209731447
".87",121.515791481666,57.4008422183689,60.4638106238212,51.9121379569307,66.3028968678412,59.5900684691347
".88",141.435454054389,77.5470502675356,70.5708264364104,62.2067832308065,79.2313786135965,83.2281693791027
".89",72.1036306238259,98.4282132012972,75.3220311820011,62.5960623006297,94.4841219637013,81.685041205053
".90",759.549406126655,1443.14445326543,1215.21848080029,1414.42503489931,1345.56838620096,1039.01444769882
".91",590.994133768622,593.457127375081,985.696709736194,1679.7141221309,1224.51947189875,876.129306298985
".92",548.367781474025,303.804620200072,829.443556999215,992.552772541507,790.707336285988,136.050646317895
".93",185.336086064584,104.256968072988,88.8931286889671,76.5855336467657,72.8572178607922,64.6240830461879
".94",136.333850034357,143.211148932571,73.8230787238415,63.6460907950857,69.3104029136592,76.1092553601741
".95",126.588277296759,119.180136938269,103.250145180432,88.6470059590992,106.66921051638,123.983128221008
".96",259.393766440726,113.92969385632,113.064326589628,98.7699312037718,102.608042163122,99.8714214622341
".97",319.794208167264,293.049385113263,164.278514888052,137.377316658362,212.600326167269,167.497993146241
".98",693.619188472509,689.305635469713,1802.77045977733,1774.25788190738,1021.16480138452,1623.62191177786
".99",845.698728894177,661.684649286396,2476.35082410672,1568.31538902465,1260.69187926519,1285.39851907343
".100",186.625200488522,100.009968662057,374.027360907693,259.034419462894,288.214678051011,182.025908555171
".101",365.315713463777,446.030946376835,335.228268309392,355.079928097634,231.681654498024,448.200360803463
".102",231.040186230382,232.324903761193,97.275190809697,121.853172287684,68.1669250171787,112.907694745239
".103",149.707220998649,75.8459373402613,119.097556185986,82.9977314976646,86.2827348311716,68.5935016023227
".104",77.1717009722086,66.9494361467219,86.7023985590635,84.565657962129,94.6151956015259,87.7909304697983
".105",603.830575237742,346.569287437429,661.684649286396,710.159856195269,552.564857090267,471.789663333736
".106",208.080794107986,391.807173074603,469.831619743419,553.715078903612,473.099557092773,307.192673887543
".107",137.94984256559,101.335790831523,91.3289283659442,77.1717009722086,89.3254889038187,102.964271480565
".108",164.164685153568,209.673394652116,116.242997468353,103.035665615504,160.007974730907,152.74697510806
".109",126.23778617515,169.953940272952,220.402992214759,176.680621234769,256.532890900386,285.233574609749
".110",132.330334239739,134.363735503753,343.698560711748,260.474801178288,409.295785140466,358.045717181046
".111",75.2176850188653,65.7992849059883,149.189273361224,185.079333701856,77.8162741237182,86.4623414102808
".112",699.41261145825,344.414005381588,555.252433327649,636.051600273633,383.477999212591,562.613359399362
".113",259.034419462894,352.627211874083,197.129516604434,137.758735972326,295.497066884311,522.39598553521
".114",4222.84623378346,2852.47791241018,4754.24323331572,5130.91354060443,4669.33052495242,3771.70205575184
".115",159.012900068408,127.380444392971,162.354099113711,175.217128075755,125.105378100583,126.851784097802
".116",218.577334884159,301.288124728004,311.480923810321,362.038671967512,460.481695819649,315.391506802114
".117",385.610359458256,434.436045673419,395.902124777122,596.757093444895,367.347080859316,313.430116454452
".118",788.518066417737,964.742424478524,946.199114185547,892.680437285951,694.100135321601,740.317334807423
".119",107.634741152475,216.616600729674,71.9039937940253,72.153626377307,101.82866992063,131.052403254841
".120",190.150773844586,138.813108331912,802.301119436125,672.784193100478,1321.53599022262,1007.80443856261
".121",112.517063796709,315.172969816299,716.091434362092,862.272464495018,1726.93731379223,1092.18383957173
".122",217.821114753674,192.538080177752,1462.2760751975,1656.58900144484,2621.17870355314,1557.48224331879
".123",407.879729298218,207.073625180605,1725.74070682245,1376.70143401229,3329.29270572778,2270.82371809908
".124",386.145299631764,145.613469167681,990.490961524666,930.588791243285,2035.26367912459,2089.58394214084
".125",285.233574609749,175.338621435592,786.880092819462,682.175910447115,1658.88711399843,1547.79640659582
".126",523.846384504029,326.061433683584,1396.88738291646,1402.70897148474,2401.96597602689,1582.51120567908
".127",257.423508582008,121.179344798299,511.645231611112,474.08436353399,988.433433468679,879.171006912259
".128",141.631661195811,182.53129182261,931.879755858841,809.563255402438,1575.94339344472,1568.31538902465
".129",394.532407479505,237.535609976648,729.113700145701,722.57323182525,1313.31748122854,1723.34997972046
".130",329.926305404164,192.805179729128,733.167995494986,596.757093444895,1349.30427057576,1487.83621076108
".131",377.412919626522,162.692056231125,492.165595335046,418.765853981584,919.050291883275,838.112441948983
".132",181.144852521812,209.818779555204,751.17227221367,614.811354872427,1526.4874360821,1582.51120567908
".133",328.784847101293,314.736350017173,685.018908050489,619.946538982683,1446.14851008999,1805.27136339388
".134",841.022157570115,345.609724191423,1098.25701562157,1255.45969669443,2089.58394214084,1720.96256457376
".135",789.611942608866,566.134094499977,2248.89408263588,2187.397955682,3668.56466469212,3396.89285965595
".136",435.038719558989,291.630944568862,541.944010176068,585.286827731986,1184.44870031901,1751.04446032276
".137",419.637559110409,594.692470745969,1812.79490985891,1870.23001602456,3902.00523998797,3625.58981971782
".138",76.7449544826312,89.8221904665008,81.0084220140979,95.8030711547322,79.5064500342041,84.8592486591141
".139",143.409819416855,156.172865314845,641.808906465634,552.947998634436,1095.21621799449,1156.86114771981
